Stations,Lat,Lon,Elevation
Annandale (WTP),12.088627,-61.71424,235.6025
Bacolet III,12.0306,-61.6903,23.3584
Blaize (TANK),12.1594,-61.6483,416.1028
Bon Accord (WTP),12.0716677,-61.7170933,224.1956
Brandon Hall (WTP),12.11417,-61.647214,197.0716
Chemin II,12.0219,-61.7222,54.7713
Clozier (Tank),12.142362,-61.694137,509.9757
Concord (WTP),12.117396,-61.721029,290.5881
Dougaldston (WTP),12.153997,-61.72761,75.3632
Grand Etang (LAKE),12.0958,-61.6969,525.634
Guapo,12.1030646,-61.6631223,367.7775
Les Avocat (WTP),12.0661,-61.7008,351.821
Mamma Cannes (WTP),12.074356,-61.65201,298.5135
Mardigras (WTP),12.055006,-61.712855,371.842
Mirabeau (WTP),12.13867,-61.65921,281.6362
Mt Horne (WTP),12.142601,-61.64226,152.5813
Mt Reuil (WTP),12.189714,-61.646902,141.4407
Mt.Plaisir (WTP),12.129049,-61.731387,183.5443
Munich (WTP),12.085918,-61.646676,232.5918
Peggy's Whim (WTP),12.1726,-61.6477,251.638
Petit Etang (WTP),12.061538,-61.685243,345.4146
Plaisance (WTP),12.0997634,-61.6525383,305.5335
Pomme Rose (WTP),12.065806,-61.665534,329.0891
Radix (WTP),12.062561,-61.723346,240.9148
Spring Garden (WTP),12.111325,-61.6905,383.8788
Tufton Hall (WTP),12.176039,-61.696163,125.3428
Vendome (WTP),12.080384,-61.714727,294.4617
Point Salines (MBIA),12.00712998,-61.78592079,11.3223
