station_id,gev_sigma,gev_sigma_5,gev_sigma_95,gev_sigma_rhat,gev_mu,gev_mu_5,gev_mu_95,gev_mu_rhat,gev_xi,gev_xi_5,gev_xi_95,gev_xi_rhat,gpd_sigma,gpd_sigma_5,gpd_sigma_95,gpd_sigma_rhat,gpd_xi,gpd_xi_5,gpd_xi_95,gpd_xi_rhat
Annandale (WTP),28.73167003749955,19.086857324296748,43.336706453819986,1.0,94.109,77.1,111.741,1.0,0.222,-0.048,0.5,1.0,21.031051742600535,18.301810694366743,24.288427443094555,1.0,0.132,0.032,0.242,1.0
Bacolet III,11.100609314389992,7.134912590158441,17.270502699737417,1.0,38.969,33.168,44.942,1.0,0.029,-0.322,0.367,1.0,8.66247085492899,6.766608491314568,11.078430282186423,1.0,-0.021,-0.206,0.182,1.0
Blaize (TANK),26.023500625803887,15.799842948260395,44.389368829915824,1.0,53.348,40.041,67.925,1.0,0.398,0.104,0.7,1.0,17.513990172896783,14.45441638438754,21.327557162026903,1.0,0.333,0.186,0.496,1.0
Bon Accord (WTP),13.409990649296258,8.44014931667042,22.421044400746343,1.0,53.548,45.6,61.075,1.0,0.191,-0.15,0.49,1.0,13.763222522018708,11.588346719223392,16.28101980178843,1.0,0.015,-0.105,0.149,1.0
Brandon Hall (WTP),31.031412565528075,19.45297471470201,48.66694245949041,1.0,59.705,42.304,77.645,1.0,0.209,-0.106,0.54,1.0,15.13484952140889,12.317241145087289,19.086857324296748,1.0,0.309,0.146,0.496,1.0
Chemin II,15.059364144505244,9.309170597046473,24.239899132694873,1.0,42.995,34.853,51.169,1.0,0.178,-0.151,0.538,1.0,12.441031476611402,9.337140042028006,16.47756897586995,1.0,0.118,-0.102,0.332,1.0
Clozier (Tank),18.08350144125775,11.067357389273434,29.93415092440687,1.0,49.77,40.162,60.084,1.0,0.303,0.017,0.616,1.0,12.097514278865066,9.994150781394822,14.790720634826844,1.0,0.247,0.11,0.394,1.0
Concord (WTP),20.55285786233811,12.717767099367087,31.976459773130532,1.0,95.74,84.429,109.155,1.0,0.212,-0.086,0.521,1.0,19.47243741914704,15.611377884837148,24.167288405845095,1.0,0.147,-0.022,0.318,1.0
Dougaldston (WTP),14.835159421582375,8.16616991256765,27.27580375920325,1.0,61.599,52.682,70.5,1.0,0.413,0.118,0.736,1.0,13.131317158490017,10.517073666185993,16.51055709094072,1.01,0.197,0.052,0.36,1.0
Grand Etang (LAKE),22.60113214646825,14.483354145271283,35.766081494145446,1.0,53.443,40.398,65.813,1.0,0.226,-0.102,0.537,1.0,15.27167797153635,12.478410611709538,18.448812402746924,1.0,0.183,0.04,0.333,1.0
Guapo,19.511421264836414,11.078430282186423,33.615927923922776,1.0,49.445,38.736,60.124,1.0,0.384,0.067,0.712,1.0,14.310592538304139,11.41581871336694,17.93941056172967,1.0,0.36,0.182,0.523,1.0
Les Avocat (WTP),23.38278341336408,15.768274840993845,35.87354084706276,1.0,81.315,69.374,93.337,1.0,0.284,0.044,0.538,1.0,18.228749671050583,15.784051002600961,21.221185526912038,1.0,0.15,0.047,0.256,1.01
Mamma Cannes (WTP),29.57708777694624,19.49191959603112,45.51309105184846,1.0,89.19,69.373,107.91,1.0,0.176,-0.12,0.476,1.0,19.648480360868867,16.26474691978372,24.239899132694873,1.0,0.172,0.029,0.324,1.0
Mardigras (WTP),28.07838322380105,17.957358944987327,44.880347318039796,1.0,71.845,55.28,89.041,1.0,0.242,-0.041,0.539,1.0,15.626997071013474,12.909971535307482,19.1825305947752,1.0,0.228,0.081,0.373,1.0
Mirabeau (WTP),22.33153935257972,13.957262749606725,36.966052814822504,1.0,82.401,70.822,94.16,1.0,0.357,0.065,0.628,1.0,22.30921897527583,19.01066238646844,26.416795472288868,1.0,0.13,0.015,0.244,1.0
Mt Horne (WTP),29.40015657468463,17.201558668925443,52.14352433963712,1.0,61.268,42.266,77.846,1.0,0.324,0.027,0.682,1.01,17.61938999720782,14.196564518226808,21.693225003979848,1.0,0.236,0.091,0.404,1.0
Mt Reuil (WTP),33.18174913768963,22.264645126032473,50.50134653574539,1.0,72.717,53.545,92.708,1.0,0.13,-0.22,0.457,1.0,23.173282530744633,17.993309601550315,29.844483040710095,1.0,0.149,-0.041,0.353,1.0
Mt.Plaisir (WTP),32.52470648276096,21.60662541860077,48.279160117353314,1.0,86.032,63.32,106.099,1.0,0.095,-0.228,0.438,1.0,17.867796243604733,15.07443104084234,21.094239632271936,1.0,0.176,0.05,0.306,1.0
Munich (WTP),18.72763049667292,11.473040742794833,29.725343546388515,1.0,52.505,42.68,63.215,1.0,0.253,-0.053,0.581,1.0,14.894618898944145,12.001120254831195,18.467270442631442,1.0,0.122,-0.03,0.286,1.0
Peggy's Whim (WTP),43.991656898689,25.380978106022052,71.37873529593749,1.0,79.148,50.86,107.002,1.0,0.309,-0.039,0.614,1.0,18.375164547044456,15.13484952140889,22.510908186101688,1.0,0.302,0.147,0.44,1.0
Petit Etang (WTP),27.522393984568446,19.786502236370332,41.09966620761549,1.0,86.86,68.72,104.587,1.0,0.061,-0.205,0.369,1.0,26.07559970877211,20.32801532695466,33.919836813860556,1.0,0.11,-0.086,0.323,1.0
Plaisance (WTP),18.48574694978794,11.427240241892775,30.876642749677046,1.0,49.472,39.826,60.506,1.0,0.268,-0.045,0.584,1.0,13.369820962006562,10.718808477734166,16.8272567955368,1.0,0.202,0.026,0.367,1.0
Point Saline (MBIA),18.89693992071409,14.850002001056811,24.36140213272728,1.0,64.523,58.572,70.643,1.0,0.182,-0.003,0.374,1.0,16.626536444733606,14.296289098677603,19.086857324296748,1.0,0.109,0.003,0.221,1.01
Pomme Rose (WTP),21.88934524629624,15.225931591501572,32.04047668825295,1.0,75.513,62.728,89.127,1.0,0.009,-0.31,0.317,1.0,21.031051742600535,17.201558668925443,25.89370787495345,1.0,0.049,-0.112,0.222,1.0
Radix (WTP),14.984255252489545,8.44014931667042,25.63606117674719,1.0,54.207,46.402,63.229,1.0,0.356,0.051,0.661,1.0,11.576764164746615,9.188934606541913,14.687547118980032,1.0,0.215,0.048,0.393,1.0
Spring Garden (WTP),29.370771113289432,17.305078269181145,47.75099956471015,1.0,62.133,44.644,79.867,1.0,0.219,-0.118,0.556,1.0,19.27868342951761,16.362628753157214,23.173282530744633,1.0,0.115,-0.006,0.249,1.0
Tufton Hall (WTP),38.86134287133247,26.311339343265892,57.62750666613663,1.0,95.06,69.753,121.817,1.0,0.142,-0.104,0.403,1.0,26.52267427060296,22.646379643175397,30.630615030701964,1.0,0.093,-0.015,0.206,1.0
Vendome (WTP),31.626646217461857,21.24241732656946,48.91088652373189,1.0,99.615,78.645,120.33,1.0,0.178,-0.113,0.447,1.0,21.867466842075256,19.086857324296748,25.229148182645552,1.0,0.109,0.01,0.216,1.0
