station_id,gev_sigma,gev_sigma_5,gev_sigma_95,gev_sigma_rhat,gev_mu,gev_mu_5,gev_mu_95,gev_mu_rhat,gev_xi,gev_xi_5,gev_xi_95,gev_xi_rhat,gpd_sigma,gpd_sigma_5,gpd_sigma_95,gpd_sigma_rhat,gpd_xi,gpd_xi_5,gpd_xi_95,gpd_xi_rhat
Annandale (WTP),24.41017369,16.29730896,37.7505483,1,98.887,84.947,112.639,1,0.27,0.018,0.578,1,19.16335765,16.76008221,21.86746684,1,0.144,0.047,0.245,1
Bacolet III,9.964213258,6.455935886,15.65828234,1,42.239,36.469,47.686,1,0.061,-0.274,0.419,1,9.207330866,7.426093897,11.46157344,1,-0.053,-0.202,0.12,1
Blaize (TANK),20.63523394,11.41581871,37.56226665,1,57.891,46.479,69.97,1,0.469,0.179,0.804,1,15.58018633,13.06582444,18.57840714,1,0.329,0.198,0.473,1
Bon Accord (WTP),17.37443721,11.00115206,29.84448304,1,58.582,48.862,68.801,1,0.358,0.109,0.607,1,12.45347873,10.91349394,14.2962891,1,0.154,0.059,0.246,1
Brandon Hall (WTP),30.72264485,19.3559526,49.84907796,1,59.459,43.297,78.747,1,0.215,-0.102,0.556,1,13.92937612,11.47304074,16.76008221,1,0.299,0.138,0.445,1
Chemin II,14.850002,9.506730296,23.59417831,1,45.869,37.578,53.871,1,0.146,-0.177,0.499,1,11.34752888,8.85515699,14.76116876,1,0.125,-0.067,0.338,1
Clozier (Tank),16.2484903,9.573510868,26.31133934,1,52.834,43.928,62.104,1,0.33,0.043,0.653,1,12.46593844,10.6334001,14.70224201,1,0.184,0.064,0.298,1
Concord (WTP),20.55285786,12.7177671,31.97645977,1,95.74,84.429,109.155,1,0.212,-0.086,0.521,1,18.15598031,14.74641496,22.46593136,1,0.164,0.007,0.334,1
Dougaldston (WTP),18.21053003,10.70809503,30.05412732,1,66.643,55.383,77.837,1,0.326,0.031,0.611,1,12.85843479,10.46461954,16.26474692,1.01,0.224,0.083,0.393,1.01
Grand Etang (LAKE),21.32755716,13.00065837,33.21494748,1,55.77,43.809,68.043,1,0.243,-0.062,0.57,1,13.3297716,11.34752888,15.81565069,1,0.187,0.059,0.312,1.01
Guapo,18.78389775,10.4750894,32.45972208,1,51.173,41.14,62.072,1,0.4,0.076,0.754,1.01,12.65433697,10.43327273,15.33288702,1,0.344,0.197,0.495,1
Les Avocat (WTP),23.38278341,15.76827484,35.87354085,1,81.315,69.374,93.337,1,0.284,0.044,0.538,1,16.84409247,14.77593731,19.29797176,1,0.145,0.052,0.238,1
Mamma Cannes (WTP),29.57708778,19.4919196,45.51309105,1,89.19,69.373,107.91,1,0.176,-0.12,0.476,1,18.24698754,15.19551016,21.693225,1,0.169,0.035,0.299,1
Mardigras (WTP),27.82681155,17.56661104,41.72080812,1,77.438,59.845,93.69,1,0.219,-0.058,0.489,1,15.67394845,13.2103419,18.76512324,1,0.19,0.07,0.326,1
Mirabeau (WTP),22.33153935,13.95726275,36.96605281,1,82.401,70.822,94.16,1,0.357,0.065,0.628,1,20.16603997,17.322392,23.54703711,1,0.149,0.039,0.262,1
Mt Horne (WTP),28.76041608,16.36262875,49.30374295,1,62.969,46.887,81.92,1,0.326,-0.013,0.644,1,15.7210409,12.98766421,18.99166123,1,0.242,0.106,0.392,1
Mt Reuil (WTP),32.85158522,21.99906605,49.89895197,1,73.291,52.761,93.232,1,0.136,-0.189,0.483,1,22.02107612,17.60177941,28.10647565,1,0.164,-0.012,0.353,1
Mt.Plaisir (WTP),32.55724746,21.67154262,47.75099956,1,86.447,65.325,107.343,1,0.088,-0.239,0.421,1,16.10290998,13.81838566,18.61560114,1,0.183,0.074,0.304,1
Munich (WTP),17.74315841,10.72953265,29.04946307,1,58.491,47.74,68.321,1,0.243,-0.059,0.59,1,14.2962891,11.81063031,17.322392,1,0.107,-0.031,0.253,1
Peggy's Whim (WTP),43.03440878,25.43179086,70.38639559,1,79.865,54.136,107.361,1,0.312,-0.006,0.634,1,16.81043795,14.2534645,20.38909094,1,0.289,0.159,0.421,1
Petit Etang (WTP),32.68773725,21.28494467,48.86200008,1,89.908,69.47,111.552,1,0.239,0.007,0.468,1,22.30921898,17.49648494,28.07838322,1,0.244,0.084,0.44,1
Plaisance (WTP),16.8272568,9.914516537,29.16589362,1,56.152,47.14,66.483,1,0.276,-0.037,0.609,1,13.68089043,11.47304074,16.91160377,1,0.149,0.008,0.3,1
Point Saline (MBIA),18.89693992,14.850002,24.36140213,1,64.523,58.572,70.643,1,0.182,-0.003,0.374,1,15.16514951,13.03971891,17.42663878,1,0.139,0.023,0.245,1.01
Pomme Rose (WTP),15.01425375,9.365193521,23.28943909,1,81.1,71.769,89.948,1,0.176,-0.165,0.527,1,18.32012166,15.36358348,22.33153935,1,0.093,-0.048,0.255,1
Radix (WTP),18.4488124,10.85906266,32.45972208,1,59.574,50.553,70.914,1,0.449,0.162,0.718,1,10.74026755,8.602045295,13.18394762,1,0.303,0.159,0.471,1
Spring Garden (WTP),29.07852706,17.65466404,46.57202318,1,63.006,46.938,80.853,1,0.217,-0.097,0.567,1,17.11576554,14.76116876,20.00535525,1,0.118,0.01,0.227,1
Tufton Hall (WTP),38.70620798,27.03142289,57.85847833,1,95.025,67.231,119.808,1,0.15,-0.094,0.42,1,23.47650186,20.36871204,27.11263892,1,0.123,0.02,0.233,1
Vendome (WTP),31.62664622,21.24241733,48.91088652,1,99.615,78.645,120.33,1,0.178,-0.113,0.447,1,19.58962325,17.37443721,22.19795128,1,0.121,0.029,0.212,1
