station_id,gev_sigma,gev_sigma_5,gev_sigma_95,gev_sigma_rhat,gev_mu,gev_mu_5,gev_mu_95,gev_mu_rhat,gev_xi,gev_xi_5,gev_xi_95,gev_xi_rhat,gpd_sigma,gpd_sigma_5,gpd_sigma_95,gpd_sigma_rhat,gpd_xi,gpd_xi_5,gpd_xi_95,gpd_xi_rhat
Annandale (WTP),25.841972212111596,16.461099642932997,38.66752111516138,1.0,100.052,85.235,117.155,1.0,0.254,-0.026,0.522,1.0,22.2201603353993,19.20172271983316,25.945547112661313,1.0,0.126,0.019,0.243,1.0
Bacolet III,15.363583480175128,6.625991360511965,35.304131614713675,1.0,55.889,34.908,75.251,1.0,0.15,-0.241,0.53,1.0,11.917405755628515,8.04459148169769,19.10595372823165,1.0,0.07,-0.237,0.415,1.0
Blaize (TANK),28.38895042733599,14.168199763400095,56.26091124712785,1.0,84.198,54.795,111.8,1.0,0.358,0.026,0.688,1.0,32.0084522264643,24.38577571962232,41.058587084392734,1.01,0.223,0.039,0.429,1.0
Bon Accord (WTP),22.2201603353993,11.200965724660865,46.5254744397892,1.0,59.434,37.541,77.893,1.01,0.377,0.095,0.694,1.0,15.83147425491981,11.704811539980854,21.999066045941937,1.0,0.326,0.108,0.561,1.0
Brandon Hall (WTP),34.36367337943629,22.353882061424837,52.98453083967617,1.0,74.091,50.44,99.458,1.0,0.112,-0.205,0.438,1.0,18.338450943791482,14.339242363656155,23.35941231744626,1.0,0.287,0.074,0.474,1.0
Chemin II,15.13484952140889,8.406456150659968,28.47424515674107,1.0,61.942,47.002,74.664,1.0,0.119,-0.236,0.501,1.0,15.241165138597164,11.22339007298373,20.800977899475697,1.0,0.089,-0.161,0.345,1.0
Clozier (Tank),23.173282530744633,11.611546604814132,45.92455769380783,1.0,86.051,52.55,117.743,1.0,0.214,-0.14,0.588,1.0,19.845950871445588,14.61429267211566,28.303911198676378,1.0,0.288,0.063,0.546,1.0
Concord (WTP),20.55285786233811,12.717767099367087,31.976459773130532,1.0,95.74,84.429,109.155,1.0,0.212,-0.086,0.521,1.0,20.04540599364781,16.232249933762496,24.978113963861347,1.0,0.135,-0.02,0.311,1.0
Dougaldston (WTP),23.759916970957082,12.403764310880533,43.64112763006143,1.0,75.65,53.623,97.737,1.0,0.285,-0.029,0.622,1.0,15.8156506937641,11.905494306590022,21.031051742600535,1.01,0.236,0.044,0.436,1.0
Grand Etang (LAKE),21.649881911512058,12.037177674682406,38.90022365135375,1.0,88.452,61.879,109.126,1.0,0.155,-0.177,0.538,1.0,19.35595259854821,15.486985096339938,23.998708106421155,1.0,0.135,-0.031,0.322,1.01
Guapo,23.974721393670006,11.977142000568548,47.65559300394367,1.0,99.074,62.358,126.998,1.0,0.24,-0.123,0.573,1.0,28.303911198676378,21.073155936244657,37.637466359322,1.0,0.201,-0.035,0.414,1.0
Les Avocat (WTP),23.38278341336408,15.768274840993845,35.87354084706276,1.0,81.315,69.374,93.337,1.0,0.284,0.044,0.538,1.0,18.301810694366743,15.799842948260395,21.37025495991624,1.0,0.156,0.047,0.263,1.0
Mamma Cannes (WTP),29.57708777694624,19.49191959603112,45.51309105184846,1.0,89.19,69.373,107.91,1.0,0.176,-0.12,0.476,1.0,20.59400471119603,16.693175780331313,24.978113963861347,1.0,0.163,0.022,0.321,1.0
Mardigras (WTP),23.92681986837513,14.02722382027927,41.223150339823555,1.0,84.307,67.163,100.606,1.0,0.288,-0.007,0.61,1.0,18.06542697855405,14.43996919280288,22.2201603353993,1.0,0.206,0.061,0.372,1.0
Mirabeau (WTP),22.33153935257972,13.957262749606725,36.966052814822504,1.0,82.401,70.822,94.16,1.0,0.357,0.065,0.628,1.0,22.691717725431307,19.45297471470201,26.896603104746056,1.0,0.126,0.018,0.241,1.0
Mt Horne (WTP),37.18851585343858,22.353882061424837,59.79966147575435,1.0,81.246,53.041,111.8,1.01,0.197,-0.099,0.529,1.0,21.413038238853925,16.860944986089034,26.869719945461217,1.0,0.211,0.046,0.382,1.0
Mt Reuil (WTP),19.10595372823165,11.22339007298373,32.91735413470524,1.0,104.198,90.144,117.713,1.0,0.244,-0.092,0.583,1.0,26.869719945461217,20.59400471119603,35.23359391269882,1.0,0.107,-0.114,0.31,1.0
Mt.Plaisir (WTP),33.1485839738976,22.82827730083162,47.79877444773513,1.0,92.325,69.326,116.397,1.0,0.043,-0.252,0.366,1.0,18.915846312255038,15.863168887497347,22.533430353494648,1.0,0.167,0.041,0.309,1.0
Munich (WTP),15.894926972771591,8.036550911171304,32.072533190520964,1.0,96.416,72.937,113.561,1.0,0.189,-0.149,0.56,1.0,21.78017168142178,16.362628753157214,29.429571436238863,1.0,0.096,-0.12,0.32,1.0
Peggy's Whim (WTP),40.9765519726807,23.011635976027165,73.33221444502404,1.0,100.518,68.536,133.825,1.0,0.307,-0.035,0.675,1.0,20.186216095987415,16.643171297218345,24.853535100739037,1.0,0.283,0.144,0.44,1.0
Petit Etang (WTP),32.6877372524517,21.284944674394637,48.86200008450163,1.0,89.908,69.47,111.552,1.0,0.239,0.007,0.468,1.0,25.919614533999034,20.14588400932613,33.515231260668365,1.0,0.225,0.034,0.42,1.0
Plaisance (WTP),17.270502699737417,8.980001056819368,35.163197145106615,1.0,91.171,65.754,113.341,1.0,0.186,-0.157,0.541,1.0,20.125748194902,15.302251891207792,27.798998642669666,1.0,0.162,-0.063,0.404,1.0
Point Saline (MBIA),18.89693992071409,14.850002001056811,24.36140213272728,1.0,64.523,58.572,70.643,1.0,0.182,-0.003,0.374,1.0,16.626536444733606,14.296289098677603,19.086857324296748,1.0,0.109,0.003,0.221,1.01
Pomme Rose (WTP),15.942683352442135,9.89470731958406,25.584840292351714,1.0,81.76,72.613,92.447,1.0,0.158,-0.159,0.534,1.0,23.196467403779828,18.840334052209098,28.789190879242675,1.0,0.028,-0.155,0.204,1.0
Radix (WTP),28.36057566665356,13.210341898587169,58.73289724970381,1.0,83.663,49.12,117.159,1.0,0.362,0.052,0.678,1.0,16.84409246876598,12.025146513590867,23.547037114509564,1.0,0.362,0.143,0.603,1.0
Spring Garden (WTP),27.522393984568446,16.362628753157214,44.12383002995213,1.0,96.087,69.808,121.959,1.0,0.114,-0.206,0.473,1.0,24.264151155818123,19.96538451931715,29.488489477513262,1.0,0.059,-0.076,0.196,1.0
Tufton Hall (WTP),23.759916970957082,13.558314833854409,39.725766206394184,1.0,111.821,95.905,128.246,1.01,0.313,-0.017,0.588,1.0,28.303911198676378,24.14313319705658,32.459722075863795,1.0,0.069,-0.038,0.173,1.0
Vendome (WTP),31.626646217461857,21.24241732656946,48.91088652373189,1.0,99.615,78.645,120.33,1.0,0.178,-0.113,0.447,1.0,22.96565869668021,19.925493654440345,26.60236176489059,1.0,0.101,0.001,0.21,1.0
