station,n_annual_max,n_observed,n_imputed,prop_imputed,pct_imputed
Bacolet III,12,1,11,0.9166666666666666,91.66666666666666
Clozier (Tank),12,3,9,0.75,75.0
Guapo,12,4,8,0.6666666666666666,66.66666666666666
Bon Accord (WTP),12,4,8,0.6666666666666666,66.66666666666666
Plaisance (WTP),12,4,8,0.6666666666666666,66.66666666666666
Radix (WTP),12,4,8,0.6666666666666666,66.66666666666666
Munich (WTP),12,4,8,0.6666666666666666,66.66666666666666
Grand Etang (LAKE),12,5,7,0.5833333333333334,58.333333333333336
Chemin II,12,5,7,0.5833333333333334,58.333333333333336
Dougaldston (WTP),12,6,6,0.5,50.0
Blaize (TANK),12,6,6,0.5,50.0
Spring Garden (WTP),12,7,5,0.4166666666666667,41.66666666666667
Mt Horne (WTP),12,8,4,0.3333333333333333,33.33333333333333
Mt Reuil (WTP),12,9,3,0.25,25.0
Brandon Hall (WTP),12,9,3,0.25,25.0
Peggy's Whim (WTP),12,10,2,0.16666666666666666,16.666666666666664
Mardigras (WTP),12,10,2,0.16666666666666666,16.666666666666664
Tufton Hall (WTP),12,11,1,0.08333333333333333,8.333333333333332
Mt.Plaisir (WTP),12,11,1,0.08333333333333333,8.333333333333332
Pomme Rose (WTP),12,11,1,0.08333333333333333,8.333333333333332
Annandale (WTP),14,13,1,0.07142857142857142,7.142857142857142
Concord (WTP),12,12,0,0.0,0.0
Les Avocat (WTP),17,17,0,0.0,0.0
Mirabeau (WTP),15,15,0,0.0,0.0
Mamma Cannes (WTP),12,12,0,0.0,0.0
Petit Etang (WTP),12,12,0,0.0,0.0
Point Saline (MBIA),41,41,0,0.0,0.0
Vendome (WTP),12,12,0,0.0,0.0
