station,dist,TR_2_mean,TR_2_std,TR_5_mean,TR_5_std,TR_10_mean,TR_10_std,TR_25_mean,TR_25_std,TR_50_mean,TR_50_std,TR_75_mean,TR_75_std,TR_100_mean,TR_100_std
Annandale (WTP),GEV,110.22750507508695,9.298165641626836,148.6363963633365,15.810103343925785,181.68012630257584,25.377104419143784,235.8766879112318,50.410565497260706,288.5140799903963,85.44422734892909,325.59618525250863,116.09883129713336,355.376745243243,144.16402755303915
Annandale (WTP),GPD,137.8812375582396,11.228695602063045,173.4548520802275,19.002055967713876,203.83500915741658,27.20540271221885,249.3111726624038,41.913583925276676,288.3219162564359,56.64689456320624,313.21699476867036,66.99427404613411,331.8903285940227,75.21415134740914
Bacolet III,GEV,62.31280759333449,11.622913557318297,85.01186909679063,19.49596192652169,103.2760315449086,29.86781398688816,131.81928467708877,52.009903439169264,158.5609874115971,79.06456649881456,177.04471662164016,101.1922019393779,191.7396896922777,120.70052455370963
Bacolet III,GPD,63.82213561020546,13.569843879741455,80.18799137584871,24.639619779657828,94.4867534381872,37.73417254958884,116.92149834436184,65.11310838045756,137.53973700955467,97.97435711349493,151.5199917520989,124.56674494634827,162.48495564778338,147.88357146370404
Blaize (TANK),GEV,96.05475936837095,15.750728326503708,144.0292246977119,26.241437386641895,189.12114996789361,41.58771804894577,269.94883047673824,81.1311178510371,355.70352078358957,138.6075744824348,419.92766452271246,190.73256688354937,473.5847616055374,239.58364293158579
Blaize (TANK),GPD,192.28186931127365,32.34787028756457,271.9349897256911,64.29678197922887,349.29143859674656,104.03843773862442,482.11615057365844,189.22681285881097,613.2728496918098,291.53591323307546,705.7156113502365,373.29824139830095,779.6938445560478,444.0374433125491
Bon Accord (WTP),GEV,68.78156523593204,10.268880340724902,95.59987146267427,16.465989041123777,116.90514509315699,25.771081470154087,149.7700422171096,47.56367911860519,180.17593375800303,75.5961555625232,201.0246022230398,99.10229572074266,217.5221890878951,120.1347254686889
Bon Accord (WTP),GPD,108.48929437867184,22.758433801839697,139.2659669753647,41.52780299795109,166.9324878193301,63.24636859031308,211.1370234284532,106.95271423575383,252.071357621449,156.79856172909578,279.79412195253457,195.42723502432477,301.45901765706907,228.24793009638694
Brandon Hall (WTP),GEV,87.26613460237427,13.98099456873877,131.95318228088672,19.30500481474733,165.88718053300926,28.060592620617324,215.76434339281346,51.12598122429645,259.57934559789487,81.27460246259848,288.50320660555354,106.01548703138873,310.8168496836737,127.66934934981248
Brandon Hall (WTP),GPD,130.7842368974869,17.19310325623802,183.2576246513233,34.99862326156313,234.79359466946582,57.1937014380952,324.13123856543365,104.48685204729138,412.9998686164755,160.60555922063048,475.8745083979637,204.92954802653804,526.283116690854,242.92861451994528
