station,n_pot,n_observed,n_imputed,prop_imputed,pct_imputed
Bacolet III,129,18,111,0.8604651162790697,86.04651162790698
Bon Accord (WTP),343,77,266,0.7755102040816326,77.55102040816327
Clozier (Tank),256,78,178,0.6953125,69.53125
Radix (WTP),147,51,96,0.6530612244897959,65.3061224489796
Guapo,198,77,121,0.6111111111111112,61.111111111111114
Munich (WTP),170,67,103,0.6058823529411764,60.588235294117645
Plaisance (WTP),172,70,102,0.5930232558139535,59.30232558139535
Blaize (TANK),242,111,131,0.5413223140495868,54.132231404958674
Dougaldston (WTP),138,74,64,0.463768115942029,46.3768115942029
Chemin II,93,53,40,0.43010752688172044,43.01075268817204
Grand Etang (LAKE),272,184,88,0.3235294117647059,32.35294117647059
Spring Garden (WTP),313,216,97,0.30990415335463256,30.990415335463258
Mt Horne (WTP),188,132,56,0.2978723404255319,29.78723404255319
Brandon Hall (WTP),222,164,58,0.26126126126126126,26.126126126126124
Mardigras (WTP),217,171,46,0.2119815668202765,21.19815668202765
Pomme Rose (WTP),213,171,42,0.19718309859154928,19.718309859154928
Mt Reuil (WTP),107,87,20,0.18691588785046728,18.69158878504673
Annandale (WTP),402,354,48,0.11940298507462686,11.940298507462686
Mt.Plaisir (WTP),300,265,35,0.11666666666666667,11.666666666666666
Peggy's Whim (WTP),227,201,26,0.1145374449339207,11.45374449339207
Mamma Cannes (WTP),217,199,18,0.08294930875576037,8.294930875576037
Vendome (WTP),422,390,32,0.07582938388625593,7.5829383886255926
Tufton Hall (WTP),384,359,25,0.06510416666666667,6.510416666666667
Petit Etang (WTP),116,109,7,0.0603448275862069,6.0344827586206895
Les Avocat (WTP),384,365,19,0.049479166666666664,4.947916666666666
Concord (WTP),176,172,4,0.022727272727272728,2.272727272727273
Mirabeau (WTP),312,305,7,0.022435897435897436,2.2435897435897436
Point Saline (MBIA),347,347,0,0.0,0.0
