station,xi,xi_5,xi_95,mu,mu_5,mu_95,sigma,sigma_5,sigma_95,n_extremes,aic,dist
Annandale (WTP),-5.827052732669586,-9.68921107741496,1.1635129379780667,65.11243666865687,64.71562709648515,116.36056453562493,2.5752402179813902,0.125381996228504,33.807147598464205,14,178.59642531991756,genextreme
Bacolet III,0.4323848107513503,-7.255630242020445,1.8339711884006844,41.244808564799925,26.215309767839617,52.982608599070595,8.993036760244076,0.38142693959079876,15.498199110759414,12,93.8022227459845,genextreme
Blaize (TANK),-10.883359577278476,-9.751556066385273,1.1951961406862068,48.3017664676799,46.36930896283901,186.6482154191208,21.603565379926813,0.1961269334112646,117.37007189178836,12,128.1611356898897,genextreme
Bon Accord (WTP),-0.37185851268341713,-8.945625575769062,0.7725353188846658,54.77074412375117,45.95667903308252,63.535854391819164,8.78433918099968,0.1212001061165922,14.75105151506335,12,104.08265557697352,genextreme
Brandon Hall (WTP),-0.9493218084271804,-9.233402269463735,1.3151788232789312,55.40904947508672,40.64655573450542,108.17614383080706,20.804127186345426,0.0015725329307633837,56.777391519629106,12,131.43712466186466,genextreme
Chemin II,-0.04052175646482434,-9.607344720837094,1.3210354805090645,47.36110180950568,32.975189545566344,67.92817511093898,12.92937374297805,0.31644733082581145,41.00194753991601,12,109.01861988680996,genextreme
Clozier (Tank),-6.771748076641877,-10.0915123231098,1.076185500373999,37.11516702851776,36.6834986909212,59.038543245517694,4.144492180740823,0.28110916918125073,20.003604413719657,12,133.99229726782718,genextreme
Concord (WTP),-5.05578162699864,-9.986197996918367,1.257591305170003,69.4630121565067,69.40481455146485,136.06754127272376,0.3186150206677141,0.00030552147355018757,50.991968160837615,12,140.065312693694,genextreme
Dougaldston (WTP),-6.693913107889717,-8.91071226437979,0.03324811905787235,37.88155434410089,36.96199867215528,63.85081026637458,6.38173971697622,0.048916363173393075,22.8107451430764,12,141.72482325635193,genextreme
Grand Etang (LAKE),-7.780788049615591,-9.966147573199212,1.2701657567413112,33.53634396524333,32.793204542997685,107.6316105887982,7.377281903642238,0.3238208823100929,62.55589452892463,12,143.95505283491116,genextreme
Guapo,-0.9332892638784533,-9.549816615291583,-0.2950095576483647,47.14176013515238,36.05877053736771,59.36097508539682,15.562132140836866,0.6656431005678336,27.840291102857027,12,124.92784641865555,genextreme
Les Avocat (WTP),0.018256087395486356,-6.721561081940243,6.772701375938767,77.67033159950873,33.56385216922638,174.80543862738028,44.80121931126399,3.659041566196816,62.686167961731584,21,232.07577391846257,genextreme
Mamma Cannes (WTP),-6.438644175653453,-9.005508861699653,1.2969093095753603,50.102382675407554,49.37432132418835,151.3167765435197,5.633924338619625,0.14325651748621318,72.37232253279043,12,151.68348242373693,genextreme
Mardigras (WTP),-5.7304188161007845,-10.605304334946934,1.0896165894453231,45.01347995582772,44.273820728135725,101.38372686938142,4.986245223944509,0.13237902230284568,42.095093697759864,12,150.55552287735793,genextreme
Mirabeau (WTP),-0.43125901657030175,-9.408803609549828,1.091608356394191,87.65831151612788,65.15984070810549,108.6421842128334,24.732411523991928,0.30600187094557435,36.1490656836555,18,188.68564647887817,genextreme
Mt Horne (WTP),-6.237596293680445,-10.28479249060046,1.2880562095520318,45.36431398872642,44.554290123707794,119.90503649098699,6.239009660049641,0.25785264008805503,55.64239852161555,12,149.6527053370836,genextreme
Mt Reuil (WTP),-5.878730594319119,-9.348870449239323,1.3323329974849103,48.41752651178268,47.949242203019985,141.34088459242778,3.4142992908157375,0.13958022097730335,63.01377744746234,12,153.99348364397363,genextreme
Mt.Plaisir (WTP),0.41618898469259535,-8.670763360175055,1.6801343022480093,100.75933423536735,39.227463385836906,156.75800333906207,44.870324751913884,8.61824960134971e-06,114.36659073615633,12,132.76860388666492,genextreme
Munich (WTP),-1.112122462814432,-9.379135715278371,-0.25454794668148245,50.863041575972424,45.969191207072,57.92927388019284,7.643190988291673,0.45538002409421563,18.219671018524274,12,109.73651640889798,genextreme
Peggy's Whim (WTP),-9.50603562376137,-9.021195103161308,1.3385751004778814,45.49107238728962,44.79119272785329,220.88044281337366,9.896471204443287,1.4112678350089956,134.0207312455086,12,155.9004802407606,genextreme
Petit Etang (WTP),-5.604274509086373,-9.189477113670911,4.159385365584168,54.37771608973301,54.008081666077466,149.84947044403867,2.1168759193805937,0.014580355735781824,48.668574983872524,12,154.85124302720993,genextreme
Plaisance (WTP),-0.5027846527667453,-9.554431929050097,1.1604925032634719,47.59608012775862,36.046916603654594,53.8630009648049,12.26785205930355,0.06534353224868304,20.51252477122612,12,113.93244085145169,genextreme
Point Saline (MBIA),-0.1550477727656997,-6.206695747093606,0.042756961263763806,64.80438538860037,41.52752344508718,71.58556130454667,19.041495021562937,8.055499102307278,23.425246781196496,41,384.9550820873629,genextreme
Pomme Rose (WTP),-8.457033843141314,-9.898879063359967,3.1934361545013763,48.87330308879231,48.43137274700307,119.41673637851066,6.450224995319655,0.43617890817211474,54.915684415410155,12,138.52834137749235,genextreme
Radix (WTP),-1.0467706834581723,-9.444073790794658,1.1732085873767808,50.925065344619085,43.70218075285445,67.48744063645734,10.402951227026254,0.18242289641058254,23.030896651575684,12,116.3095826759324,genextreme
Spring Garden (WTP),-8.485379447385348,-10.340146165411507,1.441377085843766,40.77806569446476,39.80664224604243,135.93359889663282,11.965298103811868,0.18590491608133636,65.99365784857164,12,151.78363934956832,genextreme
Tufton Hall (WTP),-6.432678602303072,-8.581727439275573,1.1461837862801099,55.26091832883827,54.53703939883843,131.81129278706632,8.111106885278133,0.21815762253775134,46.73083729388275,12,161.0611505213613,genextreme
Vendome (WTP),-6.002398530739079,-9.511055235657764,1.1995571086273298,73.00769898183245,72.514676416747,139.92234761333387,3.0474362852527523,0.028679448473995617,45.67067808689406,12,151.48308955381435,genextreme
