station,distribution,threshold,xi,xi_5,xi_95,sigma,sigma_5,sigma_95
Annandale (WTP),genpareto,27,0.10942945555512293,-0.04417935930953832,0.22630504419074515,21.577401601754072,18.56779213336938,25.40918166247591
Bacolet III,genpareto,22,-0.030607953946992787,-0.2679111131747023,0.14939662357958008,8.0659055968705,5.988545523529812,11.176820703360473
Blaize (TANK),genpareto,23,0.3502916946346566,0.1707756101934392,0.5209380996933254,17.214743079694735,13.722706576901752,21.84499027005488
Bon Accord (WTP),genpareto,20,-0.013242766003395766,-0.17363210110478106,0.10689703393034715,13.955636384155408,11.540561744914276,17.267986764387576
Brandon Hall (WTP),genpareto,24,0.33413065257473173,0.16042397479140716,0.4932109133788532,14.55061763164839,11.524693793173615,18.398245606991637
Chemin II,genpareto,26,0.10426714470310618,-0.17832187370311528,0.34530531932209874,11.729427219498927,7.878812627204637,17.679642975979956
Clozier (Tank),genpareto,24,0.2614001209162955,0.08347170328428422,0.42782774639681714,11.561837154618264,9.321852867002079,14.179768731203383
Concord (WTP),genpareto,39,0.10113108066019402,-0.09029829020016139,0.27535719173304396,20.327822603246844,15.749306539706401,26.498228790964735
Dougaldston (WTP),genpareto,32,0.19235249803000515,-0.11690979974682789,0.39796054387800883,12.632938854010836,10.011218075319158,16.48253346242052
Grand Etang (LAKE),genpareto,26,0.17318607774613515,0.02269856042210546,0.3125493170038775,15.185877353587003,12.27815273766252,18.690647630854397
Guapo,genpareto,26,0.4142257443523413,0.21340078672868468,0.5986068450544935,13.390540339398484,10.32178800641571,17.705609476262897
Les Avocat (WTP),genpareto,26,0.13337131804341043,-0.03966624244338879,0.26409402077229416,18.456895709480925,15.60420644475866,22.275151173633777
Mamma Cannes (WTP),genpareto,26,0.14411935700891695,-0.02170586497862067,0.28275779167092796,20.132204418903356,16.361814280002687,24.626338346040836
Mardigras (WTP),genpareto,26,0.22774543019072438,0.01903192904449562,0.3893707373102179,15.465293400654526,12.553556712177754,19.387449302996572
Mirabeau (WTP),genpareto,26,0.1018566380973837,-0.09492169568361752,0.2387086123779835,23.050416280886857,19.313858002711,28.08651986248235
Mt Horne (WTP),genpareto,26,0.2297256086353149,0.022033201726965528,0.40547451466221623,17.524226583146337,13.605646790971024,22.152958937595706
Mt Reuil (WTP),genpareto,36,0.06611644623025374,-0.20216651161336202,0.2493899771339064,25.54365118611896,18.594816293035816,35.05607144225841
Mt.Plaisir (WTP),genpareto,26,0.16289119226899904,0.03531996474234855,0.27493462212613123,18.040640460614682,15.001462715204545,21.621440065541368
Munich (WTP),genpareto,26,0.09421922257697815,-0.10859510143024939,0.25432898828527556,14.878340500764528,11.678367509628051,19.30319759923637
Peggy's Whim (WTP),genpareto,26,0.304205022978946,0.10454150028611646,0.45255806799839676,18.359582355483283,15.124425109393501,22.413746662491395
Petit Etang (WTP),genpareto,40,-0.008077721212120973,-0.23722026144286423,0.16877189673251886,30.13100935341482,22.655002454713223,40.721805019158815
Plaisance (WTP),genpareto,26,0.20903843236936526,0.002509679533348617,0.3827677254354302,12.837266084968006,9.8666721404683,16.60278640523838
Point Saline (MBIA),genpareto,26,0.09020296758521984,-0.040449333437056034,0.19891831420862588,16.812167391463632,14.466865498244765,19.53767555191181
Pomme Rose (WTP),genpareto,26,-0.020538657074225693,-0.16668547597520122,0.11361393040826291,22.552007851248568,17.704880500493488,29.01137127663464
Radix (WTP),genpareto,30,0.23208998551297555,-0.017503168114520122,0.45670680419021376,10.774007745933876,7.995799127722771,14.10217185379383
Spring Garden (WTP),genpareto,26,0.0934976122341743,-0.03850418239585602,0.2011267337477515,19.5603163466141,16.529724488135486,22.986526523026786
Tufton Hall (WTP),genpareto,24,0.06098989338584557,-0.11435657402467578,0.17740460917227047,27.534981405120885,23.480457643430903,33.28053006275754
Vendome (WTP),genpareto,24,0.08783128347666702,-0.06173811930797856,0.1942964041958707,22.378195225861838,19.447170328750186,26.51903357471481
