model,month,LPPD,rel_diff
modelE,August,-2275.467801840573,20.227277489779482
modelEElev,August,-2266.7749599488907,20.532028742901797
modelE,December,-4204.46404319147,21.968242062716726
modelEElev,December,-4202.414450105215,22.00628100179044
modelE,May,-1386.7493794027114,30.286499292383283
modelEElev,May,-1386.4344821501998,30.302329542724003
modelE,June,-1439.9188889794582,24.295566441161597
modelEElev,June,-1422.3412779719451,25.219717860263057
modelE,July,-1906.5660053268193,26.970707801001726
modelEElev,July,-1891.8528033731418,27.534283738921484
modelE,September,-1289.5293256490586,27.44052989337056
modelEElev,September,-1280.772539298269,27.93325833685163
modelE,October,-1773.8586014617458,21.694869897179547
modelEElev,October,-1769.3630058361102,21.893323257591135
modelE,January,-1067.095468109519,39.09912022530161
modelEElev,January,-972.0804528879273,44.52178220047871
modelE,February,-705.2913442370889,57.80950326023218
modelEElev,February,-685.1879378032644,59.01208813602129
modelE,March,-171.62907591993104,89.71805810046357
modelEElev,March,-136.34730776684498,91.83171563965689
modelE,November,-2698.4049787421836,30.23867651087595
modelEElev,November,-2663.299570696949,31.146249594291643
modelE,April,-1060.0309717567256,19.19052251171739
modelEElev,April,-1047.7453718010745,20.12709223420478
