z_20250401,z_20250402,z_20250403,z_20250404,z_20250405,z_20250406,z_20250407,z_20250408,z_20250409,z_20250410,z_20250411,z_20250412,z_20250413,z_20250414,z_20250415,z_20250416,z_20250417,z_20250418,z_20250419,z_20250420,z_20250421,z_20250422,z_20250423,z_20250424,z_20250425,z_20250426,z_20250427,z_20250428,z_20250429,z_20250430
-20.98764400986867,-21.161288672859886,-21.061443712890632,-22.67374080231764,-32.79446153238556,-21.011499712873132,-22.53948910667275,-48.47273097726543,-51.572392924382996,-21.5632035173913,-21.012188607270964,-21.200581058788913,-21.073145026264278,-21.38002254219501,-35.39921563242045,-21.09218058444266,-21.058311887706328,-20.99544702996265,-22.094675282141328,-23.55929832609519,-27.32891133548146,-48.34265637813071,-224.6930109162952,-97.16315702138728,-22.41426801499422,-28.00778371794879,-23.33265601046344,-22.081416495133553,-21.080291410043955,-21.04669893606259
-20.087947654764662,-20.27724614005091,-20.14293497589849,-21.931899472723604,-32.45699811546423,-20.105772914199314,-21.816971581009835,-47.7255359012339,-53.951908116389745,-20.699747189294136,-20.132359538535525,-20.331660018631503,-20.221912067589468,-20.57599086441062,-35.70173283012726,-20.286124733371416,-20.18170848792841,-20.097330608442775,-21.323238962960946,-23.023062954189125,-26.94699314302367,-50.95095866541139,-234.03335333191276,-101.54834863291198,-21.733138914684467,-27.6754306995585,-22.698700363963084,-21.284307408293323,-20.18174877277076,-20.131230824167357
-21.13376841297501,-21.298159855886357,-21.19927288518769,-22.89765708344308,-32.59988137291425,-21.154183178395435,-22.742604348602168,-48.132515420152444,-51.55533698876772,-21.667718087654528,-21.17096642077773,-21.33994177258964,-21.228274200078,-21.511405620117852,-34.30014117390119,-21.26291728518673,-21.217396292523137,-21.145184874049075,-22.219648690515868,-23.7993183783378,-27.507152614844276,-49.5790573188612,-225.03575209635895,-95.57494306944096,-22.504385043629863,-28.180018817802235,-23.518030389081147,-22.138134041545225,-21.223099714256165,-21.18615539778506
-20.019204820487193,-20.209372500985484,-20.07424692095473,-21.85527783056342,-32.452339268293926,-20.037587679016767,-21.7445195059246,-47.69287274643518,-54.27929657911881,-20.639570920717937,-20.06252392741925,-20.26612780399906,-20.154765936538652,-20.5147059213966,-35.900692125857546,-20.218271739050333,-20.111746261958874,-20.027781895078938,-21.263087654771567,-22.961446813634012,-26.90259468190706,-51.1072907373553,-234.20261837658992,-102.18792846247743,-21.686179363464696,-27.616196923691778,-22.63538160498014,-21.23466259433087,-20.11384336331644,-20.062643395546107
-19.849937041729646,-20.043191800506072,-19.902370975898634,-21.708509903965208,-32.42263987122226,-19.86762786709986,-21.603276238559452,-47.62692932440386,-54.79193239975747,-20.480159210532083,-19.895777543690084,-20.102536066752005,-19.992952661606804,-20.36300411491681,-36.036067170665156,-20.06284576225358,-19.945655062537362,-19.858435263004754,-21.117973362861648,-22.853421165786415,-26.831197937696224,-51.5961032542763,-236.12899991019543,-103.19830149934543,-21.559766505128465,-27.55024204614923,-22.51038541835566,-21.089827425661728,-19.945092717713102,-19.89118293237859
-20.6575152216331,-20.829199307097372,-20.716174400820837,-22.456063113532494,-32.342470553251324,-20.677248002524966,-22.31548809063715,-47.621645243999765,-53.009276732006626,-21.22117312666211,-20.698181096295038,-20.881361056046362,-20.77286083133852,-21.083852089628024,-34.739014781405075,-20.82041012754878,-20.7455840376516,-20.667497784016977,-21.80339685560784,-23.45548645540496,-27.257300297040054,-50.760866479387815,-227.61622799659085,-98.25125722820803,-22.147745639271566,-27.92098631794013,-23.146360620492203,-21.735489822385357,-20.748489553999576,-20.704403497981033
-20.10834481989124,-20.308180802422207,-20.177891989467824,-21.809030236000936,-33.00570875894514,-20.13218385441191,-21.716170711276597,-48.426655115461664,-53.85419351173725,-20.77532110661906,-20.131824647684564,-20.356356368438842,-20.223529784203944,-20.605029759536542,-37.657440859440634,-20.25262604751916,-20.18000432505426,-20.11123616348534,-21.34539744670846,-22.837740940491624,-26.852864012540877,-48.870712384473606,-231.8828895919517,-103.34298950087987,-21.802913838628477,-27.470604987809477,-22.594826466275734,-21.4412040671136,-20.206763148642157,-20.16359988755251
-21.556814411052912,-21.700289246344745,-21.636015472786003,-23.143276406905834,-32.45193193890036,-21.587856385922013,-22.98032596136764,-48.039368460912726,-52.15703717824163,-22.090774362838815,-21.57146897560986,-21.754340458630573,-21.621690909358147,-21.88110500016129,-34.57847642030548,-21.61068888194432,-21.6123931785355,-21.56145973691297,-22.558419554995524,-23.97228187362229,-27.63017287945263,-49.47138555875756,-215.45564758838646,-95.47722892434689,-22.833810322416383,-28.117119128678667,-23.748006655632697,-22.533573287404995,-21.649431758614252,-21.622411433444853
-21.43980701671322,-21.585063480845683,-21.518466304347992,-23.025913813934938,-32.43375006090007,-21.4711222726391,-22.866776388514673,-47.989422952657975,-52.497768974171635,-21.984374627983602,-21.454114253850918,-21.641585331873888,-21.507961999489314,-21.775323986446587,-34.786045282552635,-21.497740946129998,-21.494957141685774,-21.443580341083475,-22.45505612504093,-23.87504861606119,-27.55425186412318,-49.6390394659239,-215.9937122199635,-96.24587102578904,-22.746294765049463,-28.035658039957845,-23.646470899694478,-22.441173955965667,-21.533183047611608,-21.505031328521177
-20.819548255211405,-20.97784810948145,-20.891675227205603,-22.44872912962515,-32.40393591307509,-20.849304642251283,-22.311079708696383,-47.77728105320102,-54.07190377690318,-21.411560046619257,-20.838499603033892,-21.043123669509733,-20.910997850411164,-21.220770031382337,-35.67108012445443,-20.917191970633045,-20.880604162794118,-20.821348814530964,-21.91871826708333,-23.41660848466861,-27.210618852429484,-50.64716748014838,-220.9905283192998,-99.85614667496706,-22.286863007388224,-27.697804117844164,-23.147878297104402,-21.938162826108936,-20.915670658208768,-20.879265713923807
