z_20220803,z_20220804,z_20220805,z_20220806,z_20220807,z_20220808,z_20220809,z_20220810,z_20220811,z_20220812,z_20220813,z_20220814,z_20220815,z_20220816,z_20220817,z_20220818,z_20220819,z_20220820,z_20220821,z_20220822,z_20220823,z_20220824,z_20220825,z_20220826,z_20220827,z_20220828,z_20220829,z_20220830,z_20220831,z_20230801,z_20230802,z_20230803,z_20230804,z_20230805,z_20230806,z_20230807,z_20230808,z_20230809,z_20230810,z_20230811,z_20230813,z_20230814,z_20230815,z_20230816,z_20230817,z_20230818,z_20230819,z_20230820,z_20230821,z_20230822,z_20230823,z_20230824,z_20230825,z_20230826,z_20230827,z_20230828,z_20230829,z_20230830,z_20230831,z_20250801,z_20250802,z_20250803,z_20250804,z_20250805,z_20250806,z_20250807,z_20250808,z_20250809,z_20250810,z_20250811,z_20250812,z_20250813,z_20250814,z_20250815,z_20250816,z_20250817,z_20250818,z_20250819,z_20250820,z_20250821,z_20250822,z_20250823,z_20250824,z_20250825,z_20250826,z_20250827,z_20250828,z_20250829,z_20250830,z_20250831
-15.109745993327644,-16.703932566003022,-21.46164131309172,-27.681027170393094,-18.851057134334447,-19.29113832666166,-18.770566441302414,-13.546302631976314,-14.122457876264384,-18.423523919598537,-20.061085927766626,-17.40112596212592,-23.2922009252273,-13.57055663170423,-20.506265108310807,-21.3499581520542,-18.865671222763435,-89.68994943040538,-40.86411637777288,-47.21861586400038,-22.904519321602578,-27.188373041477583,-23.107106625847525,-23.72071493163279,-15.162181168122325,-14.491510327101256,-28.87075231169577,-30.293825675968463,-13.22896641759759,-13.180845885338131,-13.666595090042604,-23.750758344348853,-15.361281424122627,-16.26148797558764,-14.042063595213792,-15.14777003061496,-13.291123703015101,-78.11930472672823,-55.73085541111513,-13.688116633633523,-29.975704102563817,-23.630423603673158,-14.877312757019219,-25.210222719202484,-30.344254102943495,-32.34631257895243,-34.386251107600174,-22.50587754884984,-21.239248534781723,-13.198540912057283,-13.18595307488343,-13.18595307488343,-13.210885262712475,-14.10533916147369,-14.207084633697564,-15.415609244932735,-32.73833776607659,-39.880775010096066,-15.408434332503745,-19.093645736875466,-15.85798491640656,-16.096874208203673,-19.168143227221414,-15.218638321795282,-14.381637448115285,-17.252835407810185,-20.321644581971395,-15.351644106541016,-16.42573879729312,-16.06562339069858,-15.747902800418995,-15.825850308032091,-14.436792866490542,-81.60438437663242,-218.14397465016555,-22.036103995924478,-14.474393487735474,-14.363060442123093,-16.05481567788668,-14.624044318008128,-48.98077034986474,-15.160615572773512,-17.01917011857536,-21.827577048921384,-14.643298820782782,-15.604404161438373,-28.84383517230685,-29.238575015773772,-54.74338413714421,-21.742812157568306
-15.13776242310662,-16.780893062468678,-21.547297343326655,-27.674423579248177,-18.8448137551986,-19.269947286380948,-18.77442225578691,-13.54834522086993,-14.116820202156042,-18.422346457933934,-20.034135346398767,-17.369235002842082,-23.30681193815368,-13.565708906409261,-20.549466841164847,-21.332538318233794,-18.87918438466394,-90.46622009005912,-40.673799922442164,-47.29343427849305,-22.90325427708393,-27.376115001910463,-23.077949355053434,-23.723187930216035,-15.169220821220712,-14.479068263312524,-28.98791479873909,-30.026149420919523,-13.22675242462903,-13.17915514920231,-13.668242458724572,-23.709985005864684,-15.380536173063042,-16.321092780117812,-14.039843386222897,-15.146788192287138,-13.288246697644297,-78.11702966382369,-55.63828405041072,-13.69142861808854,-30.030745076865486,-23.795481874994234,-14.871763660786863,-25.14842936483616,-30.44054683701622,-32.27635078073455,-34.297269566969526,-22.5495947411023,-21.264812377778313,-13.196152030550248,-13.183576451587863,-13.183576451587863,-13.208466380194793,-14.104661376097608,-14.199885730126402,-15.408807870747719,-32.560341805725855,-39.82627139776461,-15.457563346281288,-19.081853495799848,-15.848985188384962,-16.091909929796984,-19.120219759042328,-15.239231160894775,-14.378218269906935,-17.248736636682256,-20.379432078334368,-15.373210101001009,-16.43255321571367,-16.068916510791617,-15.731490396040188,-15.815881169761303,-14.429218248778199,-81.16015962237734,-217.28230384199028,-21.997790453009003,-14.472076821599961,-14.35967116866201,-16.049826314075684,-14.620048683742263,-48.95873841757439,-15.152786000628744,-16.99440129553965,-21.820617181814068,-14.63536466293185,-15.611010867060248,-28.875312356255023,-29.10122927063617,-54.93159952485915,-21.656323643245376
-14.842361903353716,-16.498704473174783,-21.35508376537289,-27.809983055047386,-18.7046292202832,-19.074085271377488,-18.63177054613457,-13.231715132733951,-13.810844384557704,-18.28684360264186,-19.94200882687313,-17.257917772218928,-23.214848840628907,-13.25648873307376,-20.36577551836351,-21.17304792901686,-18.709016569361527,-92.96743955605722,-41.76191650724126,-47.06475553277377,-22.79998005237187,-27.215427338943122,-22.85992427649188,-23.81335738696005,-14.89559738865632,-14.245754186280458,-28.829250651240145,-30.07774649261352,-12.907875436509771,-12.86005135726509,-13.370321324388188,-23.603747775690678,-15.120993349533855,-16.046608711345886,-13.749663840404741,-14.855875429377294,-12.985722351861591,-79.37973540687388,-56.72522554069403,-13.390550950394656,-29.805661274991486,-23.69145903191441,-14.63458752182041,-25.136926919912042,-30.265964367894,-32.53507600514805,-35.38849140558328,-22.56404316499166,-21.04587305299505,-12.875771086770106,-12.862583508142139,-12.862583508142139,-12.888128698773203,-13.807026186052438,-13.901150152054138,-15.131048258251727,-33.019379199472155,-40.633017816272876,-15.164435272188342,-18.82550004792505,-15.545236532888184,-15.865698755110316,-18.90909437405601,-14.895607780941345,-14.032267544590491,-17.049861143173423,-20.162262054168906,-15.04394366986987,-16.110473123402446,-15.760920745241503,-15.499458737838017,-15.50922941664134,-14.076440872287828,-83.11348978159498,-220.72376644985863,-22.01380352116251,-14.116940319030592,-14.004603445955885,-15.7420641979815,-14.282690978240433,-50.090060419240416,-14.826386233486259,-16.808031060670423,-21.623591741351326,-14.284763975164244,-15.274666493688041,-28.736868632970342,-29.886122902178105,-56.42169722337297,-21.394721362372675
-15.039680005300172,-16.67155710465184,-21.497381741087302,-27.695987742335756,-18.793595792110903,-19.255346986740463,-18.714002079821483,-13.440470772931981,-14.021179740878646,-18.35200599119037,-20.00560650936686,-17.29356536068069,-23.309374377885092,-13.45986856573479,-20.507804327821464,-21.351709972495154,-18.825890583059063,-90.15832243909122,-40.749798432249975,-47.74019572091699,-22.901632451667158,-27.348568664459712,-23.153489506267896,-23.67831549535186,-15.077642514440727,-14.37300639330355,-29.044613994897006,-30.32476816830751,-13.115127734008066,-13.066207449265129,-13.557193172251297,-23.76989554340588,-15.280492200640694,-16.21383397533472,-13.935667845300403,-15.064559211577627,-13.173944499224948,-78.64413341739017,-55.93373824152938,-13.581055175743721,-30.160950208961278,-23.700645783313753,-14.773459649293113,-25.21509178649196,-30.528916835431477,-32.386961458133776,-34.16260704573438,-22.465568082633006,-21.26239870080637,-13.084116410869573,-13.071336140722003,-13.071336140722003,-13.096665692848251,-14.002347112290753,-14.104552608302011,-15.330452731419127,-32.68196196143252,-39.865116227478595,-15.348228659691271,-19.037856311218647,-15.75286846563108,-15.973895069208247,-19.089326797563103,-15.120981267095903,-14.260862413731036,-17.14059827137351,-20.29814424523607,-15.254681661284847,-16.34345620170882,-15.969971685841415,-15.615329939543404,-15.719737087833613,-14.316454837342791,-81.91524532947773,-220.55461745363812,-21.93225376059649,-14.357481751154335,-14.243492161423438,-15.957278856609761,-14.505346482926006,-49.02042811450093,-15.048887203944197,-16.89310735193464,-21.807521805363788,-14.526878657141667,-15.508837332808298,-28.953884882180937,-28.981871763296287,-54.868565763553974,-21.721755791276333
-15.407023547478733,-17.062636319402365,-21.660682234823796,-27.6166777135812,-19.020478201474976,-19.325610528206127,-18.961404271964376,-13.858344130711453,-14.395633011019823,-18.635335232554745,-20.155280341515653,-17.612892068017466,-23.279636257836913,-13.873862842613931,-20.657646322289335,-21.311521981229504,-19.043599773078217,-91.08215846654586,-40.68843064758199,-45.98151268911913,-22.908608710529663,-27.363116827463728,-22.880814389280513,-23.899155048126737,-15.42825400081577,-14.800345658901426,-28.777528486712164,-29.3201443638155,-13.55081050529289,-13.507184010039854,-13.99100325165751,-23.58052095242459,-15.663105272233864,-16.598901916435054,-14.343165965477638,-15.382098064437972,-13.622764510928262,-76.52715431074712,-54.914073413686886,-14.008733862265302,-29.61535808700063,-24.010028441524582,-15.16325509300733,-25.01026772687284,-30.129460448500325,-31.999210930759794,-34.924349411871646,-22.792336581330936,-21.25617375252684,-13.521505963307584,-13.509483304382975,-13.509483304382975,-13.533061849669526,-14.399745731738061,-14.48009782416895,-15.636651858873037,-32.412206386122925,-39.7610692606504,-15.749998895841284,-19.21483288668029,-16.127888096338086,-16.454653078195985,-19.250432395725134,-15.567018217358333,-14.716499748727934,-17.569403021058626,-20.600172892292093,-15.70333049107313,-16.682769423084736,-16.351147155192113,-16.09058378644454,-16.097205499502277,-14.75482694077973,-79.36267542186422,-208.08102430535843,-22.21332444955345,-14.799668329196614,-14.692889626833747,-16.317329365565207,-14.952641819740467,-48.84805376878377,-15.455083430588882,-17.315914457755994,-21.87350365857209,-14.948371634638361,-15.896665737183257,-28.61473193661027,-29.64072671216588,-55.40128891729022,-21.50643521905036
-14.377752406928945,-16.095992632242773,-21.180951953996104,-28.018386201837664,-18.454747360753494,-18.815171777534253,-18.376896612781966,-12.688602249662134,-13.292880771714806,-18.017476820868207,-19.7617216427447,-16.961509613680526,-23.160173428449255,-12.716070555799217,-20.15825113816137,-21.019683776340848,-18.44865952194549,-96.33538026114219,-42.88422656017008,-47.82150294939031,-22.705177405162782,-27.26400374798027,-22.740944741350418,-23.847780025052856,-14.439342454613751,-13.777910646491978,-28.946537931191045,-30.370253918264254,-12.34883893714264,-12.298831985818694,-12.840614171668896,-23.563766659699873,-14.680880561729392,-15.632771918019214,-13.237525148903664,-14.387886198934105,-12.438155592239871,-81.90959291882362,-58.41905196540857,-12.861909674088448,-29.909853815172287,-23.640193975149614,-14.187180599228485,-25.18585848976451,-30.40586618570139,-32.9732441782791,-36.22452170191849,-22.499720563644097,-20.851838105419887,-12.31408334318694,-12.299864452333328,-12.299864452333328,-12.32694717617264,-13.292929417697113,-13.3894984799773,-14.677293671722554,-33.54531158954993,-41.577878824295766,-14.710266517363259,-18.45738830782821,-15.026581210541838,-15.393439063100068,-18.56483908152873,-14.331324612930413,-13.432492316673912,-16.63248930142261,-19.860435596848642,-14.495008238610636,-15.606743245069765,-15.248959311161965,-15.009657520234322,-14.985981253504956,-13.473021996507674,-86.18265273356877,-229.84665248987994,-21.87758353952008,-13.514755262675086,-13.397743906402143,-15.2306217476302,-13.697183224784126,-51.495667399309596,-14.268731420918744,-16.385953370619067,-21.38989088645944,-13.691528434430513,-14.72956394227386,-28.80708278913425,-30.357108898828976,-58.21041279574243,-21.130434905110523
-14.724206444068631,-16.41362248378542,-21.317684124430073,-27.868743090148428,-18.6588349303262,-18.969589821564696,-18.58451998191803,-13.09261774266777,-13.671384338091816,-18.235881473114887,-19.901179412275695,-17.206515526637325,-23.16494752384198,-13.117944051891486,-20.301829000488844,-21.098873869262924,-18.649444567474738,-94.67021043453616,-42.300715994385385,-46.90018167218114,-22.746828886889368,-27.22936410981594,-22.720571868326147,-23.897820156977307,-14.77564566889572,-14.14644743087956,-28.790214345257585,-29.930525247771392,-12.767176881434695,-12.719917498384461,-13.242254824987906,-23.534008807650554,-15.020511063465488,-15.955278399309135,-13.621790649588446,-14.722281446197144,-12.854604327398672,-79.87166026149984,-57.21463493162452,-13.260590674996324,-29.69393015447033,-23.753950355914718,-14.533607480220011,-25.103449105162685,-30.209154222753316,-32.60885989683053,-36.01242449435409,-22.619843367359092,-20.946596711798275,-12.734442155569475,-12.72096665448097,-12.72096665448097,-12.746705571289114,-13.67561114256344,-13.765750176456722,-15.000937917052571,-33.237216799078126,-41.009520873566885,-15.059326289692429,-18.69793335970584,-15.40171229257893,-15.785581437795875,-18.7941850818168,-14.751487527286129,-13.87605299572172,-16.970489761895507,-20.100396366296742,-14.908386430339629,-15.966140914232977,-15.623768079664346,-15.40996080493578,-15.365597410243561,-13.913435652081974,-83.85758635408068,-221.26619883056674,-22.02363123893051,-13.955246768987639,-13.842901712897035,-15.600061858925098,-14.132004652677194,-50.69736283728061,-14.676076575817552,-16.728519010229522,-21.52583477726997,-14.121392780459088,-15.123133957009848,-28.656516694349715,-30.318973746579353,-57.46759689795185,-21.200905095330082
-14.93631731203261,-16.72191022601119,-21.5638349215568,-27.7735164238073,-18.713583689081606,-19.013384309489986,-18.659244319506804,-13.27026149559924,-13.826281872475649,-18.318099797635128,-19.90241681746658,-17.216110914159998,-23.219932612285575,-13.278625421048279,-20.488082278045404,-21.108569274193567,-18.759210572412044,-95.30310801883306,-41.42411872154971,-47.06406836250083,-22.79132650678222,-27.637085978129022,-22.748824481440426,-23.88011379779404,-14.936818534403432,-14.260468282621305,-29.080333173919584,-29.34112378663498,-12.939105699152396,-12.893552626336735,-13.413883689086802,-23.485176043196482,-15.198452653856709,-16.215454646021186,-13.780716037820303,-14.872424429962072,-13.018725612654906,-79.15619625572592,-56.48910457156386,-13.434835793365151,-29.822370271758658,-24.120062835513018,-14.653473478417167,-24.96348528504109,-30.408464659681925,-32.34441584501904,-35.48061851108217,-22.728445828887075,-21.08222811910364,-12.906762331445302,-12.893770659279301,-12.893770659279301,-12.918981103871031,-13.83706158299319,-13.91368270406588,-15.133180907797142,-32.632686838406805,-40.564525972702484,-15.318271016463434,-18.80282651367674,-15.553570906136802,-15.90832389273955,-18.817102468018046,-14.983961945132279,-14.0625827864179,-17.087521215257425,-20.338465406288428,-15.133629708387424,-16.145253028926554,-15.796915705067798,-15.508453745068653,-15.517216976310806,-14.094316151248467,-81.86398483353429,-216.95582528155646,-21.952231072568424,-14.146819284724543,-14.033324322898887,-15.753760408319506,-14.311835977056626,-50.07347235483745,-14.840747767303036,-16.80468295120237,-21.62165260424266,-14.299228277574898,-15.315826304729022,-28.734479624952904,-29.74909181182413,-57.340033759303495,-21.148354780031546
-14.816978908035384,-16.560918805157122,-21.468505897423512,-27.811545449154625,-18.64513054136311,-19.015352009991943,-18.584744044197286,-13.15044625695441,-13.724319938883289,-18.231970485148953,-19.865904914923718,-17.13881042109719,-23.239336639570496,-13.163735952634298,-20.41735613447033,-21.135555230846634,-18.687013108973424,-94.37908771335704,-41.46649606913491,-47.544195986524,-22.795494974957826,-27.537130942203746,-22.856775622993986,-23.78539176340646,-14.836246093398284,-14.140189771381069,-29.0931206372398,-29.793535235238707,-12.815725058917359,-12.767984279992387,-13.287239598721484,-23.56319443868819,-15.07718167215332,-16.073536540235633,-13.664634915891723,-14.787294802189923,-12.890448253611119,-79.8207580086382,-56.79824669866501,-13.31051211086622,-29.98549424549169,-23.922812067911334,-14.544999122205882,-25.061412064420622,-30.49371527205103,-32.50040597760875,-35.1673400361167,-22.592031123486553,-21.083576837539837,-12.782919023144329,-12.769662788517225,-12.769662788517225,-12.795462886032665,-13.724870652957971,-13.811560604731536,-15.054585622553297,-32.755641657926645,-40.598436360634025,-15.173177236061031,-18.766251871282844,-15.454612593412381,-15.762158966735843,-18.79353592430152,-14.84420923605499,-13.935131442944492,-16.96107401091212,-20.209950143729333,-14.993008394028639,-16.05063385493037,-15.688865500880159,-15.37357267362753,-15.41652560636489,-13.975038264532712,-82.82464020868015,-221.48148445274077,-21.890718939817205,-14.023822968370897,-13.908463121469682,-15.658367097105721,-14.185912496430669,-50.097325933034206,-14.730758122287266,-16.68693354095457,-21.602575851369842,-14.185807487461469,-15.206706535499691,-28.843050852041628,-29.547218334691422,-56.79198231749413,-21.278266764885643
-14.909918014796398,-16.623045004553028,-21.471042691305108,-27.77727220180998,-18.712324274054836,-19.068709905505287,-18.649699912710396,-13.273263054895557,-13.842084906851811,-18.30351124187478,-19.92233137226528,-17.23469215644475,-23.233608350138113,-13.289227692950144,-20.438963737790985,-21.162951749515774,-18.743269827447385,-93.62520385949183,-41.419676260499905,-47.16576283661264,-22.807583827242986,-27.438116981101405,-22.848539473411293,-23.809217394841205,-14.936383258493576,-14.262175473531059,-28.978133946360018,-29.75358235891067,-12.945213125224587,-12.898189828050468,-13.410591938900577,-23.56402281891325,-15.173896151024877,-16.146599689829312,-13.783954309053934,-14.888921660703181,-13.020630500763923,-79.20518520777581,-56.48949420169154,-13.432068732646599,-29.875056449468016,-23.888488573695668,-14.656589383751983,-25.06098171700085,-30.375150218103567,-32.42416719833204,-35.20236429101915,-22.619505377900133,-21.094470125754007,-12.913082022664042,-12.900035902207781,-12.900035902207781,-12.92542272247035,-13.842707906871222,-13.929657820328966,-15.15589197830107,-32.75462327436301,-40.48285125744663,-15.257787572979918,-18.84155087118445,-15.57319785079183,-15.889498790151706,-18.88173515749196,-14.962864130054072,-14.072366009975761,-17.0719094314666,-20.256950743434192,-15.110125845029518,-16.155901013752032,-15.801963485925231,-15.508639644685445,-15.536691008243437,-14.11243426017551,-82.3323928363032,-219.08841003040118,-21.96433916236547,-14.158975948906848,-14.045695824425598,-15.773107827039844,-14.320731725791816,-49.910524339903596,-14.858412259629235,-16.808124057166822,-21.64055525080962,-14.31981545393271,-15.323107867500426,-28.772107499698908,-29.650766298843234,-56.53168745080408,-21.323775111707178
