z_20221201,z_20221203,z_20221204,z_20221205,z_20221206,z_20221207,z_20221208,z_20221209,z_20221210,z_20221211,z_20221212,z_20221213,z_20221214,z_20221215,z_20221216,z_20221217,z_20221218,z_20221219,z_20221220,z_20221221,z_20221222,z_20221223,z_20221224,z_20221225,z_20221226,z_20221227,z_20221228,z_20221229,z_20221230,z_20221231,z_20231201,z_20231202,z_20231203,z_20231204,z_20231205,z_20231206,z_20231207,z_20231208,z_20231209,z_20231210,z_20231211,z_20231212,z_20231213,z_20231214,z_20231215,z_20231216,z_20231217,z_20231218,z_20231219,z_20231220,z_20231221,z_20231222,z_20231223,z_20231224,z_20231225,z_20231226,z_20231227,z_20231228,z_20231229,z_20231230,z_20231231,z_20241201,z_20241202,z_20241203,z_20241204,z_20241205,z_20241206,z_20241207,z_20241208,z_20241209,z_20241210,z_20241211,z_20241212,z_20241213,z_20241214,z_20241215,z_20241216,z_20241217,z_20241218,z_20241219,z_20241220,z_20241221,z_20241222,z_20241223,z_20241224,z_20241225,z_20241226,z_20241227,z_20241228,z_20241229,z_20241230,z_20251201,z_20251202,z_20251203,z_20251204,z_20251205,z_20251206,z_20251207,z_20251208,z_20251209,z_20251210,z_20251211,z_20251212,z_20251213,z_20251214,z_20251215,z_20251216,z_20251217,z_20251218,z_20251219,z_20251220,z_20251221,z_20251222,z_20251223,z_20251224,z_20251225,z_20251226,z_20251227,z_20251228,z_20251229,z_20251230,z_20251231
-21.986637767528464,-22.936214521468937,-21.370357976479017,-26.84987659766999,-18.99288718520315,-19.26975629803877,-19.50548776708835,-19.246279101894945,-19.065546449951526,-18.944561753870264,-18.92635549448784,-19.892775028056125,-36.76271154891268,-20.581562016862307,-19.97349601282435,-19.038288855280438,-19.223145410472853,-18.93723023274389,-19.530061385183384,-20.833149575781693,-21.816565662102555,-65.02073269466456,-19.355067005017567,-21.202503725783025,-20.00464948830566,-21.502554362819406,-19.10961048417209,-46.69669831095936,-26.09167264738476,-20.17290279599795,-19.283593677712382,-19.787423197842323,-19.77614762491173,-21.65597181864627,-21.96199077837132,-22.508908998187366,-49.005780436985006,-85.39687243354527,-39.259615721328345,-22.718564670297834,-31.014948657669038,-19.9070680806535,-20.452908585194844,-19.8026781079395,-21.925693619516796,-22.6537138223536,-28.25821267592427,-43.61199951881234,-279.89734122078545,-135.55565203598584,-36.240865132598636,-25.792562045963585,-30.224133293680843,-28.90511756293475,-20.209017650680543,-20.219545832034363,-19.67711755334145,-20.63705928392118,-19.75607210304337,-41.401031815921755,-19.730972565441423,-33.33262692064627,-19.284898924236977,-60.46569673939079,-19.068571030541698,-19.005059924941026,-22.0703270059097,-25.63215113654536,-22.86591097358918,-20.146015445369216,-19.014425523557815,-22.96564241517914,-40.71815593825205,-28.30617461282373,-41.189636608180976,-83.09300337259143,-28.339028151008982,-28.483554666799925,-53.624574812419965,-148.4085806918617,-119.98574540739023,-51.99778110249116,-54.308822005061415,-19.452502020147115,-19.03625178028695,-18.90674352222806,-20.74562294359725,-19.298987675932963,-19.382743134118915,-18.89769535509919,-19.377856130687313,-23.074549824634666,-41.57309847302065,-109.56858866159361,-43.03502314051683,-45.234656167949424,-21.76922192835454,-23.31593104710149,-21.294217567562217,-30.987122147313713,-21.02427561767131,-21.682074898900204,-27.245401523210134,-35.11928124078039,-25.726984752634635,-22.193860201500073,-20.59597399733045,-22.595882839983663,-21.191887120110092,-22.0030546487548,-184.55208121794743,-22.353810849655765,-20.835451701086907,-20.743117332354732,-21.184115045501446,-20.63368830690946,-21.49807697636075,-36.50764267630729,-54.52409994601551,-88.37082271905444,-24.94985620503383,-38.695676484013816
-21.748790157182356,-22.725197250395382,-21.12004774898164,-26.76341766138988,-18.63992471423657,-18.93401187218824,-19.183294029668545,-18.90840668729051,-18.71773477578591,-18.58730228639405,-18.567839289029585,-19.577514585759474,-36.93634308319008,-20.244690290476242,-19.653345708839336,-18.695375309563392,-18.879372848777177,-18.581459835326896,-19.22008380835942,-20.556313811247406,-21.580112328065923,-66.76039020935416,-19.023975610266458,-20.92987568646446,-19.715408427641975,-21.27822282031735,-18.776653876799347,-46.68879772390243,-25.87825878470063,-19.861541148745115,-18.955643531579277,-19.42624627723211,-19.418894555472033,-21.39212716475555,-21.69464560027981,-22.262110275384654,-48.70695787532003,-87.66861849140793,-39.50468277274574,-22.508399438626174,-31.132569588909163,-19.57004378431559,-20.099305952551155,-19.44160222921397,-21.60675232778269,-22.388455630426773,-28.144612659376687,-43.446869500841075,-285.38789932047194,-138.82832336839766,-36.6078181488346,-25.419152468578496,-30.21383791907393,-28.91281020268719,-19.86730808248614,-19.83853135621274,-19.30951986646867,-20.316184207680564,-19.40352684372133,-41.87214843895984,-19.366575663738757,-33.37037646304192,-18.970307205770165,-60.24484798663826,-18.730634672614396,-18.683869588375526,-21.903415980783194,-25.19426427125185,-22.619634505376197,-19.85428229296725,-18.671586258866462,-22.78232900811754,-41.20757158177905,-28.107253173492307,-41.61877776499023,-84.14287927201943,-28.137582451485088,-28.44611662556086,-53.957730821168,-149.8152893750326,-120.92094528782184,-52.489192810921416,-53.89233320386905,-19.13634465904847,-18.694806304035154,-18.562470638470867,-20.490494578988493,-18.98753530108526,-19.06095060750968,-18.549940328144082,-19.02218921862666,-22.790004690628393,-42.00166480091508,-110.46005194045483,-43.28046410603397,-45.01109423330146,-21.44749268913045,-23.07509119889272,-20.961860095547806,-31.057307623960064,-20.682934833746344,-21.357964318600995,-27.016688405565574,-34.9777713197442,-25.550294502082377,-21.81316824277491,-20.23906874368745,-22.306564736531012,-20.87491170092473,-21.708192383424887,-191.88544398286462,-22.058067923220985,-20.488980596568485,-20.38711457338431,-20.861288900662473,-20.27714397588081,-21.166175085140534,-36.51861328750945,-55.107173312070344,-89.12725972906595,-24.7967718312027,-38.493294206980664
-21.717836616600103,-22.69895290020517,-21.084722617807685,-26.74245467309887,-18.580964442187756,-18.877328464127476,-19.12827278339245,-18.85129660182327,-18.659281106831763,-18.527807823050246,-18.508142248620604,-19.52330840337333,-36.99478498634528,-20.196433960256726,-19.60206540258256,-18.636564000811433,-18.822959427162125,-18.522059551225475,-19.16613592206735,-20.50716196902364,-21.545987154073373,-67.02905015559647,-18.967486246460606,-20.886022370996134,-19.664429208705,-21.241550594318465,-18.71983315779469,-46.671274447138245,-25.83698557315011,-19.810431225840702,-18.89946112051908,-19.365752294223775,-19.358910068213294,-21.344085315022614,-21.64529688122354,-22.218149325091442,-48.82233596233167,-87.95819557673025,-39.54776731282705,-22.474645007482778,-31.154710567783166,-19.512061897534288,-20.04334023115879,-19.380807062365246,-21.565989393696547,-22.354146212517858,-28.118665331548677,-43.49647566168546,-284.89461459166677,-139.3335319545339,-36.6254860928464,-25.409221521358127,-30.210053987996766,-28.87604810818654,-19.810183621078114,-19.782676387702256,-19.24754242669933,-20.25994064589509,-19.34266827080719,-41.94539713506104,-19.30509116798554,-33.367535501599846,-18.9146809774132,-60.539965016681876,-18.6721542402501,-18.626421160307896,-21.858984130865277,-25.191193271669462,-22.57830677638416,-19.80320607645055,-18.612988487239786,-22.748678126023183,-41.23862474747088,-28.126984000099043,-41.64497644589762,-84.31519300828481,-28.137711484488065,-28.40650358309501,-54.08288218759715,-149.98835587432515,-121.14502440376319,-52.642030163151304,-54.14759974944815,-19.07916628273596,-18.635722379250982,-18.502887622625472,-20.441019906997905,-18.933006403518604,-19.005439726278528,-18.48987124691218,-18.966926563096543,-22.75079119428981,-42.071389365029816,-110.59749195675161,-43.33713225193978,-45.080763179724855,-21.393486598123648,-23.01962142151993,-20.90564012514232,-31.020211632424672,-20.622586389001192,-21.302104240036584,-26.982195948236647,-35.012027648594746,-25.508424921661142,-21.7625420648841,-20.176148773623712,-22.25139073728286,-20.817693842683187,-21.65765507949884,-193.13613359404218,-22.00117623759988,-20.42825714611555,-20.326809130736027,-20.80442493563713,-20.213778081597503,-21.110668844782143,-36.55270109308492,-55.23403304976458,-89.30823157242011,-24.75521427313364,-38.58001136444269
-21.691953079197372,-22.680599673258257,-21.048923295426633,-26.708468542346004,-18.503695441794154,-18.80159184404353,-19.052975708588708,-18.774738835790764,-18.581874321660024,-18.450211896681406,-18.430311969042588,-19.451586742331806,-37.10657006847602,-20.15084749224617,-19.539249081519166,-18.5575070763247,-18.751761172394485,-18.444338797870532,-19.092559914117146,-20.441238972555585,-21.50936610172072,-67.26678283758335,-18.89281571141594,-20.833816002466815,-19.59252617905776,-21.1923755918694,-18.64442319476741,-46.620411000604,-25.77869238078354,-19.74904628200552,-18.823672046489815,-19.285636624832687,-19.27980745618029,-21.273573556413254,-21.572975037252434,-22.156845741818135,-49.270429597959605,-88.09876367608722,-39.5997076226094,-22.429137011409747,-31.176310790578214,-19.433096798790295,-19.977672841463804,-19.299682130028614,-21.536559740622643,-22.328549260580434,-28.079832037171514,-43.71715171569731,-282.1626078511786,-139.8852983600007,-36.560094292252714,-25.493893110915003,-30.204987592887846,-28.77107101089333,-19.734037704043686,-19.72404682461732,-19.16496423098396,-20.18144788946462,-19.259507167827056,-42.01965515176852,-19.22296302730851,-33.36089036921063,-18.83840770489131,-61.551733427095215,-18.591860866715496,-18.546145793163955,-21.77215913154225,-25.320827617230982,-22.530379710148047,-19.734735834731566,-18.534417120921507,-22.697894568006916,-41.188006282416865,-28.25038485608298,-41.59983737089537,-84.58541008914848,-28.208555677995797,-28.305822930977882,-54.36380079070286,-149.97542879035805,-121.53295330864515,-52.97324905028592,-55.092553856956556,-18.997374077226144,-18.554873472666713,-18.421770636774404,-20.36477430160605,-18.85844243588371,-18.931124582218228,-18.40806812320965,-18.902837169866704,-22.714318830582034,-42.15203852308641,-110.69929159253944,-43.39792649295542,-45.365479543933006,-21.32496128850217,-22.922212271807467,-20.832748204716555,-30.887779378093644,-20.536316112239355,-21.226392476429297,-26.952314830030037,-35.16997986666826,-25.43393627937934,-21.72224567660952,-20.087257641626827,-22.171915542662337,-20.734609810403164,-21.58967645446899,-194.4502578826767,-21.916850214275396,-20.341890713248137,-20.245921080883452,-20.724090401220625,-20.123261116981922,-21.03923738863658,-36.66220045845375,-55.44749848265507,-89.63707214549376,-24.67053108044217,-38.9206023133045
-21.947794810074253,-22.901779385336297,-21.322826648436656,-26.790573637602435,-18.901457010442517,-19.1823364937315,-19.42148108412785,-19.158331500760223,-18.97499328396199,-18.852270222046734,-18.833734583068058,-19.79974239520656,-36.88914298813218,-20.498917682675888,-19.894422870264666,-18.943938756717806,-19.134088265720653,-18.84483929688377,-19.44166452215247,-20.744000993130435,-21.76793199995124,-65.58796219517237,-19.26222232404131,-21.128727501766942,-19.923371963595937,-21.450719977916638,-19.01750539003322,-46.68113387003359,-26.007737408376755,-20.08417626953334,-19.195000423904865,-19.695549272162765,-19.68246208560081,-21.577970351054503,-21.87937561860302,-22.43374669530766,-49.32074884138942,-85.92104050641029,-39.318225473313476,-22.677969165839205,-31.07380633203925,-19.815895227743155,-20.36094933259663,-19.710300428025946,-21.86853152811555,-22.598764833679944,-28.192013459900533,-43.69793575001426,-277.2126274602843,-136.3244880490569,-36.24173168690052,-25.80339468235397,-30.202330289044767,-28.7801320485032,-20.123609290006772,-20.138602807739797,-19.581871197668402,-20.54860001018492,-19.660268683767367,-41.53340175353193,-19.63684914016816,-33.27352316683147,-19.190751256896093,-61.17105066513425,-18.97622939122385,-18.90754033916536,-21.983080859737864,-25.668138543255907,-22.787348078678342,-20.057275794129993,-18.920921265157002,-22.91311057604795,-40.72710708113661,-28.371253449535462,-41.18507967183494,-83.23874676760926,-28.34234197184128,-28.37181331976648,-53.853463557290496,-149.00986545976048,-120.41492233304811,-52.30676260881435,-54.943198431356855,-19.35679175696296,-18.94199606909142,-18.81074071765381,-20.660141175013862,-19.20891079143506,-19.289159924474717,-18.801529806778742,-19.292414339356483,-23.020744613183552,-41.68383593999114,-109.92351129173728,-43.25066644406387,-45.3565943658015,-21.67959469970217,-23.21359457812391,-21.20155465208722,-30.884898854178942,-20.93201603057385,-21.594923886093824,-27.170174904613404,-35.193894312165774,-25.642998844128428,-22.115337733147175,-20.49812643689179,-22.493834013711144,-21.101194440682935,-21.921773093765385,-187.28299038401255,-22.250351399907153,-20.74447449377461,-20.649929900014218,-21.095630804650185,-20.535237216805143,-21.410023977776802,-36.572928834460015,-54.736054777934754,-88.65055423323884,-24.878581155961868,-38.920214259248965
-21.959381988756906,-22.913217315871094,-21.352190490832587,-26.915785815030166,-19.008598355279258,-19.28539909239411,-19.52070755062516,-19.262040394577834,-19.081800437124926,-18.960008870576424,-18.941869219020553,-19.92564957659846,-36.61132306188348,-20.586286390139605,-19.98139889526696,-19.063129764067806,-19.238736280020696,-18.953391194136795,-19.557533792102866,-20.875598950997144,-21.805525047794568,-64.75572683838962,-19.381875446510765,-21.221173508171177,-20.028142719916104,-21.501426397004963,-19.134621971959653,-46.76796904794501,-26.15941828528821,-20.202703036444742,-19.304856149845445,-19.800934583421512,-19.793780815273838,-21.685098180166072,-21.997535067445238,-22.539207393495236,-48.36655088219444,-85.40427826809355,-39.24844193794185,-22.70635792882053,-30.960945581756995,-19.928666968781666,-20.46835539223332,-19.81712790363351,-21.897676247789384,-22.641531031409126,-28.329133557753977,-43.42352532099504,-287.34558840118905,-135.54714482828274,-36.386051180681505,-25.62343295861848,-30.261068962225995,-29.120707348626404,-20.219004483590766,-20.20739647770432,-19.693710355455647,-20.66097898149522,-19.77956079129713,-41.37666463288107,-19.746900671541525,-33.4465967554468,-19.32103262989369,-59.235065415930066,-19.09184108929101,-19.043703977952894,-22.152579004583085,-25.40455087227958,-22.90833966467534,-20.181916169519866,-19.037902136117026,-22.982207113436964,-40.909497148963666,-28.12057937470771,-41.37648032952255,-83.32038550424146,-28.261898723240822,-28.671875768032557,-53.37319544957982,-148.04828409796676,-119.69010265085159,-51.69717721867113,-53.11344616542078,-19.489818116873657,-19.061215716717317,-18.93367493469451,-20.78986498068841,-19.32922701612836,-19.413864256306596,-18.923465093584774,-19.382286374911267,-23.054579096346572,-41.552713781175385,-109.36961986611485,-42.77122273137094,-44.923367183368356,-21.796629254622452,-23.400180444612488,-21.320730283107984,-31.205264110673937,-21.046450790353685,-21.703946357716717,-27.28394217411456,-34.94203941377636,-25.804035685525157,-22.175210313905076,-20.621464205116865,-22.65900337672532,-21.221060665570043,-22.02468603753335,-182.75202047515253,-22.414604931125417,-20.853407024551434,-20.76061948819278,-21.20699020468221,-20.66036797217652,-21.51811071923046,-36.410719662699876,-54.39452957452637,-88.19344304898526,-25.01647927763955,-38.25726512487533
-21.991194732844008,-22.93794324732293,-21.38617167326557,-26.910464527972863,-19.053133750513073,-19.329115430049033,-19.5643034866171,-19.306158470992706,-19.1262031527488,-19.004833754393957,-18.986818544470005,-19.95844523990287,-36.60847104831009,-20.614587470174474,-20.02001980737399,-19.104786494483267,-19.27929388862265,-18.997969017542857,-19.594573535740842,-20.900702160419247,-21.836463222886294,-64.72421836401591,-19.41967209429001,-21.248648401258855,-20.065953165432877,-21.535184626665593,-19.17404092500532,-46.78312411214654,-26.170110133165533,-20.23060758707678,-19.34631670742995,-19.84855733085953,-19.838669301789988,-21.72016856916826,-22.03023615379619,-22.567112138254963,-48.36280406770342,-85.31529107181473,-39.22044926813174,-22.743534357749933,-30.97406483651207,-19.97192389885029,-20.504825944323315,-19.865017253163476,-21.930831158829363,-22.66391251786896,-28.323325144493417,-43.36479430250724,-285.8821503662659,-135.18608354350428,-36.36454719517792,-25.642092463932027,-30.25075182772811,-29.092178089040914,-20.265607809148303,-20.252086954713693,-19.74151154163466,-20.703270018442502,-19.824722150211542,-41.34089287974269,-19.794707074082947,-33.39764013829765,-19.355989947606087,-59.131590602091876,-19.135278150973335,-19.08016848348089,-22.17375973845969,-25.421249773272113,-22.921839897152868,-20.21186132327166,-19.08006450364143,-23.010603417980686,-40.861912898328725,-28.125310493478857,-41.32768935515567,-83.0330810397374,-28.249453535325657,-28.65721690251332,-53.307503783100344,-148.26826391978153,-119.55663093863178,-51.636187037512315,-53.036590587921836,-19.527765978678076,-19.10417560366923,-18.975889420110498,-20.82130102028049,-19.365844577875674,-19.449636404255017,-18.966652716488664,-19.422961424919073,-23.089544537333765,-41.5146166961393,-109.42480384547173,-42.85936081399505,-44.869509119199726,-21.830898593853465,-23.428311631166476,-21.357704408774076,-31.198536822852507,-21.094533130963825,-21.74585944239342,-27.286927073238775,-34.91767834769895,-25.819909604903298,-22.209745446760554,-20.669801437197055,-22.68463126027281,-21.263988215554452,-22.061026318049162,-182.7266660744902,-22.443678799680143,-20.90357105611625,-20.807085694021428,-21.251050363424522,-20.709247518661492,-21.557378167555672,-36.383199926187714,-54.315810606239246,-88.0508561234926,-25.044710968955968,-38.23669378411432
-22.053299277583623,-22.988510433971676,-21.456680235793833,-26.939318904912056,-19.165485327297574,-19.438471131531752,-19.672117809549658,-19.416494994083095,-19.238109020564604,-19.117949053197446,-19.10028071399717,-20.055597859885673,-36.526331978346924,-20.69470905720766,-20.11646414722637,-19.215426944944255,-19.38429540344178,-19.110838016423905,-19.69550729013246,-20.986314044640896,-21.90412046413591,-64.41547259008813,-19.523719812488384,-21.327326276584937,-20.164640674770705,-21.611180044947126,-19.279959803664312,-46.86289571805659,-26.240896756871305,-20.318480478003504,-19.45356267509827,-19.965626320622942,-19.952559357350466,-21.81447964323259,-22.12429930400941,-22.648893802292353,-48.13269859135956,-84.98708444497603,-39.15265838541153,-22.81920639336775,-30.96316997413431,-20.082874302070287,-20.60419249949159,-19.98293427506977,-22.003238045892374,-22.721380229157358,-28.358203943183653,-43.22221044588886,-286.47629520518433,-134.31966183307736,-36.36557821326551,-25.639452637624494,-30.25358974350322,-29.140059517183666,-20.37770836386903,-20.35583370851916,-19.860789298277005,-20.812400911522886,-19.941192282032773,-41.239933844337614,-19.91341188377667,-33.36809732577555,-19.45782619738142,-58.48738514281884,-19.247472750872234,-19.185825333451415,-22.25953662540136,-25.39874936317252,-22.988169710296503,-20.30331650337995,-19.190730962279233,-23.08116163773655,-40.82956459111337,-28.075094068654593,-41.300932015174965,-82.6078170870999,-28.221768167570225,-28.72406093324369,-53.073038386905154,-148.4311091954558,-119.2100409867862,-51.36991867147615,-52.46536503564907,-19.63507911825328,-19.216647110511655,-19.088196920955383,-20.915623061244496,-19.467311275398743,-19.55104971788427,-19.08041650715719,-19.524622679662837,-23.1644685955909,-41.40523460640074,-109.4027160295243,-42.87487073276187,-44.681081782809656,-21.92892332658726,-23.534517234100125,-21.460466992850304,-31.282467288995534,-21.21414720554106,-21.853924105776606,-27.333613178027115,-34.82381962042177,-25.898171957226303,-22.29457918224239,-20.79246481117138,-22.78156195153138,-21.375658317831775,-22.15681359451131,-181.24900485501345,-22.545229669156043,-21.02507865963354,-20.923152424169498,-21.3624022038085,-20.83335436724353,-21.66120213425393,-36.30451188091957,-54.08716558768565,-87.70917358137213,-25.135973182957173,-38.044290351610954
-21.828133413893458,-22.800061188736485,-21.196385220732616,-26.774504694092492,-18.726731461122398,-19.01422622055859,-19.257430902787622,-18.988765814824333,-18.802016233362085,-18.67576869887756,-18.656663739295997,-19.654604033183308,-36.943372521627396,-20.355495829335204,-19.738656037707685,-18.776763961856563,-18.968198259241206,-18.669202277737536,-19.29198869395622,-20.62252864181999,-21.64970350878434,-66.14057496189012,-19.104682430398256,-21.004649638002167,-19.778586916941823,-21.331207941883367,-18.85712666242125,-46.63217324999064,-25.92234886480162,-19.946867580051613,-19.032768127187982,-19.513570403737486,-19.506088318681638,-21.444822256798595,-21.74848171282775,-22.316955874340856,-49.2258918130352,-86.72629859144484,-39.43587898886359,-22.556689281364253,-31.088563515657988,-19.648326216088552,-20.198813804195666,-19.52793534662877,-21.721425715998745,-22.483795734771476,-28.165443278441543,-43.72164786002319,-280.7728652973073,-137.84173895183264,-36.38044914025495,-25.66172410409163,-30.21418870173529,-28.826328927192314,-19.94906184521363,-19.95438984051701,-19.39771491444333,-20.387328077676745,-19.484942709434403,-41.71771510618747,-19.453668185079323,-33.35937135625003,-19.04268468113084,-61.238116688791976,-18.80800019060895,-18.75546918855023,-21.900789870797205,-25.505798478759825,-22.689431005995274,-19.9238614520994,-18.753121548274336,-22.81574656413221,-40.94229501800083,-28.302567325147145,-41.38720641190959,-83.95042221829877,-28.295044695745368,-28.378456948341118,-54.04565973898764,-149.02447935530284,-120.8175197285922,-52.548640349344325,-54.91383530290145,-19.203749990218373,-18.773499375128736,-18.642536564486466,-20.535707374606524,-19.059370904911713,-19.138006635951175,-18.630755164153033,-19.122601946198976,-22.881675313315018,-41.87425534732755,-110.07604131261155,-43.18503325284495,-45.36545220329887,-21.529747353138692,-23.09570191210009,-21.045018125145297,-30.90849358158463,-20.755416993275855,-21.432972088681815,-27.09709211619209,-35.18457790434236,-25.563192933126633,-21.94768256657124,-20.316657878538052,-22.366442033834904,-20.940095461282517,-21.777778153999765,-189.5145321297804,-22.116130018282227,-20.56319752688491,-20.471630338319947,-20.931348551226403,-20.35301712630596,-21.249506311648272,-36.612741237205256,-55.03002990423445,-89.07804635201285,-24.786284597208983,-38.88172030947601
-21.857759105907228,-22.821521153821056,-21.23210638158625,-26.78706697348101,-18.787588457284674,-19.074218713043646,-19.317446034278564,-19.04936918445059,-18.86298853487425,-18.73686597486318,-18.717934712628367,-19.705697556935522,-36.889409847374786,-20.389248351514958,-19.78879644066069,-18.836961808338103,-19.02346183881971,-18.73023368091324,-19.347217082506184,-20.66639046884529,-21.68438295946263,-66.03514446336625,-19.16030904674674,-21.04370629595848,-19.83398005708528,-21.373269774337192,-18.914398361089944,-46.672739808018434,-25.956117583973985,-19.989865083708892,-19.09171674610306,-19.577919381875844,-19.568150343135084,-21.49908055005266,-21.80117900564547,-22.36132213977037,-48.97199561943039,-86.64407437170374,-39.39509317937295,-22.599893681035574,-31.08908852835072,-19.709886805942578,-20.24794785775899,-19.592992818540818,-21.75054209110761,-22.504742240087403,-28.177642780398088,-43.56095820393049,-281.41965926120156,-137.38660152004238,-36.407645452604484,-25.616243923524877,-30.210392046950773,-28.861321212182457,-20.011132256041353,-20.004671061780087,-19.46329351313751,-20.448487212255962,-19.549490195091032,-41.664935218155605,-19.51907197673655,-33.32806824959466,-19.097904916879113,-60.62187631885726,-18.870368036569648,-18.81379123712243,-21.95591023356414,-25.4339275531374,-22.716742733646917,-19.9723644350456,-18.81364845187456,-22.85693574314806,-40.949530181535266,-28.23538578505552,-41.386258664383845,-83.63148235706481,-28.241006716222444,-28.42073968060647,-53.86638707248138,-149.2056394283616,-120.51878746494663,-52.35542524836926,-54.34675829716965,-19.26372405684089,-18.835702075857906,-18.70434540583681,-20.589911087460234,-19.115032829452577,-19.192676553383546,-18.69345333466876,-19.17378988224992,-22.91727808978301,-41.81912515246374,-110.07822266728921,-43.21679012725578,-45.17102670118673,-21.580631809502883,-23.159908358725744,-21.099158822080387,-30.976487276920643,-20.82395494628991,-21.492664539778968,-27.106826761975114,-35.077055001023915,-25.60844649140707,-21.980755902021688,-20.38648989306017,-22.41822419376629,-21.004414727859633,-21.830222181658833,-189.0030552993635,-22.17223983801781,-20.633159270328903,-20.535976349018227,-20.994755265049545,-20.424003747714718,-21.304633513348517,-36.53298874518505,-54.87778892781691,-88.81503278299704,-24.84610726722194,-38.68279167637708
