z_20240101,z_20240102,z_20240103,z_20240104,z_20240105,z_20240106,z_20240107,z_20240108,z_20240109,z_20240110,z_20240111,z_20240112,z_20240113,z_20240114,z_20240115,z_20240116,z_20240117,z_20240118,z_20240119,z_20240120,z_20240121,z_20240122,z_20240123,z_20240124,z_20240126,z_20240127,z_20240128,z_20240129,z_20240130,z_20240131,z_20250101,z_20250102,z_20250103,z_20250104,z_20250105,z_20250106,z_20250107,z_20250108,z_20250109,z_20250110,z_20250111,z_20250112,z_20250113,z_20250114,z_20250115,z_20250116,z_20250117,z_20250118,z_20250119,z_20250120,z_20250121,z_20250122,z_20250123,z_20250124,z_20250125,z_20250126,z_20250127,z_20250128,z_20250129,z_20250130,z_20250131
-22.301972318526786,-13.66013324674214,-78.16178017530581,-7.4939131001489905,-3.8748165881553533,-10.940066899284586,-10.858632439621248,-15.621746747011196,-7.269062433144208,-5.677345839046016,-5.450223537920573,-24.422660375730796,-5.73937506390183,-38.117886047922866,-43.355446328281474,-12.760966678452007,-5.434412715235902,-19.613352453903396,-14.400822595610196,-16.305080629829376,-10.28805858088337,-6.474078602125116,-6.715121645963208,-10.71049693142705,-6.89563779770881,-8.690314295056975,-12.462524392572305,-8.725815107686802,-4.005579987825485,-7.126333734034891,-12.101096740275112,-3.7227033473131383,-50.714378857058094,-67.88208409930503,-5.94438315377877,-19.29816414411955,-5.400641582780305,-4.450255760713995,-4.119949000349399,-3.6296323630700793,-5.635088645238305,-4.384890360036245,-5.04881328595142,-3.552768793034642,-14.675410863218566,-5.0453758074699,-27.40581243861013,-9.662311555430602,-34.77819464201427,-53.04815142965623,-18.707935858644532,-24.659663936576887,-12.680066417931615,-9.252302985588132,-33.19229011431186,-17.205671997717324,-13.103984302159274,-12.835624770735349,-27.784786121071363,-9.417530512728124,-7.946182521919872
-22.434197052866235,-13.61165512329842,-79.13140720778415,-7.374453742468504,-3.6929452705936905,-10.867908237572442,-10.795753292614998,-15.62007942591859,-7.142677051051481,-5.5237130832556165,-5.295381348249867,-24.5889518495932,-5.5846471248699485,-38.45712035225484,-43.81047779178868,-12.709756651624458,-5.276095901576678,-19.69236485393724,-14.381751263642256,-16.305129452111117,-10.218109555962968,-6.333642518200169,-6.586140398763245,-10.633012727609508,-6.769094109912116,-8.591390143642895,-12.397536797690652,-8.628393178441378,-3.825784842700468,-6.999348049666045,-12.05378084155151,-3.5281671554316305,-51.17958854815873,-68.6420535438991,-5.789357300454369,-19.342077634423173,-5.234085753254456,-4.268210929832582,-3.931953017886387,-3.4333968816526697,-5.47078372749216,-4.201800885429305,-4.875722859076912,-3.355430828098602,-14.663734492389034,-4.873200372049265,-27.611226039546864,-9.568410145534738,-35.134205946080506,-53.663608798309255,-18.75341453380338,-24.814812605408875,-12.637324727924838,-9.155019681037382,-33.49928713341303,-17.21839832344392,-13.061376272445184,-12.794822125620879,-27.968553364418035,-9.303858373857913,-7.810255441979368
-22.15551537357871,-14.118462754225357,-75.45474750447588,-7.887696077443613,-4.3736806746291865,-11.44610905685061,-11.074624077405556,-15.47219583050854,-7.632097219980722,-6.074145835030901,-5.9222641063345325,-23.990018807751817,-6.1316590555235475,-37.47095075131233,-42.640281850828316,-12.743772845438388,-5.833690552708095,-19.306360478989557,-14.488460701279259,-16.131009844615463,-10.492916245024785,-6.831202841625666,-7.063085348916056,-10.835242075284587,-7.306368802062688,-8.953125508879086,-12.408799330247735,-9.021793942177418,-4.499816364217057,-7.5332459491772745,-12.27478972865704,-4.260075690225073,-50.05727806829154,-66.43023163466324,-6.371990931031899,-18.97721452127198,-5.8472973570340265,-4.948902185631254,-4.6286446939509585,-4.17219399208213,-6.075042443341674,-4.886775920258234,-5.532290659990365,-4.097656829419145,-14.710223146487294,-5.545529828584216,-26.735692063781155,-9.888275526171263,-33.8433851134736,-51.1601474652481,-18.46418255803492,-24.15827572042843,-12.837422234042611,-9.536534589137922,-32.45337737299604,-17.00321437727753,-13.183349589129975,-12.898346751528653,-27.29590112819719,-9.664213309499129,-8.365953221045057
-22.608997189644477,-13.24284157437955,-74.70682302708781,-7.935735563896283,-4.2931769941918665,-10.681623939602293,-11.288134869647571,-15.565460606235165,-7.614043250141449,-6.049044835042395,-5.824884181533113,-25.14091720267104,-6.006028750486107,-36.91475146823323,-42.08371923954239,-12.731351303523095,-5.761051444282687,-19.697193777070584,-14.312196363345711,-16.073663158586516,-10.84056797786667,-6.829546910106515,-6.9745605837256335,-10.798690484429926,-7.13364868962931,-9.17401392383015,-12.216467030389241,-9.288250184932831,-4.438215049955015,-7.186808711415873,-12.747008957060778,-4.1596556249056995,-47.43834081146711,-63.95133960761057,-6.420935173696383,-18.700485040993343,-5.776527371408643,-4.890538592471655,-4.537314678517445,-4.069226432846963,-6.030804906670802,-4.848511546772206,-5.384064145451068,-3.9891665901457003,-15.065114122727609,-5.377542896437195,-28.03386927112291,-10.211336231149541,-36.70533089615164,-53.38972865851318,-19.04983755116172,-25.032149195915824,-13.013602787839973,-9.75558213581137,-32.96156097592102,-17.1519737453811,-13.189112414066045,-13.272368226941792,-27.302251803225147,-9.415322895266698,-7.898590894641548
-21.953083099592817,-12.904122484261354,-73.57435122690353,-8.01115145776945,-4.599979922981535,-10.37543129931572,-11.320018195622183,-15.935358310496353,-7.816261922326703,-6.358611590312445,-6.007541120852196,-24.718867342501316,-6.3499343325576945,-36.207191277640845,-40.69580271016687,-13.199279751046369,-6.107889045542848,-19.814361818724237,-14.375480218952548,-16.52804356962907,-10.91164540278119,-7.120288246838198,-7.230568169845581,-11.156283129534295,-7.251191789776859,-9.33732616130051,-12.8632606312485,-9.37363815363928,-4.736721247279024,-7.348407081902502,-12.710421853796067,-4.478325592352914,-46.110801448196945,-62.310333391539075,-6.6719404231113275,-19.143926306407668,-6.08624854369751,-5.196882948211442,-4.867343503738079,-4.389337658824054,-6.333176094244049,-5.1527104070334415,-5.669153268159734,-4.3128858933590255,-15.08088645082144,-5.637866922060125,-27.88756869403102,-10.40189116077378,-35.769034176533886,-52.762426327541235,-19.2330548912355,-24.94800818158863,-13.01502125608403,-9.871650058109509,-32.31048978519887,-17.53079561901312,-13.392402580595203,-13.441784878928562,-27.06333095649095,-9.787046340009965,-8.124624493555226
-22.159805056464936,-12.83930643634251,-76.02039264700979,-7.689022165242068,-4.156106708135563,-10.24486705435447,-11.111776108167742,-15.917467116431524,-7.49342883721728,-5.977111471004585,-5.6241383018544395,-24.933359216588,-5.981816604485151,-37.01758130317468,-41.75723348984461,-13.076011283312601,-5.724517852333227,-19.936019909616455,-14.329516509900744,-16.534861679935034,-10.673975462120453,-6.768978401477354,-6.917100099436938,-10.96694427461211,-6.945879294939073,-9.050934559228098,-12.745079298001896,-9.078376973961248,-4.294794437069309,-7.065668881260403,-12.504466592237312,-4.00594335549283,-47.48600069940081,-64.34923509428052,-6.2728037360817455,-19.30175001312969,-5.678468585402943,-4.74909338914166,-4.4109513870476125,-3.9131640886878096,-5.927114561719534,-4.698801302059952,-5.255487189816877,-3.83500400171404,-14.977996334005152,-5.225059179074719,-28.180124421904058,-10.113910281365424,-36.16424118825745,-53.918749920114585,-19.24561882990423,-25.18455684885635,-12.866896054577234,-9.585431702367568,-32.94977471192901,-17.541753473940005,-13.2751046934371,-13.274874845617472,-27.479649674420813,-9.538489655207194,-7.837101272836537
-22.016621451813634,-14.576402267474958,-77.72585413487495,-7.5790135909935765,-4.055035238683517,-11.731913730967554,-10.79337474423961,-15.517924693141179,-7.38652813924534,-5.799727884182469,-5.660053534240097,-23.529496934800257,-5.92788345922025,-38.709948826628256,-43.89458558016656,-12.757824004643647,-5.582897513404431,-19.264044740220392,-14.607658908512771,-16.322744013360474,-10.08662036290654,-6.558404022226262,-6.869268270792192,-10.776659810416534,-7.145131941686909,-8.614142587402366,-12.590199985897549,-8.618438797381065,-4.174968660267902,-7.50799620505401,-11.806297845319067,-3.927170216071221,-52.95649244002478,-69.90446948940138,-6.0197128371503545,-19.367078711706498,-5.561568175802858,-4.613019033237581,-4.311331406398944,-3.837452442952457,-5.779632272343971,-4.5401783504937665,-5.268745026800509,-3.7652101257185557,-14.486072359436555,-5.2994351366949655,-26.339973301944998,-9.514273182540855,-32.72115900724741,-50.97894672444672,-18.239344322571892,-23.930975117302616,-12.559900816822191,-9.180443395224719,-32.53760101988057,-17.052042408927083,-13.102342247898397,-12.577861227119424,-27.687290135810095,-9.68911219973867,-8.449682957377709
-22.65820873665193,-14.025226485804273,-82.7128459522857,-6.960367503182508,-3.1358785302735614,-11.10378140686138,-10.48623371170417,-15.597918989708525,-6.743425238397363,-5.039215837046898,-4.847060107233429,-24.528778226632443,-5.152120017476069,-40.100432589049625,-45.78523664051351,-12.579332167730405,-4.798866824542646,-19.767824885387686,-14.465137830229255,-16.394009176673766,-9.789090612342456,-5.873825561902377,-6.216525390060458,-10.42410331533242,-6.4588041662087665,-8.154915134283552,-12.344550168585172,-8.161206559733934,-3.2674267578457323,-6.793753623538441,-11.628980948773046,-2.9404797696251763,-54.48094191794007,-72.93242177322507,-5.251649267627479,-19.665679057843008,-4.726123475701625,-3.6976684312176564,-3.3632044018951737,-2.8415391729675976,-4.958432185033479,-3.620333370334543,-4.384247511076398,-2.7630730411722166,-14.471729042963617,-4.401601937874807,-27.60777621853233,-9.102295273417898,-34.84984961198346,-54.516273126825084,-18.614010015227954,-24.872537507176162,-12.379402583266353,-8.71891423608849,-34.17813206976625,-17.221033083878638,-12.921171634792406,-12.45901097583881,-28.62814290553506,-9.108342906137445,-7.6628877913767965
-22.726019883673505,-13.995860579260434,-83.22249509565512,-6.902543571209468,-3.047652575582629,-11.062936158979566,-10.457880172491658,-15.606307307072083,-6.683175379194445,-4.966106168071416,-4.771326393999412,-24.61952089260457,-5.078615258091628,-40.26964973433263,-46.00798722970635,-12.562551967979333,-4.72362895980119,-19.81622803350318,-14.45937304593509,-16.40376904074862,-9.758264398915394,-5.807700560758903,-6.1553625943253465,-10.391684042135086,-6.397004530138409,-8.109522631240395,-12.322390933772864,-8.115846605975971,-3.1802392770006724,-6.731713228543968,-11.60938517909189,-2.8458846772275885,-54.70337453283682,-73.30681272785263,-5.177365996800859,-19.69923846790952,-4.646248697469206,-3.6096244325105715,-3.2722257519442692,-2.746057482291034,-4.87974439024196,-3.531720923078237,-4.30057727809711,-2.667029383757932,-14.471062100156733,-4.317723181919998,-27.722089313860653,-9.060353938930447,-35.03735407762039,-54.84529971420531,-18.64648750696746,-24.959923127803634,-12.362439278382894,-8.673898444858953,-34.34039190791472,-17.237576414527524,-12.905877127403194,-12.445071317797954,-28.728381653847556,-9.056699852175688,-7.5964593171936174
-22.1778924004227,-14.334085119198607,-76.10621465116822,-7.81394310735006,-4.275751882221566,-11.611838214290465,-11.0025558377937,-15.431163106637747,-7.560635452440722,-5.980732015913503,-5.854455799411178,-23.8641260199306,-6.0557979354908404,-37.890975846043105,-43.1503578741965,-12.69325880195407,-5.744220959785537,-19.265940373969585,-14.524859900132528,-16.124390053343138,-10.378125554326239,-6.738015765596094,-6.999673690137804,-10.78431483861674,-7.272324532330208,-8.847446747372384,-12.378366590139354,-8.911141024659365,-4.400226042765868,-7.534954022609606,-12.152773331296292,-4.158647295174084,-51.02316065934848,-67.57605515369006,-6.265732460820955,-19.020620198203012,-5.7555736074371335,-4.845795686883004,-4.528236191030869,-4.070349314695627,-5.980102715106234,-4.78035950869895,-5.452535548348952,-3.9961835940980213,-14.63966116746262,-5.476369472317799,-26.593129407608284,-9.764640684767027,-33.53475482837407,-51.06112164111008,-18.361019546578532,-24.070786054257834,-12.769373765787511,-9.434457126603593,-32.51919200219601,-16.959682673868237,-13.144724528292123,-12.789150097165296,-27.40524990653111,-9.638996430814606,-8.390663878085661
