z_20230701,z_20230702,z_20230703,z_20230704,z_20230705,z_20230706,z_20230707,z_20230708,z_20230709,z_20230710,z_20230711,z_20230712,z_20230713,z_20230714,z_20230715,z_20230716,z_20230717,z_20230718,z_20230719,z_20230720,z_20230721,z_20230722,z_20230723,z_20230724,z_20230725,z_20230726,z_20230727,z_20230728,z_20230729,z_20230730,z_20230731,z_20250701,z_20250702,z_20250703,z_20250704,z_20250705,z_20250706,z_20250707,z_20250708,z_20250709,z_20250710,z_20250711,z_20250712,z_20250713,z_20250714,z_20250715,z_20250716,z_20250717,z_20250718,z_20250719,z_20250720,z_20250721,z_20250722,z_20250723,z_20250724,z_20250725,z_20250726,z_20250727,z_20250728,z_20250729,z_20250730,z_20250731
-30.252058514434445,-24.864944567282613,-19.938228105733224,-67.47638301882068,-56.31426085910042,-16.51431823590271,-17.287315611693653,-25.548721516748998,-37.67954466218961,-26.584166635360425,-20.345801991271266,-16.431093913651274,-22.9375209683066,-40.08725682470833,-223.21269963358603,-166.07985783285045,-28.784248196891934,-17.86134509452304,-19.56289877129497,-16.48458822737825,-16.38743339352142,-16.382145601221104,-16.554941154043885,-29.80827688213958,-42.914238258609515,-18.03106012175815,-16.75768364654893,-17.330651117185177,-18.31095479204019,-50.89211381803098,-16.39963711429232,-17.99898128865396,-17.832061869459285,-18.63616237367544,-31.115662699584483,-20.414024937624372,-22.444620004611828,-22.67265822010788,-26.021131620734117,-18.811681452357107,-28.89054848317991,-57.41933643430372,-50.57131904823276,-19.29572391287171,-21.127546506249686,-19.92155950996569,-21.468275928136784,-19.43029971427178,-17.82684759105566,-19.16862531185856,-19.354287105428185,-20.5495818143171,-29.832862444938844,-19.728976498796754,-22.15894430989664,-21.655878213299857,-30.480308490362916,-23.354486418624116,-19.68535802358579,-21.174426740550143,-20.381083393193396,-20.61312992637881
-30.389743022171235,-24.8434332943095,-20.051016787096017,-66.62695628242281,-55.87264584974573,-16.69425543191855,-17.44962557584635,-25.58615561649433,-37.48903027297318,-26.522379695744153,-20.440365633939443,-16.609789541166588,-23.003909350482704,-39.9136452212813,-220.85295979414497,-164.3869219156168,-28.66119710086157,-18.019704240018395,-19.681489673883995,-16.66309103971727,-16.568233021691512,-16.56315727854693,-16.73229123948207,-29.75622724481756,-42.6809774410837,-18.178417082202095,-16.93124693746741,-17.499614026012747,-18.482410567381397,-50.64918294072461,-16.58007929909168,-18.182949861138624,-18.02111526234582,-18.808492386865172,-31.269546410053202,-20.56653312358179,-22.560197698876653,-22.786435300266763,-26.069976225523178,-18.976761705783538,-28.92232339663037,-57.161706886778674,-50.30109353785966,-19.453685838295716,-21.288794630494422,-20.068390974885894,-21.618772580231045,-19.594793070197,-18.01624831951077,-19.340491133993304,-19.512709102260942,-20.69448300112805,-29.892684110788704,-19.89401180729685,-22.29412055380775,-21.775352547252822,-30.543207150262944,-23.449022721276567,-19.856569952585488,-21.279295095409996,-20.5227197708505,-20.746232093022478
-30.405022624459185,-24.882390082998036,-19.908395222785174,-66.64479982627523,-56.22081042942502,-16.4863601481914,-17.254558310106013,-25.180588514762313,-37.40232564339654,-26.408991090138528,-20.24600372671602,-16.395815679131015,-22.85701478759438,-40.184156705361026,-224.9419613388083,-166.13340144530227,-28.718649102370136,-17.83696515944684,-19.54631662647092,-16.450086406950227,-16.35015764800231,-16.344702305922954,-16.51009036880218,-29.315202113120122,-42.72791419802324,-17.98386850442156,-16.732413039641173,-17.31794329548352,-18.301802243554455,-50.603549176214806,-16.36362377469136,-17.97067069262532,-17.800003516136147,-18.597893427812735,-31.464017777513067,-20.393500332204553,-22.396806233864318,-22.615033528917348,-26.006802059770987,-18.749132803019485,-28.70232097354241,-57.176934983434705,-50.56975605125426,-19.264153736347993,-21.18336454407946,-19.90104056576187,-21.463371365512007,-19.413935548557344,-17.79688639771106,-19.162231741461955,-19.33618029212101,-20.53537520172255,-29.85544866598987,-19.720171224430068,-22.077525895801482,-21.63438451132162,-30.524874479861204,-23.146902975139078,-19.681063479352144,-21.166189802106018,-20.36873764047848,-20.583732294895146
-30.609947362778016,-24.913218805580733,-19.628352972806155,-66.63676841956406,-57.15130818755664,-16.083186928081716,-16.88030892037043,-24.515031800708613,-37.32235142987595,-26.191234303307404,-19.843208659455087,-15.972898764986871,-22.583396492925853,-40.668127084883736,-233.272894187388,-170.6465090353532,-28.761860473245054,-17.49062901395784,-19.283509262264346,-16.03006822492709,-15.918745381883216,-15.91273535955865,-16.075062252359555,-28.535559700972826,-42.901353976917164,-17.6038155642452,-16.342098237645587,-16.973883232515597,-17.981558000076486,-50.75188694150883,-15.93543262878683,-17.54061091671419,-17.351266731845133,-18.173300704588556,-32.052285709645844,-20.064707985817652,-22.11371885398579,-22.286262247884476,-25.90354968839926,-18.290414176210664,-28.28246484769944,-57.385375001967404,-51.317554469740585,-18.88315340368117,-21.010927109834018,-19.56258931625034,-21.20626821521563,-19.06123204910667,-17.353708480823812,-18.814349334749604,-18.98037336557776,-20.225866554630098,-29.874723445505733,-19.38788002502098,-21.688777584248953,-21.356857877885503,-30.634288201411852,-22.61988758448793,-19.349322961304974,-20.90841361548941,-20.064252511324696,-20.253105277040703
-30.73297701063084,-24.840586431399437,-19.858671859007977,-65.54604903068659,-56.260071402780014,-16.443212843592306,-17.207595361345614,-24.797060727093744,-37.07178768848384,-26.165816050854517,-20.098163185903942,-16.336177442521805,-22.755084961538778,-40.23846916026373,-227.28549784757047,-167.20998594286965,-28.5634828214929,-17.8066837894826,-19.515849390102943,-16.39205175002941,-16.286936097596268,-16.281452357554745,-16.441110092655013,-28.759680817937486,-42.52048120663439,-17.915229830399657,-16.68795765518309,-17.30195949820225,-18.310076872495962,-50.34947168168412,-16.302265565187042,-17.91159646294484,-17.73467444413319,-18.527963205052163,-32.07896850480102,-20.362112421271533,-22.353279896558938,-22.542343281173448,-25.987787478469517,-18.64845766629559,-28.4764945778101,-56.99578698626167,-50.721098935886005,-19.207442239624704,-21.274754201638395,-19.85638013870332,-21.48212711626897,-19.385098159042244,-17.73676435825671,-19.146184264555494,-19.293163502672368,-20.50903636766491,-29.937695169581268,-19.708724761302935,-21.98987902693962,-21.59801940479609,-30.6751410027113,-22.919650776037635,-19.675698895184038,-21.1079592933161,-20.337887729977723,-20.52893260380755
-30.193136398800917,-25.35104545823102,-20.085069617366607,-66.50559206020748,-55.43537068392232,-16.69998253777839,-17.44330241465446,-24.772641538358705,-37.415465220416195,-26.532855205337654,-20.384127765401793,-16.63804530895902,-22.946575470283246,-40.86926996006749,-227.09328770542126,-160.02836444829776,-29.045556570348797,-17.980998747039276,-19.712275473340434,-16.69567308462576,-16.605514578028647,-16.59902980357032,-16.72484772992886,-28.66598857783523,-42.6030133806258,-18.150205207900136,-16.961641750644908,-17.490774580462038,-18.371740559037693,-50.332462060732574,-16.616415817137717,-18.26777605799546,-18.109857578303785,-18.853066392989003,-31.22349925604839,-20.568255878844486,-22.46981568391143,-22.697664367596364,-26.191462638662692,-18.9990395084442,-28.47532966183848,-56.6612355987735,-49.61941356883573,-19.484604764892122,-21.320516429098625,-20.12558338284834,-21.579482174239583,-19.622668579106175,-18.089261555598405,-19.37858521580883,-19.603590939714884,-20.715597072172066,-29.781245035278644,-19.896066282438717,-22.06462611832453,-21.80981609742668,-30.42437549653513,-23.08289391482993,-19.860848930130892,-21.57084456444824,-20.605129596012436,-20.80738192636784
-30.605014818038818,-25.307476432418774,-20.479964553392072,-64.07161492475561,-53.9474186822138,-17.322838327465746,-18.007672600088178,-24.929422130024708,-36.83440005840356,-26.392303110691643,-20.736921254893865,-17.262247639619435,-23.202698343267528,-40.3777219409372,-220.0495661983786,-154.16145690424048,-28.70669488528589,-18.52688973172842,-20.128172689289713,-17.320239350116342,-17.23873496723724,-17.232928512147435,-17.341472551857397,-28.56301039935932,-41.84036614929893,-18.665852933581075,-17.564500475270602,-18.069610706235085,-18.947235174554987,-49.49574675468387,-17.2482489215876,-18.914101776523115,-18.776226593275794,-19.459235085415127,-31.68863575540055,-21.095480200840093,-22.887902804696807,-23.108564321511707,-26.385020963389763,-19.588020196986605,-28.622066083911694,-55.88104387327807,-48.710525449908,-20.04425672416169,-21.865753988438236,-20.645450856126075,-22.10007683885734,-20.19436051026736,-18.75523581895192,-19.9763210013433,-20.161346008986254,-21.222913299793504,-29.958736865911803,-20.470789460368604,-22.52234746313839,-22.241579181062733,-30.628972304688133,-23.442080225714978,-20.45154659806995,-21.953943555838784,-21.103178096262955,-21.282763683585937
-30.343722052216805,-25.313602908681666,-20.212290594253652,-65.59339584475225,-54.924760461267425,-16.907063393756808,-17.630656226219493,-24.82018888611797,-37.184295430312545,-26.46525131662399,-20.49335667271142,-16.844085076213357,-23.02510621252226,-40.66384199036929,-224.52215770070785,-158.1426911255787,-28.904561251511147,-18.163705150803672,-19.848601041156723,-16.901756957167148,-16.814092844747087,-16.80786876885895,-16.928765345249158,-28.62288715653568,-42.312591796519726,-18.320024458912837,-17.161198967739054,-17.684628600994543,-18.568207872559427,-50.00961932871516,-16.82468456645676,-18.479663174635245,-18.328048317071268,-19.051848972727022,-31.40635048926561,-20.743350454035863,-22.608906024395296,-22.832063511896603,-26.24666704433549,-19.190672939311003,-28.51953659659855,-56.372230524325424,-49.329637886202086,-19.6687560157896,-21.50677260389243,-20.296197181555826,-21.75505605000842,-19.812038912217062,-18.30813920137773,-19.577510233858668,-19.78589626895759,-20.88374833862892,-29.840028903274582,-20.088291498192987,-22.218616865473262,-21.950594069967913,-30.497165173448835,-23.197665688451426,-20.0588919146047,-21.68592947728231,-20.767800401727154,-20.96110318906107
-30.427717028877307,-25.288232618481977,-19.98685135485742,-65.7565178862824,-55.70929208353134,-16.581121035314542,-17.333008165725197,-24.472001815628268,-37.16526814447474,-26.334437136392047,-20.19053985494647,-16.501363248863083,-22.831242828056112,-40.862852780480395,-229.57990113338997,-162.01394484126297,-28.908549303691938,-17.887875410849347,-19.63308987299874,-16.560334084231684,-16.463156434753856,-16.45663458234102,-16.58339382656179,-28.24255581561959,-42.468182498189506,-18.023467368382782,-16.843409834777084,-17.403633855756038,-18.31553464122847,-50.21432718010105,-16.476380641234414,-18.122185138992304,-17.954721122669277,-18.706254647332273,-31.746987443443157,-20.479724061047992,-22.3942833343336,-22.57890636895859,-26.144743678013793,-18.825756973160487,-28.273900294807827,-56.57163766475142,-50.00504159631582,-19.357765927051766,-21.335923612021688,-20.015005373615786,-21.543635128875458,-19.519679260805024,-17.94070020055534,-19.284770250381673,-19.486439045494404,-20.627670534061693,-29.845201837182266,-19.811800277510176,-21.947125384391818,-21.718654387911673,-30.554521472434647,-22.86051781841973,-19.781821895036913,-21.447640900433356,-20.509602126641838,-20.68267696981648
-30.469397462247514,-25.427090404993578,-19.764545676905982,-66.29927809981385,-56.62938421009102,-16.234187952934096,-17.018178753581108,-24.053512196072177,-37.343607751392625,-26.291877039645172,-19.876664391062185,-16.144106865571136,-22.648829152655303,-41.36740439869131,-236.75750600924655,-165.38044437096818,-29.056299726599285,-17.583517562340013,-19.41379138488245,-16.205970416611855,-16.100826420816635,-16.093658750607784,-16.218598321639906,-27.73932697204531,-42.806840368078454,-17.70831994280599,-16.511587411516622,-17.097073752983725,-18.015132481635078,-50.67182708011321,-16.11592817753241,-17.75972928612893,-17.57717059083979,-18.349877370352104,-32.028252103241435,-20.203259552249463,-22.162132000308077,-22.298653313469632,-26.093560468010594,-18.451899273855858,-27.95481613759447,-56.86664538498724,-50.63983398488392,-19.030597388877297,-21.140592083586252,-19.726024122191678,-21.316027501366136,-19.210426731039753,-17.56364500521345,-18.97324930228316,-19.18901256789451,-20.35759566549509,-29.864317656017448,-19.509650133428526,-21.627868309496872,-21.48177127104238,-30.627526940099322,-22.488204724626446,-19.480254678248386,-21.279775241913224,-20.255382800056765,-20.400818501931646
