z_20230601,z_20230602,z_20230603,z_20230604,z_20230605,z_20230606,z_20230607,z_20230608,z_20230609,z_20230610,z_20230611,z_20230612,z_20230613,z_20230614,z_20230615,z_20230616,z_20230617,z_20230618,z_20230619,z_20230620,z_20230621,z_20230622,z_20230623,z_20230624,z_20230625,z_20230626,z_20230627,z_20230628,z_20230629,z_20230630,z_20250601,z_20250602,z_20250603,z_20250604,z_20250605,z_20250606,z_20250607,z_20250608,z_20250609,z_20250610,z_20250611,z_20250612,z_20250613,z_20250614,z_20250615,z_20250616,z_20250617,z_20250618,z_20250619,z_20250620,z_20250621,z_20250622,z_20250623,z_20250624,z_20250625,z_20250626,z_20250627,z_20250628,z_20250629,z_20250630
-26.546507463516193,-85.18662467982222,-12.849726991814265,-12.387075766780512,-32.09260018031674,-11.101712537955601,-12.159165602137543,-11.17227097276186,-11.873481346858059,-13.521202590943695,-16.66488878722026,-18.24330581081574,-17.711013002294475,-20.93261462234694,-27.79669822285176,-11.761835448825476,-18.934172799295773,-14.230192612354601,-10.818168515896705,-12.556459267855345,-16.29081945061261,-42.67446896082397,-64.55950227026081,-53.64971773394023,-11.78426605945755,-16.667191405022397,-46.148930661507585,-13.905806192149043,-14.504322861869468,-18.125588483115138,-13.662577012997733,-11.5825701314306,-15.893724857775442,-18.400235819474304,-12.672428480922132,-12.500467669494329,-17.77958480159047,-12.014348257798803,-20.617210378299493,-16.175575304181542,-68.77437537540432,-140.02675702893657,-15.98102025167072,-12.204299715468832,-13.071939275087548,-12.601198753415572,-12.675096478945006,-15.053191723782433,-17.46049209969314,-15.029859225874795,-24.73427996235558,-31.32821094158163,-52.706787628925255,-12.67082586358353,-11.738105865426599,-16.107965402187343,-11.932351727873442,-25.55964839152427,-17.470633889066896,-46.94691475554899
-26.737231082929476,-86.12985175314299,-13.069604085033381,-12.599302621197635,-31.46018787018122,-11.348471749139682,-12.379413468287844,-11.412902104458661,-12.091545694637247,-13.727438986288442,-16.909026770594373,-18.47341483220394,-17.6429776302482,-21.059894771539092,-27.613527326638923,-11.997020958105427,-19.02621390024134,-14.388574156596713,-11.075223135516351,-12.772179207348792,-16.37869383186112,-41.99536559415166,-64.86678339999284,-53.75682157096763,-12.007852378868787,-16.70029329141347,-45.040175292950906,-14.122634892560649,-14.643537096598806,-18.1713941238216,-13.867855850554971,-11.876471348009211,-16.11338504050816,-18.65147566610645,-12.941863797747168,-12.772319318885586,-17.625588155913498,-12.29657041972868,-20.82563688322123,-16.381343556404175,-66.74839909455237,-136.8886898393217,-16.083752754757228,-12.502888685800267,-13.33860896766915,-12.84425925107649,-12.964147893647587,-15.307249697433152,-17.520487043834798,-15.218670026036694,-24.473607054521118,-30.181602064797673,-51.96525798139402,-12.972130379150354,-12.013346740203636,-16.380382392988743,-12.212545423625832,-25.191701116184444,-17.595949933700634,-46.57378500810029
-26.654798863491628,-84.18659836424165,-13.120273373840824,-12.714058128795715,-31.452443431526458,-11.445223737109275,-12.474587745070227,-11.503977548813332,-12.183953743408878,-13.823554661307858,-16.963653536760837,-18.506594814930377,-17.66980606525391,-21.25777159978413,-27.575195823335296,-12.089825139685592,-19.20567385543651,-14.400305176414978,-11.168919445781208,-12.86183184571442,-16.560180912905327,-42.64409255836696,-64.68110233964106,-52.45954958961163,-12.093044018225983,-16.893484662801026,-44.21417026640497,-14.195780614354934,-14.834940408688116,-18.31650969596231,-13.945885391822937,-11.975786810107087,-16.19644362033547,-18.7274138675768,-13.033508214647844,-12.856598703145073,-17.674950481947924,-12.38384476552257,-20.77012489937197,-16.504915581144164,-65.90659083559922,-136.60366642942958,-16.184458671445356,-12.589444300567623,-13.412329341323597,-12.927321833753158,-13.045335942339944,-15.402079969399685,-17.72808792800939,-15.317332871143924,-24.51653137051384,-29.9733984839592,-52.36441143733147,-13.047145270378094,-12.113139256806582,-16.377807371628286,-12.309102893417228,-25.239415943437393,-17.62434860910038,-46.65423059031231
-26.59319587139352,-84.38479708795043,-13.038651487655814,-12.610055520265828,-31.658783429189583,-11.339601137569412,-12.375457796762626,-11.402833390892043,-12.088953263539292,-13.724512510217382,-16.854907047537505,-18.408911236046443,-17.693607484008865,-21.12089447435168,-27.644698210886816,-11.988148293990395,-19.101565282047147,-14.35366079141397,-11.061570222629772,-12.766825537192624,-16.466212115852855,-42.57200428764192,-64.47019653132139,-52.83459510597108,-11.999732167616031,-16.815494966289368,-44.90571820861964,-14.10148732408478,-14.71959718772425,-18.250719529435436,-13.862451638579866,-11.85510986547119,-16.096182574388067,-18.6041242535137,-12.918912824259703,-12.747130073754846,-17.73112665531892,-12.271274230290452,-20.717619305731137,-16.388510261072547,-66.94476959269265,-137.50212275266168,-16.124508150474053,-12.469588926897643,-13.306596466406063,-12.824917921797807,-12.930081529881521,-15.28637659103181,-17.632497064784452,-15.228109090629152,-24.59253369561229,-30.490807701257665,-52.376199583821986,-12.929625760756114,-11.998828732030862,-16.291695004309187,-12.193608424513485,-25.354569089082894,-17.581823910826223,-46.683181079498695
-26.3726648566644,-80.4512642390972,-13.415603244566395,-13.0539378524861,-31.504765163740245,-11.813988193691623,-12.812624685387775,-11.87026388280806,-12.531256863817365,-14.110711375839394,-17.085088248863684,-18.575001241634634,-17.92296203731091,-21.34709211866595,-27.455866077152066,-12.436545211876231,-19.380388355155034,-14.662435036381664,-11.545386193975364,-13.183173531388661,-16.851712146623424,-42.44169530543966,-62.93419337026212,-50.70628769703301,-12.441969345787328,-17.197092379731984,-43.578174782462526,-14.450259598228621,-15.160297557424759,-18.5300030408268,-14.298649561153296,-12.379682333503759,-16.45272320548935,-18.867415004250535,-13.366841290333475,-13.222077856200112,-18.01311896001395,-12.769530155221078,-20.79282630001708,-16.732440881931954,-64.90410613441354,-133.77101998056307,-16.51452943621634,-12.957603482686803,-13.75487179777547,-13.243852735609696,-13.397624282295828,-15.677348681788278,-18.069585145728453,-15.638964587639705,-24.6449447964998,-30.256818170855563,-51.852558641026576,-13.391068182907324,-12.517395035066798,-16.563157665597014,-12.702371005685176,-25.40705206772548,-17.8422934379532,-45.994930020459485
-26.612975215793504,-83.55165846719751,-13.012635462772142,-12.635032199681145,-31.692759003289332,-11.33838610935273,-12.38272285156538,-11.395956833384902,-12.089927199688493,-13.748560279321849,-16.885594321801886,-18.433294606775366,-17.655890874295423,-21.317376633127896,-27.650922449437616,-11.989156202702151,-19.247329813839322,-14.302657911582166,-11.054780258242449,-12.772891970579277,-16.58691231697297,-43.28203696366033,-64.90278769005295,-52.069224059212544,-11.993028381862267,-16.940761800911723,-44.248749929235686,-14.1092823050504,-14.835091573797481,-18.342738322822605,-13.847850086508942,-11.847216242684668,-16.116325707979318,-18.661081968449032,-12.923084889534739,-12.735531695564715,-17.687196305031087,-12.25609696408152,-20.662499323128735,-16.460312495665182,-66.35276219662228,-138.12094965301395,-16.14730325665145,-12.4594287517062,-13.291598452016993,-12.827447176684714,-12.921935559803686,-15.313638412633304,-17.766532769366073,-15.245138862756137,-24.59176636184034,-30.18034702061724,-52.99334763673139,-12.914831484277551,-11.990673765131472,-16.241778674042518,-12.185789100129949,-25.35437401169642,-17.552849400965222,-46.986023852059354
-26.44004005889778,-82.42074229766762,-13.128779359513526,-12.730641181019188,-31.794843155276318,-11.462293075342506,-12.490409292075748,-11.524411066293295,-12.207002289371506,-13.821616132316647,-16.874711786236386,-18.407808402653487,-17.809216390682725,-21.17589609027322,-27.620979028006417,-12.103315580406546,-19.189970329212816,-14.431987309986159,-11.185152757510295,-12.87436039554079,-16.601481306279624,-42.721808135789054,-63.74666241069464,-51.90410615538387,-12.115171465917118,-16.96471522244825,-44.64702525260068,-14.179815900277774,-14.86139826965701,-18.35341883022933,-13.97943565426704,-11.98457888684968,-16.176252959107916,-18.63654982482685,-13.02292550461245,-12.862416046220002,-17.89346864718577,-12.3927153298893,-20.68121868387586,-16.46748212263516,-66.66619238648649,-136.87372012040237,-16.256285441559733,-12.582115403611132,-13.41188135166106,-12.92537882749375,-13.037161130766421,-15.37118878160523,-17.799703762728246,-15.342000822577136,-24.68705057785192,-30.73327080708426,-52.38353209188924,-13.030189959545659,-12.131549713733996,-16.319457399302987,-12.320420088882694,-25.485196368999866,-17.647861706014112,-46.50294370743848
-26.982219117346183,-87.99411113903672,-12.820909922507303,-12.377055045145536,-31.524425442054827,-11.070744037738772,-12.137425222117226,-11.13142254967851,-11.834072317889646,-13.543032984673292,-16.860882150134028,-18.46057698397565,-17.433588442834044,-21.231954651158887,-27.742863031754098,-11.739367328038945,-19.072137986377463,-14.134437271188162,-10.784771767009046,-12.539833783619098,-16.30160820619145,-43.036737280706745,-66.73709548560625,-54.24687999399782,-11.737225927516686,-16.621999935085753,-44.79326674153893,-13.94558289122276,-14.537389164376773,-18.128532506600095,-13.583952965848493,-11.561635352335292,-15.946855716149264,-18.619955045570293,-12.695200166115288,-12.484282756923397,-17.339463190573554,-11.98722507086471,-20.750157502908998,-16.297460756305682,-66.85109285777656,-140.05449827191111,-15.867816084151592,-12.212897258824913,-13.064905371203643,-12.60607773907051,-12.687320278000422,-15.133188373300955,-17.432634650661996,-14.999258277910098,-24.414796308345707,-29.681034920019933,-53.1452973222054,-12.69507257335483,-11.699886341506492,-16.186931824946804,-11.906735421576292,-25.11003712313721,-17.40087445213224,-47.46578060499322
-26.418301198523444,-81.2144456587159,-13.568561454240202,-13.166872682716003,-31.19108160276414,-11.966521228117754,-12.943822254328586,-12.024534281063495,-12.666099490520457,-14.217209415851466,-17.188058013007286,-18.669730840832095,-17.953598105495075,-21.257574615394546,-27.3556515664744,-12.580230918363045,-19.322886350044868,-14.805624095061123,-11.708179827465344,-13.310442461501854,-16.820409331360366,-41.55540850890641,-62.53668726722941,-51.21142199365583,-12.586351057966723,-17.139364414215265,-43.59850566862285,-14.571417940074758,-15.163565380120183,-18.498386968010124,-14.442995560077879,-12.562906945169548,-16.566126039533106,-18.953796479779058,-13.523319169988032,-13.394150820667228,-18.017661982614012,-12.951911106568412,-20.940789884630558,-16.79421217576665,-64.38794091744555,-131.6594313961036,-16.575030767539484,-13.141364523172689,-13.92609350767977,-13.387200278902156,-13.572239979346495,-15.800953836755843,-18.020503335074018,-15.744564296374156,-24.555968989486896,-30.036325653977826,-50.966107809717286,-13.577311806604147,-12.692347839057865,-16.751680474228387,-12.878256764385304,-25.26623236297798,-17.949502323914516,-45.52090805083448
-26.78443395886764,-87.98359245955923,-12.68188167527839,-12.183417158195615,-32.006730910601846,-10.883941777719588,-11.9591309012301,-10.955440340144886,-11.668239738295265,-13.355594922479407,-16.617471450011855,-18.231085938555104,-17.537899930696433,-20.89085697564784,-27.87797553102938,-11.557816472872037,-18.830919774642155,-14.08470325284818,-10.5959973086133,-12.369565123845925,-16.113267380120412,-42.696293368382996,-65.82932073678461,-54.95037476782565,-11.580457133534864,-16.474336079273478,-46.53217708708094,-13.763891410315047,-14.302687594745716,-17.991706903788383,-13.457119328897042,-11.347068287150767,-15.753207912070383,-18.342398959707502,-12.48196107876505,-12.28975457190686,-17.542890466882344,-11.791068598868396,-20.643168160555547,-16.051382073679036,-69.36012149459206,-141.5802799630538,-15.781421695016094,-11.994367350238441,-12.876492221428144,-12.420299402654916,-12.477824232636745,-14.903325673275017,-17.23948388380134,-14.84145469313313,-24.618374129247776,-31.023120758406204,-52.97952232076378,-12.478522822297702,-11.499669423267784,-16.023925670974066,-11.702838098514032,-25.409348277016154,-17.352354492883865,-47.377659559270555
