z_20230501,z_20230502,z_20230503,z_20230504,z_20230505,z_20230506,z_20230507,z_20230508,z_20230509,z_20230510,z_20230511,z_20230512,z_20230513,z_20230514,z_20230515,z_20230516,z_20230517,z_20230518,z_20230519,z_20230520,z_20230521,z_20230522,z_20230523,z_20230524,z_20230525,z_20230526,z_20230527,z_20230528,z_20230529,z_20230530,z_20230531,z_20250501,z_20250502,z_20250503,z_20250504,z_20250505,z_20250506,z_20250507,z_20250508,z_20250509,z_20250510,z_20250511,z_20250512,z_20250513,z_20250514,z_20250515,z_20250516,z_20250517,z_20250518,z_20250519,z_20250520,z_20250521,z_20250522,z_20250523,z_20250524,z_20250525,z_20250526,z_20250527,z_20250528,z_20250529,z_20250530
-10.338824548427782,-10.29915285381026,-10.441242902843742,-12.1657470389275,-10.296082828108032,-10.331335571623772,-10.296082828108032,-10.296082828108032,-10.316694490588002,-10.318635856780068,-10.430114319377212,-10.418869890031157,-10.29633502762019,-10.300912586203735,-10.29803902425689,-10.314676038845752,-12.15721890890861,-11.108303759342759,-20.3910943697908,-49.53401222763844,-73.48387143958307,-202.4632373443534,-37.59986668452238,-10.534477825709669,-11.426622738798642,-10.377688037275654,-15.267617234834226,-15.467062752640697,-11.417532120910732,-16.120371649382893,-15.97102710720819,-10.673958206009821,-11.612991960993833,-60.4870279285031,-122.35401976939656,-46.12953904034908,-44.92842272953583,-10.992859643367174,-10.673890512816415,-11.18785157523918,-13.955145917336662,-15.551775920807504,-35.91630100554463,-14.93794196617412,-39.79210728835381,-15.122647719809995,-12.714311644764898,-15.749784350664452,-13.65079211522425,-14.049068759912194,-13.197018955709217,-11.663853582856117,-10.85180960504259,-11.755196160585255,-16.124038401986574,-25.623884452314968,-13.986511455032439,-11.440939012040396,-12.906176450214826,-21.969706468603476,-36.68294206069509
-10.257025766716573,-10.21712067017374,-10.360396960418154,-12.094014137278332,-10.213950940472953,-10.24947041188625,-10.213950940472953,-10.213950940472953,-10.23473345646852,-10.236495896949364,-10.34956162329708,-10.337271032271035,-10.214209623344551,-10.218816042779249,-10.215925231448553,-10.232705176406867,-12.096554811098455,-11.03102618866628,-20.36041825030391,-49.699128465587656,-73.80943905353897,-204.01370958103368,-37.70273343220413,-10.454788971187764,-11.352465208841966,-10.296213654014842,-15.20115224138072,-15.422498822609176,-11.340172236801836,-16.09295350981098,-15.94525594597183,-10.586254881155957,-11.531641690959152,-60.817360557845454,-122.83864241218603,-46.29138765236105,-45.15011885596851,-10.907183010391117,-10.586182822660186,-11.103195833379285,-13.888068854795808,-15.503810293050666,-36.04218340536429,-14.899833316975027,-39.8915973929273,-15.069974291558434,-12.638449270280837,-15.695198739734554,-13.59142908693903,-13.983979250173215,-13.13675781260071,-11.589801114596192,-10.766213044259745,-11.67468647243787,-16.084640439905154,-25.63089318667893,-13.925238278736007,-11.35630933586677,-12.836162389278364,-21.954198143814857,-36.73966458076265
-11.42113398763377,-11.385942067837078,-11.512869179169806,-13.06873200693196,-11.383361863008705,-11.41459265907837,-11.383361863008705,-11.383361863008705,-11.40132277436761,-11.401163438278179,-11.505629319272277,-11.489126597640752,-11.383541081993743,-11.387457504131042,-11.384928789515559,-11.399390783103582,-13.108462109050608,-12.110682562091448,-20.56199056948726,-46.71971810657821,-69.34576522805554,-187.01114264447423,-36.721857759023294,-11.595458293626676,-12.397613562218533,-11.456274534603569,-15.880049362486714,-16.11629196059699,-12.39244317927737,-16.773058561794667,-16.635471617239396,-11.79096503161187,-12.634933691395307,-57.224675640152086,-113.72878910586225,-44.0018638239234,-42.53488843392763,-12.079621760005521,-11.790918983487968,-12.253983956685559,-14.748354305647634,-16.22537084377956,-34.91546750540087,-15.77256973435842,-38.314506765735416,-15.77468833881561,-13.622955004706853,-16.465492065405616,-14.523413152284288,-14.878626872759565,-14.154900617643413,-12.604892204503924,-11.951836991895371,-12.757159520877678,-16.73312807560276,-25.285765571432087,-14.793152251023042,-12.47888233687395,-13.800614108726482,-22.015831726674026,-35.52629654180945
-11.158446169413624,-11.120490320295461,-11.251753720786771,-12.910490661523475,-11.118457326822465,-11.151344309602287,-11.118457326822465,-11.118457326822465,-11.137571385781019,-11.142047676043294,-11.237651994335204,-11.239145871368002,-11.118670785932457,-11.12308695129624,-11.120298323073117,-11.135855056128174,-12.759358401434266,-11.893666614316341,-20.785352514866183,-48.39126235464578,-70.71108464057778,-186.81409637361836,-36.56042829639295,-11.333414656149948,-12.181287132896282,-11.194309989619741,-16.01262129442467,-15.933202976395927,-12.211389340546283,-16.3459640226099,-16.207530000341045,-11.559113795256884,-12.44136687503566,-57.304067820955055,-118.48361669195212,-44.72673111889354,-43.01729055866835,-11.860512174579627,-11.559083330835229,-12.049287199463702,-14.66330799988752,-16.06869384127401,-34.75189353427548,-15.296178025005608,-39.05417900287786,-15.71551554334424,-13.50939918705798,-16.31104813356447,-14.262811593901889,-14.741755742907056,-13.807653073368167,-12.424699032458719,-11.716248405623116,-12.578321395157905,-16.534866808752916,-25.729867593102195,-14.616427436535814,-12.313133145272904,-13.631904359747619,-22.245204061400727,-36.28312253481252
-11.69802192570926,-11.66263406787616,-11.785889730881749,-13.368323719356654,-11.660795119381559,-11.691654869784639,-11.660795119381559,-11.660795119381559,-11.67853922998858,-11.683199620518998,-11.773870607030183,-11.774502221178363,-11.660960443849785,-11.665060179568293,-11.662415766983182,-11.676754761960202,-13.233715433780661,-12.39420735366507,-20.920197123157966,-46.87214061407281,-68.89438326539977,-179.09867565282417,-36.389177887827934,-11.862660826776006,-12.664160150298894,-11.73222775509278,-16.355126202219623,-16.283045263287818,-12.705438973374662,-16.701052975639843,-16.549955024699006,-12.118448361010598,-12.95524107033411,-55.598625661451464,-114.67870015406648,-43.73059373336669,-41.62661076027967,-12.405659525913473,-12.118430965290045,-12.584145276217455,-15.070073710155288,-16.398286153605465,-34.194700392333395,-15.708177196667362,-38.40899646167881,-16.031227898925774,-13.972134987990303,-16.712713693171,-14.701075144293174,-15.175476456458343,-14.29892298253863,-12.891684692104086,-12.266258396638996,-13.082157934464215,-16.837369389801992,-25.578824445055695,-15.023403396126398,-12.84113354970888,-14.076439994074844,-22.298123624273938,-35.85839477163989
-11.154592879025989,-11.119139717741986,-11.249157084576698,-12.834378772628863,-11.11611161910104,-11.148005541570724,-11.11611161910104,-11.11611161910104,-11.134480413067354,-11.133988995340715,-11.24448897684104,-11.223288044409115,-11.116316579636845,-11.12029188778398,-11.117705250950888,-11.132543041068237,-12.918231244196987,-11.856872934082238,-20.452127424432703,-47.11338737659895,-70.40340827134806,-191.43687921525947,-37.10535684709354,-11.335565877855455,-12.152444201915511,-11.19096007104244,-15.660081553397715,-15.971168248814836,-12.13972518366303,-16.691084321430083,-16.565759265877702,-11.500939490611648,-12.362705953985785,-58.21101054586909,-115.14012372487595,-44.446332355345525,-43.080015819960806,-11.796058012714397,-11.500871584131716,-11.972930765337948,-14.518152401886013,-16.06424549757396,-35.33639735189121,-15.666644941644508,-38.60348785411587,-15.57747548539519,-13.369142385585576,-16.290493972772182,-14.333870614813554,-14.66725374556848,-13.975270851764751,-12.355159905021564,-11.668867984135664,-12.48744351526869,-16.589459129355447,-25.263092317250706,-14.58246193720117,-12.20017865663041,-13.563662783986166,-21.936242186580202,-35.663301093960996
-10.417939909132105,-10.37896320688615,-10.519505253132182,-12.229037661214267,-10.375832985369424,-10.410663400703134,-10.375832985369424,-10.375832985369424,-10.396154244019153,-10.398014848713446,-10.509721822295479,-10.4968343162312,-10.376077674804035,-10.380571692796359,-10.377730988943805,-10.394105644290649,-12.237403940018584,-11.179270619666227,-20.39272206736077,-49.18407746174732,-73.21099621935636,-201.3067781966811,-37.6340396761038,-10.612289954057948,-11.494627272702045,-10.456640188998357,-15.300206883418209,-15.521208612690119,-11.486586548284714,-16.195418750386608,-16.045489780620557,-10.75180433899769,-11.682098808128153,-60.240365229939506,-121.57982494633573,-45.940172086920704,-44.64477990145613,-11.06821221497374,-10.751734928499866,-11.260842568673832,-14.003608459464035,-15.597047303803825,-35.862715612511465,-15.023976817189801,-39.666141460538455,-15.150957932714629,-12.772893623179584,-15.81164566448438,-13.71970960949843,-14.110516830588928,-13.284023272379095,-11.72569729310946,-10.928778424459248,-11.822002837403257,-16.165326221213448,-25.559459256590667,-14.040718282643159,-11.51199245350589,-12.964412876686355,-21.95134293711006,-36.574323421175016
-10.383834276523038,-10.345150597101686,-10.484871471649472,-12.223057536712291,-10.342055979160477,-10.37693693171251,-10.342055979160477,-10.342055979160477,-10.362389376755091,-10.366861863793536,-10.474807912733143,-10.467353763541327,-10.342291696304958,-10.34684446837164,-10.343946617120798,-10.360257502310905,-12.176022989976001,-11.15309401501885,-20.50570574229326,-49.27246920715339,-73.59923647724284,-199.9035165458787,-37.85301498856365,-10.577106288908032,-11.463646030189782,-10.422911712197724,-15.393952812116199,-15.514230383028973,-11.477482581532163,-16.13617971654917,-15.968316033020056,-10.724909278430776,-11.6611433910032,-59.938418534279876,-122.93295454565302,-46.014214824872255,-44.23916325711253,-11.04429441863096,-10.72484357568719,-11.23903501897638,-14.006241782571813,-15.561922055108482,-35.724094541677104,-14.93000937792253,-39.84843948005391,-15.110001164333742,-12.774123088596575,-15.84105659614353,-13.677250639015362,-14.116320434127168,-13.240967600558838,-11.696481978192,-10.899017936426482,-11.804208737490743,-16.109886404630597,-25.6250962793494,-14.012343067545824,-11.50753743366711,-12.936458018963293,-22.003129592295178,-36.83548546416496
-11.144593931058711,-11.108201382143351,-11.238161894492661,-12.862305699058375,-11.105705768175131,-11.138045404133447,-11.105705768175131,-11.105705768175131,-11.124397886114114,-11.127464950653215,-11.2280907833436,-11.220560265173772,-11.105893340584712,-11.110073906885388,-11.107394058378263,-11.12238981640963,-12.815167312087532,-11.862348314113433,-20.643745888882837,-47.56153923386985,-70.56865137627189,-188.79043989445694,-36.994108678077986,-11.322082161701605,-12.151452239480163,-11.180716113107955,-15.851939731593355,-15.950426889712928,-12.168000366690006,-16.525245358203744,-16.36480123248277,-11.520930030696274,-12.393696117988611,-57.56784270252559,-117.10481979460391,-44.56120894149921,-42.73952025170257,-11.819331047296165,-11.52088957383858,-12.001507847834942,-14.58459338931658,-16.03567360469438,-34.91366401766171,-15.447122346649401,-38.823929899007176,-15.608565935431058,-13.431174001086156,-16.321792464598175,-14.27447936202162,-14.696772836263364,-13.871402692618009,-12.37367348487545,-11.681671039271903,-12.524221719896167,-16.53828179343192,-25.462799951555105,-14.587660499018643,-12.250603419903397,-13.579734879263235,-22.077083401496544,-36.06249269489015
-10.85116530164164,-10.81332723876388,-10.94769384325212,-12.618041617627416,-10.810745266193251,-10.844240632848635,-10.810745266193251,-10.810745266193251,-10.830208757081843,-10.833592488000708,-10.936136431926077,-10.930271400222246,-10.810958000399053,-10.815336615480902,-10.812559425710482,-10.828231394642607,-12.552837798294545,-11.591840505182564,-20.594596283912765,-48.419084781982235,-71.64159683630842,-192.944858364148,-37.13449278618211,-11.03430515839797,-11.890072417801868,-10.88823728231736,-15.687095449524225,-15.765975958318453,-11.90375452159923,-16.32798911593199,-16.169810532112727,-11.219514393961784,-12.118609530466925,-58.47132030594239,-119.42921104047623,-45.14871339130863,-43.47909002135508,-11.526161036171795,-11.21946821040767,-11.714458556819457,-14.372679629194195,-15.856979873747562,-35.185477559158905,-15.20953065680148,-39.22308268446667,-15.44343540474284,-13.187643856627487,-16.114823346249047,-14.035928015035593,-14.469371337552232,-13.60221130021322,-12.12269715106175,-11.38490912718389,-12.255102286936372,-16.375002490036337,-25.574535615852113,-14.37031132594506,-11.970324481632135,-13.341433938654385,-22.072501202127484,-36.36319895139692
