z_20241101,z_20241102,z_20241103,z_20241104,z_20241105,z_20241106,z_20241107,z_20241108,z_20241109,z_20241110,z_20241111,z_20241112,z_20241113,z_20241114,z_20241115,z_20241116,z_20241117,z_20241118,z_20241119,z_20241120,z_20241121,z_20241123,z_20241124,z_20241125,z_20241126,z_20241127,z_20241128,z_20241129,z_20241130,z_20251101,z_20251102,z_20251103,z_20251104,z_20251105,z_20251106,z_20251107,z_20251108,z_20251109,z_20251110,z_20251111,z_20251112,z_20251113,z_20251114,z_20251115,z_20251116,z_20251117,z_20251118,z_20251119,z_20251120,z_20251121,z_20251122,z_20251123,z_20251124,z_20251125,z_20251126,z_20251127,z_20251128,z_20251129,z_20251130
-25.75028848004577,-21.73294347695957,-19.983105395534732,-21.66884584409711,-29.837309626704084,-22.790078662739404,-21.181642245175528,-102.18801699941116,-303.75339164934246,-21.714194735792,-126.1285662195215,-158.70894341395544,-259.4514651039433,-25.86898315849626,-39.11474273723402,-20.63254712361775,-34.89782363658174,-109.2717536983026,-199.3118849127208,-27.823713180147056,-19.97111556716181,-29.645167605596775,-27.960068244243345,-29.41932569674362,-22.333671053158618,-34.99255744575642,-22.950815655791704,-28.30311783590073,-33.18953368855408,-29.576043944808788,-31.522813140513673,-25.495032732326244,-21.382813291691505,-23.49913692425285,-23.712324359371454,-25.20343751689634,-22.69757608216576,-29.18423785446173,-24.58035712509126,-22.82348587460609,-22.785611293143944,-22.19611781508914,-25.09465364232148,-23.341675647072407,-31.685360633921057,-38.87582898853316,-22.992428654475532,-24.08692705173737,-27.83801377739652,-25.625093270553393,-22.66012180434763,-22.02382266475429,-26.670239568206107,-29.71597731750088,-58.453080871111226,-37.75509719970486,-35.1572626559107,-21.89352218734383,-23.638368360303424
-25.91449827768827,-21.972915762000426,-20.19188097855555,-21.852557448815958,-30.044135530297368,-22.965147958511714,-21.395723451237107,-100.91663670682122,-301.6496038983286,-21.933154956067796,-121.764777094468,-159.96094734998465,-257.19697866122806,-25.923443617060975,-38.8068068830584,-20.874584385355437,-34.81699913441392,-112.07955326992959,-198.47053118298822,-27.94083912952842,-20.180831869703134,-29.89585286271928,-28.09118514667562,-29.676743455772467,-22.497303170817332,-35.2892910361108,-23.182201775750375,-28.684116358089135,-33.40956532167928,-29.364546008000225,-31.679847966115545,-25.504698183115995,-21.566458191328074,-23.639106164298703,-23.892324329799976,-25.401598563985516,-22.87384336724027,-29.182701629317975,-24.735846440499458,-23.022541648571693,-22.98645908266258,-22.41906887279723,-25.191603055439597,-23.546849450819064,-31.664559626598813,-38.2252077664268,-23.199746037712583,-24.294466331508833,-28.07115983453296,-25.712915469311177,-22.857608461427958,-22.237786465410366,-26.81429712370613,-29.86262610190998,-58.16732468765556,-37.96470953129667,-35.342221003331765,-22.110647528715898,-23.85007403716155
-25.772301196506966,-21.68189596936451,-19.878177849021643,-21.55984391479918,-29.7248538914762,-22.742419178236457,-21.096856281693817,-103.033681290198,-307.2560102536712,-21.585431561026496,-126.98964894206532,-158.55798162493963,-258.7494090892126,-25.84544333013938,-39.243266216541514,-20.49761057111518,-34.91637525212442,-108.93228690735782,-199.1162945369501,-27.920544122040248,-19.86516025426033,-29.79620177780636,-28.00527820035243,-29.344675286087412,-22.261804807076587,-35.168410195401414,-22.850617252542953,-28.324584043213697,-32.98567954441049,-29.525194500795713,-31.544904143011998,-25.406790012028182,-21.260451073053325,-23.40200238413968,-23.64234162909893,-25.216933317931012,-22.604937670869035,-29.237369421731344,-24.499476669618563,-22.709147650227592,-22.699933525857922,-22.101820116117043,-25.02174143424913,-23.202987087802608,-31.752156790821992,-38.91120391383113,-22.92113611077099,-24.024609816670026,-27.901726212923762,-25.503935341819073,-22.55543125973936,-21.918121020867545,-26.662766734539844,-29.594715102226253,-58.27560746972251,-37.78199827509087,-35.160547143009296,-21.778639777207726,-23.582874243683072
-25.82965322035017,-21.837218175650612,-20.09857187304108,-21.735374119465646,-29.822095509251547,-22.888887547818147,-21.26615560904255,-101.63082435743809,-307.6241399237103,-21.757198577937583,-125.0444343402524,-158.1391227656985,-257.0646347280156,-25.91752374156564,-39.04497605908244,-20.699218004151017,-34.81824259746005,-109.13076052842024,-197.87370536680683,-27.935284511601612,-20.08626084467752,-29.769903046241275,-28.044193419813734,-29.346035028699124,-22.40792549986912,-35.268489525572285,-22.987843548606193,-28.433321686216836,-33.073382380058895,-29.609673631101078,-31.563239232486314,-25.566145188923414,-21.47893574756221,-23.58550424553391,-23.808098481346935,-25.36111350322799,-22.802538448281894,-29.293776342463346,-24.65630658198262,-22.9040648966034,-22.89728040218957,-22.306690295883566,-25.164483357075373,-23.392084249989058,-31.781283917484274,-38.78811154372409,-23.09868888616969,-24.179571813846483,-27.99433922510687,-25.644610100740326,-22.756445252547802,-22.13143424069009,-26.80433344868008,-29.687553945834548,-58.03653808280802,-37.70577207897529,-35.13520973463487,-21.995067300070808,-23.745750876442855
-25.883861059110853,-21.95251303388094,-20.202703931013204,-21.86042584161762,-30.029286596273558,-22.960544613151935,-21.390226791883087,-100.8326728152615,-301.8578605287916,-21.932458497964753,-122.34654459025933,-159.518766215864,-257.4120844495763,-25.92970536765557,-38.82747707454993,-20.875912440644647,-34.81447607690339,-111.39884423657145,-198.44148959468788,-27.905191271196813,-20.19168219223723,-29.807829764482236,-28.062201997502243,-29.621889444209966,-22.4984672602879,-35.20860475694994,-23.166579077218096,-28.607706649725998,-33.396746611890485,-29.44472541765274,-31.63870115682967,-25.549304178200977,-21.585488416579363,-23.656623385413276,-23.893318806815127,-25.381437113193556,-22.885977195611474,-29.190670492563193,-24.743112887833057,-23.03049120207303,-22.991148595079775,-22.42096067443704,-25.210093700626583,-23.55483525090089,-31.669659280402584,-38.360198701535296,-23.196486754527392,-24.285783088161843,-28.024050895533218,-25.738120413248634,-22.867146736491723,-22.245680854691525,-26.811065504562134,-29.861772103990663,-58.211467088978665,-37.89168219320169,-35.29096605392891,-22.11942697569076,-23.840690493178894
-25.90890998404587,-22.003692906354303,-20.25179107791169,-21.910695862792952,-30.107796338759293,-22.997670175379614,-21.441649567200844,-100.48080074612112,-300.5904214627714,-21.998639830712904,-121.379628868943,-160.0326778524328,-257.45360305964863,-25.939858705910847,-38.748382876354505,-20.946033276977506,-34.802883041253395,-112.24252143652855,-198.54327509207477,-27.907791112064785,-20.241187589694583,-29.829534553263617,-28.079766702777842,-29.699815295371145,-22.537207024909737,-35.224371942090755,-23.22961459771192,-28.682454249947714,-33.50250579240989,-29.40715924124372,-31.66386081593985,-25.557057103611953,-21.634329874517356,-23.69284048126726,-23.934150025159052,-25.40734591556304,-22.92732463772069,-29.175343636850656,-24.782155711769256,-23.08357667741726,-23.03564892396795,-22.471886479599316,-25.234724461264396,-23.615719618778243,-31.64576808215884,-38.224863452498894,-23.24124298722574,-24.33181541746644,-28.050635184462518,-25.772394426741435,-22.915894246118917,-22.297035776719145,-26.832786429553483,-29.919483404421356,-58.2356814239847,-37.95342400262041,-35.346751196227736,-22.173419274436757,-23.884926218138098
-25.869307897417702,-21.930325174626603,-20.18164899269004,-21.842677962000376,-30.01188736774585,-22.943428028713647,-21.370083550586568,-100.95867927244127,-301.94698000762554,-21.912434185470683,-122.71138472528025,-159.44152458828674,-257.62491147013407,-25.923384853226533,-38.85395923835241,-20.85331849356057,-34.82294950492508,-111.1808883391493,-198.54331206397535,-27.89452622695365,-20.17054960703112,-29.787951369405096,-28.050198061239307,-29.6038872277366,-22.482567445307836,-35.180642206550374,-23.14643049950476,-28.575735691822096,-33.380048007829274,-29.457349648081507,-31.626001214177855,-25.544241213421152,-21.566553649533308,-23.64147823079667,-23.87549916768291,-25.36169246005771,-22.86778180997663,-29.187647165862263,-24.72755406343784,-23.010999390979535,-22.971103492863268,-22.39917509031985,-25.199203111289997,-23.535481735147698,-31.668882356146423,-38.410080482597465,-23.17639312771889,-24.26631567947209,-28.00279638310316,-25.728655872822294,-22.847529385894543,-22.224453039075243,-26.795697676740755,-29.849519880312524,-58.24168925088021,-37.87809022123456,-35.27783665676154,-22.097999560469084,-23.820517723204556
-25.910443261566463,-21.930469058098016,-20.142904071916448,-21.791650051751855,-29.93482758360115,-22.936959105247126,-21.34146399490083,-101.35303072274034,-304.53459744354353,-21.84632468741725,-122.75269327654705,-159.2423121518072,-256.544178689254,-25.919023148639834,-38.904145772706755,-20.78676135070551,-34.817775136403235,-111.10908192831711,-198.04510305065713,-27.981043676803793,-20.131133270158944,-29.929719966244498,-28.100111068888836,-29.567381785952875,-22.45732843540832,-35.36918115886429,-23.103848197316417,-28.63980488214428,-33.23387855990754,-29.40112938842924,-31.66809411208756,-25.493786236203846,-21.510327069131023,-23.59934722769115,-23.854549600467514,-25.410979966911267,-22.833028104213064,-29.230523396141713,-24.69421310325201,-22.959941574855712,-22.94565321039929,-22.36933092061004,-25.165943698756397,-23.465444266978498,-31.722933093593447,-38.3600038319384,-23.160519393670917,-24.25247682400825,-28.088585604642134,-25.65849888487354,-22.805188479463844,-22.18469292434457,-26.81739303202437,-29.77213392166641,-58.0358343470231,-37.89133769335409,-35.276415742570286,-22.051664683145688,-23.814732914035524
-25.786677560797074,-21.83442504403341,-20.112686412829017,-21.79006686329877,-29.967702366602097,-22.87520354453832,-21.294934978794387,-101.30978343585744,-301.8115896878461,-21.853740032648762,-124.43273528530548,-159.0920274955045,-259.16148102001335,-25.902265312421143,-38.95420388004507,-20.784559037865126,-34.858049241336445,-110.24257594235385,-199.20452755499073,-27.810090845200214,-20.101522798422202,-29.628565112697462,-27.97749821255648,-29.524606661731262,-22.42607582458814,-34.99466266337684,-23.073842590718634,-28.406883079268525,-33.36723141530946,-29.563437425516,-31.548193601477962,-25.559446654105578,-21.515609021675544,-23.60191750979748,-23.810233370550538,-25.261913600386144,-22.809492662217966,-29.165558509284,-24.677798022511688,-22.951517672666707,-22.899967791687605,-22.320936578512875,-25.172837832842287,-23.483151542211367,-31.65099109335837,-38.69067893781907,-23.099041465271945,-24.187813563161615,-27.873289100311474,-25.7253921779298,-22.784847989874187,-22.154088066834753,-26.72784091175339,-29.827359272250035,-58.47801044212729,-37.79049292465455,-35.20453603979788,-22.029182527904133,-23.737372030510706
-25.801908439256074,-21.87018156145459,-20.17470007602487,-21.827278527439205,-29.950161647568223,-22.917012724910165,-21.331765602742284,-100.9718230236028,-303.65628455628183,-21.875076139335214,-124.31520456568344,-158.5086312334107,-258.34446158802575,-25.92957004390494,-38.93267215840086,-20.81788240655007,-34.819246284838556,-109.7967411838526,-198.49918144281963,-27.830799516331474,-20.163457270100547,-29.62142047170219,-27.99461458007972,-29.454113878386565,-22.462356002728175,-35.07032880513953,-23.082669023287846,-28.414453790148563,-33.312582318973625,-29.634693025712536,-31.54368462716942,-25.625898188822042,-21.57459512123216,-23.657035159388922,-23.855902725700222,-25.321148900254553,-22.867543936741477,-29.21797020503417,-24.718408651499264,-22.99641454431929,-22.956190326251892,-22.374958968945368,-25.217613410744224,-23.514911182399047,-31.696421059937204,-38.74316972750992,-23.146814390260577,-24.223741172277187,-27.912585182331227,-25.75450635002587,-22.836786496019663,-22.21053511485738,-26.78650156127526,-29.814712679928867,-58.31808207345065,-37.711366508882136,-35.15300858324371,-22.083876795141023,-23.780292723098643
