z_20231001,z_20231002,z_20231003,z_20231004,z_20231005,z_20231006,z_20231007,z_20231008,z_20231009,z_20231010,z_20231011,z_20231012,z_20231013,z_20231014,z_20231015,z_20231016,z_20231017,z_20231018,z_20231019,z_20231020,z_20231021,z_20231022,z_20231023,z_20231024,z_20231025,z_20231026,z_20231027,z_20231028,z_20231029,z_20231030,z_20231031,z_20251001,z_20251002,z_20251003,z_20251004,z_20251005,z_20251006,z_20251007,z_20251008,z_20251009,z_20251010,z_20251011,z_20251012,z_20251013,z_20251014,z_20251015,z_20251016,z_20251017,z_20251018,z_20251019,z_20251020,z_20251021,z_20251022,z_20251023,z_20251024,z_20251025,z_20251026,z_20251027,z_20251028,z_20251029,z_20251030,z_20251031
-15.73906982751479,-16.913916079307157,-22.22616338869815,-15.739889694628696,-18.122940962979925,-26.388978824544502,-69.02366258710363,-16.684834716772368,-16.297778692673816,-16.40064699267754,-15.754648171304545,-15.749420571319003,-15.795337415156762,-15.747409263567093,-16.076103208977806,-16.00235085264989,-16.339526910459508,-17.288395398599068,-17.840961894318138,-34.154731071600935,-16.54057064598991,-198.884408621696,-28.577251057616877,-18.09265219523874,-40.8448153503781,-140.54863874431103,-33.61279964709623,-17.6622309716099,-31.7010712019106,-22.743836425739666,-17.35370250170763,-16.327809353011514,-16.454632170362004,-16.327992511366997,-18.603724218307967,-24.801234176130905,-22.528520320919622,-20.970735724732315,-23.636270772381657,-20.57538545423271,-18.569769493576636,-17.582501715939166,-21.045019201622626,-37.996271347310554,-31.138067549894007,-24.02862293170275,-19.655444924954793,-16.328437421413796,-25.832148131375867,-106.90289422949448,-52.98952283255447,-19.02815212015648,-17.15577096355835,-17.24922759855967,-20.22194371886305,-20.101402162801723,-16.918750346103934,-17.942328863018677,-19.45138837009854,-19.01569868599496,-23.11033363363406,-45.19595667794939
-15.370372715372485,-16.539047707387045,-22.008934827962502,-15.371128359364969,-17.848555661092057,-26.25467808327646,-71.4631475169923,-16.327390952681494,-15.949667723940442,-16.032559423671657,-15.386903536626766,-15.380402212272458,-15.427823865968428,-15.379026529145788,-15.72344205913192,-15.635891820891263,-15.979718059869764,-16.99314810972426,-17.498768573044504,-34.42583896410637,-16.25286734504884,-202.61558161827844,-28.55709092580241,-17.790649374317486,-40.51033560770129,-145.72970691249768,-33.433594891219855,-17.349569691409407,-32.39340352351432,-22.72817292415978,-17.049729068706323,-15.945111426568799,-16.072781908148354,-15.945284196889215,-18.24962915235089,-24.669731662154042,-22.438105556239712,-20.87608877141472,-23.610023858451747,-20.434671386496383,-18.40366618887094,-17.265842219784105,-20.8603989953005,-38.10738481871058,-31.5729560154492,-23.8279206507661,-19.278642873933595,-15.945694242678794,-25.911213882847832,-107.82357405794893,-53.961628749341344,-18.771766387630485,-16.802412906271847,-16.946730635450816,-19.90902381738128,-19.790081745512744,-16.55816440187531,-17.676656222645207,-19.14429366336324,-18.678370080039755,-22.8367777061281,-45.479567305295895
-16.186266244703525,-17.210268038520912,-22.452324714335386,-16.187217824079877,-18.34728741680859,-26.02232563593212,-68.24499746820396,-17.109100817839387,-16.726165083392804,-16.81335738890921,-16.201776313601393,-16.19635961606605,-16.23597644400326,-16.19411639075459,-16.50418685865862,-16.441106862392477,-16.718647021405634,-17.658762631432943,-18.159975015308007,-34.05306294982991,-16.957115113972144,-193.76425905352275,-28.726106087541694,-18.409953911217155,-39.40503972574439,-134.77271907586933,-33.50203414918623,-18.01153567480781,-31.683905525325486,-22.908450046994098,-17.74541313002448,-16.80544838405424,-16.918692775333955,-16.805680520115484,-18.988936924102013,-25.022715173232854,-22.665446962252375,-21.333131608986797,-23.8382448135298,-20.873694764348688,-18.986220439730236,-18.004447829350188,-21.376905353388253,-37.71901972314673,-31.27492645706712,-24.252624465230863,-19.889990955572845,-16.806179105353028,-26.02037668702046,-105.5892450935589,-52.82387069597809,-19.424936257188715,-17.596019394569883,-17.699003644852535,-20.57978048898892,-20.30751730994378,-17.36604857297709,-18.366003296624577,-19.661007883849948,-19.40352578963098,-23.319337478986537,-44.64185667363284
-16.38610036508942,-17.47468914721145,-22.626721612400956,-16.38710087948143,-18.541424742156558,-26.35161487252728,-66.71550479986267,-17.303522730148906,-16.91246636783121,-17.02638545112158,-16.40036142426255,-16.39661573523203,-16.43714667887969,-16.39389128485839,-16.694767626157372,-16.641913309610874,-16.936698633324966,-17.819096050296825,-18.378587290184015,-33.85400325535524,-17.08938558662239,-192.72744765799226,-28.711194950408306,-18.606202152351344,-40.334705011171785,-132.92664007688072,-33.773734511807106,-18.190620034141656,-31.163851098003683,-22.926698434512804,-17.904105584998774,-17.009096394699526,-17.12682820683923,-17.009324190069854,-19.201374201952916,-25.101489916449793,-22.7582721467369,-21.304041842764274,-23.803349325131748,-20.911523352925563,-19.01146227841549,-18.163649559428464,-21.469170194146873,-37.76334503464841,-30.888475800914858,-24.381517214382406,-20.18646767034622,-17.009845203736305,-25.88204327800486,-105.42929072560146,-52.0877395749789,-19.543569809468615,-17.78095788956663,-17.834185988154406,-20.759714893217055,-20.53922736201725,-17.557781513113955,-18.477311168338925,-19.887224273727533,-19.59253318771958,-23.523719581321156,-44.717811804114845
-16.14806646506366,-17.257391580697806,-22.34528817153092,-16.148860195161685,-18.494170405278542,-26.490190936177836,-69.40013596557576,-17.02975811861003,-16.684828590408454,-16.764287846602578,-16.162391689359904,-16.15719911062976,-16.200944776143125,-16.155480988244793,-16.475135464530588,-16.393518883749515,-16.72235200352179,-17.651205951529306,-18.12945295414796,-33.94095077150487,-16.969339147167375,-191.90417534869198,-28.432464682695247,-18.41656136600425,-39.843113728495304,-140.28924562330405,-32.98377133457944,-17.98516861141378,-32.18912297147814,-23.069870706311214,-17.70774062931858,-16.750463673512975,-16.86932711174451,-16.750646850205147,-18.896167455457803,-24.88208532602863,-22.8699290806524,-21.363934236996528,-23.918002541923233,-20.9552731797941,-19.0509415131711,-17.96609958434332,-21.326617987708964,-37.472867330401826,-31.430461886801112,-24.09907196581414,-19.88073335725188,-16.750957781702205,-26.07521308864289,-102.60945338675332,-52.27917539612315,-19.368026066933805,-17.53606683386345,-17.676482972300125,-20.432496316465144,-20.37260478620663,-17.313050107557903,-18.355719685053582,-19.78625195758897,-19.295194064498485,-23.176437779181178,-44.508610212136325
-15.244931788249737,-16.475968174887605,-21.980684637382524,-15.245673707822467,-17.773234149968157,-26.381606442823646,-70.8686273058374,-16.222830058295607,-15.829998258578911,-15.928744419790375,-15.26156125494032,-15.2554361294186,-15.304741804963475,-15.253839960022011,-15.60165415939959,-15.517153138756967,-15.878564420724201,-16.880607200490083,-17.434894978296516,-34.441421421967355,-16.1082775955153,-205.00298172160703,-28.573675100870012,-17.70374021946588,-41.27526493139058,-146.0684424616779,-33.69501535459091,-17.259383244579308,-32.07279405712258,-22.598405086770924,-16.936435048055138,-15.811289314229203,-15.944473910715121,-15.811454230556745,-18.168107105236732,-24.626274210764194,-22.338304486010777,-20.70024774455907,-23.488092790059085,-20.29685885924266,-18.208634730843624,-17.138562422375024,-20.74611118311965,-38.30582400481555,-31.33269573894784,-23.809814206051588,-19.26189064279124,-15.811891926855548,-25.77968606604181,-109.09113405311368,-53.91323147991641,-18.646159831708598,-16.68193747514048,-16.79632653704801,-19.84585143456205,-19.75724020683224,-16.43388260990675,-17.526287598891525,-19.09549090701441,-18.596190610782184,-22.83981993326668,-45.73111198952447
-15.701546137124277,-16.721693410743338,-22.36436616164198,-15.702545253250248,-17.855267452678522,-25.657878724763485,-69.1112153477288,-16.702408198802384,-16.274313112028025,-16.369993854302553,-15.719165551481586,-15.712814164298523,-15.752822057174274,-15.71041045543755,-16.032102952162028,-15.97810500543188,-16.239371091678372,-17.240717011666028,-17.77518088087488,-34.46324415776111,-16.480912024529264,-203.2192716354552,-29.06969068715332,-18.002116912322542,-39.58328849272946,-136.28074724971333,-34.25511029615938,-17.617383019041263,-31.57515922435219,-22.609381588335367,-17.344182288087573,-16.310371391345463,-16.426340999715435,-16.310631009098408,-18.623376534668107,-24.996607158060364,-22.294330206050127,-20.98119188455897,-23.56645874712044,-20.49588392214966,-18.517641680001045,-17.569387338786406,-21.124215078621656,-38.37376902725689,-31.279381075638852,-24.19868938839497,-19.50070855252307,-16.311295121343697,-25.873683093613863,-111.1324671404767,-54.298991373744634,-19.080764396249524,-17.150834026739734,-17.230127970841902,-20.33232644436442,-19.900289899655473,-16.902855198935825,-17.92225414281323,-19.1979307258765,-19.067694860483584,-23.174543941932477,-45.396540341246066
-15.918331876300918,-16.96856096592941,-22.3971544697435,-15.919293892503177,-18.100920772127896,-25.921078577093134,-68.45568722330117,-16.881501477387673,-16.474259353015213,-16.57122131326558,-15.934727023967776,-15.929094340084799,-15.96967387694103,-15.926753221071886,-16.243479179894624,-16.184619384269336,-16.46270744491692,-17.426838722877537,-17.95961325678795,-34.229906787168446,-16.686652933010077,-198.74493210301037,-28.85803725480841,-18.1955983666992,-39.80861877788566,-135.7368002338448,-33.90839392964923,-17.797629098721988,-31.538142550948763,-22.733408610229233,-17.518051346818947,-16.52961331184254,-16.646407136784603,-16.52985286184354,-18.790460046284224,-24.987612326982873,-22.472304263884272,-21.103964601111468,-23.670278735684853,-20.648742884731472,-18.701659969229013,-17.758516663318126,-21.21910100250721,-38.066786872541414,-31.18830177648679,-24.207600652907786,-19.70944146843757,-16.530436100518596,-25.895958846312634,-108.42079599898267,-53.42491133874,-19.218956036621687,-17.347007038008442,-17.428836840194958,-20.437195456347506,-20.111021327195274,-17.108273206384,-18.108220574291295,-19.428790640549504,-19.21539461965446,-23.25253318288562,-45.08073801202532
-15.576584335543897,-16.651075167174202,-22.277454047022157,-15.577526455833402,-17.809924651292825,-25.8061746594872,-69.3141268294423,-16.578346805911323,-16.152764837106723,-16.252844628542682,-15.594069302580342,-15.587827996470361,-15.629968758189563,-15.58558976038427,-15.913258894675867,-15.853490827381465,-16.136132315095836,-17.13928569415322,-17.68759735984842,-34.470938889960344,-16.368165874775023,-204.05120151554968,-28.963206075245317,-17.921078274014242,-40.10488847513033,-138.07307881911638,-34.200673484648384,-17.521714960770755,-31.602472249076428,-22.575097209228247,-17.2319032630928,-16.175815340234927,-16.296519041477595,-16.176052437604543,-18.513003300241106,-24.91677202764425,-22.27663342431662,-20.881022450319644,-23.525054774365934,-20.41637384693907,-18.407088173163654,-17.452133583637977,-21.024577699869734,-38.40468916096831,-31.23611002660173,-24.111962264523434,-19.447436282009154,-16.176686593605933,-25.82002155024383,-111.09445074985499,-54.22721826799355,-18.963319657740566,-17.026855362053652,-17.1053958580366,-20.221167810876295,-19.85402697989133,-16.777796993253364,-17.80677671368344,-19.145239686027125,-18.952808831328785,-23.11627683675806,-45.54470769623042
-16.26418734654006,-17.267268261376035,-22.4847782573461,-16.26515549647746,-18.397743081632765,-25.99391467293692,-68.1823367225757,-17.180255093194507,-16.800586885110366,-16.884771118030105,-16.279610003208305,-16.274180748686216,-16.31301593033546,-16.271922223822415,-16.579211232088966,-16.516971478491648,-16.787982987201328,-17.724825586359472,-18.215903577528003,-34.02879024715108,-17.032805867747342,-192.7258933719208,-28.73442307803092,-18.467636493133732,-39.19229330131993,-134.09899175759176,-33.44982164999425,-18.072764287191344,-31.711236666620376,-22.94906624609686,-17.813803356696763,-16.88754093424842,-16.99887036317275,-16.887777817738357,-19.052122407213187,-25.053251916434796,-22.70275818487891,-21.401902685195523,-23.881432006030746,-20.933444461882843,-19.065760108689613,-18.07746094252194,-21.432460750277375,-37.65531927085724,-31.309842574011885,-24.285274560475795,-19.934194585457313,-16.888271788183946,-26.060012104711085,-105.1575397810946,-52.766915732934706,-19.492186919412838,-17.671065220178942,-17.778502130747697,-20.63469480546466,-20.35055268932133,-17.44285367842419,-18.441326900332516,-19.710881717651453,-19.466327179338,-23.34852933530674,-44.53806164276649
-15.378684512882932,-16.531699091613437,-22.05747793662912,-15.37949130785344,-17.790410364245695,-26.106459420115577,-70.62447117596271,-16.357176159637675,-15.959240294869774,-16.05098856758834,-15.395668673429453,-15.389233183071214,-15.43545056460345,-15.387562683801622,-15.728321241786624,-15.649501491450504,-15.976876988853174,-16.988298496012987,-17.520162443426326,-34.45817031736414,-16.23078152496079,-203.63434652818034,-28.676551607875282,-17.78718728268254,-40.57070401008274,-143.18056470015162,-33.71864243192954,-17.3599987149707,-32.04729884801338,-22.627497632963134,-17.05649370384069,-15.9585426363871,-16.085565667780017,-15.958730704686097,-18.29069860088248,-24.723789393080793,-22.335919905960083,-20.82266370662043,-23.550034672102925,-20.376120381416065,-18.337266934602823,-17.271320201932816,-20.863199881423398,-38.249792202383944,-31.408509598669887,-23.897204112966357,-19.305885638902698,-15.959220609118002,-25.848842890040867,-109.26027413390605,-54.0778102075554,-18.779588423510578,-16.82060974945912,-16.93739264280833,-19.974167450335678,-19.77813823825643,-16.572576436352165,-17.660497492113535,-19.10114179152206,-18.7244087335252,-22.9161394044435,-45.57470255335111
