z_20230901,z_20230902,z_20230903,z_20230904,z_20230905,z_20230906,z_20230907,z_20230908,z_20230909,z_20230910,z_20230911,z_20230912,z_20230913,z_20230914,z_20230915,z_20230916,z_20230917,z_20230918,z_20230919,z_20230920,z_20230921,z_20230922,z_20230923,z_20230924,z_20230925,z_20230926,z_20230927,z_20230928,z_20230929,z_20230930,z_20250901,z_20250902,z_20250903,z_20250904,z_20250905,z_20250906,z_20250907,z_20250908,z_20250909,z_20250910,z_20250911,z_20250912,z_20250913,z_20250914,z_20250915,z_20250916,z_20250917,z_20250918,z_20250919,z_20250920,z_20250921,z_20250922,z_20250923,z_20250924,z_20250925,z_20250926,z_20250927,z_20250928,z_20250929,z_20250930
-17.403928100461446,-21.630767880370364,-10.368260445782553,-10.907256152076064,-10.892000817497305,-10.503485579453868,-9.201613096480452,-10.263553734220094,-9.241902662846298,-9.266376041624772,-9.748398798963501,-9.753792145931474,-9.248728775260796,-9.20152036466811,-9.931129901520706,-13.896670958508443,-9.201348342699136,-9.201348342699136,-9.201348342699136,-19.288867608793865,-51.392831335122594,-14.951196134685205,-23.55692053764389,-18.46309139172876,-22.12612122322773,-14.345509989650896,-9.37686765015826,-9.381981746986817,-11.757012021844892,-35.47816459801221,-17.21971551577997,-19.287604886064166,-29.674900493985376,-14.059576895549714,-14.632130889447172,-20.050717311591725,-26.961096576371766,-18.234024142840106,-12.611223899070257,-13.605058456313214,-11.305893877283761,-25.07381748172419,-48.45734818121951,-93.41878009823319,-11.392234174866871,-9.759296925276006,-9.753757487114944,-9.987120371634445,-13.804574445796169,-98.33700006050944,-196.27729682028158,-10.376749755916213,-12.953883643277855,-20.698272549363864,-9.645233466764667,-9.529468099529142,-9.555325102539559,-10.220727693888373,-14.96130897785455,-29.494170286862953
-17.224399010866513,-21.807285919771466,-10.140452329883285,-10.684881150994302,-10.637143951916446,-10.3017553855908,-8.934918856390805,-10.039174522375882,-8.976913768060054,-9.00303384340209,-9.497435780371182,-9.50845363722853,-8.984545845212018,-8.934840924896216,-9.693012405247769,-13.779143790651567,-8.934613429695002,-8.934613429695002,-8.934613429695002,-19.16053345397824,-52.5741061846207,-14.85011005710236,-23.58438787370916,-18.548178916530038,-21.57957587778095,-14.154115780246226,-9.11794421549304,-9.12185834296461,-11.502898164336933,-36.0770574402425,-17.17964401070769,-19.37220525877271,-30.224349279804056,-13.92538183657183,-14.52151203992176,-20.024990692900026,-27.21180543230837,-18.4207026676806,-12.459650330579533,-13.303440018799257,-11.040152817628567,-25.14054755296943,-48.95713183318959,-96.05450830580587,-11.198108158921386,-9.500571195493729,-9.482064558944517,-9.73982966446089,-13.652476231237564,-98.28834691568858,-199.44696260305128,-10.14840051857289,-12.819747689738607,-20.677903608976248,-9.384451561552702,-9.263044217450409,-9.289672725999326,-9.951193250279905,-14.619450748395765,-29.65100453907078
-17.125189198288425,-21.887447361687055,-10.338934360908317,-10.854918824443999,-10.782406975108941,-10.550640754535694,-9.148306975425152,-10.272504108715843,-9.190762792090986,-9.217660793732405,-9.708333418909213,-9.72747194611045,-9.199684786100294,-9.148216270360688,-9.913572998252645,-13.996281802143951,-9.14794831533886,-9.14794831533886,-9.14794831533886,-19.009450172516416,-52.88881962811755,-15.017902391989923,-23.521821453962886,-18.88522382783211,-20.87987212770839,-14.235345213924603,-9.333327982873382,-9.336083986525484,-11.61163119783475,-36.034257938623114,-17.34801826314641,-19.580593219173124,-30.70180257791401,-14.127358114726858,-14.761812465800277,-20.120083865955575,-27.340986500626762,-18.966710354169543,-12.719104757250518,-13.323732003495044,-11.197043393844364,-25.102892552316835,-48.974341388159885,-97.14681139051092,-11.451623078974787,-9.734229292389536,-9.695994108508957,-9.975984108267895,-13.850910541369961,-95.08189179893472,-197.1510979774271,-10.401703292938203,-13.078906823565408,-20.71659607498712,-9.621340928600524,-9.49592244164948,-9.521993068714657,-10.146420740599861,-14.506102461469045,-29.3307599627234
-17.32424315017175,-21.517508467113007,-10.400402986930123,-10.933582012369957,-10.917462861253673,-10.547084567654478,-9.245962338447542,-10.309936688142567,-9.286232631811485,-9.310634656001435,-9.789998528040696,-9.79696621853409,-9.293306661423816,-9.245863913398018,-9.975023204269249,-13.933968151742494,-9.245690525407822,-9.245690525407822,-9.245690525407822,-19.20896165486834,-51.19276306721496,-14.965723869979309,-23.524854327377636,-18.51018193459618,-22.01381511230493,-14.352247619669907,-9.420781563930149,-9.42608374331192,-11.792176766923667,-35.23415471433781,-17.22960267585881,-19.27191857157057,-29.583201761183062,-14.093779486012092,-14.681466990206836,-20.06589331856717,-26.931044739052545,-18.304542686544274,-12.654326175016372,-13.629998379846729,-11.340010227229353,-25.016934365424987,-48.506606727831546,-93.50518714166299,-11.431930644643293,-9.806251651789754,-9.799542694589132,-10.032496190987393,-13.836801158329575,-98.18591597333055,-196.50634756570636,-10.425228184882538,-12.99108781687326,-20.689925119630864,-9.692811800033516,-9.576437829880515,-9.601996243382331,-10.26470825818412,-14.97234928114818,-29.356603121195555
-16.948143175522397,-21.79639201139501,-10.282256078612537,-10.779298287537705,-10.702254653634743,-10.546051711716046,-9.088397267492352,-10.256076068402677,-9.13207417712525,-9.159810345114039,-9.657751896289021,-9.684467522119647,-9.142378480629542,-9.088271875529633,-9.873450694835746,-14.032708206931115,-9.087980918716646,-9.087980918716646,-9.087980918716646,-18.787805639777368,-53.69140761818048,-15.026158475776722,-23.50599736338539,-19.141196596251305,-20.461682650049966,-14.186629102539552,-9.27836703771751,-9.280767097529823,-11.521702144127683,-35.99252934300118,-17.374605293722446,-19.62730123765005,-31.209169224586333,-14.141825200602545,-14.847736076257334,-20.204184371860936,-27.53508513065245,-19.372611829337966,-12.74674659247127,-13.218581645005804,-11.119872825233749,-25.14806260523377,-49.86068722499527,-99.7214016891441,-11.450925424006359,-9.68286911558072,-9.630799329097538,-9.929891837947917,-13.858530823034325,-94.58751406069635,-200.0828847674177,-10.384624112323301,-13.105994991840523,-20.737647029703076,-9.570611204487575,-9.438231166494312,-9.46425254598306,-10.07990237899612,-14.329962393214576,-29.07503387303853
-17.210799489727645,-21.368139885003657,-10.44321138838289,-10.967773821839403,-10.948145845073107,-10.607823154944683,-9.30470522652929,-10.373404603138034,-9.345017675179722,-9.369399878751013,-9.845370119041137,-9.855016115377111,-9.352506410732902,-9.304599742049655,-10.034248165557793,-13.987419719396062,-9.304421149780396,-9.304421149780396,-9.304421149780396,-19.087944957784416,-50.968842776055006,-14.986627261398205,-23.478535814421587,-18.587865741260597,-21.82060488426687,-14.358800035341746,-9.479226632986537,-9.484713675850783,-11.835708110442042,-34.91305288223256,-17.248076572398382,-19.25816185405244,-29.492680003375362,-14.142595869970238,-14.754234438954686,-20.090810009451545,-26.904341548659914,-18.4240108065051,-12.71637366237741,-13.655001313861728,-11.38265745828624,-24.941770116303537,-48.58192342309219,-93.73677263496724,-11.48792117515235,-9.869634370457785,-9.860269030457506,-10.094096438943888,-13.882022702560668,-97.87534441682095,-196.90115476726362,-10.492252786275428,-13.045218723455132,-20.679431002120218,-9.757113966829474,-9.639570361898603,-9.664713165753898,-10.322448373932835,-14.973883294670753,-29.165901910491876
-16.95100716786089,-21.472591154418375,-9.855309309066767,-10.405232472046645,-10.367289792899184,-10.038006497677893,-8.641250842034406,-9.7803807263281,-8.684410962087055,-8.710848297998739,-9.214924501017546,-9.228103532677718,-8.692511794866313,-8.641152758895878,-9.418090372804565,-13.608852181471937,-8.640923807074616,-8.640923807074616,-8.640923807074616,-18.93350408740548,-52.9057496352726,-14.668052509171535,-23.59797267464132,-18.52159816771164,-21.56962159665229,-13.96344692823576,-8.828329582657231,-8.833231135655003,-11.29147991283343,-35.82991380471212,-17.025327410485176,-19.186147197977782,-30.113389495069168,-13.734408845962506,-14.383653073001117,-19.999321707134754,-27.260659061391898,-18.372522632231913,-12.23226668526718,-13.133088368376782,-10.778158405235306,-25.10975678942731,-50.01027350545694,-98.2592084638544,-10.926418678727936,-9.200449869223595,-9.184522743739423,-9.442342268993226,-13.447978742174978,-101.13538709848176,-206.2055719801932,-9.868612534616055,-12.586856216357729,-20.623687154777983,-9.081351141749959,-8.95536231631156,-8.982283555610346,-9.670078733474455,-14.49297911052161,-29.565473178063346
-17.3426484219317,-21.651186148113474,-10.780192423394235,-11.28771176619571,-11.240011454109984,-10.954371774195137,-9.65934902630969,-10.709116023376183,-9.6989661282517,-9.723548465632307,-10.187856418583491,-10.201051912674167,-9.70680775982825,-9.6592624320269,-10.37759086417329,-14.24123689647765,-9.659058108393852,-9.659058108393852,-9.659058108393852,-19.176298061052997,-50.73923420652386,-15.217989734008512,-23.424297809093723,-18.78200075488163,-21.411819070109672,-14.546714318942684,-9.831524892969913,-9.835681137708065,-12.06923626576296,-35.011296088200005,-17.46381384468603,-19.513431256991893,-29.763669267493032,-14.409016510174022,-15.000805211251832,-20.16941516591654,-26.931944634126737,-18.748012243480716,-13.040731629720788,-13.801209314705789,-11.676467120282508,-24.927957833751137,-47.648010005876074,-92.41920414603018,-11.843234777126028,-10.242394013483272,-10.22057502313038,-10.4656842356473,-14.155364261587474,-93.9125652526109,-190.4755752468948,-10.858027232468729,-13.37239341927071,-20.745469645391765,-10.134084920533732,-10.018222375595977,-10.042762636127133,-10.659413821293375,-15.021931033531944,-29.062105493514288
-16.731727594142058,-21.22857606676077,-9.514593989157287,-10.07576960091209,-10.048232880075487,-9.71181854385341,-8.278128932159888,-9.456017569579053,-8.32267001359524,-8.349607103606749,-8.867763076928261,-8.881841721075359,-8.331095983816061,-8.278015078689549,-9.077562476668675,-13.396776441003881,-8.277782295438996,-8.277782295438996,-8.277782295438996,-18.75200537135444,-53.541933915791375,-14.462209549675435,-23.66003553757492,-18.469637261894718,-21.63225552486236,-13.753607394213306,-8.47041890961038,-8.476200771141354,-11.03163069835941,-35.82678351060051,-16.859923217054288,-19.014729156999383,-30.112104382442066,-13.501356849158464,-14.195977847361828,-19.96930847047954,-27.364344989861767,-18.276974204653087,-11.949440080752233,-12.924262062509854,-10.461997634855544,-25.1433460043381,-51.17886713360264,-100.79347237729093,-10.594823291726932,-8.828680745409565,-8.81622457858742,-9.07522078002799,-13.199506505012295,-104.48715998295265,-213.6606728618618,-9.518965352281395,-12.303239092133778,-20.58155019359386,-8.705615101361964,-8.574875143743403,-8.602392356538422,-9.321541336341324,-14.339029603231701,-29.628809938338318
-16.685484912939067,-21.130720357425503,-9.763355142370886,-10.302508960054181,-10.262320001136917,-9.98547400315777,-8.56233197999328,-9.731298265041254,-8.606312501416348,-8.63305186133987,-9.139181600660814,-9.158061315649258,-8.615361872858156,-8.562213384300584,-9.35203253092659,-13.598299607042902,-8.56197111190757,-8.56197111190757,-8.56197111190757,-18.63890301929167,-52.98097742406389,-14.608012074913377,-23.546472969476213,-18.64935683354225,-21.259512078962885,-13.878213861178494,-8.751895990873654,-8.757402346433754,-11.229216929468478,-35.34280554931042,-16.986297312530397,-19.093499297712246,-30.071837646151764,-13.705611679179778,-14.423482712075959,-20.0350607682542,-27.300954824078595,-18.56755588950308,-12.204977594019613,-13.061677829569135,-10.69192696272317,-25.021696984176614,-50.72272474772661,-100.04778202186068,-10.866157518361518,-9.126145915884633,-9.105420570175106,-9.368148439536393,-13.405788562006899,-101.93110494123013,-210.44816552210312,-9.814093566254929,-12.547217908398743,-20.59207673994556,-9.006875582198159,-8.876029243863561,-8.902577760411253,-9.594646270801404,-14.402405566575172,-29.275409998707854
-16.9980737470016,-21.34625205669166,-10.319621307373446,-10.83887949504425,-10.795181555105058,-10.520350023543541,-9.168029464067551,-10.272661672881524,-9.209613660930227,-9.23511686943284,-9.717198709706366,-9.733664421534122,-9.218112236566636,-9.167924272095917,-9.918274695381237,-13.951931637561641,-9.1677033863786,-9.1677033863786,-9.1677033863786,-18.888325740995732,-51.64372929822054,-14.934302398257902,-23.452362321609687,-18.72772425607652,-21.29955414939704,-14.234338757583789,-9.3478619862305,-9.352731500216477,-11.690318663590212,-35.03066080831605,-17.236442363411435,-19.298571728697283,-29.846058296298565,-14.090607414003294,-14.74693827808985,-20.10285181645975,-27.072051779370874,-18.681021728952935,-12.666207972048532,-13.465699068595926,-11.231426123678773,-24.934002176472603,-49.05944827462696,-95.88804889331844,-11.40358331676303,-9.742773504100622,-9.721072242298515,-9.973805715920028,-13.815821335258825,-97.4905712321837,-199.66059589890202,-10.391874858253326,-12.999963609801986,-20.659693181295985,-9.629740125298433,-9.50680021589794,-9.532125445319455,-10.182243775427548,-14.737269389319724,-29.07889084514523
-16.862456804092577,-21.031538951517383,-10.259419816452278,-10.774848238818564,-10.744057540091697,-10.47287252214484,-9.12322530911808,-10.236274897051002,-9.164929685418995,-9.190096333860113,-9.672160615520523,-9.689365900894261,-9.173667048663177,-9.123101875426425,-9.87507341588013,-13.924730271122503,-9.122893500458982,-9.122893500458982,-9.122893500458982,-18.724668421425122,-51.37303627309053,-14.876016237390132,-23.425830938803653,-18.73161964969613,-21.3408218513647,-14.198483478232244,-9.30266406767277,-9.308508358492894,-11.68096989699048,-34.54399084708984,-17.179084330178693,-19.164386499148193,-29.578538966784407,-14.055687360822173,-14.748561489623794,-20.112828744846404,-27.009673757217236,-18.66179386625383,-12.62335841929171,-13.480272618778208,-11.195869620134705,-24.85982577361582,-49.50225301530812,-96.41912890682292,-11.346327236851385,-9.694721420256622,-9.677038652663146,-9.92243324175684,-13.775409873900461,-98.8895271479148,-202.64486113962852,-10.347059366647962,-12.943117131817832,-20.628875437113706,-9.581255940621624,-9.456863529774576,-9.481826228006199,-10.144652478133262,-14.772683239445168,-28.900831404922393
-17.217702163505198,-21.679582422369105,-10.319848438534194,-10.852187126405264,-10.807338598849874,-10.488037296783533,-9.144431374988944,-10.233461783891233,-9.18571266784361,-9.211273352625595,-9.696087260050177,-9.708010928303763,-9.193456123994094,-9.14434673428018,-9.890417041276594,-13.910654595223871,-9.144129485204253,-9.144129485204253,-9.144129485204253,-19.126576267443177,-51.91755165534569,-14.945814991381017,-23.522180013462922,-18.61404396630711,-21.53509525643927,-14.260467518068966,-9.323986836111265,-9.328206018752653,-11.67047995028365,-35.62375035790177,-17.247527114437062,-19.37884536170727,-30.00578840644998,-14.06165106303677,-14.664042908703621,-20.065157616185825,-27.10252045944757,-18.510625572985,-12.624486114354282,-13.455502498619554,-11.223570910909947,-25.049102317391306,-48.641745777512824,-95.01749516248641,-11.379696136578906,-9.714469791440077,-9.695912620299211,-9.948072082890452,-13.793899159753602,-97.23773671876488,-197.29857158318924,-10.353023928937885,-12.97295108437465,-20.686421824334825,-9.600667188520287,-9.480698981861055,-9.506613414928124,-10.157168217793899,-14.74794500487933,-29.41546910662614
