z_20250401,z_20250402,z_20250403,z_20250404,z_20250405,z_20250406,z_20250407,z_20250408,z_20250409,z_20250410,z_20250411,z_20250412,z_20250413,z_20250414,z_20250415,z_20250416,z_20250417,z_20250418,z_20250419,z_20250420,z_20250421,z_20250422,z_20250423,z_20250424,z_20250425,z_20250426,z_20250427,z_20250428,z_20250429,z_20250430
-21.352091958203555,-21.47061250558425,-21.361960893333727,-23.133513421815127,-30.482921804632724,-21.396894772157562,-23.04143505005829,-44.91272036840176,-58.41240617345258,-21.758197691713743,-21.38699444948589,-21.507492708149865,-21.498856299687827,-21.699812408573838,-31.262186000443897,-21.509061350035637,-21.436080122296346,-21.341586728499244,-22.270325043050942,-24.464393955432943,-29.488486421656,-58.67380537039101,-222.5695315849257,-92.71391367127228,-22.58877456708967,-29.375434731321832,-23.972922870522417,-22.155245076520185,-21.395001361327644,-21.362959094564378
-20.595603139665414,-20.73166224419172,-20.590589778532333,-22.59845508718474,-30.266076925007578,-20.631162205234006,-22.47754619202829,-44.793100131733624,-59.692243380027776,-21.0138561884006,-20.646516413094865,-20.765009623450418,-20.778290089807655,-21.002492354583993,-31.129766170332875,-20.822681596131854,-20.707547997139805,-20.58791492928806,-21.600064705922577,-23.981270423048414,-29.479267826040598,-59.70020111138457,-233.3086994361075,-94.59593311527654,-21.96004082175579,-29.361613273425505,-23.495619961875022,-21.467044442578327,-20.63604770082048,-20.592398765129342
-20.241957981525125,-20.384606721635496,-20.23189015084,-22.332918208608714,-30.18018956713793,-20.274851190419756,-22.20459739361513,-44.86129431369922,-60.41901833877556,-20.66933562520817,-20.29892638252483,-20.417763434104927,-20.43816979134914,-20.67356448404228,-31.091722094239042,-20.49425499209265,-20.364162928338587,-20.234866292722067,-21.284952943475805,-23.752752820454976,-29.442706578542083,-60.37427789417977,-238.53662027970896,-95.87217171531162,-21.662949591296798,-29.33883046419448,-23.258495490258458,-21.14526634082354,-20.282067591473588,-20.23403432539907
-20.61715988772731,-20.745517690222634,-20.617334641751455,-22.501428466156426,-30.178544663624233,-20.659296417119748,-22.43984591736909,-44.79781883614024,-60.25655677605431,-21.054852618582043,-20.66156524004534,-20.788957983273207,-20.788898582697943,-21.02470527394944,-31.286077073696287,-20.820828158910064,-20.716175148146615,-20.605591363834066,-21.61697353010692,-23.986569882624583,-29.233361010317612,-60.81291000600653,-230.06072240301745,-95.90528483949997,-21.984601469753553,-29.22990944233784,-23.431708577072655,-21.49356813135214,-20.660737932330434,-20.619321981546733
-20.29159480760216,-20.429410656394886,-20.284437820862017,-22.304308786489322,-30.111728911033616,-20.32813784277957,-22.212661885980122,-44.784010183563616,-60.65179574753476,-20.72851455676991,-20.344316553015833,-20.468462222275804,-20.480998947400106,-20.722560187099784,-31.188899628301286,-20.529989943882484,-20.405943296252218,-20.282353952360918,-21.329153338500692,-23.777082990671282,-29.308772485897116,-60.92535171549095,-235.72369983099213,-96.3732875822502,-21.711136447122367,-29.273335997603258,-23.250004000976528,-21.195273538185887,-20.333327101138508,-20.28666441074893
-20.303902551309122,-20.436620828336064,-20.30010044434728,-22.236554738442628,-30.068258493902306,-20.34486128900855,-22.186355724878926,-44.80607977055131,-61.07313281885173,-20.754832008629887,-20.352474053115372,-20.48255125289134,-20.486206329070964,-20.736337409446033,-31.302509517864777,-20.527150195091206,-20.40967441557723,-20.292024773479927,-21.339154963950595,-23.785405553867605,-29.141557713209465,-61.7345170050173,-233.7174418838847,-97.32770792394774,-21.727081589987833,-29.182031068745843,-23.20553691492529,-21.211745537306314,-20.347766463768366,-20.302465084537673
-20.562470860486645,-20.694629778233537,-20.559824045596574,-22.500968341381604,-30.18230019154543,-20.601680323265416,-22.41753030649308,-44.76532506524249,-60.13359036077022,-20.993857343669287,-20.61004741765945,-20.7344114492182,-20.740377559861628,-20.973666775315667,-31.22425378539056,-20.778950848221815,-20.66780525807575,-20.552457353234534,-21.56957007711318,-23.951771636670813,-29.319154898072867,-60.480475222312826,-231.7017956953675,-95.53073205184344,-21.93743711954876,-29.278471951801773,-23.42487527058421,-21.441593210132474,-20.60476381284063,-20.56179677651582
-20.423464476233736,-20.55183999112751,-20.42309325393676,-22.298624341279723,-30.105132225543812,-20.46729462570684,-22.26444932188503,-44.85641759166258,-61.00453937811248,-20.877286358973727,-20.468450898230344,-20.60033348118115,-20.597888322901095,-20.846986086426572,-31.35330245432698,-20.630871033236748,-20.522150237817517,-20.410273579605118,-21.44404471047989,-23.865837016749936,-29.087012519615588,-61.82907142720535,-231.62127135337425,-97.37160795654272,-21.82691922861657,-29.146886824886984,-23.262799452054313,-21.32168493768501,-20.468421938514293,-20.425389679809875
-21.151217566033083,-21.272373616510738,-21.158384857575513,-22.959282121922772,-30.392838265349205,-21.195307434465153,-22.87602443307675,-44.861385818488145,-58.90567894468692,-21.566026597538492,-21.188676539922714,-21.311150289290286,-21.304840445760263,-21.51549434733866,-31.266530951417955,-21.321064694747918,-21.23919163164522,-21.140369599637044,-22.09152387949163,-24.332870505294853,-29.41314772914871,-59.254350303365996,-224.4570988175883,-93.5649076366397,-22.423639163016553,-29.331030027214794,-23.82350872405116,-21.974328394822564,-21.19431087076467,-21.159669190510318
-20.405427620706394,-20.54034117759452,-20.400464804103706,-22.378097801929954,-30.132682810813826,-20.443539694301485,-22.294689712362615,-44.76977900409197,-60.48020610180005,-20.84154826980933,-20.455548442124204,-20.58048134942601,-20.589337274359625,-20.828483396630467,-31.216032373359546,-20.633214158752722,-20.515108873052174,-20.395577762030747,-21.43014231665117,-23.850018910446966,-29.293917967485378,-60.82792976586674,-233.77257850307842,-96.11601204161913,-21.807065094184047,-29.265298663786815,-23.31768490586822,-21.29941769179969,-20.44761271538594,-20.402604092924378
-20.948170375350944,-21.07180464333573,-20.952818411180058,-22.781141108245585,-30.306058926191405,-20.991728970851163,-22.707997740483087,-44.82930813296694,-59.4305676647988,-21.37232160022455,-20.988068210843398,-21.112699110846894,-21.108359810898392,-21.328993356045817,-31.27673087310704,-21.13020096628551,-21.039889005822474,-20.936901085517302,-21.910820515972606,-24.20055311359332,-29.334067944670565,-59.87777382319017,-226.42814755866686,-94.48681705949375,-22.256731144929372,-29.285461659038837,-23.671213975560548,-21.79164621540921,-20.991547464672788,-20.954384170097452
-20.96733960595776,-21.093556098947715,-20.970130071103615,-22.838114140110868,-30.336434756782488,-21.008436903586208,-22.74405402950472,-44.79465500394522,-59.16192529539779,-21.38324833195979,-21.009295144763367,-21.13067339235901,-21.131089836618177,-21.346838078910064,-31.224072118741635,-21.1573694058237,-21.063455131375406,-20.95756288715332,-21.929527729396682,-24.215954489525664,-29.432713489699744,-59.406666853734095,-227.12233314438942,-93.85417087362674,-22.27195133373424,-29.34154793750561,-23.715606084561447,-21.807000247359248,-21.00946473820743,-20.971609612806162
-20.956448219237387,-21.080378406189983,-20.960896768075642,-22.79392309408577,-30.31163383508659,-20.99967282150227,-22.71762973222589,-44.82314387484611,-59.37774824888289,-21.379170220394098,-20.9965593468016,-21.120692772160645,-21.116967304722564,-21.336652574719018,-31.269074792712964,-21.139292361230197,-21.0486803340905,-20.945400200568447,-21.91843344611695,-24.206148078366947,-29.34995623355674,-59.793966476621584,-226.45578339208913,-94.36970941603155,-22.263508197655323,-29.29467500146081,-23.681634950694413,-21.79883958755995,-20.999639179297958,-20.96244304783419
-20.365702615011205,-20.503756453115596,-20.358661763367834,-22.387035287038437,-30.15887776735673,-20.401425608885077,-22.28220747298031,-44.78864392871263,-60.35456553946651,-20.79611716402211,-20.418545868634,-20.540429463343518,-20.5543399482103,-20.790350248920554,-31.15780744715972,-20.60319861999032,-20.480572902108594,-20.357195883379866,-21.39516985276742,-23.8272935980861,-29.373438791713355,-60.50937656221114,-235.42726440517188,-95.80747904060019,-21.770727345298038,-29.306436892553307,-23.316922864981386,-21.26067163029584,-20.406837799998456,-20.360765993933494
-20.386509642422403,-20.525697206325017,-20.378888198775048,-22.428083901640093,-30.195186766647403,-20.421107670625496,-22.310030962769588,-44.809355743080154,-60.18316493776974,-20.812223480156142,-20.44033047920031,-20.560115804339997,-20.576289190040814,-20.808704628289664,-31.124867509531583,-20.626627641532647,-20.503283830621605,-20.378769270445233,-21.413774046560928,-23.84399848971962,-29.429263173449055,-60.22178423561611,-235.9181654768871,-95.46814796209303,-21.785825104410424,-29.33422149558185,-23.347088112666345,-21.2777764239814,-20.42704881861129,-20.38092436824114
-20.34388995784431,-20.48267682621231,-20.336340212931947,-22.376026586830434,-30.15953054719401,-20.379168704679792,-22.26789225633056,-44.796631710895745,-60.37211847929011,-20.773970067115503,-20.397390378514068,-20.51886196475973,-20.53378850325296,-20.769881351302068,-31.148181852485997,-20.58385137561464,-20.459939645266836,-20.335593164111977,-21.375783194836277,-23.81380428475339,-29.382709829688512,-60.49823564031948,-235.91081117648397,-95.82807893263269,-21.751964639647657,-29.310933021222702,-23.305825044966276,-21.240463223385316,-20.384869859320517,-20.33845485835742
-20.138531066103496,-20.27819198135183,-20.12974622787915,-22.172026787497636,-30.05657072995533,-20.174774927412393,-22.08705113293858,-44.802750300877605,-61.06954751271704,-20.582419426406783,-20.19301192640213,-20.31873818995557,-20.332546534421134,-20.581155543782515,-31.200744808095493,-20.385218063222748,-20.25569999323812,-20.129014751828848,-21.193124918480326,-23.677370733186194,-29.258247677611827,-61.404615863735245,-237.49599700624407,-97.12605247689793,-21.584819021970105,-29.24778492757103,-23.13712442478998,-21.05757773932271,-20.18053682945262,-20.132149740836038
-20.68397948704525,-20.81261934334706,-20.68414797049641,-22.57578388976653,-30.210687871140827,-20.725289122421316,-22.502682748167953,-44.782535173506346,-59.983242061880716,-21.115493829800975,-20.72845259840733,-20.85394012735123,-20.855200701663797,-21.08605349531989,-31.25892491689131,-20.88724454780196,-20.783603575258724,-20.673117124234263,-21.676847835998103,-24.029729339255713,-29.293834447765086,-60.42844037634826,-229.67751913139602,-95.3610975608421,-22.03897485262219,-29.263918682036703,-23.493176283623306,-21.552732710033013,-20.726968643161108,-20.68602187285116
-20.83530996892955,-20.95498844994777,-20.842744919637646,-22.61183761606328,-30.26360207072389,-20.88337856099352,-22.57928254856543,-44.97068308636478,-60.16668576326316,-21.27930019607172,-20.87271564885287,-21.003439220590458,-20.990985362563407,-21.224292639036793,-31.38045957551791,-21.006178698196,-20.920325813605256,-20.82107479518019,-21.806820600336483,-24.132182105402702,-29.124278493437522,-61.02829737009615,-226.528826112443,-96.15163852036187,-22.163360896242462,-29.158429568012977,-23.53042811709957,-21.693400348895555,-20.881238891432034,-20.84457181333295
-21.180619756960144,-21.303231984549356,-21.186763255386598,-23.010230410529456,-30.42040269045465,-21.223173447979367,-22.9133536977173,-44.840805354232096,-58.69831281158176,-21.589549324824027,-21.219207024423863,-21.33946814426386,-21.33604126838387,-21.54294105480083,-31.234671482828688,-21.354736980793582,-21.27110846912893,-21.17075745551578,-22.118974312237423,-24.354862150630392,-29.48246749592203,-58.9142168836283,-224.73063744637886,-93.0922487801666,-22.447970005232463,-29.370810924164026,-23.864860300267335,-21.99979523472243,-21.222887348891938,-21.187972887017146
