z_20220803,z_20220804,z_20220805,z_20220806,z_20220807,z_20220808,z_20220809,z_20220810,z_20220811,z_20220812,z_20220813,z_20220814,z_20220815,z_20220816,z_20220817,z_20220818,z_20220819,z_20220820,z_20220821,z_20220822,z_20220823,z_20220824,z_20220825,z_20220826,z_20220827,z_20220828,z_20220829,z_20220830,z_20220831,z_20230801,z_20230802,z_20230803,z_20230804,z_20230805,z_20230806,z_20230807,z_20230808,z_20230809,z_20230810,z_20230811,z_20230813,z_20230814,z_20230815,z_20230816,z_20230817,z_20230818,z_20230819,z_20230820,z_20230821,z_20230822,z_20230823,z_20230824,z_20230825,z_20230826,z_20230827,z_20230828,z_20230829,z_20230830,z_20230831,z_20250801,z_20250802,z_20250803,z_20250804,z_20250805,z_20250806,z_20250807,z_20250808,z_20250809,z_20250810,z_20250811,z_20250812,z_20250813,z_20250814,z_20250815,z_20250816,z_20250817,z_20250818,z_20250819,z_20250820,z_20250821,z_20250822,z_20250823,z_20250824,z_20250825,z_20250826,z_20250827,z_20250828,z_20250829,z_20250830,z_20250831
-14.952493547548443,-16.78679532285438,-21.651112736740725,-27.697449194376276,-19.064209353814363,-18.90927399502734,-18.91596022332403,-13.280920053225392,-13.811185149609965,-18.447616753209356,-20.09132360164968,-17.398361991685768,-22.96638883557118,-13.296852750115333,-20.441217315731684,-21.233826248190283,-18.963004897385986,-98.97945234167435,-43.344372742492865,-45.45720913797049,-22.62431171067251,-27.55788298670209,-22.28879626686325,-24.525969586476243,-14.914713276275112,-14.41198296670926,-28.756395738818917,-28.619563817302414,-12.96900349585844,-12.930555007023452,-13.473275749108714,-23.46755798201486,-15.288314545218071,-16.257563899106167,-13.816153421976907,-14.808093576061927,-13.089438729048972,-77.90576094705645,-56.980925898430165,-13.47041719193805,-29.192447510563188,-24.70719452867645,-14.755941461896667,-24.967887634234074,-29.939961737330837,-32.15043354785631,-38.46799722461615,-23.19567499855613,-20.877986313091995,-12.93814024519255,-12.924635117759571,-12.924635117759571,-12.94859024105158,-13.850060744724711,-13.925475000289453,-15.066209926952903,-34.26602901986806,-41.059471038290226,-15.355905997047232,-18.716025049368806,-15.483014810212415,-16.29392310479595,-18.825567783406516,-14.957175677613323,-14.039504714368176,-17.228476248040508,-20.43848010116487,-15.150920315026644,-16.08139829607988,-15.747439030024731,-15.864909894329466,-15.457284986850755,-14.040862384864736,-83.81705117201962,-207.7811322090764,-22.29909284266906,-14.092639301396186,-13.986057689920017,-15.690864003388983,-14.326333315342678,-51.92115269056838,-14.815413029282393,-17.052360731523716,-21.538307322518946,-14.229133562967096,-15.228196172875021,-28.115943978897146,-31.776234921126544,-61.908003539859294,-20.559631077423987
-14.5822674400203,-16.46576570696684,-21.52396354163934,-27.837194663543457,-18.860453619040793,-18.706813953739733,-18.70636889377183,-12.846315148973318,-13.397770965962053,-18.220520801937482,-19.932203537698484,-17.141518165369373,-22.91886639584699,-12.86336146934246,-20.274955510451257,-21.119180455162983,-18.75002927239506,-101.3326169670595,-44.13200402400113,-46.17116037834488,-22.55051866187157,-27.610962157900943,-22.21317083480859,-24.52508051285872,-14.547985888234702,-14.026231119386804,-28.85864297413304,-28.860990526970625,-12.520868757189405,-12.480309709438588,-13.046130117896668,-23.443514632587572,-14.934531459711229,-15.928970480036979,-13.403701797863171,-14.436367998490825,-12.647094756270524,-79.92200251452827,-58.2500803759032,-13.045247079211231,-29.33291075602441,-24.665059813161037,-14.390765477778967,-25.004849608192156,-30.08914210794655,-32.478861374185044,-38.916298515671876,-23.125527036731796,-20.73785066644088,-12.488055960565688,-12.473793613378431,-12.473793613378431,-12.499043397269563,-13.438682075025763,-13.516321798642027,-14.705104808438065,-34.66209452405362,-41.713842977900526,-14.993481456621177,-18.42922974276509,-15.067968497710535,-15.90752077168143,-18.549768587446632,-14.510123889812219,-13.561192044634778,-16.881227855828598,-20.192962325083624,-14.713017185081899,-15.686716367083374,-15.34006088108597,-15.465278292107001,-15.039990750281431,-13.562135188021223,-86.17124676713365,-215.1575518857462,-22.16308362911389,-13.61546174548214,-13.50429898000202,-15.2845843678037,-13.860590488501503,-52.96126729044848,-14.372104424487075,-16.698203340441108,-21.352551977944934,-13.758968498297705,-14.797981543325866,-28.19451392510554,-32.02154511167235,-63.095473254227855,-20.365650507443267
-15.43869808993348,-17.2130770677133,-21.835387745365658,-27.548165810503384,-19.3425486129456,-19.185690971990596,-19.201564779799646,-13.847279599803738,-14.351045716233456,-18.755440986329038,-20.314347630049692,-17.742767163622492,-23.050468837785502,-13.861788035075595,-20.67446201773771,-21.40121870570683,-19.25329981041115,-96.11162736323884,-42.38664525985952,-44.60279784627208,-22.7418885845649,-27.52079080844669,-22.408226794350007,-24.553199147633322,-15.396221304910576,-14.917225074722744,-28.660396282713346,-28.34233253530169,-13.552263954559143,-13.516506435202489,-14.030363787070737,-23.52283495052528,-15.75385253665791,-16.692250212887334,-14.354825241692199,-15.295902185370133,-13.665464274327505,-75.42662587159207,-55.42718115381008,-14.024944666725956,-29.045049227450153,-24.7877079304252,-15.235161924169422,-24.946409787566157,-29.783760964808845,-31.76588540059561,-37.94517803714717,-23.309120379778435,-21.07752585518353,-13.523865845774933,-13.511319023106427,-13.511319023106427,-13.533633674966017,-14.387383964076331,-14.460027945375916,-15.540808250589333,-33.79916554054988,-40.27116937709002,-15.832784994073418,-19.099757221336553,-16.02669083023648,-16.80195893452545,-19.195510356233648,-15.541299005307385,-14.662332199560705,-17.687882081805096,-20.772553792354742,-15.723604851042568,-16.599732586878254,-16.281667025164246,-16.389356049291507,-16.00377893759802,-14.664195962859264,-80.90977023239884,-198.6223732631453,-22.495314589646117,-14.714108874409163,-14.613271422009898,-16.223456009118948,-14.933395882623985,-50.653734984885894,-15.394424176264252,-17.52022446641925,-21.797421908052087,-14.841719758996168,-15.79090106637475,-28.04552962288844,-31.49699760248405,-60.47451493045043,-20.82714017898083
-14.572347669922172,-16.388216332849943,-21.43419872859132,-27.871650462997415,-18.869554011707685,-18.74716993202111,-18.7162279746992,-12.871147192447014,-13.429645596316512,-18.22851802462742,-19.949802163143,-17.200827463765336,-22.930557214964843,-12.896294298027287,-20.22203450598506,-21.13640087706748,-18.731188838270256,-100.11072652091917,-44.28120471586229,-45.973898195730534,-22.56303940896082,-27.421261992746217,-22.237951385422512,-24.49642337954814,-14.56696033675329,-14.06093141240986,-28.68532898564483,-29.136823731453383,-12.550608949645195,-12.508823042409576,-13.065473726301917,-23.47458441519919,-14.940354886748217,-15.888666663951678,-13.429118990575777,-14.465275582699292,-12.67692934522477,-79.83942810688794,-58.244248697654264,-13.067060605692822,-29.297085968193983,-24.450523661616785,-14.428170626179293,-25.060494691037903,-30.015943601771546,-32.534515213523505,-38.71484150792522,-23.054566105836393,-20.72503783366825,-12.518083225501318,-12.503658849552982,-12.503658849552982,-12.529050926563041,-13.467126533356167,-13.549020174269,-14.740953029398652,-34.75907501139576,-41.74092301653365,-14.95506309458197,-18.455349294858117,-15.103536902251081,-15.930276614671717,-18.600427080956464,-14.512290083932415,-13.593361626801594,-16.90369824373319,-20.123499391335518,-14.710927118927119,-15.70917581377067,-15.366425051923994,-15.513487513302914,-15.075673703186762,-13.599536334041833,-86.41901170479007,-216.11297661638835,-22.24527317338177,-13.64764410952027,-13.53726716430586,-15.32165901632794,-13.893142759578879,-53.037137747308236,-14.40746320948456,-16.722167609103458,-21.347069745225305,-13.796679090188524,-14.821338520905627,-28.20128196788205,-32.1010076975093,-62.31910383610598,-20.473952530832193
-15.226957376366713,-16.87016443443114,-21.556277307644617,-27.68792907353233,-19.2554832729437,-19.171720877413517,-19.113615663752157,-13.684501570381181,-14.215140451305366,-18.65557247202017,-20.27056845656695,-17.747110403181388,-23.04720252350004,-13.718503307289987,-20.465011203390638,-21.374698585451174,-19.097049746279282,-94.52771698553371,-43.11482622108334,-44.505647619525696,-22.729191072947366,-27.10034581289331,-22.42174381980103,-24.483290366197828,-15.253082707381862,-14.80127145704706,-28.30485300819624,-29.103447016961294,-13.394319435875282,-13.354536583489791,-13.857913309517148,-23.57668787944972,-15.58675914805086,-16.430585196227113,-14.204645894970717,-15.173136364302822,-13.510372595800032,-76.22864228969253,-56.031097090862495,-13.859466525286196,-29.022879963173107,-24.2652721790542,-15.134742100066166,-25.08608646027967,-29.684945107267303,-32.04683278191993,-37.6908573198184,-23.10354229963054,-20.971869366336424,-13.365733650771263,-13.352431999075526,-13.352431999075526,-13.37574692026312,-14.244693679661394,-14.328130035647686,-15.439082545587134,-34.21095915323152,-40.65218210669267,-15.55974986437475,-19.011798867538115,-15.898225708804052,-16.65752155616578,-19.1708734426304,-15.321015574836682,-14.495026992665075,-17.56276334012616,-20.485356820695326,-15.496892513771291,-16.449840453558338,-16.135803658047834,-16.298200529523786,-15.874515929570416,-14.509338671037707,-82.6316800599932,-204.46280231897535,-22.613029340580127,-14.547561868495507,-14.446176103693897,-16.10218789409381,-14.7736723305021,-51.3367538606281,-15.251158170701625,-17.394134638706845,-21.690535063273607,-14.6917598455165,-15.626236480032974,-28.09429096756736,-31.79351932731317,-59.27010329985819,-20.97648361867852
-14.763845934702616,-16.45404629656794,-21.37047499012411,-27.854148279335654,-18.996670097908105,-18.92122276221658,-18.847939615314804,-13.149150279851687,-13.706435483260963,-18.37169169393504,-20.0722326304244,-17.43794708486669,-22.982662703550087,-13.185949283558777,-20.244965748255595,-21.226399352591187,-18.822834171865086,-97.19232017991719,-44.09809752286523,-45.34514114830757,-22.632574385668185,-27.112917428434486,-22.326853084666837,-24.47193470075564,-14.7992187866285,-14.327460861756602,-28.39562096132108,-29.46409051424685,-12.843083081786276,-12.800517123052515,-13.330397267044845,-23.54914374604835,-15.146729383545983,-16.01068070168201,-13.696629198070157,-14.714812860028005,-12.96640749068253,-78.6664849146581,-57.57089804756109,-13.335325595038082,-29.168075971555304,-24.161510572851828,-14.686848681508664,-25.132286890615802,-29.840867672873557,-32.45066442032839,-38.203844221705985,-22.99056659383684,-20.786677077324622,-12.81211357109773,-12.797843330188801,-12.797843330188801,-12.822775332461255,-13.738184786487404,-13.824627634736077,-14.994900547589747,-34.70928996923119,-41.45367482994002,-15.100550702448261,-18.65533403715154,-15.388254042672653,-16.178815434409813,-18.83512352841662,-14.765648248740362,-13.906567445367138,-17.13407786999996,-20.162764242257296,-14.951692888828799,-15.960517214894674,-15.633151223340672,-15.809307145443917,-15.361437078196007,-13.921288367347204,-85.55625723622731,-213.71504192105064,-22.45673357332806,-13.960482494097004,-13.853600597887981,-15.602082857495022,-14.200843954003252,-52.626111252508466,-14.706327308783246,-16.95578153991184,-21.457687399154814,-14.114251226123402,-15.093914530691425,-28.184376907291522,-32.1010192888591,-60.59583358129479,-20.753206854021137
-15.13788529431841,-16.78409475533916,-21.511831461599854,-27.720924306189836,-19.206216565435874,-19.12684814186293,-19.06315573627628,-13.584891730438905,-14.121132909306356,-18.601914338459803,-20.233964408443367,-17.693324732916437,-23.035097304036654,-13.620144107978804,-20.418261389994957,-21.346775915301045,-19.04252597967002,-94.93309865310613,-43.312509089533044,-44.64812335348026,-22.711268233194254,-27.08440792512319,-22.405233066848954,-24.478348554077204,-15.168252330443607,-14.71411083384481,-28.306650440147735,-29.197540594824858,-13.292139182394855,-13.25171353448789,-13.759216028711208,-23.5737190748767,-15.503431165220206,-16.34681593851024,-14.110277967104295,-15.088307501083921,-13.409564708754473,-76.68033808579591,-56.319581646894356,-13.76168828331408,-29.045105049346162,-24.225816328830394,-15.052636009248783,-25.098602448996054,-29.707041752588438,-32.12663331754107,-37.76983010464132,-23.074639704902758,-20.934625642020837,-13.263135897710148,-13.249636029777443,-13.249636029777443,-13.27327169761766,-14.150843547996358,-14.235162799110388,-15.357495856246908,-34.312760731934304,-40.8053794183025,-15.468973688923684,-18.945777939211354,-15.804310683383337,-16.568220723623234,-19.1112402716994,-15.215736370267223,-14.386004372197485,-17.48311309117925,-20.41761383335355,-15.393034701400296,-16.35841050578001,-16.042443422300224,-16.209402264496497,-15.779996711500766,-14.400898826228563,-83.20393975316104,-206.29511991515454,-22.59026237362792,-14.438816408008018,-14.336450992080087,-16.01010934005084,-14.667691367531447,-51.58667883428274,-15.150597339186477,-17.312571288058585,-21.645972488382323,-14.585329289795306,-15.52686880353748,-28.111171692951835,-31.857485387842253,-59.45481472070941,-20.943265581823397
-14.784958528440088,-16.427544436840243,-21.31847878786543,-27.878960179405315,-19.01911805618993,-18.966243184506116,-18.871521471868498,-13.197722111031672,-13.758399306971352,-18.399608546843467,-20.10505321140489,-17.50447471104284,-23.00368522542151,-13.240215293147635,-20.230646187079223,-21.248918698503772,-18.82778521708424,-96.38301212064012,-44.179785872523766,-45.220927204010586,-22.657477474402164,-26.98330507616933,-22.360798570450186,-24.471102721663282,-14.83965425051861,-14.380379474187286,-28.29542419725276,-29.690221989066686,-12.89560524004756,-12.852243738584233,-13.374004009445162,-23.5892482742971,-15.178122853213175,-16.00685758531997,-13.744971638486344,-14.762210984233858,-13.018710109629774,-78.53869783248254,-57.52123496962383,-13.381200166324223,-29.137674960397646,-24.02535610079483,-14.739858777053422,-25.178940223307045,-29.79846222174055,-32.48358106443889,-38.07459522277366,-22.950919662343495,-20.792025761789535,-12.86500374201492,-12.850650732953246,-12.850650732953246,-12.875631360360815,-13.788136163945138,-13.876815902220482,-15.046298026437379,-34.776381609901264,-41.46493928368404,-15.10214774234584,-18.696744148470593,-15.444547137658418,-16.223047685525092,-18.897042331656177,-14.801587109563886,-13.963300729159796,-17.179349590734542,-20.139741262901005,-14.983026274382588,-16.00386737954103,-15.682495634237648,-15.87395301979597,-15.417548026075846,-13.982114205568736,-85.6420603135104,-214.1407963586215,-22.53795318656948,-14.017368707556187,-13.911147150429281,-15.65712163368422,-14.257778582229522,-52.66136342759913,-14.763206117640824,-16.999939430975974,-21.48394284836823,-14.174798747448417,-15.140438358879642,-28.201627310330835,-32.1584984527462,-60.069487708464266,-20.853283912063034
-15.088307172939716,-16.697744307060002,-21.436585952401447,-27.76763125266765,-19.188332226898225,-19.130793205180908,-19.04529000475131,-13.549891803823687,-14.093262822738279,-18.584855358202223,-20.233839795228704,-17.707758867161804,-23.044167871650103,-13.590800676231456,-20.371740822812708,-21.34512557512729,-19.006115268223695,-94.58031341676698,-43.531367283262476,-44.655226878834725,-22.71919524977538,-26.967620869884815,-22.42139522199855,-24.474656377728216,-15.13785453708143,-14.692174360923515,-28.22619762588147,-29.45409184818962,-13.25846665713783,-13.216888838687142,-13.720825722019736,-23.60489585510329,-15.466688324159488,-16.280982392697698,-14.079073332597588,-15.063655611462107,-13.376729350180927,-76.92164779171566,-56.49986487564474,-13.725821381672668,-29.03927755992861,-24.085102860510908,-15.034549721848942,-25.14759485544443,-29.69067827711626,-32.21539499905262,-37.72378778865199,-23.021535546333503,-20.911877700396964,-13.229459562267714,-13.215742024415643,-13.215742024415643,-13.239662378055064,-14.121409035771794,-14.208290392311241,-15.338629757197012,-34.44611014984593,-40.93200690800158,-15.402116529997546,-18.930701882269737,-15.780072674764796,-16.537718113163926,-19.11764321770091,-15.166150286600853,-14.350685964535938,-17.46061468213367,-20.348191249790393,-15.340722786918743,-16.325574081803097,-16.01295361785607,-16.195988289693908,-15.755192408070396,-14.369421629731075,-83.71066167149274,-208.03721442138806,-22.640442740402406,-14.40384502329352,-14.301278305885837,-15.986339572624445,-14.634859044979805,-51.80606154716433,-15.121796902489152,-17.28780269015214,-21.634316144208544,-14.555147828088375,-15.490593028368007,-28.1391660077174,-31.954325473503047,-59.16200364841853,-21.001037377686256
-15.229086711481791,-16.792427350236565,-21.45191528507948,-27.745979387886862,-19.276365719436612,-19.232873443726145,-19.13598216817894,-13.729538145809052,-14.268415835703513,-18.68347827947551,-20.31370722667776,-17.840794706637922,-23.080315942302228,-13.773876992810427,-20.42359379156234,-21.403886597877843,-19.085581912295414,-93.32749278409374,-43.33704186714927,-44.35417969300252,-22.76710098495699,-26.876062460471033,-22.47494307112053,-24.48191294953233,-15.290149460410753,-14.858757790064228,-28.135547378723665,-29.52798836798802,-13.445191415850097,-13.403753904644434,-13.89472902936803,-23.64527018049948,-15.608846609896254,-16.392631845028088,-14.251418909798783,-15.222170106663985,-13.561332538473222,-76.19790647399373,-56.06554066046185,-13.900465218948264,-28.98463862688267,-24.019288527953144,-15.194116649980069,-25.173183523498103,-29.625742965776336,-32.13679987374003,-37.50183579037027,-23.027313015025207,-20.968523733618465,-13.417111619480313,-13.403591340408386,-13.403591340408386,-13.427122787565699,-14.294542461966026,-14.38225906477275,-15.49630015976925,-34.368235318689905,-40.73539697435997,-15.528052475364523,-19.058521173578075,-15.95898290199379,-16.699716059390987,-19.25493765925969,-15.34260897120228,-14.550636024376505,-17.61026397770362,-20.4211743249846,-15.510977752670831,-16.489608945608133,-16.184979325222642,-16.37550941417927,-15.934809379015057,-14.572340158999866,-83.00947222903635,-205.92398492670787,-22.744680231835474,-14.603592806789385,-14.502937980359087,-16.161653801447475,-14.830915329417358,-51.49813651333841,-15.310216614450274,-17.43908166017911,-21.71962811896637,-14.755064665456423,-15.668325141734288,-28.13278456490754,-31.919324812932665,-58.44363915950418,-21.136278566710956
