z_20221201,z_20221203,z_20221204,z_20221205,z_20221206,z_20221207,z_20221208,z_20221209,z_20221210,z_20221211,z_20221212,z_20221213,z_20221214,z_20221215,z_20221216,z_20221217,z_20221218,z_20221219,z_20221220,z_20221221,z_20221222,z_20221223,z_20221224,z_20221225,z_20221226,z_20221227,z_20221228,z_20221229,z_20221230,z_20221231,z_20231201,z_20231202,z_20231203,z_20231204,z_20231205,z_20231206,z_20231207,z_20231208,z_20231209,z_20231210,z_20231211,z_20231212,z_20231213,z_20231214,z_20231215,z_20231216,z_20231217,z_20231218,z_20231219,z_20231220,z_20231221,z_20231222,z_20231223,z_20231224,z_20231225,z_20231226,z_20231227,z_20231228,z_20231229,z_20231230,z_20231231,z_20241201,z_20241202,z_20241203,z_20241204,z_20241205,z_20241206,z_20241207,z_20241208,z_20241209,z_20241210,z_20241211,z_20241212,z_20241213,z_20241214,z_20241215,z_20241216,z_20241217,z_20241218,z_20241219,z_20241220,z_20241221,z_20241222,z_20241223,z_20241224,z_20241225,z_20241226,z_20241227,z_20241228,z_20241229,z_20241230,z_20251201,z_20251202,z_20251203,z_20251204,z_20251205,z_20251206,z_20251207,z_20251208,z_20251209,z_20251210,z_20251211,z_20251212,z_20251213,z_20251214,z_20251215,z_20251216,z_20251217,z_20251218,z_20251219,z_20251220,z_20251221,z_20251222,z_20251223,z_20251224,z_20251225,z_20251226,z_20251227,z_20251228,z_20251229,z_20251230,z_20251231
-22.12889752931063,-23.077203937548777,-21.51671578083787,-26.94083120689404,-19.206997585835524,-19.468650847525204,-19.692226616065522,-19.44676999383352,-19.274825796561895,-19.162321142446057,-19.144891890432465,-20.104325918404363,-36.692272220604806,-20.850465597861216,-20.176458504399136,-19.247755955328547,-19.441254725495508,-19.154178686050976,-19.718760240064576,-21.0291237468011,-21.962186509790566,-63.62100946495066,-19.564898746436285,-21.387493714076015,-20.172323047210288,-21.634223301604308,-19.3138627679743,-46.66325284701912,-26.25788314947497,-20.392565282486714,-19.476654410499854,-19.997816345803376,-19.991190864048782,-21.800851531779973,-22.12189353954266,-22.663666061358978,-49.73140373309114,-83.60511829455162,-39.17893816198122,-22.82224074685097,-30.88937369381814,-20.10373085356709,-20.703497151470188,-20.011640641555946,-22.160707195438917,-22.87959523138967,-28.394824484165834,-44.15103529503228,-276.89581892594026,-133.6093193794823,-35.97260133738555,-26.251961537750724,-30.26401089089302,-28.937766096378294,-20.404927592537234,-20.474620709390354,-19.892472593651647,-20.818009535154047,-19.962051679273163,-41.13150948160857,-19.94351958241599,-33.469422196177334,-19.48193382600183,-61.655440450936474,-19.264587156927625,-19.200570740329862,-22.14932779329904,-26.17782911541526,-23.077517003610673,-20.335266441722435,-19.219531000024944,-23.051343669283156,-40.341765974391116,-28.581536270039173,-40.93516514025781,-83.14023677092987,-28.67351135534023,-28.51719423809677,-53.63411027470047,-146.57663702952482,-120.23292799197738,-51.72507880834276,-55.58055884409186,-19.641209847883452,-19.237403281829767,-19.112006221304785,-20.893888330206085,-19.486442894456125,-19.585713043989088,-19.104070691284026,-19.614650987162427,-23.255919190832852,-41.26173567730418,-108.72731468022954,-42.60889039299551,-45.91406649889893,-21.976197930808397,-23.44247875587278,-21.508787928550827,-30.88535953717871,-21.207675634995535,-21.86420899165564,-27.503077333023956,-35.49340654345032,-25.85028110168843,-22.5024175079919,-20.79069033660232,-22.78529054640163,-21.362158098168415,-22.177751153636425,-178.1023323792358,-22.541351677201277,-21.01650343665724,-20.94763807209348,-21.3591165946109,-20.826267947085242,-21.70302962086015,-36.69015300691386,-54.30654379228666,-88.49182150565363,-24.99752272722283,-39.15922548023127
-21.976616857270958,-22.944276950450373,-21.341886677971516,-26.794120619514025,-18.909743053605787,-19.18417307232795,-19.41741155183521,-19.16017541778854,-18.980529178245586,-18.8620627816684,-18.843616535970174,-19.816651060626487,-36.9609868687472,-20.57686474987306,-19.916810340486524,-18.948276895602,-19.153797267300693,-18.854102941559454,-19.441876454057592,-20.763743267779113,-21.784562176989255,-65.17584308860981,-19.27332523799167,-21.154591573455022,-19.913835002128298,-21.453048868186787,-19.022883745810034,-46.62176974202612,-26.022408262165328,-20.12030496708321,-19.193597503800195,-19.696798481974344,-19.687905011171924,-21.554994069196383,-21.868672025224765,-22.433889817594984,-50.333277886482854,-85.18929035688132,-39.335339882279854,-22.66967246043259,-31.025466698132316,-19.811595447260395,-20.406228751072597,-19.709501547214664,-21.95177574920525,-22.683733174011607,-28.23474244412533,-44.30771586312086,-273.27975535619515,-136.11537456739813,-36.03559542389685,-26.171703996102153,-30.21873795054983,-28.686104183061016,-20.121930768814433,-20.194847766800855,-19.582598745627447,-20.536627947349768,-19.65590607437545,-41.523329825904,-19.636799746125394,-33.37365882665821,-19.193327644082952,-63.252382919910126,-18.969525735865545,-18.901766444254292,-21.914204379017555,-26.15262442884605,-22.851242834950483,-20.065715599870767,-18.921758679060698,-22.88446594202429,-40.492703251101865,-28.67856004993964,-41.03743849722302,-83.8535958655597,-28.651832418993862,-28.28593735540192,-54.19396933871666,-148.0765369083357,-121.35394323627486,-52.56367062246146,-56.955019698593205,-19.346225661635074,-18.93762710573281,-18.80852413747376,-20.637302594981527,-19.206369392859255,-19.29422093895059,-18.798783991815785,-19.331297430245282,-23.06114261987079,-41.61025712523311,-109.62218208305512,-43.07794167577589,-46.07637988410363,-21.696704959289445,-23.157275549120527,-21.218604119582327,-30.68124487005908,-20.910214469394614,-21.586963750432194,-27.28709149772131,-35.639365937783985,-25.61653081181747,-22.228695018231026,-20.478076217371942,-22.492430401840732,-21.07616998590067,-21.920194505765334,-185.2702616249613,-22.241087828547865,-20.719688281633275,-20.645499150568472,-21.07638870076331,-20.512324138763507,-21.423013164571927,-36.858918148108,-54.91941507122873,-89.23800412629328,-24.7956579555016,-39.63987959065768
-21.902800261434926,-22.887131951274373,-21.275007520631853,-26.920028455341452,-18.873375831165525,-19.145041677314943,-19.373171442779725,-19.120032586605287,-18.94337662975692,-18.8258517489339,-18.807406721272695,-19.834443082072273,-36.80615955473566,-20.61866622581172,-19.881507342684674,-18.928610841848915,-19.12833401948419,-18.819346915458496,-19.43154231636363,-20.808825134396034,-21.740432570025803,-64.38797828113759,-19.267033324951914,-21.160683649334636,-19.889519139991826,-21.398316832246433,-19.00905699178677,-46.58666522345256,-26.11084766671669,-20.14432301266267,-19.163829262073996,-19.646881802195427,-19.653839916206614,-21.538975441712463,-21.86746184750126,-22.437099001023668,-49.89604319095745,-84.76514368853638,-39.41567448154705,-22.57514065591514,-30.86826799520422,-19.780145339383818,-20.414869348166825,-19.659343926703517,-21.902655871493753,-22.692868000568627,-28.36358974186978,-44.439235651271005,-283.2112297982284,-136.29111687884478,-36.167104034101534,-26.116517947641803,-30.287971530609013,-29.01393285547512,-20.065717019585108,-20.136712045385856,-19.537833120505812,-20.502844277504625,-19.623471378864014,-41.43000019931634,-19.590279813718322,-33.68020923980909,-19.20132190941021,-62.366337175147336,-18.93897002410477,-18.91000541481851,-21.96659155138949,-26.034289508920587,-22.912469557683504,-20.085023724482024,-18.897979290297776,-22.84774057759322,-40.664189186037206,-28.52871782378533,-41.290593790706254,-84.6699912316873,-28.669202356624222,-28.506102274778073,-54.09123833062465,-146.02547680408384,-121.13927896226339,-52.236069889227686,-56.109722188517885,-19.344997396715254,-18.912301683707536,-18.788833542092693,-20.648679928933323,-19.199373053234524,-19.301255771247888,-18.77571714171856,-19.30087475006697,-22.995658613967887,-41.556449953262444,-108.87763293823284,-42.342782680448295,-46.2073056538657,-21.697386224261805,-23.200801915990013,-21.21668123692285,-30.873781535768956,-20.858069554364462,-21.54894527947604,-27.422951063302612,-35.610836733633434,-25.698644623085592,-22.223281635451052,-20.43430722919334,-22.545643939803906,-21.04171414825692,-21.899132288618517,-181.12053208375175,-22.28390135630743,-20.656517025437,-20.601722271385846,-21.035152123104464,-20.467210941251054,-21.398497184342375,-36.831601574408296,-54.879678318777934,-89.5620028856191,-24.786039216424005,-39.272007205425936
-22.071958522615994,-23.02608917725035,-21.449043378133496,-26.857227141224953,-19.08246800255238,-19.349994586866536,-19.578480861648917,-19.327370888425172,-19.15167814708472,-19.03649080337177,-19.018628341996017,-19.975836862851708,-36.82841904707002,-20.724364498780332,-20.067909508412544,-19.11975256604207,-19.31924051685238,-19.028195935441982,-19.5989435613958,-20.906119293463135,-21.889926021900973,-64.4025723103601,-19.4382546087658,-21.284112423618968,-20.06253699962317,-21.562055524971804,-19.188513297897035,-46.65439957278545,-26.142085997909984,-20.269654511982104,-19.357158794309118,-19.873626774235195,-19.863606106392442,-21.695074500822184,-22.011067659834726,-22.56218708584889,-50.05518723988648,-84.34885315140568,-39.23287959047804,-22.768142102603747,-30.96864828416247,-19.98047828847463,-20.57210019224812,-19.887027322934983,-22.075757057979196,-22.791733967865483,-28.30580213666196,-44.198329864688084,-273.89733383514067,-134.67251930844705,-35.9778263627979,-26.223324550338283,-30.232121995340417,-28.780574455945043,-20.289419103307573,-20.36079571317864,-19.763736672240814,-20.699851630385723,-19.832994082286206,-41.3107013464046,-19.816400345294443,-33.3827396844029,-19.354318211894828,-62.46979842108494,-19.140095299123633,-19.06855586794579,-22.038324269381082,-26.18239138939799,-22.96904032918097,-20.2142870039198,-19.09286164094722,-22.982897963489677,-40.38049978616172,-28.643032114895526,-40.940271431982296,-83.3331544555956,-28.659570223926153,-28.38369307562217,-53.88996898763769,-147.55855017882905,-120.76235962667047,-52.13213834724789,-56.29346930803473,-19.512367857119727,-19.110111187995827,-18.98226220146261,-20.7796318281916,-19.36473396971338,-19.457108054471448,-18.974080050723302,-19.495196430238302,-23.179405610398632,-41.41753055948108,-109.24141222945522,-42.92037679505373,-45.96341386382241,-21.853414587617884,-23.311232671156283,-21.381857812423753,-30.767112323390506,-21.08529605835042,-21.748335329145267,-27.388131651043665,-35.558242089605415,-25.735367578401195,-22.383227733224977,-20.660521687990016,-22.649054861507015,-21.241940120447108,-22.067665070218293,-181.79657022258903,-22.403766593769628,-20.89602765696969,-20.82190521957705,-21.241298386309694,-20.695773341479192,-21.583938943253198,-36.7649592130601,-54.576016760248244,-88.77071717941303,-24.90977583235022,-39.41766946600603
-21.973411142773102,-22.944411022151105,-21.346477659481298,-26.879278163629543,-18.95169368828375,-19.2224261867886,-19.45135333516067,-19.198293224227825,-19.02153490418435,-18.904656478011177,-18.886405896606643,-19.881194800863128,-36.83232243609861,-20.648901952218196,-19.952098663222564,-18.99823265445304,-19.198906243542318,-18.897341270335573,-19.49197118382984,-20.83627494752231,-21.79899072465401,-64.50347972242818,-19.327974128031514,-21.20285918844332,-19.953809313498187,-21.464152567453006,-19.073989066414573,-46.58590333512181,-26.103305561341525,-20.184364540202097,-19.235826065463844,-19.73333110115617,-19.732228315858404,-21.59540812590518,-21.917521539496537,-22.4806992891667,-50.00666719132747,-84.66970696042246,-39.33573465375426,-22.6567705611285,-30.9277358506917,-19.855020009263693,-20.46849338782387,-19.746110626683517,-21.9709016503177,-22.725507277847225,-28.323133130211694,-44.320332735657814,-278.1724293754994,-135.68888992608902,-36.075853466746665,-26.162545915998045,-30.25715129570576,-28.88189246951228,-20.152136648593796,-20.22345658457917,-19.623172458487904,-20.57665712548127,-19.701463323869213,-41.39746330904358,-19.675993688304523,-33.530023285742345,-19.253781857490324,-62.53577335801742,-19.013634328486635,-18.96437757225362,-21.98410092389812,-26.102249812022364,-22.921881149175277,-20.12755835850965,-18.969484868015066,-22.901102162504973,-40.534263681930106,-28.592342851642755,-41.12415595676481,-84.06128855970661,-28.663278077804495,-28.42589228164117,-54.02457360259967,-146.76244856083963,-120.97966907663326,-52.24499919759683,-56.301014158420635,-19.403676058693154,-18.985084641041148,-18.859300296767895,-20.692884067775108,-19.258498495963043,-19.354660841404783,-18.848322730314678,-19.37323375872961,-23.07021781658688,-41.51894764424354,-109.05030115843404,-42.64744734613282,-46.09194505180868,-21.751559394631744,-23.230959160002445,-21.275024972111183,-30.79984054085176,-20.94501721461757,-21.624024461588395,-27.389548492683957,-35.59746505290255,-25.69657340046386,-22.28032290381192,-20.519699393963222,-22.573130503061076,-21.116958335782353,-21.96161612614734,-181.96707183193905,-22.319075738338157,-20.749376504250048,-20.685245187251343,-21.11358493589458,-20.5535578740129,-21.466918067942593,-36.81286285962683,-54.77912603848191,-89.21115483584315,-24.828744585423202,-39.37821812415248
-21.91388704796984,-22.894786934994013,-21.283657391073607,-26.883647009599976,-18.86890351536111,-19.141850399185493,-19.37153795353206,-19.116908262313853,-18.939215757139443,-18.82119763822117,-18.802704190389665,-19.817519257433034,-36.85048962556939,-20.596095687338607,-19.878708575647376,-18.9200722024982,-19.12182294505583,-18.81437022458426,-19.422083434409174,-20.786436166300707,-21.742581377674412,-64.63589661872733,-19.255838586998077,-21.148752834429814,-19.884055787259133,-21.403583230073494,-18.999621299323437,-46.570057635108,-26.07492971796543,-20.12624486260905,-19.158465404058497,-19.645411626575306,-19.64864344570009,-21.531250518285677,-21.85630613853215,-22.42651294050827,-50.01964537731232,-84.9259848306815,-39.40026822127804,-22.590704365403056,-30.91228558428724,-19.774878273415762,-20.399567147991014,-19.65785641589316,-21.905405272104073,-22.681311565057285,-28.325268300299633,-44.4016375974526,-280.42088899397464,-136.35653118842052,-36.13309753737167,-26.12640737652102,-30.26845877656432,-28.924024278231087,-20.066615833836735,-20.13812338898604,-19.534736335087207,-20.49850497995613,-19.6177128396258,-41.464056314629296,-19.587765720046598,-33.60341811693019,-19.18674177481862,-62.647651521070344,-18.933175365561105,-18.89495374205354,-21.943926969542808,-26.059920166702973,-22.886697216425848,-20.068666639662116,-18.890455515646348,-22.849818922961877,-40.625729158269806,-28.56972059743927,-41.22977490053947,-84.49292247135186,-28.664155046661797,-28.439815445532773,-54.131783161524865,-146.51801600902206,-121.20184906133984,-52.34766917443011,-56.371573942914125,-19.332350545474725,-18.905122150741143,-18.780161927964006,-20.63472990804671,-19.188848021913333,-19.286689069815278,-18.7677264860343,-19.295640829482977,-23.00301674363402,-41.58762817138256,-109.05406709866698,-42.5352071521054,-46.17498269345746,-21.684436778851065,-23.17598258899783,-21.2045029147191,-30.811487852583703,-20.857277801748953,-21.545538235151106,-27.380299980790607,-35.62478374175451,-25.666144695456,-22.212830910287643,-20.43086615753535,-22.519203690488872,-21.037393569087396,-21.893038285322497,-182.41328693457416,-22.260144203400184,-20.658353463405657,-20.59891662620161,-21.032697089738598,-20.464015485581378,-21.391883193492593,-36.84617451033796,-54.917510230948146,-89.50035230866641,-24.777447440896424,-39.38077828325518
-21.98274495253541,-22.950666684556438,-21.35247331018173,-26.836569982785367,-18.94194799880486,-19.214211136619667,-19.445131883315412,-19.19023472252159,-19.012187520539108,-18.894684953564152,-18.876371113208556,-19.857736146273286,-36.891660933122154,-20.620112448471325,-19.944429289395043,-18.983913682647724,-19.18685205539245,-18.886987819691804,-19.476519294403058,-20.80701479969553,-21.799001951673187,-64.81343148708902,-19.31056860707153,-21.186031068160737,-19.94328974492217,-21.466586534701086,-19.058596134805807,-46.60030200695539,-26.06598544379359,-20.160267745987845,-19.22520347081144,-19.726920021205004,-19.721424782402995,-21.583643080386203,-21.901379553468608,-22.46476871182229,-50.163941860809146,-84.88836305318837,-39.32583585972914,-22.67160298445221,-30.977725655603535,-19.844190158120785,-20.446807999491316,-19.739705001399404,-21.970071395374642,-22.71039639637427,-28.279064067143977,-44.29952620820723,-275.3969006565899,-135.81021280437812,-36.046485563174784,-26.17169870344265,-30.23616328724055,-28.779656284507254,-20.14853644295757,-20.22059383686671,-19.614847120499686,-20.567235144688347,-19.690061616296116,-41.44845027123855,-19.66832622299362,-33.443356065192255,-19.23276858687088,-62.87272074706406,-19.002492622305198,-18.942639479844388,-21.9548810623778,-26.1320526599557,-22.891250308379234,-20.104799328601036,-18.956367000993758,-22.89976335792052,-40.50029798864851,-28.637779651859574,-41.06574017364238,-83.89840426748012,-28.65727919736161,-28.354002868839196,-54.091342654140036,-147.43257539951932,-121.12719191560342,-52.38678705142141,-56.61280487514273,-19.384761546161485,-18.972249415643926,-18.84471714938564,-20.6731011472175,-19.241966114806402,-19.33377624684089,-18.834540859618393,-19.362798797951598,-23.07457016569064,-41.555233348358435,-109.32452148195767,-42.87394186952376,-46.070827482466015,-21.733139575438994,-23.201313074596616,-21.25648019604522,-30.737614269478872,-20.93942553081598,-21.6160106095006,-27.339926124329914,-35.614342361757565,-25.660249192164258,-22.263818112465017,-20.510894658523323,-22.540124095503376,-21.107330582145643,-21.950211662131462,-183.5284022555205,-22.288278255959217,-20.746734343150315,-20.677060230300963,-21.1059316398704,-20.545046350675776,-21.455093052462765,-36.831009199129205,-54.83008050488968,-89.18210505205417,-24.818514536091445,-39.50624130069478
-21.87060532506727,-22.85947725961902,-21.23943599581461,-26.904017475856797,-18.81879342400671,-19.092478336899546,-19.321910745402278,-19.06702723248466,-18.8892496117996,-18.770768051267055,-18.752149152188775,-19.785423983520158,-36.84154318596153,-20.57366739686462,-19.83360608017009,-18.874816724565033,-19.076207779584358,-18.76439117254415,-19.382312391798013,-20.765639590988723,-21.705770354083874,-64.60025629074956,-19.21557906706793,-21.12022268001116,-19.84249124472326,-21.362484348160816,-18.957077508483223,-46.577495093778865,-26.075904583274124,-20.098189211626572,-19.112129736592735,-19.590618314259093,-19.59830598662474,-21.494426088037244,-21.823046131504366,-22.39722915301606,-49.97133272828516,-85.01401268950536,-39.449675406337775,-22.541187636107757,-30.880721255964787,-19.726664613943097,-20.36334028712847,-19.60287987480673,-21.862446919096456,-22.658974745855982,-28.34556857070995,-44.47533118343591,-283.28125957528835,-136.75227090319905,-36.186909777123304,-26.098519090792518,-30.285184295077386,-28.99491363677246,-20.012160378138493,-20.08356186770245,-19.480431415821336,-20.451217056509904,-19.5675642554382,-41.49031976833481,-19.533298218480194,-33.68748855116226,-19.151278481073042,-62.580971930935505,-18.88516504381122,-18.858222649665798,-21.929368114646355,-26.02098830386451,-22.87717351838012,-20.039213248214864,-18.844167498976795,-22.816202702828043,-40.70368813106586,-28.535029784923424,-41.32777813096702,-84.8584851141369,-28.66706366568917,-28.48208872351178,-54.18355899866859,-146.1654370113566,-121.33418270405359,-52.35920550449697,-56.28835411435635,-19.293365474495886,-18.858088293262085,-18.734343160164233,-20.60462264767166,-19.149747069326807,-19.2507177332721,-18.720694855481433,-19.249144764363383,-22.95668478639184,-41.615099005175196,-108.99568955879727,-42.37392246908475,-46.246296825420025,-21.64820064755524,-23.153681271935213,-21.165626786022187,-30.850985767693395,-20.802267316970823,-21.497602215906422,-27.395360471348518,-35.634997094215024,-25.663210591853915,-22.175104909676097,-20.376424959758406,-22.49798335083309,-20.98909213144491,-21.852404900902357,-182.0686764180968,-22.234442827420963,-20.59999894327757,-20.545666952000246,-20.98263068322106,-20.409042465481964,-21.347590624226573,-36.86002068550202,-54.987279244958685,-89.7224575283197,-24.749562361959654,-39.3292451129588
-21.992959614736296,-22.960597438731504,-21.366831965490952,-26.87486413948873,-18.97741096605679,-19.24753377805598,-19.47636538768898,-19.223680319297543,-19.047129344383617,-18.930575718466024,-18.912399541627092,-19.899812700159817,-36.831042184718,-20.663686566853418,-19.97493215418307,-19.02213563163822,-19.222608991228274,-18.92307335065759,-19.513097763646837,-20.850039614065295,-21.816925574168124,-64.48343907423083,-19.349706976290104,-21.21887203185377,-19.975260662391477,-21.483551793188862,-19.096567386313463,-46.59473396485719,-26.110122810068372,-20.20114498120015,-19.259720895923767,-19.760922729382592,-19.75809868857054,-21.615003311177862,-21.93589516493599,-22.496797042209337,-50.0147777373859,-84.60482244683136,-39.314832663141225,-22.67880769922683,-30.936082345706986,-19.879762163415265,-20.48889468662997,-19.773815634702586,-21.991652509853605,-22.738507093310872,-28.319455822157565,-44.29409043337489,-277.282389805233,-135.48662586809212,-36.05582009139815,-26.174644755670755,-30.2520940050668,-28.861441528890158,-20.17915501856436,-20.250473907239794,-19.650802081651126,-20.60090471224236,-19.727350865940725,-41.37999328384426,-19.70359991901045,-33.50067211552113,-19.273609806836994,-62.52374038396343,-19.038503917708876,-18.98491817280398,-21.994792144336856,-26.117922890608938,-22.930978921686226,-20.14466698834413,-18.993751664127505,-22.917312003149434,-40.50315116312145,-28.602643396947784,-41.08689020992716,-83.91427992317682,-28.66256302560766,-28.416755897454003,-53.996294776868325,-146.90098567291915,-120.92640400898966,-52.222568889999664,-56.3004030635757,-19.425063183659212,-19.00967462372181,-18.883493313616174,-20.709984127748786,-19.27947075875607,-19.374824056842034,-18.87304994314017,-19.397232859457908,-23.09186000164973,-41.499458250172694,-109.07648206364402,-42.700270539670115,-46.06494519543579,-21.771608682860638,-23.24648290426336,-21.29612313300895,-30.792225208094422,-20.972608735145073,-21.64847789930789,-27.389051900904864,-35.58990012159061,-25.703830229619403,-22.300630230744943,-20.547402891602697,-22.587977874541604,-21.141604063236983,-21.982591247880418,-181.93561537029777,-22.335680364323654,-20.77822488336998,-20.712169893632208,-21.138786354325163,-20.58152051639431,-21.489971301774048,-36.8035272502118,-54.7389542878745,-89.11987362941838,-24.844460452655728,-39.38637098035272
-21.960817914394717,-22.933944476425573,-21.333267152748938,-26.881059120395705,-18.934597597128057,-19.205765237777264,-19.434808500781255,-19.181456609258912,-19.004529325803638,-18.88742371031884,-18.869123199399592,-19.86838321166695,-36.83479414688687,-20.63846727279052,-19.936934125061104,-18.982202183186768,-19.183060053139577,-18.880219784266288,-19.477711406540035,-20.82648238045743,-21.78722699292594,-64.52471049816279,-19.313275388192746,-21.191918664234862,-19.939470329401015,-21.45148037180342,-19.058786295879372,-46.58136921719365,-26.098004236497896,-20.172734659526093,-19.21989201329855,-19.715094701298238,-19.71499671008722,-21.58225953388873,-21.905066549799233,-22.469723658018424,-50.00576771934967,-84.71827149830713,-39.34928087887734,-22.642695129531457,-30.923520516189047,-19.838518047944156,-20.45455509845832,-19.727802043388092,-21.957262981652907,-22.7165933261844,-28.324435183039537,-44.337353746849885,-278.69109279581784,-135.82509193878957,-36.08831063129053,-26.15483185484417,-30.25992740584461,-28.89270390444227,-20.13434595490092,-20.205687889556106,-19.604864251782306,-20.560527473466994,-19.684207115140122,-41.4102772352925,-19.657716685067022,-33.54705261461305,-19.240230334544414,-62.55229981985069,-18.99705568138066,-18.95034166532831,-21.97632331532605,-26.092775650660556,-22.91514327051104,-20.115743108371067,-18.953247806960185,-22.89043064236144,-40.553901125421206,-28.586725856845167,-41.147218328972805,-84.15402064441217,-28.663582340269553,-28.43013634493009,-54.0451851704562,-146.69311552472283,-121.02057064422833,-52.26343828203137,-56.309418534289975,-19.389170632546993,-18.968644632562153,-18.843071952008128,-20.681155926116826,-19.24431166716792,-19.340902007420844,-18.831769116117403,-19.357241279221704,-23.05612357834832,-41.53258697419331,-109.0427121642555,-42.619012502696094,-46.109383251029136,-21.737934580805007,-23.22005375291201,-21.26070055586631,-30.803382308929823,-20.926801729178617,-21.607796995990146,-27.38860656987104,-35.60283292707557,-25.690920902550857,-22.266577503371096,-20.501324688163447,-22.56254726280674,-21.100551305806412,-21.94755413914463,-182.02817969648692,-22.307399126708688,-20.730414659351165,-20.66738888306732,-21.09686297610887,-20.535024723276223,-21.45149993158315,-36.819438538388454,-54.80684316256625,-89.27110233372204,-24.818212960831186,-39.376156943388544
