z_20240101,z_20240102,z_20240103,z_20240104,z_20240105,z_20240106,z_20240107,z_20240108,z_20240109,z_20240110,z_20240111,z_20240112,z_20240113,z_20240114,z_20240115,z_20240116,z_20240117,z_20240118,z_20240119,z_20240120,z_20240121,z_20240122,z_20240123,z_20240124,z_20240126,z_20240127,z_20240128,z_20240129,z_20240130,z_20240131,z_20250101,z_20250102,z_20250103,z_20250104,z_20250105,z_20250106,z_20250107,z_20250108,z_20250109,z_20250110,z_20250111,z_20250112,z_20250113,z_20250114,z_20250115,z_20250116,z_20250117,z_20250118,z_20250119,z_20250120,z_20250121,z_20250122,z_20250123,z_20250124,z_20250125,z_20250126,z_20250127,z_20250128,z_20250129,z_20250130,z_20250131
-22.347125572159946,-23.553325427122466,-73.58294231795857,-9.22413718209474,-5.5136003342639475,-19.132393050996793,-12.060263258276716,-14.67477555646944,-9.110338225746947,-6.862438847493647,-8.096110952555884,-20.735040334085035,-7.331755661657428,-52.16759713883687,-53.489213941330874,-12.580175184147237,-6.704395747128773,-19.364632380249944,-17.382033253757427,-16.4529983802151,-10.028334029595346,-7.353461786542648,-8.410087123083994,-11.358915084643314,-9.55020292986806,-9.03289465943229,-12.287533215381993,-9.433871440416958,-5.647750878440615,-10.120919064247248,-11.661405743691251,-5.448856112207705,-74.14230758291798,-90.20384077959682,-7.282724945420979,-18.37234167049573,-6.868894823766806,-5.949406490572816,-5.713689053120165,-5.373327611030634,-7.055349396816396,-5.883634382955593,-6.8385870593154205,-5.314696559156636,-14.498790317008696,-7.470309573600159,-23.2726719414324,-9.811251149214694,-26.61120817570705,-42.61134554850756,-16.797945553700934,-21.915994922260698,-12.481298553964667,-9.826107393856013,-29.020490896206137,-16.452189816050463,-13.497767113529838,-12.264904196869047,-27.345573936491235,-10.745101968694822,-12.485682002921608
-22.079110034776452,-23.285270255126143,-71.26924330627364,-9.534823516916157,-5.987635297771557,-18.999273113438882,-12.264555024934257,-14.816779766450866,-9.438630065645842,-7.2880500784930895,-8.457463427335886,-20.585091248458568,-7.740765270544877,-50.94847355140616,-52.03571529768737,-12.789761143887375,-7.134943736685267,-19.255932378757407,-17.38587187965365,-16.523686626315488,-10.308102271236177,-7.757743347821444,-8.743055560721375,-11.614088849331853,-9.829195614108603,-9.363288374990898,-12.54179680460297,-9.736819650036306,-6.118741412728695,-10.385372603019292,-11.892124407736368,-5.951191586285988,-72.41562662392741,-87.4653077058275,-7.706011355668912,-18.390059835862218,-7.310256273622484,-6.43050630481024,-6.206255420366526,-5.879069782165471,-7.492067408995939,-6.368114830610781,-7.28108863104001,-5.822856954461276,-14.633093065210709,-7.885699513759633,-23.04180000081743,-10.139156332855663,-26.210833963513863,-41.58204860341607,-16.84361648551205,-21.749256061914217,-12.675990689650064,-10.145351135417062,-28.530878068797573,-16.5221138158006,-13.686589694361054,-12.481475409827326,-26.98548077752926,-11.063624743334769,-12.766632699253105
-22.110648383943634,-23.306574839760835,-71.36009584931121,-9.542747937106856,-5.984800253067471,-19.02643666884238,-12.269214942428277,-14.802105732491214,-9.437697361998495,-7.282646028793352,-8.46090316329166,-20.602029226704826,-7.734226083434759,-50.9071890565793,-52.087677581062266,-12.782405049761092,-7.12982493705561,-19.26653504256678,-17.38885207863435,-16.510564773577087,-10.31606288229182,-7.753211707090208,-8.742337562106917,-11.606020809638764,-9.83338115519059,-9.362709892432228,-12.516268008842601,-9.743776768844821,-6.1154043036746595,-10.3856083808355,-11.906389111266309,-5.947869537559731,-72.22660844988033,-87.45223042461754,-7.705585224950621,-18.379724710190366,-7.308046972923825,-6.428064309732959,-6.201961149883506,-5.875735281231825,-7.490296500212505,-6.3653259433188705,-7.280449041578784,-5.819213092567589,-14.638492053876915,-7.885825645277174,-23.060920123492693,-10.137093859159833,-26.25117030796933,-41.63243470470301,-16.847947085585513,-21.763290063839552,-12.690883801642647,-10.146707392523638,-28.571968874653844,-16.52152231631559,-13.683041658552586,-12.487298488955613,-27.00194640991556,-11.048460165759458,-12.736498752911064
-22.840092963655675,-24.002010084884528,-76.82002489397553,-8.912170112970259,-4.955662170772712,-19.439479285927497,-11.86296377741781,-14.470559721687016,-8.737588332235191,-6.351813729656116,-7.701870017957253,-21.02568480342611,-6.837098504809401,-53.52865669372258,-55.52841870258855,-12.324399879577566,-6.190159134460063,-19.577533733371546,-17.426489075346005,-16.347437928948843,-9.752968455678097,-6.872396918864183,-8.032999920433872,-11.047310939419155,-9.257382380692674,-8.660785807336772,-11.903618860228036,-9.12602520101823,-5.091172722947648,-9.828973498466485,-11.474190598626187,-4.85551709751905,-75.48808029648112,-93.51348996073071,-6.797722966269335,-18.34388220289293,-6.3543681509453975,-5.385481018869396,-5.128266935303695,-4.775768631418424,-6.549028215515988,-5.314237917896138,-6.330290421664857,-4.712942911216655,-14.393260273794628,-6.9975531999318195,-23.67203536363831,-9.438737836837475,-27.300862415896276,-44.113502501877264,-16.79738105357483,-22.217044137646187,-12.34132569566379,-9.47673262173923,-29.830381221570445,-16.40256575192148,-13.282366363806858,-12.057978538285639,-27.886355342233543,-10.327919051984496,-12.049238693019102
-22.613497620321887,-23.786110851065295,-75.20172734782827,-9.08586052879776,-5.247241275126477,-19.306557097185816,-11.971323761027147,-14.558503890210229,-8.93264075086222,-6.614899659178856,-7.9138414411977,-20.8889276733719,-7.090269092779129,-52.74827945963031,-54.50193443614822,-12.448971378763865,-6.455591600740223,-19.474574404033216,-17.403865998003873,-16.384859607261927,-9.907101001311208,-7.120781881292908,-8.230855156229497,-11.200934302312685,-9.416232408343244,-8.85602189407102,-12.074145468172453,-9.29627066224641,-5.381390849576806,-9.982392439232587,-11.58900220247119,-5.16527036665081,-74.53159820820419,-91.72653626518094,-7.0532262178744665,-18.343490009425018,-6.62342865719928,-5.680619994420962,-5.4325977688598615,-5.08775895940053,-6.814278160209095,-5.611869295318692,-6.598014000635181,-5.026790551991977,-14.45352475924738,-7.247216842719002,-23.47982237627853,-9.632305308718824,-26.979759868632392,-43.37118812874688,-16.80030695976866,-22.071076922969294,-12.431726077010072,-9.6621039148765,-29.446386275086375,-16.425632561678903,-13.389886014876907,-12.172769681669841,-27.61503385090067,-10.529012158108568,-12.241874666146781
-22.449797195749262,-23.67755372169594,-74.7858832205043,-9.030221336715961,-5.24434201724717,-19.16368938941489,-11.936630663693911,-14.628256532663421,-8.924189942568493,-6.627420306465062,-7.881223760243298,-20.797544016884416,-7.108957559920726,-52.98826512421644,-54.25796534292097,-12.478236949236539,-6.465772833973132,-19.415173137762658,-17.38138261266291,-16.445614923427087,-9.852867820680366,-7.129383000018699,-8.220315787640335,-11.231027683074885,-9.3826614408453,-8.844674580791175,-12.196160073592637,-9.246614148710297,-5.3813762647733645,-9.970231932266373,-11.502594678708592,-5.164049358504147,-75.57219146086132,-91.87505369485356,-7.039133991836651,-18.391253130461575,-6.618164725330832,-5.675479569955003,-5.436694211121281,-5.086520544048305,-6.806510375347653,-5.608397539004456,-6.583939098133719,-5.027071738545437,-14.415691302829053,-7.23029288962706,-23.37930641303666,-9.627830793916896,-26.775674057894708,-43.13070189099179,-16.769865886658323,-21.99478322370021,-12.342626221900453,-9.640894093141714,-29.236383863981732,-16.419731306998656,-13.400781664073444,-12.131882127016446,-27.53549038029871,-10.594355773398684,-12.388300321102038
-22.177366094580933,-23.417975449051784,-72.74379833147074,-9.266815963510354,-5.629960033426019,-19.008149745969998,-12.089522483612477,-14.755179804391041,-9.186855586749218,-6.976355427015228,-8.16540749077029,-20.64190006848789,-7.445735015868894,-52.02691026030269,-52.97987935521157,-12.651303300203775,-6.818577685338916,-19.30253058652425,-17.37138944772859,-16.512145800197743,-10.063692298376342,-7.4595332956666125,-8.487295292215393,-11.443002578516534,-9.598227921330018,-9.108841110497377,-12.430571487293424,-9.478003978431488,-5.76513737947685,-10.17881564555112,-11.664210376473168,-5.573282812127936,-74.38752319787487,-89.6174761960539,-7.379177939843206,-18.409936238433684,-6.9755510215745105,-6.066004170260467,-5.839185877591324,-5.498589806577137,-7.1595800363055275,-6.002179089005304,-6.94029291182034,-5.441547753643676,-14.509647536429368,-7.563127190494112,-23.15343907957361,-9.891688937322662,-26.38088312232411,-42.20336251023174,-16.792056301533385,-21.828917147372383,-12.473700421106079,-9.892822759208691,-28.767908968567088,-16.46871782019045,-13.55085486657475,-12.292826988137826,-27.205828118039925,-10.867818975172968,-12.650209145627343
-22.328669277618108,-23.53116434381884,-73.36458983158077,-9.259733024828002,-5.562993539889957,-19.126912028033058,-12.083198383206554,-14.684090048707258,-9.144667855761867,-6.9056808458914345,-8.135566744490035,-20.7241274864039,-7.372807218904165,-52.02059804185292,-53.35007103927691,-12.5993898832386,-6.7482873074952,-19.355962475529097,-17.38277078826487,-16.455220936115648,-10.060589378646334,-7.39471026486209,-8.445051375857897,-11.382834144091353,-9.581057657139553,-9.067597475437191,-12.305144024592863,-9.468276504176863,-5.696632963443849,-10.148789360133605,-11.69057669138445,-5.501097156310167,-73.88775287247,-89.902511032011,-7.327460076571919,-18.369795390159275,-6.914950273278644,-5.999665852266866,-5.764532874874359,-5.425931461405174,-7.101062978542783,-5.934136405753948,-6.885331104744207,-5.367452603511204,-14.514418976073042,-7.514391110128198,-23.25376327571606,-9.845141732127455,-26.581474219669808,-42.51729393175845,-16.803638953828226,-21.902216830508674,-12.506813580791231,-9.860258747430477,-28.98147476824315,-16.458765192787663,-13.516036885691367,-12.28953849274756,-27.311678570686563,-10.773307807037845,-12.504480346131261
-22.093053100446195,-23.29059415229742,-71.23295367273332,-9.55723448292893,-6.0089776475563665,-19.01614564834826,-12.278991096421827,-14.811837150573028,-9.454427990747813,-7.304848233618562,-8.478576369139425,-20.59251284502949,-7.755789688167015,-50.85429826760199,-52.008760655102755,-12.794312737117538,-7.152221972202897,-19.26000579478115,-17.38904944649085,-16.516547741434206,-10.32903018763109,-7.7742316122293245,-8.759238196067807,-11.620270869343823,-9.846876068136293,-9.379484593881154,-12.533190175028095,-9.758034609350547,-6.139510560887239,-10.399010901458439,-11.915988173104562,-5.973531067182082,-72.17179968158213,-87.32047758042572,-7.72691837411314,-18.382695178612813,-7.3305427702206405,-6.452546727329661,-6.227293437397981,-5.901565822547101,-7.512495324904615,-6.390028276559125,-7.302755822396296,-5.8452104275876176,-14.644735733262456,-7.906684697520034,-23.047114917213733,-10.153994804494602,-26.225760469399855,-41.57460468764034,-16.850009274713344,-21.753417473714645,-12.698616445548225,-10.162654778296531,-28.54204876090519,-16.52553600010494,-13.69336481874175,-12.497518278776747,-26.982228084883353,-11.066939151389011,-12.75547104959443
-22.621227438770116,-23.842556927589516,-76.04793865369342,-8.889167105195316,-5.0121728329652555,-19.2627734518164,-11.847921585618147,-14.558531223978258,-8.76804189127969,-6.4183190459215425,-7.711081777027358,-20.89921902920969,-6.907656215489884,-53.60158759314377,-55.053293214669054,-12.378684579871443,-6.254386899609796,-19.490919189034248,-17.394764472548047,-16.41387430918274,-9.727657118956493,-6.931799433073385,-8.061410930248044,-11.107777307740776,-9.25463327075365,-8.687771496497248,-12.061733971576041,-9.108772953828922,-5.150409147104196,-9.84714810297827,-11.407334797963712,-4.917550699579931,-76.34589939583343,-93.28640663794506,-6.835137799090568,-18.38905712731145,-6.403668666650757,-5.440442104022669,-5.194547418512715,-4.838260728694501,-6.594730278451337,-5.371406320048084,-6.369985841467562,-4.7773716398359385,-14.364066848597874,-7.030727971176544,-23.524510093746443,-9.47185959541366,-27.021738280815033,-43.706600368138496,-16.763180117541367,-22.103681770503517,-12.266328082880527,-9.491534012418619,-29.529249511847762,-16.39733638601155,-13.314899396077376,-12.038157389234373,-27.744970823408277,-10.434346595392265,-12.237542221499062
