z_20230701,z_20230702,z_20230703,z_20230704,z_20230705,z_20230706,z_20230707,z_20230708,z_20230709,z_20230710,z_20230711,z_20230712,z_20230713,z_20230714,z_20230715,z_20230716,z_20230717,z_20230718,z_20230719,z_20230720,z_20230721,z_20230722,z_20230723,z_20230724,z_20230725,z_20230726,z_20230727,z_20230728,z_20230729,z_20230730,z_20230731,z_20250701,z_20250702,z_20250703,z_20250704,z_20250705,z_20250706,z_20250707,z_20250708,z_20250709,z_20250710,z_20250711,z_20250712,z_20250713,z_20250714,z_20250715,z_20250716,z_20250717,z_20250718,z_20250719,z_20250720,z_20250721,z_20250722,z_20250723,z_20250724,z_20250725,z_20250726,z_20250727,z_20250728,z_20250729,z_20250730,z_20250731
-30.246852956948437,-24.53776801272836,-19.884868141303745,-70.3266522282087,-57.89728050437069,-16.381910554565067,-17.20832587559555,-27.3064581300947,-38.7394385615474,-27.071086178162034,-20.401308021789717,-16.284056089468773,-23.166067689155227,-39.400014445285514,-219.58398600749672,-171.50761854456388,-28.625382222044358,-17.776394877837223,-19.452399173396287,-16.33663721416579,-16.237707300371948,-16.233184487379642,-16.458009318468783,-31.829395915616793,-43.699924082964046,-17.978218601377087,-16.60392786031067,-17.199542113502858,-18.28143242812492,-53.011511282207195,-16.247720259243476,-17.76907276114651,-17.600857036329362,-18.46187423609272,-30.684680309652776,-20.338403404982973,-22.57761400995901,-22.695103208086195,-26.04892643431868,-18.712145419291456,-29.60912443142891,-59.299296581514696,-51.896182544314655,-19.121740866907025,-20.87237262058023,-19.72469958861334,-21.495437810099904,-19.258142361001507,-17.601186775782633,-18.954509325646935,-19.13181289928776,-20.39077005927231,-30.032010978455,-19.561188231031863,-22.414503277807768,-21.506788976629323,-30.80903559393623,-24.205907868482853,-19.525006390170756,-20.850426406236316,-20.19815410079981,-20.42845762336361
-30.777346579010292,-24.377682358246574,-19.95794420858934,-68.21286248741666,-57.497125742295374,-16.504289159199207,-17.30757410261412,-27.208572987981196,-38.23830395440136,-26.721655931138223,-20.373114460762714,-16.385288467303596,-23.14391582139357,-39.02009280993073,-217.62257687147186,-171.63927208562998,-28.215788162619152,-17.896549226909144,-19.516158107278805,-16.4349757511396,-16.33474281147316,-16.330505198691117,-16.562191883046346,-31.499419483804754,-43.44224629989725,-18.053363863400563,-16.716384338248528,-17.3393000671463,-18.480554018992738,-53.18745990570568,-16.345612123214195,-17.85797680671126,-17.688614313554062,-18.541626430617274,-31.394029588426065,-20.460152923142896,-22.62180076785643,-22.742805930020204,-26.05172179748869,-18.75537005532703,-29.600048554874764,-59.32189893988051,-51.940731901402486,-19.186017432846374,-21.07678507220487,-19.789463229003015,-21.652736604907613,-19.369868709790293,-17.696478365481408,-19.075522275532457,-19.203768773254573,-20.48766495784379,-30.28898308840312,-19.684069576889254,-22.55887159456036,-21.542180605241672,-31.000906671975738,-24.146085963790764,-19.66680892107135,-20.825558808167703,-20.27367845833829,-20.467139381488046
-30.828997405866243,-24.522450814085246,-20.29311400369887,-66.71266891989023,-56.227818987974175,-17.01079206264891,-17.767364325429114,-27.207712981039833,-37.97096961687076,-26.756300230988252,-20.70729088496269,-16.906395084845823,-23.349458857334994,-38.86891430951295,-211.91501486963364,-165.3982536349934,-28.188821492702093,-18.32739612606371,-19.86933953606227,-16.956662065473246,-16.866103687116006,-16.862137630577,-17.07315980858283,-31.31742003051057,-42.944014184511985,-18.483380563473485,-17.214113463797617,-17.796720377787757,-18.884976869412622,-52.335185428480955,-16.874854327586483,-18.41335823428363,-18.260674250079127,-19.062040280299584,-31.3662476199149,-20.8765573753417,-22.93759712892924,-23.071229424588783,-26.229563735562643,-19.267859342169945,-29.620914632801014,-58.3490003687955,-50.89710808172756,-19.665201623668743,-21.463487472393158,-20.23776842719213,-22.016441267121543,-19.840001923001847,-18.26199740836561,-19.561019949904253,-19.688896773079204,-20.903011107707318,-30.318147476095987,-20.136215527509908,-22.875898356331007,-21.913853788350117,-31.019025802801735,-24.39934818349798,-20.125628313095785,-21.243533338687236,-20.70408368183449,-20.89309985999506
-30.892462103826354,-24.493387922383167,-20.276565427057847,-66.58309113668514,-56.282492084370126,-16.986086582520034,-17.743545773100713,-27.197043192376384,-37.93379794809499,-26.712987103803634,-20.679162921263874,-16.877731323858097,-23.331434254229585,-38.833934082264165,-212.14556623477733,-165.94009792664087,-28.14363171756622,-18.308777443430373,-19.849786807988973,-16.92756827126574,-16.836000235627456,-16.832049964337827,-17.045672103661445,-31.29326822488097,-42.95997543912927,-18.459176355269403,-17.188837044168856,-17.778334773730137,-18.878279065936606,-52.43836899517396,-16.8450413130007,-18.38053788088198,-18.226232758478027,-19.030859566097206,-31.46067717439781,-20.8588125287334,-22.918770618945143,-23.052295044218486,-26.217975596872943,-19.23296673246503,-29.618745705972646,-58.43210790527979,-50.98513511406321,-19.635670888007986,-21.459044003692124,-20.210642591623632,-22.007997986738765,-19.817393828361897,-18.229077295362096,-19.538028644386426,-19.65975656306411,-20.882644476742428,-30.350096558128683,-20.116261309916318,-22.868966192477494,-21.889610151103604,-31.04171982526087,-24.373734990957324,-20.10695832119715,-21.20817232978917,-20.67984298515464,-20.86522318350907
-30.69092176990359,-24.6069803411826,-20.360356354266678,-66.93977553467258,-56.00384874940701,-17.11126254223688,-17.861501563615114,-27.233977723500224,-38.056070096911526,-26.86686228212986,-20.80452650478897,-17.017817638354913,-23.41059128405458,-38.96060005133606,-211.0621818914676,-163.63451633047094,-28.30030086056219,-18.40696941319834,-19.944627895143565,-17.06924672533602,-16.982074812554117,-16.97809785531182,-17.18083320069711,-31.36372620208806,-42.88772813656493,-18.576619624322706,-17.315189677880596,-17.877783833026125,-18.93356776362571,-52.048669692356356,-16.989883310703256,-18.537948302001144,-18.390789145086906,-19.179690754303298,-31.142582777213676,-20.9524109752349,-23.008617802386173,-23.145069287316623,-26.27481940986973,-19.39426055988924,-29.628846608927596,-58.093823868799916,-50.597158251734044,-19.775380812458,-21.505490799372986,-20.33935243117504,-22.066549493639968,-19.93294168035974,-18.387689381286958,-19.65580043720515,-19.7987696954006,-20.985743302891304,-30.248810026976685,-20.22105245356546,-22.917733927706887,-22.002991371795588,-30.970318832626745,-24.483602401227564,-20.207539125773792,-21.363994040772486,-20.797558797338628,-20.99628619987785
-30.63568043450441,-24.570988964868512,-20.257236692930622,-67.4721207251057,-56.382089866594185,-16.95592187220097,-17.721206376036676,-27.23693781283919,-38.14887332559569,-26.873218585354103,-20.706582476564733,-16.85922554829451,-23.349516967132715,-39.010476257108934,-212.69683699140882,-165.39263617418985,-28.32732821446072,-18.27379008368392,-19.837049342556313,-16.91059335674161,-16.820559663166815,-16.816482223480904,-17.02503913896025,-31.43107791296559,-43.03119863883654,-18.446033780094126,-17.162925620852885,-17.735867986697887,-18.803509631212467,-52.26432304880396,-16.82897831466552,-18.369900404073167,-18.217728334424464,-19.022267814696725,-31.103887032095344,-20.823034210604785,-22.9123958223612,-23.044350097584072,-26.219412157832416,-19.241121141378446,-29.619278098189334,-58.35259777597702,-50.891492387499454,-19.63100279105551,-21.37984778568002,-20.203924021677455,-21.950026489735333,-19.788497206307095,-18.21624889896774,-19.50639282943962,-19.652099308098535,-20.857979564321784,-30.219590438313077,-20.081212177505183,-22.81555891995928,-21.891011160999085,-30.94795924068594,-24.41075406944828,-20.064607942254366,-21.241705879353965,-20.666545584727746,-20.86828387726412
-30.963044372206703,-24.4006376405271,-20.13183874203737,-66.9546207356074,-56.812550300032996,-16.7688042612246,-17.54399366897264,-27.180486937371008,-37.98315822297883,-26.640253105725506,-20.51982345182643,-16.64989029230916,-23.23129687462238,-38.847143927587496,-214.55992341760788,-168.9252862543195,-28.090965133635983,-18.126868407080536,-19.694206022256076,-16.698974288507163,-16.602641245594736,-16.598614324785945,-16.82301928512028,-31.3239049862592,-43.16638697977757,-18.270010237093054,-16.973859762823363,-17.587210191483592,-18.72211967459978,-52.89320838029079,-16.612802245121326,-18.13481822448875,-17.972429527942086,-18.799774987768526,-31.59963252395066,-20.682878598590147,-22.777568517917956,-22.907183693964313,-26.13716779022571,-18.999894817838154,-29.605949294675042,-58.900477079487146,-51.4740232361161,-19.421545376964847,-21.3122032920273,-20.01070055629853,-21.864055681649894,-19.616084323063735,-17.97958080965644,-19.330516827392593,-19.44413148885271,-20.70383198244481,-30.382841734657305,-19.924912002239395,-22.743382897879933,-21.72129300518722,-31.06594007632973,-24.24645995978148,-19.914811090840175,-21.0084162764032,-20.490406599681194,-20.673056502682403
-31.069149376684265,-24.375754191285502,-20.143829544846145,-66.63056117343675,-56.762758515652195,-16.787057679392202,-17.558204925463535,-27.16513281542536,-37.91226600371378,-26.583146627555614,-20.516375041636763,-16.66405216039066,-23.22776133356771,-38.793766409021856,-214.39989477490417,-169.08257618720572,-28.02548663011636,-18.145856310700662,-19.703233479321913,-16.712629596193864,-16.615973911963373,-16.612001858694285,-16.837739451158498,-31.2709448796891,-43.15261953757519,-18.280904407007206,-16.990273551491132,-17.609332686777716,-18.755648797325794,-52.97572861164644,-16.62628210582736,-18.14689282601534,-17.98408713507648,-18.81034094563667,-31.739596216715015,-20.701186680691794,-22.78404064179537,-22.916067269816274,-26.141507396577254,-19.004539268319757,-29.605527125027386,-58.93380638251681,-51.48769594101009,-19.430003751951233,-21.347353599592633,-20.019119681016257,-21.891088566171668,-19.6339147929241,-17.992598716538815,-19.349154350889506,-19.453933771304822,-20.718723995361344,-30.436473220284228,-19.944454206580502,-22.76683450064409,-21.72628591874286,-31.10414905985063,-24.237803652259913,-19.93660507070877,-21.002643401382,-20.501377716519155,-20.679252426210407
-31.00449767391104,-24.658376583602983,-20.639531825648525,-65.0687796516866,-55.01892029294112,-17.526392653445818,-18.234460985870292,-27.213769284994655,-37.701034784760516,-26.76112547557508,-21.041134388533116,-17.43347817599013,-23.5622242918613,-38.72931970635625,-206.72342957933768,-159.68968652899997,-28.128271137511973,-18.770374583039704,-20.23062564131205,-17.484032772302402,-17.4028910530895,-17.39925921078587,-17.59097767716106,-31.12174201991558,-42.50370183394689,-18.91961417252162,-17.720092928650562,-18.26755460852291,-19.314748271440042,-51.652021445263685,-17.409627105822302,-18.972413420153963,-18.836255348077493,-19.5867546555107,-31.483189646206775,-21.30772367587177,-23.263525289283123,-23.41176341974451,-26.42424715381575,-19.77966723190456,-29.666005191429523,-57.52035189276755,-49.9465265849544,-20.147629919325773,-21.879780928940402,-20.690877781058564,-22.404530160458368,-20.32102332782933,-18.83204352526401,-20.05802385075115,-20.178519914549288,-21.329747703308705,-30.419127440754018,-20.601562695168795,-23.21713966766544,-22.291656098540713,-31.096794402667694,-24.652964733890393,-20.600241283882262,-21.657342081263202,-21.14234715921564,-21.32268357602416
-30.51172186316203,-24.6077901067538,-20.237120702695968,-67.99407853586548,-56.47906146461395,-16.92433165018626,-17.69479648298678,-27.25737672400672,-38.276468377832295,-26.955510565943186,-20.711887463913673,-16.833007795111456,-23.352585513909645,-39.11398659205952,-213.2527181778719,-165.3581418900564,-28.424685060564922,-18.2423744415409,-19.818948351361023,-16.885148545514863,-16.795613373148875,-16.791467294935913,-16.998019043902804,-31.508171451827863,-43.100465841890724,-18.425680370831525,-17.13366671361966,-17.699751687988886,-18.75293933401427,-52.23014980055906,-16.803757336199748,-18.346803291128783,-18.19520454313926,-19.001181209459563,-30.931542857417877,-20.790952302899214,-22.898962552615036,-23.030992155935234,-26.21692730676319,-19.229103150548585,-29.618748315907155,-58.35736147590391,-50.87307943979794,-19.613333702127886,-21.32780992833596,-20.185916885006467,-21.909544458481097,-19.759311078685435,-18.191686239264047,-19.474899497461212,-19.6327493705121,-20.832188551549756,-30.157023871890466,-20.049253797354815,-22.77788125145385,-21.880147235426726,-30.90223392251636,-24.42303971690069,-20.028140074274255,-21.246008877882208,-20.646061606905832,-20.85739261092629
