z_20230601,z_20230602,z_20230603,z_20230604,z_20230605,z_20230606,z_20230607,z_20230608,z_20230609,z_20230610,z_20230611,z_20230612,z_20230613,z_20230614,z_20230615,z_20230616,z_20230617,z_20230618,z_20230619,z_20230620,z_20230621,z_20230622,z_20230623,z_20230624,z_20230625,z_20230626,z_20230627,z_20230628,z_20230629,z_20230630,z_20250601,z_20250602,z_20250603,z_20250604,z_20250605,z_20250606,z_20250607,z_20250608,z_20250609,z_20250610,z_20250611,z_20250612,z_20250613,z_20250614,z_20250615,z_20250616,z_20250617,z_20250618,z_20250619,z_20250620,z_20250621,z_20250622,z_20250623,z_20250624,z_20250625,z_20250626,z_20250627,z_20250628,z_20250629,z_20250630
-25.704044963630203,-77.65291753101266,-13.600872513538441,-13.104826707830394,-33.946975153538716,-11.926912172012676,-12.957474932790374,-12.019729079924922,-12.656318388950682,-14.13815088069405,-16.82581961056357,-18.262876788778684,-18.99311035146097,-20.671504698100136,-27.622051526488136,-12.537202265663922,-18.968045144354583,-15.08299344046518,-11.670915218295614,-13.253806738430042,-16.67902228360517,-41.03441018194398,-59.24993787843549,-51.72236696717194,-12.57160320976697,-17.13554856416469,-48.68356506285015,-14.446832210216968,-15.029992191695717,-18.366807801182595,-14.509934676606767,-12.44852123128267,-16.40818997884927,-18.67536163260148,-13.348842338363172,-13.318987170012015,-19.074937710605674,-12.874945974433363,-20.750155934161388,-16.486731502083526,-68.40730494156584,-139.54547054536823,-16.75012314693638,-12.990500737076786,-13.886701765064025,-13.253516441161247,-13.40811850211486,-15.530120884963669,-18.22377534198349,-15.70861383699217,-25.726119988785037,-34.67411001077317,-51.677929183289145,-13.396769857185237,-12.639324760770462,-16.60475750774391,-12.792811775666724,-26.78367652120148,-18.07491009790229,-44.98441427131522
-25.677447944436345,-76.99854107263494,-13.758624801536053,-13.26330749044305,-33.744693152863185,-12.11082316396488,-13.123278656833985,-12.20193401677231,-12.825351869940805,-14.281884590567069,-16.92871743079575,-18.340921210516015,-19.053416662409074,-20.6928231495161,-27.54326280779121,-12.710802716393802,-19.017986298896503,-15.225283927151104,-11.860803508820558,-13.41371940723645,-16.767970733891225,-40.63050002718222,-58.664501624354564,-51.38829851454551,-12.745894973981333,-17.21299899962164,-48.3914204625357,-14.58751398156492,-15.145118604764892,-18.4283869595215,-14.68595797581219,-12.656473836643796,-16.54778808284566,-18.776179588627794,-13.527238892444949,-13.510308575746835,-19.151256766999712,-13.077441784875644,-20.833709077853367,-16.605223368445063,-67.76268537425547,-137.61029396122657,-16.877828757515516,-13.189601697989076,-14.071359139354543,-13.419541672498474,-13.599064095284243,-15.681669008056156,-18.304395530945172,-15.85555809487883,-25.70538050957684,-34.51471036408559,-51.145308248019525,-13.589720915154519,-12.841335199429743,-16.752360926824075,-12.993546188269532,-26.73261846072223,-18.190713174066826,-44.61404440340832
-25.955566899542745,-82.58143161054207,-13.069428048949929,-12.49354018974694,-34.29465920474658,-11.273262955455245,-12.363188689719982,-11.374929990742292,-12.048629510357499,-13.618852042690715,-16.49403646072699,-17.99154134596254,-18.709612837761775,-20.391211323078963,-27.863481612677113,-11.920203906961456,-18.60287641669621,-14.692986630350672,-11.00288009897675,-12.67985537218821,-16.192472200707694,-41.26588487404843,-61.213017089273166,-54.41177845982054,-11.970612501502035,-16.65725517342747,-51.01867800043301,-13.96196129990556,-14.460759023260705,-17.988213991173872,-13.943507264413437,-11.723995849875925,-15.932011694532754,-18.3267589266823,-12.734349616768109,-12.662625112227866,-18.765113686854104,-12.191260176235039,-20.626382156747077,-16.02821494111364,-71.66370565470771,-145.0427904087337,-16.251208595686087,-12.31312469430932,-13.273887240596025,-12.68690754281304,-12.76096162061212,-14.989916986324529,-17.654518971582718,-15.148645464392091,-25.740821520697835,-35.29329788837419,-52.47498503731613,-12.750569031476829,-11.922849376485615,-16.21211477709254,-12.093015251208552,-26.78200359978201,-17.734300735277216,-45.925683381318024
-25.869947551103706,-79.89345119404462,-13.900483175778268,-13.303601032679943,-33.26811518002637,-12.23301558906459,-13.227719722152784,-12.325253944666198,-12.927083755507876,-14.363373976940823,-17.032226167961696,-18.385881407893578,-19.021625367141247,-20.44943147033871,-27.41705740734046,-12.824229711350906,-18.807594676797574,-15.488801690970742,-11.996734019536536,-13.511545448302204,-16.627615030317386,-38.72211289062936,-58.23353712074192,-53.15120365156099,-12.887466670533456,-17.020995549849346,-49.905744384451914,-14.691926086771865,-15.022973703271141,-18.25633142865809,-14.882837652040564,-12.816842930815445,-16.663232745505013,-18.874485564800764,-13.671182714749076,-13.669254450279038,-19.14404241321766,-13.261627154567435,-21.089558654038488,-16.63718095270436,-68.46292701131293,-134.68821402279352,-16.918915417675517,-13.363007719673211,-14.254588665854891,-13.567035593787319,-13.77378773936777,-15.77808326746283,-18.02498674399222,-15.900833386512694,-25.560665716742115,-34.42198894321686,-49.476481548017205,-13.769211232319796,-12.978549853996729,-17.00743808967963,-13.146201245434469,-26.431282369815925,-18.34763731145418,-43.882781175619606
-25.716215936560722,-76.31324673217128,-14.372072811404252,-13.827862786957112,-32.89133326019868,-12.800979602057556,-13.744936678206763,-12.88644611014966,-13.454990795790284,-14.81773915536646,-17.34051342379578,-18.64193770602092,-19.26236220567019,-20.668245166475522,-27.2431881373546,-13.362366438212039,-19.103653848673876,-15.852105062081746,-12.578173796410042,-14.011994991885986,-17.019136630659858,-38.374404949738036,-56.578406627548254,-51.19795078347801,-13.414018714471025,-17.39940455542035,-48.219075542028655,-15.124145627029732,-15.487701508889991,-18.569999424117306,-15.39069583844329,-13.448885958127073,-17.090355796165316,-19.18569480062265,-14.212387446107536,-14.24555236779939,-19.423775794548632,-13.863586627957103,-21.259756434754365,-17.037099435504615,-65.99929809004848,-129.88446644941223,-17.346993222546146,-13.958542418296695,-14.797636784216301,-14.066432320405834,-14.341824392197047,-16.25387136723587,-18.461146155360726,-16.388026978729147,-25.584688832178752,-33.962979790270936,-48.61121195094268,-14.340992510723488,-13.601332614779599,-17.389791664138308,-13.757302109571759,-26.43694332849858,-18.673872619576045,-43.05673980542556
-25.98290852396461,-83.00348110280774,-13.126082313249901,-12.530861736303248,-34.15944976559379,-11.331279879063644,-12.414212214883335,-11.432959996381477,-12.100060103308298,-13.66139095674562,-16.532522872817143,-18.013596200602507,-18.713399610876827,-20.34611540179523,-27.82036347474817,-11.97445410680173,-18.569216104754293,-14.7696744003897,-11.06458616587504,-12.72854233157918,-16.180590478700687,-40.8108810660048,-61.007186477133935,-54.68133664520252,-12.030526656806336,-16.633419145767512,-51.24831218803455,-14.008207974419513,-14.458046306505283,-17.964404617760156,-14.013898173229052,-11.793478759128472,-15.979674760745258,-18.36326917302705,-12.794881122870475,-12.728884211067715,-18.776352506366116,-12.264258413621095,-20.689754564183183,-16.055343763059405,-71.66723415160412,-144.07920820140697,-16.282140474680336,-12.38350590025921,-13.343342326684962,-12.745386245069863,-12.830124063920515,-15.036345954120398,-17.614474922962383,-15.183980595852171,-25.706150756932665,-35.24122684722593,-52.043259983285225,-12.820951232642692,-11.98697829008408,-16.288142949305925,-12.159808385733909,-26.71130776517938,-17.785289057544652,-45.70888215264786
-25.850560629433595,-80.6132099062093,-13.330892992269643,-12.779805514158745,-34.03472823861878,-11.590126891888533,-12.649368932333411,-11.687867341845074,-12.341146150502825,-13.866833284728063,-16.65654081508464,-18.118380821833142,-18.827172200304144,-20.480998878246798,-27.724921179600763,-12.21875809685051,-18.73897667879713,-14.900394641644063,-11.328261678187948,-12.95577763081708,-16.392302359053684,-40.90631469677258,-60.19483360672709,-53.34808011513433,-12.26467553483967,-16.84655556151721,-50.09194027180672,-14.197435778962618,-14.704062653229212,-18.136503731001575,-14.227482010478461,-12.078373009359517,-16.163185170409225,-18.491831073922253,-13.035213476694349,-12.984743186440829,-18.902238307499346,-12.529414149646263,-20.71124849454629,-16.239987001759268,-70.21196772205589,-142.0030567785015,-16.480904029996505,-12.64701664740236,-13.5780339206842,-12.965359796014235,-13.079926727511745,-15.24894551058485,-17.8726154197489,-15.410537395852495,-25.7113049320542,-34.982785074069184,-51.847846205938765,-13.070690353989729,-12.270630913913728,-16.4235075807488,-12.434842741068834,-26.73612553651588,-17.907662627741576,-45.36910765508267
-25.654157805903303,-75.96207123058491,-14.126321539192178,-13.619547498581301,-33.25255929504157,-12.53269729597555,-13.503637641212565,-12.620153537122416,-13.21210522097833,-14.611272041502462,-17.17271935633729,-18.524203557224368,-19.187550216974653,-20.71661358656707,-27.365950768136205,-13.109288853007708,-19.108365141187512,-15.574701856729021,-12.297516203341829,-13.780406276020639,-16.950836185121933,-39.52779846971645,-57.35292853520185,-50.89671147043135,-13.149248259151666,-17.36417789323675,-47.961186583280934,-14.913420776488755,-15.386593967443515,-18.54871235691941,-15.101150427601594,-13.136365453234882,-16.873714810082937,-19.015376962627847,-13.940730013315884,-13.95363992445828,-19.32481439856111,-13.548522620687876,-21.05705207544264,-16.874632227156113,-66.46875021069225,-133.0708373334224,-17.168188653643796,-13.651834047964334,-14.503400415969914,-13.806509315493111,-14.04343595931854,-16.030896162824988,-18.451439083444004,-16.188699176076184,-25.653057584470943,-34.16870161949823,-49.78935770540504,-14.039407584622786,-13.305156512801705,-17.11381210686892,-13.456621565067524,-26.59392362608875,-18.470461284783617,-43.72826294942256
-25.997477881350985,-83.17388708921582,-13.18511787325662,-12.577710545272627,-34.05535343404183,-11.39496760338232,-12.470957976802874,-11.496336688953638,-12.157386809410855,-13.709410376847899,-16.57176864723391,-18.038512071851383,-18.726473516192492,-20.32203472178106,-27.78121707965279,-12.034167332918319,-18.55587722705169,-14.840432407055191,-11.13150055234742,-12.782852416570153,-16.188014836825968,-40.461625379432824,-60.801719730425496,-54.8070497755316,-12.09416526248273,-16.63157522594491,-51.35396739452671,-14.05774325896306,-14.474232548012042,-17.958589842947617,-14.08450220618985,-11.868071336642886,-16.030346981610432,-18.40284093895787,-12.85935615117116,-12.79895176006737,-18.79462005009279,-12.340265330925499,-20.740908621366735,-16.09029626203568,-71.57022101851705,-143.2059388290752,-16.321729152276973,-12.45731779616802,-13.414667382043142,-12.807136761455041,-12.902364159989741,-15.08802244304261,-17.603884249908788,-15.227897101819483,-25.67856675924423,-35.18286937709689,-51.70285779854382,-12.893764340912458,-12.05722176923632,-16.357103938523398,-12.231577616140381,-26.658330340839026,-17.834094500398628,-45.52038618295036
-25.735658199599566,-77.78351988607527,-13.92932806643634,-13.390588926180147,-33.35415900833511,-12.2918398737134,-13.283228066621795,-12.382339110608685,-12.986783241669636,-14.41634657735473,-17.044251982312844,-18.414401447659877,-19.0732220678987,-20.595221814931037,-27.42985482542482,-12.88090984939004,-18.957742475988645,-15.433520034362763,-12.052037048194762,-13.566862661235769,-16.761719339035388,-39.521015842591936,-58.0231201927285,-51.89567271286159,-12.927823492046876,-17.176114681296433,-48.824796964705165,-14.730991563932552,-15.167931627240344,-18.394208231721088,-14.892792538338966,-12.870770244207295,-16.69390060890719,-18.881861967873206,-13.713900449712119,-13.71216242226814,-19.19976590775623,-13.298186903658037,-21.004559698249878,-16.699368948374634,-67.61590451449798,-134.89471161098146,-16.979348376013164,-13.403341870252053,-14.278292569542833,-13.598291590954402,-13.806203480620614,-15.8279586545403,-18.228119641891816,-15.976751087724825,-25.632827320282512,-34.36347209048154,-50.003446321931875,-13.801987462055605,-13.04150265279727,-16.967386698099528,-13.199450186551498,-26.56463144754018,-18.339216706657606,-44.01874574561042
