z_20230501,z_20230502,z_20230503,z_20230504,z_20230505,z_20230506,z_20230507,z_20230508,z_20230509,z_20230510,z_20230511,z_20230512,z_20230513,z_20230514,z_20230515,z_20230516,z_20230517,z_20230518,z_20230519,z_20230520,z_20230521,z_20230522,z_20230523,z_20230524,z_20230525,z_20230526,z_20230527,z_20230528,z_20230529,z_20230530,z_20230531,z_20250501,z_20250502,z_20250503,z_20250504,z_20250505,z_20250506,z_20250507,z_20250508,z_20250509,z_20250510,z_20250511,z_20250512,z_20250513,z_20250514,z_20250515,z_20250516,z_20250517,z_20250518,z_20250519,z_20250520,z_20250521,z_20250522,z_20250523,z_20250524,z_20250525,z_20250526,z_20250527,z_20250528,z_20250529,z_20250530
-10.668409765651102,-10.633139572330288,-10.76825729108094,-12.415510588649974,-10.629036228752563,-10.661952642130789,-10.629036228752563,-10.629036228752563,-10.647987087334135,-10.647491491407278,-10.771489805207182,-10.739083079175838,-10.62930498679725,-10.633368951785545,-10.630634561340266,-10.64612160320812,-12.597577059879553,-11.394341349206217,-20.279632928923014,-47.789007081400726,-72.68518846489124,-199.347455967839,-38.004679578862856,-10.862257740048472,-11.70468101304074,-10.707518942108662,-15.274236489676532,-15.735475372094104,-11.68349211137519,-16.58129255289903,-16.499364509979305,-10.964551492006137,-11.858183857132396,-60.13380103125938,-117.90635654470975,-45.278531533882656,-43.967139095344535,-11.27315983171579,-10.964425314610397,-11.454079040508265,-14.092480802932148,-15.794502894915489,-36.30302706885751,-15.538548085363995,-39.207143583448634,-15.198174439765808,-12.905575905176388,-15.998731991247862,-14.019458327284811,-14.300074116547323,-13.701935438962003,-11.890043816677627,-11.147072377794876,-11.98751668255111,-16.32926346366738,-25.21541644552221,-14.19523510783409,-11.69182235404045,-13.129190122677416,-21.795147853327823,-35.940725027977564
-10.670717796354538,-10.634646226118107,-10.771467083921829,-12.404330100940488,-10.630551734448728,-10.663674709354506,-10.630551734448728,-10.630551734448728,-10.64965386343253,-10.6468502694477,-10.773949555428839,-10.738397303563984,-10.63084612382861,-10.634947927462564,-10.63220598907797,-10.648007524964024,-12.618884013501987,-11.396242656792495,-20.191347845283524,-47.96326495649413,-72.45823622672718,-200.94738006095446,-37.73697781058581,-10.866257602184906,-11.711676924017596,-10.709632082682441,-15.202760252410851,-15.716407274752878,-11.671735775751236,-16.5739496115326,-16.513506812871835,-10.96558471423231,-11.859298331508672,-60.46023179425485,-117.1957314433181,-45.36822160664611,-44.572460496684435,-11.27280176344655,-10.965452483858959,-11.454267781219922,-14.086654035161004,-15.812817888827432,-36.3562091190109,-15.562719667255589,-39.15050643768876,-15.25401757922614,-12.89672473731437,-15.947520808119918,-14.034309361582217,-14.284764521043204,-13.69961893403886,-11.904819738495023,-11.151099417773928,-11.987978823609758,-16.366621271636884,-25.251864818411505,-14.205243743569396,-11.681044674330309,-13.14288844968982,-21.80382095170538,-35.82004316615704
-11.649093998509052,-11.616754735276583,-11.739250358097465,-13.248146204128425,-11.61346145342257,-11.643156107168343,-11.61346145342257,-11.61346145342257,-11.630319472177776,-11.628184139408596,-11.741667005129875,-11.710651928619702,-11.613660449786053,-11.617235252088067,-11.61479862619102,-11.628597176665453,-13.409634048530998,-12.311666713539003,-20.508511798676125,-45.74563775729165,-68.84375033687317,-185.21442019491565,-36.92925797364231,-11.822090823714719,-12.59510672527692,-11.684516077551331,-15.901025846459742,-16.302473590411466,-12.57909432639801,-17.07049266196467,-16.989262376411872,-11.991437414802721,-12.806522698262455,-57.11081540287671,-110.95636099942575,-43.48422400045534,-42.052123520027095,-12.274003832978803,-11.991346058997033,-12.439207937819488,-14.853542103672801,-16.410225575936813,-35.25733988992789,-16.179914195220242,-37.96770076523583,-15.849982757738616,-13.762437364054026,-16.627102098946946,-14.778899472136134,-15.051891711863322,-14.49323304828887,-12.76658670714707,-12.156160610995894,-12.921675055620899,-16.88469928774973,-25.066098238521477,-14.9438393297676,-12.653416749332468,-13.96322410543399,-21.92713544977714,-35.05944009489427
-11.567099802753361,-11.534483039061826,-11.658088742613753,-13.17732199290409,-11.531123952271928,-11.561090217620695,-11.531123952271928,-11.531123952271928,-11.548159776519105,-11.546031619283038,-11.660531613290974,-11.62923288493114,-11.531330175106653,-11.534946708596236,-11.532485658377537,-11.546438472997462,-13.342179416839727,-12.234761869181694,-20.48215474814527,-45.915238866164145,-69.13544841058113,-186.4222251647928,-36.99676571371806,-11.741875164240449,-12.52062866546651,-11.602811655179401,-15.843626194767428,-16.252335589645305,-12.503185063144166,-17.027531844350666,-16.94728384397805,-11.905512234426153,-12.726925392553792,-57.367912139716225,-111.47077557530781,-43.62991755097463,-42.23359114013033,-12.190105221783526,-11.90541768567292,-12.356601805223384,-14.788658896929647,-16.358321026305795,-35.340546401939974,-16.126203091603564,-38.06047714770726,-15.796860145727143,-13.689673909366093,-16.570362562830447,-14.715182981001895,-14.98718027518316,-14.425947969358255,-12.693688125307101,-12.07182913216402,-12.8432050766187,-16.83867077074543,-25.076344421419044,-14.880797458158217,-12.5721021716248,-13.893521769042195,-21.913386893816817,-35.119927428740226
-11.674181982015417,-11.64185947418943,-11.764161498914362,-13.268567376847644,-11.638587932354694,-11.668217122186126,-11.638587932354694,-11.638587932354694,-11.655404244467482,-11.653057416833402,-11.76650116468814,-11.735291560416428,-11.638786988069828,-11.642351943595061,-11.639922464519946,-11.653700912655347,-13.431835636596409,-12.335161148118422,-20.508763967384482,-45.70786976403033,-68.73287845962521,-184.97132060190842,-36.88357618087338,-11.846772844053271,-12.61828759786248,-11.7095002596952,-15.91228181785742,-16.31552328764283,-12.601066724459667,-17.082767339955115,-17.002923819656914,-12.017607605027752,-12.830751653171335,-57.06017106506158,-110.73496403799672,-43.44715314046862,-42.04627793864316,-12.299433786354305,-12.01751673656827,-12.464286771869956,-14.872653572449256,-16.427451698293726,-35.235884053452594,-16.19815181121858,-37.933595313878946,-15.870346577878854,-13.783670921344893,-16.639689742487505,-14.799340705337649,-15.070057192373778,-14.513152296639527,-12.78996963439339,-12.18209360485345,-12.945509350777815,-16.901752455007767,-25.06543461081974,-14.963756130638025,-12.677089189817439,-13.985515845018536,-21.931549457474954,-35.029864622138206
-10.786344657784706,-10.751010906730114,-10.885483904037574,-12.50778950197072,-10.747011576182107,-10.779642976733228,-10.747011576182107,-10.747011576182107,-10.765787153331408,-10.763849987880187,-10.888209004327509,-10.854288192878258,-10.747285744423332,-10.751309781340794,-10.74860828474997,-10.764056524672704,-12.704701442078791,-11.504241576606166,-20.255954623568524,-47.62302793825437,-72.0788803171486,-198.4229899008443,-37.719464056964526,-10.978531547630688,-11.813961337298693,-10.824899452062906,-15.308950281633328,-15.789919763900919,-11.783326639245129,-16.63323672818085,-16.562559950578333,-11.087304571650012,-11.971274015132296,-59.929330712867475,-116.65199144696894,-45.099492390912346,-44.045269463988404,-11.391951584889636,-11.087179386636054,-11.571219598499752,-14.178687793415547,-15.875649540069917,-36.196425042396065,-15.625873241919823,-39.01716610495892,-15.30294909088336,-13.00197858266653,-16.043917620704395,-14.116356722946499,-14.37988012288465,-13.793318550182178,-12.001787325306495,-11.269221975753055,-12.09854119802428,-16.413196017216197,-25.21065963515256,-14.288386376900545,-11.80010169733228,-13.234925957607306,-21.810661442933764,-35.76021865000297
-10.832829659931809,-10.797208632175604,-10.931985184487354,-12.540206040059513,-10.79325132927092,-10.825836708773805,-10.79325132927092,-10.79325132927092,-10.812005780672212,-10.808759637578257,-10.934283998276086,-10.898743703877317,-10.79353594151,-10.79755705732644,-10.794865451578612,-10.81040197496617,-12.75331513600013,-11.547493843831456,-20.21883350330311,-47.617488587046935,-71.77725732542802,-198.6129528604263,-37.52807359759252,-11.024924269881613,-11.858641594435433,-10.87110625173511,-15.299599850461506,-15.806031323307796,-11.818342638774876,-16.651266055473158,-16.592284313457824,-11.135262146930913,-12.01551891611146,-59.95775039138172,-115.95055148259807,-45.06051603325775,-44.27603700864356,-11.437940597553654,-11.135135361568949,-11.616744052004487,-14.210386014172837,-15.913245946844853,-36.1737775974775,-15.66785289312708,-38.92770350763078,-15.362796264275724,-13.036654583088536,-16.045470472368873,-14.159043337701654,-14.40624255980909,-13.828612327639375,-12.050096128902256,-11.317931963339351,-12.141758520966263,-16.457928335461215,-25.22205681018478,-14.327852617393912,-11.838764443453668,-13.280393695954526,-21.82047244413888,-35.65518846960956
-10.600406556764964,-10.564039023271022,-10.701964128778105,-12.344008389912526,-10.559885087911029,-10.593268520674313,-10.559885087911029,-10.559885087911029,-10.579157595912605,-10.57627127916083,-10.704440804472918,-10.668502601160657,-10.560186827894348,-10.56432872357623,-10.561563615166753,-10.577519685405125,-12.56309633812857,-11.330659333633267,-20.169473845918027,-48.13788356157208,-72.73338976692928,-202.1790067658739,-37.79925789477324,-10.797665299882127,-11.648600368545676,-10.639576669502404,-15.152313813148115,-15.675805525107947,-11.606580081746845,-16.539829637842214,-16.481474551948494,-10.891828682013877,-11.791471845357739,-60.72176957880666,-117.66309506124465,-45.51543573424766,-44.77829676077006,-11.200877108142356,-10.891693329865008,-11.383580084361675,-14.032307059876441,-15.77163970789405,-36.4440573505804,-15.520220336561215,-39.24320459395701,-15.214061701300148,-12.8348971351699,-15.899189881731246,-13.98207870617532,-14.230341343685682,-13.643556922592966,-11.84344960759992,-11.078960428123278,-11.921137963358142,-16.33172198236763,-25.270588632364948,-14.153287713262426,-11.611169102361357,-13.084802609919782,-21.79860347316282,-35.87988775608463
-10.76854185330275,-10.732591863952598,-10.868497074713812,-12.483998555156473,-10.728580705845872,-10.761416855277721,-10.728580705845872,-10.728580705845872,-10.747500448292387,-10.74400575209512,-10.870738412309729,-10.83460843373156,-10.728873969795238,-10.732934445375431,-10.730221121662293,-10.745921975194824,-12.703641344250963,-11.487454519556103,-20.19159419988102,-47.788083430362406,-72.00935853217698,-199.85365341627806,-37.5646006975397,-10.962323733020716,-11.801258374616753,-10.807035334749004,-15.24774649581737,-15.767292856463067,-11.757679258475425,-16.619021273036388,-16.563663385102185,-11.067727685844961,-11.953353994453996,-60.21827561321301,-116.32143403305277,-45.19968904986305,-44.50826186267338,-11.371961356391962,-11.067597586700657,-11.551923832423679,-14.159913329954362,-15.876513040785664,-36.25655781659826,-15.630390022552131,-39.006823295698624,-15.330285863259526,-12.979198235172714,-15.997103431764545,-14.112094712435768,-14.355036297177527,-13.776984552577318,-11.994895597950123,-11.252092552622948,-12.080434689202521,-16.428291264126536,-25.241145869741267,-14.28072602396674,-11.773888324334324,-13.227990387286782,-21.815702254065933,-35.70010000198032
-10.630440356028371,-10.594247123864983,-10.731598289089385,-12.370487506705347,-10.590118472375318,-10.623378188933529,-10.590118472375318,-10.590118472375318,-10.609309147849483,-10.606591078424463,-10.734118798532192,-10.698529069788435,-10.590415569149458,-10.594537952138074,-10.591783334933247,-10.607654552437948,-12.585752276728162,-11.35868201298936,-20.18386190288033,-48.05224014293854,-72.62709442672218,-201.55124639249718,-37.787001507878124,-10.82686037110605,-11.675246064986915,-10.66951213769072,-15.178058719851279,-15.694101685258637,-11.63519491434097,-16.55482637022225,-16.494258576859302,-10.923412662404118,-11.820498969564067,-60.590102167672484,-117.50116474593865,-45.44670161684553,-44.65372534475408,-11.231752322796769,-10.923279010579733,-11.413891427056946,-14.055924144516224,-15.78818972841807,-36.402906227217706,-15.536980224542498,-39.206175198432575,-15.227726631550599,-12.861901803491323,-15.922782540016751,-14.003554630538286,-14.254505559034067,-13.667621236476677,-11.868896108762975,-11.10967232772256,-11.949782139270253,-16.34447805409019,-25.26011755830131,-14.174964477203726,-11.64174372894899,-13.108912609221207,-21.8001142423497,-35.86056097704295
