z_20241101,z_20241102,z_20241103,z_20241104,z_20241105,z_20241106,z_20241107,z_20241108,z_20241109,z_20241110,z_20241111,z_20241112,z_20241113,z_20241114,z_20241115,z_20241116,z_20241117,z_20241118,z_20241119,z_20241120,z_20241121,z_20241123,z_20241124,z_20241125,z_20241126,z_20241127,z_20241128,z_20241129,z_20241130,z_20251101,z_20251102,z_20251103,z_20251104,z_20251105,z_20251106,z_20251107,z_20251108,z_20251109,z_20251110,z_20251111,z_20251112,z_20251113,z_20251114,z_20251115,z_20251116,z_20251117,z_20251118,z_20251119,z_20251120,z_20251121,z_20251122,z_20251123,z_20251124,z_20251125,z_20251126,z_20251127,z_20251128,z_20251129,z_20251130
-25.999710203735074,-22.42076533419999,-20.731898861297207,-22.460257534119705,-31.404331091979373,-23.375552981969033,-21.91327524301914,-96.59536568017154,-292.3689037359806,-22.79886715472629,-114.69042404246967,-170.94744025617746,-264.95629892505525,-26.040569282431814,-38.09665235228777,-21.801900064348768,-34.76666958505106,-122.92298146932065,-203.58905104792754,-27.79377972439256,-20.72705763560997,-29.641868712438153,-28.244965765313438,-30.349633184366578,-22.882128699936356,-35.094194716695704,-23.79354490688809,-29.43164404272369,-35.23674085902047,-29.468740823158452,-31.669837990347677,-25.74100394792944,-22.182264612097487,-24.05497754909023,-24.29651799313798,-25.516427594298577,-23.3127542351271,-29.05458304754147,-25.20992237691032,-23.630132324608105,-23.41311573755111,-22.911996711080967,-25.50738430921038,-24.257175877475387,-31.34607461231809,-37.54380683068952,-23.599030895700636,-24.725554465715774,-28.049044863659976,-26.166704068796967,-23.40025001719209,-22.788875533253616,-27.04271576435179,-30.65405571901937,-60.05069847389877,-38.874688824048874,-36.30465727373617,-22.71207537128576,-24.24602529007976
-25.92613503718017,-22.255125653234025,-20.44588020993507,-22.223669670082437,-31.26301645677428,-23.204724406003013,-21.71960875981891,-98.01361937412643,-290.1315431138419,-22.601807106518915,-115.96743984357667,-173.8638118979334,-266.4509335742877,-25.924096331569647,-38.24417667213033,-21.56927431711105,-34.878936782092936,-123.10520090142965,-204.83460848184666,-27.763916321176264,-20.440347697275225,-29.733330953254722,-28.192346486904697,-30.35867265660079,-22.693517353473215,-35.01324151600717,-23.639532163304782,-29.345799938343095,-35.168136842667096,-29.24521472708407,-31.67618948392076,-25.4901299185414,-21.88563977616297,-23.81685014328279,-24.09226392359341,-25.3492604898062,-23.054624732182116,-28.95427345189264,-25.004467927928165,-23.39731004862784,-23.163267576483165,-22.655298555473628,-25.285593852603096,-24.015891701036047,-31.282483808852536,-37.47650821261473,-23.376253190571674,-24.53291204930858,-27.990937931653313,-25.954274509468927,-23.13079619444816,-22.51227768596641,-26.855905498030783,-30.55568953907091,-60.276155017193716,-39.106684310679576,-36.46089873587736,-22.434808825335427,-24.0425175314254
-25.980714603445804,-22.360575417021526,-20.605171700417532,-22.35314440752066,-31.333762180875684,-23.306377768313148,-21.834813910085227,-97.19280548940326,-291.0078058857471,-22.712596605326805,-114.99119483742196,-172.4214342061718,-265.33044242683957,-25.988647942934502,-38.14919100502971,-21.70126251864913,-34.815431974013606,-123.13597770456124,-203.90740376560638,-27.794606981708437,-20.59998509371129,-29.71885268444138,-28.234048566017805,-30.360141675838044,-22.801820620698432,-35.08339953695882,-23.73053318563113,-29.413342081481325,-35.192388868750726,-29.34021686804509,-31.689107550291247,-25.617677022363313,-22.045915449385888,-23.949049616256232,-24.211534039976627,-25.456965596175266,-23.199072371745853,-29.014076151187062,-25.119470387754273,-23.530344450499605,-23.305450759743767,-22.80266965100239,-25.40255792508851,-24.148099425231976,-31.322008677911924,-37.45939123384254,-23.50578016289826,-24.64597980525678,-28.05046321053008,-26.06144092867016,-23.279552766236606,-22.667262906701765,-26.96481554950446,-30.606328908880855,-60.08812550604917,-39.00321953302938,-36.39621801187996,-22.589811137324574,-24.162555535089094
-26.00436383523593,-22.402329310964696,-20.66314105654841,-22.399454198433048,-31.36012252323674,-23.34505713726708,-21.878187215683056,-96.89247100653563,-291.4098551105862,-22.7527985867992,-114.56804428713745,-171.98408181420373,-264.93988248168455,-26.011825599356897,-38.11154544333327,-21.749673096426108,-34.79217727791204,-123.24980784190855,-203.5664508405576,-27.80985759951577,-20.65807509955862,-29.724147264753878,-28.253420943504175,-30.362934843878037,-22.841711214640533,-35.12301887586227,-23.76481071788473,-29.446462499340065,-35.201031033094225,-29.36739314642307,-31.699032144814122,-25.660756504097776,-22.10286965473675,-23.9966952638178,-24.255920506902893,-25.500652046131705,-23.251434344349722,-29.03709815372774,-25.161124249552664,-23.57923878965278,-23.357699854328548,-22.85713083791999,-25.442949330710967,-24.195260370789047,-31.338552286767822,-37.43875300273773,-23.55390135098318,-24.688178985568502,-28.08040341840355,-26.097115783119058,-23.333015030712446,-22.723604844764864,-27.006788199155608,-30.624074918208947,-60.01263517404409,-38.97308484118841,-36.37903268438875,-22.645995515581667,-24.207685289183225
-25.820283049951495,-22.122216066825644,-20.350321674196632,-22.161553736748747,-31.24304791447404,-23.109895523454355,-21.61574922904924,-98.6408166463424,-289.9448853736614,-22.534973929459035,-118.04815249042619,-173.40518342336938,-267.96756691156196,-25.89264148295598,-38.37857992229695,-21.479950536468362,-34.92917332278237,-121.77665321962556,-206.22891749987258,-27.667617552138164,-20.344752363809036,-29.536924831351808,-28.094389520127606,-30.32364788215307,-22.615838613385645,-34.763776079461095,-23.56069594906659,-29.166676712095807,-35.19945131090515,-29.351582153424577,-31.57305457059396,-25.483961154296267,-21.81729694548378,-23.744729604257188,-23.996282714484774,-25.201447449017326,-22.968608915306344,-28.898272784493805,-24.937238298256197,-23.303735394056794,-23.06491916164907,-22.546437639761145,-25.257446303152946,-23.95378800212083,-31.230329526749507,-37.79639700339082,-23.274045352293093,-24.439372518634066,-27.797335311432292,-25.958006032410776,-23.052344918461078,-22.41741077352091,-26.75591180031585,-30.547793971505328,-60.66636935540525,-39.027356876146044,-36.37777739663735,-22.342604498578623,-23.93837741943016
-25.78726745815573,-22.041268743854587,-20.205916130316034,-22.040990921725278,-31.178692658249282,-23.025150166926636,-21.518909478037337,-99.38257939924152,-289.2481748400613,-22.434286680732377,-118.6182147740835,-175.09509209003824,-268.89185083507056,-25.833182959182245,-38.45252675723047,-21.362692675156456,-34.98817439031355,-122.07962336651869,-206.99090152124495,-27.658296640435573,-20.200006333288364,-29.598060914532784,-28.07467517074615,-30.33175635588308,-22.520695577213683,-34.746328669438356,-23.483086177978358,-29.137629963216632,-35.16995985000159,-29.22867937761629,-31.583297460491927,-25.352396458225353,-21.665505574785513,-23.62217872768684,-23.893293913318004,-25.12114451256891,-22.837171334568144,-28.8498156247033,-24.83291201852124,-23.185486362834077,-22.938407918012235,-22.41674770206292,-25.14191822708433,-23.829666454692987,-31.20235796093457,-37.742412720799635,-23.16119960599852,-24.34267025617812,-27.777661447826823,-25.844042777404496,-22.91488277623413,-22.276750063494298,-26.665315455742917,-30.49765736915533,-60.77694563568524,-39.15962240003083,-36.46974648675125,-22.201408416852093,-23.835974334414235
-26.015082791646226,-22.447653520929908,-20.769231000044652,-22.48991432699635,-31.42268698631586,-23.400458362914616,-21.940989908835856,-96.40502059055277,-292.72634271969105,-22.82448811377834,-114.41454873102862,-170.69063905019516,-264.7503976636997,-26.055271250950682,-38.07225260201109,-21.832939658795794,-34.75161218769237,-123.03363692092073,-203.39864532638597,-27.80389205470361,-20.764470037913355,-29.646138665241345,-28.25800431427214,-30.351635937634526,-22.907602168591893,-35.123896526993065,-23.815459621882077,-29.454968640635343,-35.24399915821631,-29.485927779246502,-31.676781087934337,-25.768447209643572,-22.218829767741568,-24.085369681593665,-24.32484973439493,-25.544922380575883,-23.346235556441084,-29.069493076546305,-25.236518721627135,-23.661381194832632,-23.446589148922996,-22.946893958865342,-25.533008546596733,-24.28724396463458,-31.35725870442601,-37.52952249251588,-23.629764532633743,-24.752487974518342,-28.069127382165682,-26.18917055844812,-23.434459540264612,-22.82496851749792,-27.07031208188736,-30.665540148278172,-60.00575595984233,-38.855961818869645,-36.294121367054,-22.74802751898824,-24.274908289709867
-25.849684996543075,-22.11630150647074,-20.252026227895215,-22.06796177227425,-31.187104482792332,-23.07603458765459,-21.573467509446758,-99.05507634525219,-289.5319706452264,-22.46592403441841,-117.37328342562775,-175.54419123798036,-268.1416736646798,-25.84620117022891,-38.37284496147972,-21.40674476545025,-34.95948005727867,-123.02602150694797,-206.2305008619695,-27.716721857055788,-20.24611104636337,-29.724779645370795,-28.133704303875184,-30.353451824812318,-22.55918676282303,-34.91317554462777,-23.524578819293765,-29.251094502719894,-35.15293556735813,-29.152689233032824,-31.64892792958753,-25.344269225495573,-21.694224524404934,-23.65571889394976,-23.942567242193647,-25.20694808017023,-22.87798413446735,-28.87941508154746,-24.864131014772866,-23.232331613350325,-22.987567493787846,-22.472130166896584,-25.148141501521124,-23.856380722260305,-31.23281276877151,-37.53990621263624,-23.213853606970655,-24.390744972200103,-27.89800241236594,-25.83172661581061,-22.95054746724445,-22.3225406217575,-26.720538889315577,-30.49817931074371,-60.56078386672494,-39.21685130526408,-36.52585455979911,-22.24531599923249,-23.89087622319307
-26.08416473880248,-22.5418783861071,-20.85702247540157,-22.554074097295047,-31.453945323351736,-23.47449144691434,-22.02256672310746,-95.90547359597025,-293.08514299659583,-22.886615626457644,-113.15893403923957,-170.61197328081153,-263.81272271505753,-26.089255218460835,-37.98757209532342,-21.911249825244195,-34.71589624814645,-123.75570623163014,-202.55010782873885,-27.862021902580032,-20.852371209466483,-29.74465436691674,-28.32050579319797,-30.37402603399972,-22.974669319202203,-35.26777317775302,-23.87914626034619,-29.563201455774404,-35.23593654309622,-29.45858006339425,-31.734114699870965,-25.804467681420977,-22.293073712281803,-24.155246835170026,-24.403658661346675,-25.647870192111906,-23.425884214465054,-29.114959332284535,-25.30001104879475,-23.74200174238807,-23.531912698481857,-23.03866409235498,-25.577231885525027,-24.352309586134545,-31.396215733398655,-37.369108822695125,-23.71400861337617,-24.828707432443338,-28.18253384613493,-26.215345196253004,-23.511222399267137,-22.911417068980597,-27.149124723799016,-30.68429075825308,-59.77612254911422,-38.87579685118462,-36.324291283814034,-22.833189097871742,-24.358084479032502
-25.936356569370655,-22.284746950942253,-20.504599412178926,-22.27344650745828,-31.29069336836614,-23.237651806133805,-21.757720943711764,-97.72554005047797,-290.42150746576596,-22.642600629551282,-115.79630441784306,-173.1450309778238,-266.09530672748485,-25.948695687718825,-38.21862739980963,-21.616698450769164,-34.85673271059229,-122.9103370475084,-204.57309688011318,-27.764789042571067,-20.499214848280424,-29.700798544652095,-28.197610639063992,-30.35405404287406,-22.73186333788862,-35.00818491555858,-23.669753801894693,-29.351001297855195,-35.181229348929506,-29.30063748787144,-31.667870634372566,-25.546060730959752,-21.948318926638645,-23.866416889429576,-24.133140700412007,-25.377413928472286,-23.108041399064096,-28.97338301337833,-25.047145965493563,-23.444609927389045,-23.214001635508875,-22.707014646656756,-25.334185231533112,-24.06683552692113,-31.292543881758775,-37.50925462170749,-23.420848850804227,-24.57136370404817,-27.991557218541743,-26.002279208745115,-23.18712628383299,-22.56922279861622,-26.89084948073965,-30.576773183809856,-60.23569918178165,-39.04996496756237,-36.421218176302695,-22.492146621509676,-24.082527963366935
