z_20231001,z_20231002,z_20231003,z_20231004,z_20231005,z_20231006,z_20231007,z_20231008,z_20231009,z_20231010,z_20231011,z_20231012,z_20231013,z_20231014,z_20231015,z_20231016,z_20231017,z_20231018,z_20231019,z_20231020,z_20231021,z_20231022,z_20231023,z_20231024,z_20231025,z_20231026,z_20231027,z_20231028,z_20231029,z_20231030,z_20231031,z_20251001,z_20251002,z_20251003,z_20251004,z_20251005,z_20251006,z_20251007,z_20251008,z_20251009,z_20251010,z_20251011,z_20251012,z_20251013,z_20251014,z_20251015,z_20251016,z_20251017,z_20251018,z_20251019,z_20251020,z_20251021,z_20251022,z_20251023,z_20251024,z_20251025,z_20251026,z_20251027,z_20251028,z_20251029,z_20251030,z_20251031
-16.030218312990733,-17.35450784775075,-22.295063108652784,-16.03092917380721,-18.630862702406766,-27.51442507596068,-68.55671148497808,-16.904134290591298,-16.570233217748417,-16.690503483226475,-16.04289749408161,-16.03966287685028,-16.09393803400457,-16.037528697628613,-16.36549889158412,-16.28317491400344,-16.72734865730228,-17.561716286266666,-18.12725952559576,-33.75231633761655,-16.82863171714959,-194.44805647944247,-28.22248579565963,-18.390223753348536,-42.09424489521654,-145.79974760774803,-33.20344488980987,-17.91778205343165,-31.771443565570678,-23.015768279276294,-17.596880907070826,-16.596352973524592,-16.735747531828597,-16.596445763969182,-18.782719512353715,-24.703321712949563,-22.93133240706818,-21.108176981619486,-23.738999550257468,-20.85456537051336,-18.818563541374054,-17.803403667829343,-21.120877509975713,-37.684117716116326,-30.93197894661736,-24.067238475818453,-20.053166160888487,-16.596582300918076,-25.903963633093262,-101.69480121857805,-51.346828913727855,-19.16913363001656,-17.384494483095157,-17.48562181505225,-20.280462019118286,-20.548817789463342,-17.16464575212352,-18.15523606979475,-20.138759466111743,-19.16699775107275,-23.115162879479335,-44.70768861817396
-16.243981211257708,-17.539767099302512,-22.389586659273398,-16.244699001405436,-18.798808896442466,-27.527589177827032,-68.1801964159199,-17.09739915815861,-16.772821890696978,-16.889025925318123,-16.256116468265482,-16.253114997669403,-16.305912513881776,-16.250918637981208,-16.572510226533055,-16.491142803117874,-16.925513913678053,-17.7438887496951,-18.294757971678873,-33.648913361694014,-17.0308512835366,-191.5749485381428,-28.20734483669774,-18.558759973415704,-41.75107951626265,-144.4082637828758,-33.067740088382074,-18.090681782991034,-31.77745618855413,-23.120574590166527,-17.77969961555787,-16.81871318845913,-16.95457539698797,-16.818812616166806,-18.95822751426234,-24.771408534483385,-23.052471008319507,-21.259872398851446,-23.83754010332053,-21.00797846393365,-19.011619204337475,-17.99978351455351,-21.259904829427022,-37.511043249949,-30.94905024377845,-24.14096792742788,-20.198445370678243,-16.81891991939972,-25.973450646534012,-100.33347487326945,-50.976786476128105,-19.340744253297856,-17.587954504063816,-17.69183621557787,-20.42536658424716,-20.69455563500399,-17.372916932254103,-18.349796512294194,-20.296997697257538,-19.336509420488774,-23.202364565990287,-44.43257482044889
-16.147778479098562,-17.455271884231227,-22.345388505357327,-16.14848856443355,-18.725568140060528,-27.52293046987429,-68.40237091953006,-17.009327409260276,-16.68167159681223,-16.798648530716967,-16.16014793278955,-16.15701108762175,-16.210441892814735,-16.154862840903053,-16.479560366706284,-16.397234344745122,-16.836021900319768,-17.662699061992985,-18.21759577346602,-33.69564159269122,-16.942079049505193,-192.84460597135254,-28.210900236556412,-18.482423460006668,-41.87302433332564,-145.19330622757474,-33.113091890196515,-18.01241993002363,-31.799811759177185,-23.078114712623833,-17.69757515871616,-16.718531736872006,-16.855758054416984,-16.71862888832664,-18.8769627261997,-24.738293439769706,-23.00362214250281,-21.195657554645898,-23.796112988585463,-20.94346734193769,-18.929864473944605,-17.911747141646693,-21.19830571185884,-37.57962286891578,-30.953658396172525,-24.103429380582707,-20.12782641683144,-16.71874589783919,-25.947854353294645,-100.8724531744324,-51.139452857023535,-19.264199592726705,-17.49597508062201,-17.600403072575446,-20.356885195727905,-20.62792557023078,-17.27888948859836,-18.26408549383019,-20.226571454732653,-19.258059155863776,-23.157011491292923,-44.54185980472839
-16.219816831873903,-17.516191706045966,-22.37590576877919,-16.220522521214082,-18.785780646219905,-27.530739984736,-68.3614901648786,-17.072954942787614,-16.75003575179357,-16.864134732359485,-16.231987966205956,-16.22888591939216,-16.281776598251852,-16.226746314957417,-16.549663192079763,-16.466891390288712,-16.902427766405403,-17.725472485271617,-18.271648492467033,-33.66314982414417,-17.013577851281106,-191.86904319950574,-28.202615293903435,-18.53888719321267,-41.71352454917938,-144.9772923150897,-33.04707620847407,-18.070245485467844,-31.841372214152003,-23.121338165716573,-17.759593782853322,-16.79330963316612,-16.929038047957384,-16.793410091615662,-18.93305915518371,-24.758803383690783,-23.05380860076356,-21.253153691969327,-23.83438183097639,-21.002234217177737,-19.00270409303074,-17.978568919175718,-21.247380036410185,-37.51011270915738,-30.97905971835839,-24.122930861868596,-20.169661862902043,-16.793512113536323,-25.98034562550322,-100.3173785881032,-51.01378056799309,-19.32342873294011,-17.564014248640362,-17.671994988956204,-20.401400710714633,-20.67582596039585,-17.348728379622045,-18.332519724683383,-20.2813187346016,-19.312289698627783,-23.178269587796567,-44.432095019720784
-16.030033207937656,-17.35189362631492,-22.291714765731356,-16.03073374967719,-18.636253685215106,-27.518280882975777,-68.6826647982607,-16.901535440766025,-16.570148441130595,-16.68802492012021,-16.042688326883855,-16.03938483471379,-16.093590578069346,-16.03729594180364,-16.36583010823958,-16.282297235779865,-16.72651801739417,-17.563476412745665,-18.12321237192854,-33.7543346220037,-16.833614515773874,-194.41317368092677,-28.216079237234386,-18.389152823578108,-42.02260769682542,-146.17565753768469,-33.16914657244244,-17.916742784341675,-31.829995455017148,-23.027002432973042,-17.597183106747842,-16.595911836131123,-16.734804611047878,-16.59600629243171,-18.77754445777105,-24.698291207678935,-22.944684035222537,-21.117669449956527,-23.74615854672666,-20.865106003256695,-18.83027063514855,-17.804093234812647,-21.123329710772527,-37.664820244416674,-30.96124124789807,-24.057852007021495,-20.04138122543897,-16.59613485202331,-25.917615973231165,-101.535525822933,-51.341369211123904,-19.170744781410843,-17.383424485232986,-17.48863071029569,-20.273181432186462,-20.54662736767354,-17.163825241219378,-18.15939442447821,-20.14069386747422,-19.162129113722045,-23.101691787150973,-44.67734538159198
-15.35963404364883,-16.772055350051414,-22.007573257722488,-15.360307022219029,-18.11803821467811,-27.504925388660176,-70.06839087589677,-16.29570358444674,-15.935897402881759,-16.065377855731924,-15.373989903510761,-15.369913097845178,-15.428767600729811,-15.368039743974919,-15.717537384967892,-15.630128109843348,-16.10591126932639,-16.996512775595477,-17.599807901926866,-34.11831184967272,-16.204328210331354,-203.81241536329955,-28.286218574714006,-17.86521851378854,-43.11252969121309,-151.08394037355356,-33.61229287954289,-17.377882808036944,-31.88526760892418,-22.72030113055284,-17.02729712093168,-15.898367312461826,-16.04831405188915,-15.89844303534127,-18.22863447537849,-24.499565418762643,-22.58761302804717,-20.65736116106708,-23.456766141237864,-20.39946182423397,-18.236855980336117,-17.19104301114064,-20.69918674033507,-38.24073701401223,-30.955746566044994,-23.837269416553973,-19.586247623457663,-15.898655262172955,-25.727042021125104,-105.89331249473081,-52.57425633370531,-18.639229781552782,-16.74625278042781,-16.84556750369174,-19.82228809112585,-20.096146171579953,-16.511423639478277,-17.55490317759954,-19.652519105707356,-18.633001214265324,-22.83398513583645,-45.58549164835436
-15.577187172526111,-16.958683682573426,-22.095389903706188,-15.577865040608375,-18.287610861902273,-27.50592233149012,-69.6473592066347,-16.49092695409463,-16.14154764275501,-16.266182419085727,-15.590976684924437,-15.587123612433166,-15.64442615041505,-15.585199371012102,-15.92801147296243,-15.841374431105512,-16.30676897395475,-17.180615918886804,-17.767191626974515,-33.99370283852823,-16.41036517917626,-200.66558467705298,-28.255561119144346,-18.033765097065206,-42.717040190692,-149.58804381119955,-33.446113215864656,-17.55157906479203,-31.8840267079583,-22.82163959546859,-17.21178456480893,-16.124635019294008,-16.270719581181993,-16.12471736973683,-18.403739320148613,-24.558373847406273,-22.706106898305013,-20.809042652679576,-23.550844182683072,-20.55336909043239,-18.43349447278717,-17.38986524055397,-20.83569976318001,-38.037223246575486,-30.964346880497345,-23.90167601078482,-19.727475940885192,-16.124899571859732,-25.79130896896328,-104.37622004168142,-52.15723102246791,-18.81126270071692,-16.952347844477902,-17.05524391928991,-19.964039538590196,-20.240063003335322,-16.722604608203078,-17.752288381040728,-19.810604636227346,-18.801716458394502,-22.91251688983575,-45.26548965420744
-15.962287091967667,-17.308065327198022,-22.289842362462096,-15.963050023875867,-18.549403934836626,-27.499449420871567,-68.13064282760708,-16.855148833275408,-16.505587927964903,-16.63959836185976,-15.975244952725557,-15.972315450488692,-16.027444336040787,-15.96997420251921,-16.29711920050775,-16.220753156860106,-16.6680365696746,-17.495405981435063,-18.093814372939736,-33.7839529939224,-16.738655615514283,-195.72904459205967,-28.267918975815043,-18.34416322006145,-42.58400387957579,-144.5273428833188,-33.43733998465637,-17.86775775484352,-31.50070414882891,-22.933713035649653,-17.537327718766097,-16.52708482581662,-16.67029085467596,-16.527166960738406,-18.753621343213922,-24.71422399413843,-22.833952836615246,-21.01304660879235,-23.67439922543259,-20.753790516060267,-18.699363496074703,-17.737277185142037,-21.070346863765188,-37.847695217345134,-30.791046268804468,-24.0962694027558,-20.06897608237228,-16.527353835188826,-25.814186464463653,-103.00607916162956,-51.52629776264963,-19.10826645080015,-17.32443803671625,-17.404403941824526,-20.272262201363663,-20.512564500739437,-17.102095836534428,-18.072400317469633,-20.078097589292817,-19.137438978564948,-23.158030720717953,-44.978604184579254
-16.175313150799774,-17.49179390645554,-22.378730175860152,-16.176081526195976,-18.717649458962185,-27.50817585513157,-67.75151467790947,-17.04686947696782,-16.707296574099054,-16.83654206679222,-16.18771820180308,-16.18500422541499,-16.238624317430205,-16.182607405460484,-16.503460122262418,-16.427733852783774,-16.86508744012942,-17.676445522270786,-18.259249553657742,-33.6750256709979,-16.941053179724914,-192.76018509271196,-28.24589806468084,-18.510322006730007,-42.212456044256335,-143.14952541987336,-33.283864183827774,-18.03911508672352,-31.507751471695336,-23.036994523114323,-17.718927653359803,-16.748615766021956,-16.888090235486,-16.74870493821379,-18.926389917940792,-24.77652685625568,-22.953207240800268,-21.165248249294336,-23.771829591613287,-20.907748679371473,-18.89347389979323,-17.932630178686406,-21.205949318428267,-37.66352570081635,-30.809649378624854,-24.16395949993993,-20.209045093447614,-16.74886081579632,-25.884989341357787,-101.57548229462304,-51.13999667064788,-19.27803306150898,-17.52672214522255,-17.61029121968285,-20.41349077433951,-20.65678637811002,-17.309130474477076,-18.266687941129195,-20.235799770090985,-19.30458097272358,-23.23934042802415,-44.68254933110954
-15.413097115629942,-16.84943107036321,-22.11860299500891,-15.413902380763156,-18.091040674270975,-27.50731689029859,-68.84446436782507,-16.375608082350578,-15.986746895464181,-16.146788819943726,-15.427581192106741,-15.424539399193478,-15.484079532234352,-15.422116031723203,-15.7630318489067,-15.691670072085884,-16.165770866043566,-17.026443564410407,-17.691403921721303,-34.112610132660855,-16.193304760649976,-204.4985708771574,-28.407446514218268,-17.934953579126272,-44.02168339545368,-146.98599637767032,-34.099499973785214,-17.435609484482395,-31.304446856086194,-22.64780377185603,-17.072743561710695,-15.957573188587153,-16.113752637477447,-15.957628705059308,-18.34241326819486,-24.61894399273457,-22.501006627152314,-20.583764139018218,-23.409073723260974,-20.31579042454519,-18.148194626906392,-17.233486943173027,-20.739928830419053,-38.4919918256649,-30.65357170021237,-24.001374591823954,-19.78509842629842,-15.957936755898944,-25.580259331283713,-107.88887338551868,-52.721396850585805,-18.675797722528685,-16.8092614106771,-16.86023734521263,-19.95748115158344,-20.155905159876998,-16.574238286933518,-17.554904591853436,-19.665803685784272,-18.73650261522061,-23.037886943682643,-46.04665651200756
