z_20230901,z_20230902,z_20230903,z_20230904,z_20230905,z_20230906,z_20230907,z_20230908,z_20230909,z_20230910,z_20230911,z_20230912,z_20230913,z_20230914,z_20230915,z_20230916,z_20230917,z_20230918,z_20230919,z_20230920,z_20230921,z_20230922,z_20230923,z_20230924,z_20230925,z_20230926,z_20230927,z_20230928,z_20230929,z_20230930,z_20250901,z_20250902,z_20250903,z_20250904,z_20250905,z_20250906,z_20250907,z_20250908,z_20250909,z_20250910,z_20250911,z_20250912,z_20250913,z_20250914,z_20250915,z_20250916,z_20250917,z_20250918,z_20250919,z_20250920,z_20250921,z_20250922,z_20250923,z_20250924,z_20250925,z_20250926,z_20250927,z_20250928,z_20250929,z_20250930
-17.976047456325887,-21.204934975848694,-10.735639505459933,-11.259523707421305,-11.370372569653652,-10.825380379036526,-9.636695895304126,-10.638467174113188,-9.674074021591903,-9.694857071483364,-10.16982630363303,-10.156994475775774,-9.679038420092624,-9.636506414121698,-10.315482721785077,-14.127391966471393,-9.636468753069146,-9.636468753069146,-9.636468753069146,-19.61192166121007,-49.67462762160245,-15.13822014874098,-23.70257831597636,-18.36142444870643,-23.879540448525567,-14.762248985328501,-9.798082918541429,-9.807056892496048,-12.249475130670822,-34.50243146579593,-17.25373155820543,-19.076196724546435,-28.789379829682396,-14.270583619674078,-14.79318558256317,-20.090917384262745,-26.515831016156827,-17.867064764319622,-12.855908359541504,-14.285830548809205,-11.835384015468435,-25.096021116194077,-49.027071958940525,-90.40264960646827,-11.696565571747854,-10.163047132888716,-10.184490836281839,-10.36719557859659,-14.050920246735942,-100.10184450416617,-193.73870602373233,-10.726740285905658,-13.164629759801354,-20.74404332850924,-10.048542503136272,-9.941855637134795,-9.966647050492666,-10.657210752431928,-15.709844545874995,-29.14762712526259
-17.50620440415265,-21.068943176521017,-9.56799970003868,-10.143854292885074,-10.264441900173109,-9.672903836856666,-8.343677018545215,-9.46451624081368,-8.385884480014601,-8.409364123925966,-8.938962600575968,-8.925455589211957,-8.391549448324229,-8.34348367466215,-9.10123758884618,-13.347600078778935,-8.343388267670678,-8.343388267670678,-8.343388267670678,-19.317771571636236,-52.670263400097284,-14.459061932112906,-23.95547037461501,-18.079368493062518,-24.027364984850912,-14.031053957640719,-8.525028009056001,-8.535139834033133,-11.259389320788912,-35.7236838688935,-16.722726709446935,-18.724823036930637,-29.40329944404474,-13.43352881600865,-14.020922044871188,-19.894705856371957,-26.982896574250613,-17.45802273283533,-11.850513317510483,-13.436654298820764,-10.70844227547252,-25.38373452219732,-52.19618944726679,-98.31789475808853,-10.549631208060813,-8.845605371339241,-8.869446576553006,-9.074211199663463,-13.16788414743062,-109.08049001178416,-213.54221801581792,-9.48041159018142,-12.188258812680878,-20.594423892821734,-8.717191491405076,-8.59712573670923,-8.625008995004821,-9.398393994333588,-15.006919451568503,-29.8238054043629
-17.473377919380784,-20.671326221601703,-10.413334689943962,-10.93439669276624,-11.052260883709494,-10.550408616095025,-9.318029235198297,-10.369548739407632,-9.356918685211845,-9.378362267999922,-9.864555336034968,-9.855155661540978,-9.362963225899199,-9.317811331040721,-10.023296364652051,-13.974573911273243,-9.317748492846995,-9.317748492846995,-9.317748492846995,-19.111701765434063,-49.95581154048621,-14.919750107428413,-23.657277275989472,-18.418762218406343,-23.40498609891225,-14.510560196646114,-9.484540905326883,-9.49469453212987,-12.039864529411883,-33.94690675094127,-17.07609111923362,-18.85937708406607,-28.516484918828958,-14.08568147857032,-14.682769195636714,-20.0641967856518,-26.506410062097082,-17.925141522278864,-12.625943825179595,-14.085765976660504,-11.549886608849004,-24.979906331735023,-50.420434575478005,-93.79045164066633,-11.398426777654166,-9.841557862832452,-9.863473826065782,-10.046954019379296,-13.827118393659838,-103.46082852067497,-201.8831173401106,-10.43339308533345,-12.919577355956758,-20.626819516231755,-9.72409112140475,-9.610499430275185,-9.634985342884812,-10.352075363143397,-15.47555631282717,-28.905991366032318
-17.380108039933557,-20.45607292645959,-10.56824007591039,-11.074065006174342,-11.192794104249998,-10.724942800665865,-9.506344865134173,-10.55256517681247,-9.544741673177796,-9.565827974328611,-10.044041086339723,-10.036453714316929,-9.551166347240146,-9.506113514846076,-10.204647729760605,-14.114579483770125,-9.506052712212846,-9.506052712212846,-9.506052712212846,-18.947086846835816,-49.383908747166615,-14.999736971001258,-23.58698529568129,-18.539782780980403,-23.148547346610016,-14.593849352275843,-9.67028567836654,-9.68069102587667,-12.206820596795884,-33.381656311377355,-17.144207519917234,-18.85628617696573,-28.264642286911318,-14.225099905686779,-14.846007208807327,-20.12130972356505,-26.407376288426903,-18.079232140035614,-12.785959682219604,-14.221369710873972,-11.713570375918833,-24.87609634680811,-50.322674352276344,-93.52574223619403,-11.561054429524884,-10.03551277181612,-10.056934758603521,-10.235053404842493,-13.958253488580539,-102.84644114443955,-201.01858125925298,-10.623198047209756,-13.06334323889567,-20.623369190118016,-9.920198083008337,-9.806455916633578,-9.829943374884513,-10.538963486442793,-15.555095541089806,-28.637542428098953
-17.294698024446184,-20.469729722511957,-10.269735237761951,-10.79054099479521,-10.911006470179974,-10.42507791793926,-9.172486480741362,-10.246000749440208,-9.212061686374726,-9.233820061017983,-9.725828990758945,-9.71769739294328,-9.21854078104273,-9.172258599776004,-9.889622601341474,-13.904364518644153,-9.172184570180937,-9.172184570180937,-9.172184570180937,-18.913096567347928,-50.1709178606117,-14.825610758894229,-23.651898899663884,-18.443149681892148,-23.23330080083136,-14.408020539581749,-9.341411684544838,-9.35202809555559,-11.94439640932912,-33.77443835567867,-17.005408035257474,-18.772733582688048,-28.45374242452656,-14.002395553752041,-14.631957742638072,-20.05834253893815,-26.526135425007556,-17.94665919472183,-12.521319739139987,-13.996727378124694,-11.421470397348145,-24.95660834086209,-51.03127019979688,-95.31449596076735,-11.264891148654787,-9.694660145697245,-9.716762644416,-9.90096892761921,-13.727087343428046,-104.94616487466243,-205.55415955855298,-10.29894419924761,-12.808853301618,-20.58437863342833,-9.575817169946664,-9.459197228754636,-9.48361250347035,-10.212690969651133,-15.375550717783899,-28.841489441751015
-17.30312964097054,-20.51344462105345,-10.206550839307313,-10.732014509922251,-10.852537670042492,-10.358020832422712,-9.09883956224447,-10.17655247264907,-9.138645761311334,-9.160550649998187,-9.655686253176688,-9.647145835093756,-9.145059474724725,-9.098614532752606,-9.819508613337888,-13.854378453114041,-9.098538611534895,-9.098538611534895,-9.098538611534895,-18.941823943841435,-50.37210147985904,-14.791267999808984,-23.674081909466114,-18.41000635781764,-23.293209356499982,-14.371533569968584,-9.26883526980228,-9.279427653545252,-11.883137384436532,-33.9289560138033,-16.977403157068697,-18.76486968756552,-28.524425134191016,-13.951077464275357,-14.577076434369204,-20.041317926611526,-26.559975411511388,-17.903080515842312,-12.461204101061885,-13.94591870110967,-11.357435382034009,-24.98686176031929,-51.13422771784427,-95.57471789917358,-11.200573958893996,-9.619174801802489,-9.641449588470369,-9.827386692237358,-13.67639687752192,-105.3105554366809,-206.2486542971163,-10.226183104087031,-12.75303454621713,-20.581746926982078,-9.499507736575092,-9.382580448598302,-9.407293108430846,-10.140250201032467,-15.340695038145611,-28.91751797282173
-17.23427363949679,-20.793123455038433,-9.366309110751091,-9.94290654854992,-10.067457725224955,-9.497550689845495,-8.139182179806644,-9.291664339588074,-8.182402762008886,-8.206337713551518,-8.744026763337512,-8.732422272316864,-8.188663249442683,-8.138974791917505,-8.914171218380112,-13.253492342897998,-8.138864285226155,-8.138864285226155,-8.138864285226155,-19.05323927257736,-52.9625257826537,-14.333295833413672,-23.960374967011507,-18.11885393127724,-23.793642611436503,-13.884816447265667,-8.32409574962355,-8.334939110793314,-11.126026494331214,-35.48891326538241,-16.62563221857216,-18.61342649290042,-29.300752879427254,-13.320487356755393,-13.950625376455648,-19.89301954932079,-27.016297767779886,-17.49351449918732,-11.706046694796383,-13.314674015605721,-10.528948724808622,-25.35141226624044,-53.09849575080639,-100.48852978292241,-10.362593816752778,-8.639286826310165,-8.663569194990247,-8.869594498303204,-13.031695957796341,-111.2817199107259,-218.7674899254364,-9.292201757986085,-12.036960213739109,-20.54537869005795,-8.50875983277989,-8.38447169821671,-8.412338140675152,-9.203434542664574,-14.872256313670615,-29.73900277330045
-18.033722317905116,-21.173544437188816,-11.015169266451117,-11.52480347492062,-11.634322462333953,-11.108813359054883,-9.950693215351173,-10.928715034393331,-9.987021757806376,-10.007186092407771,-10.469259774465325,-10.457193202443367,-9.991975823120477,-9.950499643808783,-10.612758211396404,-14.33130220197306,-9.950474041311432,-9.950474041311432,-9.950474041311432,-19.63008940846975,-48.93029909265601,-15.304445557287659,-23.64766361279296,-18.465988129102577,-23.781635720803024,-14.935427855413499,-10.107557261720773,-10.116431461147364,-12.49995849381543,-34.10204984854019,-17.386688145886023,-19.156036127849177,-28.59528211431421,-14.4850933339848,-15.002106632276298,-20.15943899476269,-26.40872109703514,-18.00674307235466,-13.108202111154732,-14.501078549417308,-12.110983094009192,-25.018580568927746,-48.430643415156986,-88.85497306936227,-11.975415165209064,-10.483912672661665,-10.504813375872796,-10.681719862877458,-14.271676952777579,-98.27828556139266,-189.78215805183902,-11.033142138082862,-13.406935189273474,-20.78596929654187,-10.372642616863676,-10.268428723663346,-10.292343100704208,-10.965086910410824,-15.88054882857043,-28.94605951314812
-17.925759707348693,-21.12855160299801,-10.776565710140925,-11.29595893036482,-11.407335309353755,-10.87323983726142,-9.688320798681797,-10.689078651999994,-9.725573349031881,-9.746254060537133,-10.218724930476313,-10.206541246761645,-9.730665406443286,-9.688126480469855,-10.365397898651818,-14.16661563010344,-9.688089324528747,-9.688089324528747,-9.688089324528747,-19.555449821926818,-49.479617234814874,-15.158552021511998,-23.678461324648502,-18.396285918597478,-23.79046600119868,-14.779518025863444,-9.848995908305799,-9.858086508086402,-12.295310541970828,-34.31287935456202,-17.268235863645515,-19.071312681812113,-28.691970582383355,-14.308917256594567,-14.838442417845387,-20.10489249171605,-26.479335981871685,-17.91244811676328,-12.899968784066179,-14.322459832932878,-11.879535217537281,-25.05483355295241,-49.017988607281154,-90.34693922692925,-11.740102837941858,-10.216254336690074,-10.23760365758705,-10.418707719833224,-14.086523982481626,-99.9712940141492,-193.53940126185316,-10.779090203001358,-13.204100413975087,-20.739801649303573,-10.102329154631192,-9.995548187804124,-10.020048579584486,-10.708588374638344,-15.729419391649312,-29.05497585262294
-17.68643458478813,-21.14985980193422,-9.936261505902557,-10.49672784056157,-10.613657641434497,-10.031639157711343,-8.748954437127233,-9.829014562534773,-8.789561151732912,-8.812168964041053,-9.324323791638372,-9.310642957137295,-8.79490844455519,-8.748765108057349,-9.480179892512322,-13.58191791603743,-8.748689065710428,-8.748689065710428,-8.748689065710428,-19.441925455606295,-51.732103823984275,-14.669982681925433,-23.8692533410849,-18.143159918940412,-24.017451008063155,-14.261770567008465,-8.923806338490866,-8.933441665109351,-11.562793118372493,-35.40115111772316,-16.884972718853657,-18.836643159782298,-29.234288193607917,-13.687856025694282,-14.248410095384163,-19.94081586193292,-26.82894347774443,-17.559132561968894,-12.159934516503478,-13.696220702785075,-11.060083279904205,-25.295050482268472,-51.08596067723767,-95.58367616708269,-10.908559508478785,-9.25791604264511,-9.280963089777188,-9.479054103552363,-13.439883118917784,-106.02354567636203,-206.75737131217568,-9.868530947526889,-12.490377392679276,-20.635569871593205,-9.133967729281878,-9.018600917329954,-9.0455840639769,-9.79141006775569,-15.226058173865741,-29.63135589802971
