month,modelE_LE,modelE_LE_med,modelE_LE_5,modelE_LE_95,modelE_gammaE,modelE_gammaE_med,modelE_gammaE_5,modelE_gammaE_95,modelEElev_LE,modelEElev_LE_med,modelEElev_LE_5,modelEElev_LE_95,modelEElev_gammaE,modelEElev_gammaE_med,modelEElev_gammaE_5,modelEElev_gammaE_95,modelEElev_LElev,modelEElev_LElev_med,modelEElev_LElev_5,modelEElev_LElev_95
August,195.49526396822463,169.2490916555201,84.40532042923319,401.79677142644186,0.20679521138196283,0.20660804903440225,0.17083882558039132,0.24545148871742012,134.4686991846021,116.33265039224183,58.21600340761532,261.2526658224552,0.2704661682123537,0.2670046638260022,0.2151151207128555,0.3384550223699642,1553.1044134431788,1447.089996810348,884.7031568974069,2555.0963201179393
December,3.9645274489239872,3.958053920627834,3.576202442365987,4.378935474346798,0.5137392319678209,0.5128726990834933,0.4699880519399854,0.5591233696036205,4.393384567348301,4.387435776620832,3.928198201124748,4.892148067853756,0.5425653261251789,0.5423865896657831,0.4939182091052218,0.592000574125366,2720.8229212814526,2354.0001627522397,1431.5412542637587,5031.554281381595
May,135.1496674244078,118.04704509981443,60.04605457898397,267.33101959831356,0.30023100421465315,0.2996437834095942,0.24635371776494266,0.36026193033566395,187.26953538252275,158.26889446875242,77.11552840577227,363.389707555191,0.2930615669576414,0.2918235033645149,0.24280866234162798,0.3479008909158213,6707.755829051867,4969.8863841905695,2324.382866199072,15912.365445644245
June,36.13669022989524,34.09154316137227,22.452010804992163,56.978039978039305,0.41381020812781194,0.41251600355985607,0.34548182764312957,0.4822365605158453,49.49670581708645,45.58846903291423,28.186762864158602,81.95543847791774,0.4329970213117339,0.4311202073255942,0.3572221048733273,0.516310248823218,1890.3244135078805,1817.7633680808415,1242.3364686481234,2771.2783442158925
July,7.566127442388534,7.453398283611335,6.159977046545875,9.37842587051213,0.47673793493677985,0.4771473678690315,0.4045875290198327,0.5467649341792227,9.642406860316795,9.4776335120115,7.682195008880556,12.191938269496875,0.5623728561630401,0.5621325760269686,0.47099682544823485,0.656313391623293,930.5937027380819,888.5123053787455,631.9820013566496,1367.4332369958247
September,6592.782265525604,3647.172816760275,876.9441586059525,22172.640035172517,0.177243681664375,0.17561832365945645,0.1407738550123249,0.2193252108332676,6763.476757098429,4031.850623765203,999.5784688424083,20756.64952693118,0.19397667848977473,0.19226794950917037,0.15441513053994407,0.23919224904814046,2998.4852431198237,2794.702916199476,1762.253181459218,4918.219222276468
October,15.837109201424733,15.27100981073407,11.163236976279931,22.30624588436679,0.3778824254822148,0.37651108692287605,0.31798474852303227,0.44084961588119753,22.070813598264973,20.986308166024834,13.896381142953299,34.42043630202139,0.3647868028428834,0.36351449841469863,0.3004786048356964,0.43414626162085956,2194.3640679797113,1966.9285576154646,1183.164661456248,3892.8808072284874
January,480.79399386357363,395.9205370513936,196.85151187753485,1088.3346173945308,0.3386326484998162,0.3387943521953203,0.27982049542723,0.3940414432879893,487.3543658910707,406.8015894643322,182.42159423795695,1079.4737789017854,0.4554206880440638,0.4528254280059649,0.37498432384499497,0.5428512253669551,938.9864950395628,927.9080610582529,749.7604918797517,1166.3742203809156
February,22.9289522429643,22.630892811878812,18.45916427464984,28.34386799644696,0.9822793788666959,0.9822176729163293,0.9028736667416639,1.061980366783433,22.802823359402907,22.497996098774394,18.500387054004214,28.0642367638381,1.0536488753814561,1.0529951552056869,0.9660723365438707,1.141418431969463,6867.887168547131,6625.284487107134,4691.412186861492,9812.587186883471
March,11495.254975494621,8976.240204844773,3430.550335519696,25961.022905384536,0.3631931217437059,0.36216473980959785,0.3190451898111077,0.4101482776041145,4215.901227555023,3457.8858983158498,1439.9184000336875,9597.487771688577,0.44719523290765584,0.44638449593609414,0.3879340048683938,0.509703787060969,8327.071729427196,8096.5588100830155,5915.216769834253,11529.53374582051
November,2.153881000898561,2.151581331236704,1.8256962250645474,2.494578545124871,0.3499433574871487,0.34919836219201633,0.3077400618241783,0.3949140422996095,4.410034766977371,4.401452112774521,3.6835302310330267,5.157961890281359,0.42052389260565204,0.41985252531033346,0.36034789476983853,0.48063940416276596,430.9339049785994,423.3967007916923,340.1682888607815,546.3521420200102
April,3.6919999402156156,3.644051503549427,2.9230255657149784,4.619255362541619,0.477051833094917,0.4758962924975709,0.39186820579846465,0.5705067743594232,6.0160676232354255,5.965236611068428,5.06322518922503,7.156694906447819,0.9751777991272359,0.9713862121337227,0.7506930248216336,1.2104331196347438,172.11009069576224,166.38975074676455,124.19126926459472,240.4330127961594
