X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,94.386,21.4,108.043,27.207,117.095,26.784,133.179,34.489,150.706,36.565,171.863,46.904,182.195,44.882,207.663,60.442,202.198,53.146,232.351,71.428,217.543,60.606,252.047,81.315,8.684,2.995,10.942,4.151,13.41,4.115,17.121,6.092,25.389,8.802,33.103,12.766,41.161,17.414,55.35,24.555,54.442,26.421,74.926,36.579,66.271,35.621,92.964,48.702
630497.805,1327109.436,11.5,94.287,21.341,108.039,27.194,116.853,26.625,133.149,34.459,150.425,36.267,171.763,46.818,181.828,44.04,207.482,60.269,201.702,52.092,232.112,71.183,216.942,59.374,251.763,81.012,8.589,2.939,10.918,4.142,13.263,4.013,17.08,6.074,25.09,8.588,33.019,12.725,40.624,17.026,55.215,24.487,53.68,25.873,74.752,36.491,65.297,34.921,92.76,48.598
630587.805,1327289.436,2.63,93.837,21.25,107.872,27.175,116.579,26.388,132.837,34.414,149.706,35.799,171.116,46.688,180.335,42.596,206.436,60.008,199.911,50.295,230.754,70.815,214.884,57.276,250.141,80.555,8.364,2.843,10.838,4.129,12.985,3.844,16.929,6.046,24.514,8.233,32.68,12.665,39.516,16.375,54.585,24.386,52.018,24.945,73.847,36.359,63.071,33.732,91.592,48.442
630587.805,1327199.436,2.63,93.817,21.263,107.873,27.178,116.548,26.419,132.845,34.421,149.698,35.868,171.139,46.709,180.366,42.839,206.473,60.05,199.946,50.597,230.799,70.873,214.92,57.628,250.192,80.628,8.384,2.86,10.843,4.131,13.013,3.872,16.936,6.051,24.565,8.291,32.693,12.675,39.61,16.483,54.604,24.402,52.159,25.1,73.873,36.38,63.258,33.931,91.623,48.467
630677.805,1327289.436,3.75,93.809,21.182,107.887,27.163,116.38,26.218,132.839,34.385,149.52,35.459,171.077,46.605,180.099,41.533,206.353,59.842,199.561,48.979,230.645,70.58,214.446,55.743,250.016,80.264,8.271,2.773,10.822,4.12,12.84,3.724,16.902,6.029,24.222,7.978,32.63,12.627,38.992,15.905,54.515,24.322,51.281,24.271,73.77,36.276,62.133,32.862,91.515,48.343
630677.805,1327199.436,3.88,93.795,21.197,107.891,27.166,116.354,26.254,132.851,34.393,149.516,35.539,171.107,46.626,180.147,41.813,206.403,59.885,199.617,49.326,230.706,70.64,214.506,56.147,250.085,80.339,8.293,2.792,10.827,4.123,12.871,3.755,16.91,6.034,24.281,8.045,32.646,12.637,39.102,16.028,54.541,24.339,51.443,24.448,73.805,36.297,62.348,33.091,91.558,48.369
630767.805,1327289.436,4.27,93.767,21.11,107.891,27.151,116.198,26.043,132.821,34.357,149.323,35.099,171.002,46.525,179.793,40.381,206.217,59.682,199.132,47.558,230.468,70.353,213.92,54.092,249.809,79.983,8.169,2.697,10.803,4.112,12.691,3.597,16.87,6.013,23.921,7.709,32.568,12.591,38.445,15.404,54.419,24.26,50.499,23.548,73.652,36.195,61.129,31.925,91.383,48.248
630767.805,1327199.436,3.98,93.733,21.128,107.888,27.154,116.167,26.085,132.821,34.365,149.295,35.194,171.011,46.547,179.793,40.704,206.231,59.725,199.134,47.957,230.482,70.415,213.92,54.555,249.822,80.059,8.189,2.718,10.806,4.115,12.722,3.632,16.874,6.017,23.977,7.784,32.573,12.601,38.546,15.544,54.424,24.277,50.647,23.75,73.656,36.217,61.323,32.188,91.384,48.274
630857.805,1327559.436,11.05,94.115,21.009,108.002,27.133,116.276,25.826,132.965,34.317,149.615,34.572,171.219,46.412,180.18,38.505,206.556,59.455,199.516,45.26,230.927,70.031,214.333,51.428,250.384,79.585,8.087,2.572,10.812,4.101,12.536,3.398,16.897,5.989,23.642,7.286,32.66,12.539,37.976,14.608,54.633,24.173,49.863,22.388,73.998,36.081,60.347,30.412,91.866,48.112
630857.805,1327469.436,8.09,93.944,21.01,107.951,27.134,116.171,25.82,132.884,34.32,149.387,34.586,171.069,46.419,179.806,38.625,206.313,59.469,199.08,45.405,230.604,70.051,213.832,51.596,249.99,79.609,8.062,2.58,10.797,4.101,12.524,3.41,16.866,5.991,23.601,7.312,32.582,12.542,37.876,14.657,54.479,24.178,49.694,22.461,73.769,36.088,60.105,30.507,91.564,48.121
