X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,98.678,21.079,107.366,25.592,118.843,23.612,132.378,32.868,153.606,34.26,172.707,45.817,183.84,45.701,210.349,60.427,203.817,55.235,236.181,72.372,219.217,63.881,256.635,83.118,8.557,3.054,11.771,4.488,13.595,4.61,18.347,6.647,25.868,10.046,35.14,13.908,42.06,20.035,58.29,26.671,55.613,30.391,78.487,39.659,67.614,40.893,96.975,52.728
630497.805,1327109.436,11.5,98.531,20.963,107.383,25.584,119.252,22.854,132.369,32.863,153.333,33.565,172.661,45.797,183.402,44.773,210.272,60.375,203.26,54.113,236.089,72.288,218.561,62.582,256.535,83.007,8.472,2.998,11.763,4.485,13.46,4.519,18.332,6.64,25.591,9.852,35.111,13.892,41.567,19.688,58.249,26.645,54.922,29.903,78.443,39.627,66.74,40.276,96.933,52.692
630587.805,1327289.436,2.63,97.995,20.769,106.88,25.572,115.444,21.762,131.637,32.855,151.746,32.354,171.479,45.765,181.274,43.167,208.595,60.295,200.692,52.174,234.033,72.163,215.592,60.341,254.158,82.842,8.257,2.901,11.662,4.48,13.128,4.364,18.154,6.63,24.89,9.521,34.712,13.868,40.23,19.09,57.494,26.606,52.944,29.059,77.347,39.578,64.127,39.2,95.505,52.638
630587.805,1327199.436,2.63,97.992,20.8,106.876,25.574,115.72,21.88,131.63,32.857,151.794,32.561,171.471,45.771,181.326,43.44,208.578,60.308,200.744,52.504,234.007,72.183,215.644,60.722,254.124,82.868,8.274,2.918,11.662,4.481,13.152,4.39,18.154,6.632,24.936,9.577,34.71,13.872,40.316,19.191,57.489,26.612,53.073,29.203,77.34,39.586,64.298,39.384,95.496,52.647
630677.805,1327289.436,3.75,97.912,20.622,106.963,25.564,116.166,21.011,131.718,32.851,151.631,31.46,171.571,45.745,181.034,41.985,208.716,60.245,200.369,50.75,234.187,72.084,215.203,58.695,254.346,82.737,8.176,2.831,11.666,4.477,13.0,4.251,18.161,6.624,24.63,9.28,34.733,13.854,39.772,18.65,57.548,26.581,52.31,28.434,77.441,39.547,63.332,38.4,95.644,52.605
630677.805,1327199.436,3.88,97.917,20.659,106.966,25.566,116.507,21.169,131.722,32.852,151.684,31.699,171.579,45.751,181.095,42.3,208.722,60.258,200.432,51.129,234.19,72.105,215.271,59.133,254.345,82.764,8.195,2.85,11.667,4.478,13.027,4.281,18.163,6.626,24.683,9.344,34.736,13.858,39.873,18.767,57.553,26.587,52.461,28.601,77.449,39.555,63.532,38.614,95.654,52.614
630767.805,1327289.436,4.27,97.813,20.461,107.008,25.556,116.576,20.28,131.746,32.846,151.416,30.486,171.581,45.726,180.664,40.703,208.721,60.197,199.891,49.206,234.2,72.008,214.636,56.912,254.37,82.636,8.086,2.756,11.664,4.474,12.859,4.13,18.158,6.618,24.34,9.02,34.729,13.839,39.254,18.173,57.553,26.557,51.581,27.752,77.464,39.517,62.409,37.524,95.688,52.572
630767.805,1327199.436,3.98,97.799,20.505,106.987,25.558,116.752,20.477,131.715,32.848,151.414,30.762,171.536,45.732,180.654,41.066,208.651,60.21,199.87,49.643,234.107,72.029,214.607,57.416,254.258,82.664,8.103,2.777,11.661,4.475,12.882,4.164,18.152,6.62,24.384,9.094,34.714,13.843,39.335,18.308,57.525,26.563,51.702,27.945,77.421,39.526,62.567,37.772,95.632,52.581
630857.805,1327559.436,11.05,98.058,20.205,107.431,25.544,118.139,19.679,132.302,32.837,151.992,28.888,172.418,45.695,181.374,38.606,209.925,60.124,200.753,46.684,235.714,71.896,215.646,53.999,256.16,82.49,8.027,2.633,11.728,4.469,12.777,3.934,18.276,6.609,24.203,8.599,35.007,13.818,39.041,17.39,58.099,26.521,51.313,26.625,78.276,39.473,62.106,36.067,96.768,52.523
630857.805,1327469.436,8.09,97.897,20.216,107.254,25.545,117.42,19.495,132.054,32.839,151.549,28.994,172.029,45.698,180.778,38.744,209.363,60.13,200.02,46.85,235.012,71.905,214.787,54.191,255.337,82.5,7.998,2.641,11.697,4.47,12.729,3.947,18.218,6.609,24.09,8.626,34.875,13.82,38.816,17.442,57.846,26.524,50.975,26.7,77.906,39.477,61.654,36.164,96.283,52.527
