station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,5,145.40627045620366,15.113073296881481,1.09247373938467,-0.08241414699680623,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,10,177.62709336459596,24.9181601297856,0.8836892826824287,0.006294172122560968,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,25,231.22974365443199,50.35734700826669,0.666358180483691,0.08224083189969908,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,50,283.98602453564814,85.8616371883974,0.5230946294092724,0.09318936183380158,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,75,321.4776639668137,116.89066565900788,0.44499051206130635,0.08740102946068498,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,100,351.75106564574696,145.26453801534387,0.3921367220897369,0.07977022135841565,-0.154327249691115,-0.33087257172641926
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,5,58.61464606468181,6.523741484668268,-2.1445110290968374,-1.959188984635502,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,10,67.88194725573238,10.576456223673507,-2.282955360453413,-2.043303066683004,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,25,81.1811723858315,19.161658888206066,-2.3772825247638467,-2.02775585663854,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,50,92.61818250326284,29.221516527700974,-2.3651338839933826,-1.9319702148075748,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,75,100.0657117837583,37.129944483447176,-2.322230107940769,-1.8553844217981228,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,100,105.76256452861395,43.91512646511926,-2.277073318016053,-1.7956981166009844,-1.6891887584187042,-1.7861555612610769
