X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,88.077,22.104,106.111,28.587,109.712,27.658,130.642,36.351,143.612,36.948,168.696,49.856,174.152,46.657,203.61,64.135,193.998,54.128,227.187,75.027,209.004,60.636,245.616,84.326,8.322,2.774,10.747,4.225,12.386,3.444,16.578,6.123,22.988,7.249,30.87,12.244,36.265,14.021,49.508,22.256,47.027,20.847,63.417,30.392,56.439,27.7,79.048,41.277
630497.805,1327109.436,11.5,88.013,22.08,106.124,28.586,109.633,27.59,130.628,36.342,143.471,36.728,168.626,49.815,173.94,46.204,203.483,64.034,193.73,53.479,227.019,74.867,208.689,59.818,245.412,84.108,8.258,2.725,10.727,4.216,12.282,3.33,16.543,6.103,22.785,7.009,30.792,12.19,35.904,13.579,49.363,22.139,46.519,20.215,62.827,29.861,55.788,26.886,78.78,41.036
630587.805,1327289.436,2.63,87.431,22.047,105.959,28.583,108.97,27.489,130.313,36.328,142.795,36.387,168.016,49.753,173.196,45.491,202.554,63.883,192.897,52.448,225.848,74.627,207.762,58.515,244.039,83.783,8.15,2.649,10.643,4.202,12.112,3.148,16.394,6.075,22.455,6.624,30.462,12.109,35.287,12.866,48.753,21.964,45.603,19.19,61.328,28.982,54.567,25.56,77.652,40.673
630587.805,1327199.436,2.63,87.419,22.051,105.957,28.583,108.964,27.504,130.318,36.331,142.791,36.439,168.035,49.763,173.194,45.601,202.585,63.907,192.894,52.61,225.888,74.665,207.755,58.721,244.085,83.835,8.164,2.661,10.648,4.204,12.124,3.177,16.402,6.079,22.466,6.686,30.478,12.122,35.303,12.982,48.78,21.992,45.63,19.357,61.47,29.129,54.606,25.777,77.696,40.73
630677.805,1327289.436,3.75,87.448,22.023,105.992,28.581,108.988,27.417,130.33,36.32,142.756,36.145,168.0,49.715,173.09,44.986,202.51,63.787,192.742,51.721,225.787,74.475,207.568,57.596,243.964,83.577,8.087,2.596,10.631,4.194,12.012,3.022,16.373,6.056,22.263,6.358,30.418,12.058,34.949,12.37,48.673,21.853,45.13,18.473,60.778,28.362,53.964,24.63,77.506,40.443
630677.805,1327199.436,3.88,87.444,22.028,105.993,28.582,108.989,27.433,130.34,36.322,142.757,36.202,168.027,49.725,173.093,45.109,202.554,63.812,192.745,51.902,225.841,74.514,207.568,57.826,244.027,83.63,8.103,2.609,10.637,4.196,12.028,3.054,16.383,6.061,22.282,6.426,30.437,12.071,34.981,12.498,48.705,21.882,45.179,18.659,60.939,28.526,54.032,24.871,77.561,40.502
630767.805,1327289.436,4.27,87.438,22.0,106.012,28.58,108.976,27.342,130.325,36.311,142.694,35.893,167.947,49.677,172.965,44.461,202.412,63.695,192.567,50.964,225.659,74.329,207.352,56.639,243.812,83.379,8.024,2.542,10.615,4.185,11.915,2.893,16.347,6.039,22.076,6.084,30.363,12.009,34.618,11.856,48.571,21.746,44.663,17.728,60.182,27.711,53.364,23.66,77.321,40.221
630767.805,1327199.436,3.98,87.407,22.005,106.004,28.58,108.946,27.36,130.321,36.314,142.666,35.958,167.951,49.688,172.939,44.599,202.423,63.721,192.54,51.166,225.672,74.369,207.32,56.896,243.826,83.433,8.04,2.556,10.619,4.188,11.93,2.928,16.353,6.044,22.091,6.159,30.372,12.022,34.642,11.998,48.584,21.775,44.699,17.934,60.327,27.893,53.414,23.928,77.339,40.281
630857.805,1327559.436,11.05,87.88,21.974,106.153,28.577,109.443,27.238,130.493,36.298,143.081,35.526,168.171,49.621,173.286,43.676,202.727,63.562,192.875,49.822,226.058,74.12,207.677,55.188,244.288,83.097,7.941,2.463,10.626,4.174,11.823,2.699,16.376,6.014,21.956,5.672,30.443,11.939,34.442,11.076,48.736,21.596,44.434,16.589,59.714,26.68,53.08,22.169,77.655,39.908
630857.805,1327469.436,8.09,87.674,21.972,106.095,28.577,109.224,27.241,130.407,36.299,142.873,35.54,168.029,49.626,173.074,43.712,202.515,63.572,192.644,49.878,225.788,74.134,207.419,55.262,243.968,83.115,7.942,2.466,10.611,4.174,11.819,2.709,16.347,6.016,21.928,5.694,30.373,11.943,34.376,11.12,48.601,21.605,44.326,16.654,59.569,26.747,52.929,22.256,77.395,39.927
