X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,96.215,16.613,104.995,23.072,118.554,18.507,129.811,28.019,151.61,22.667,167.252,36.606,180.473,28.3,201.248,46.596,199.575,32.853,224.296,54.995,214.183,37.211,242.43,62.587,7.64,1.682,10.44,3.385,12.085,2.367,15.987,4.82,22.991,5.264,29.836,9.832,36.963,10.756,48.19,18.541,48.336,16.503,63.672,27.231,58.236,22.291,77.524,35.846
630497.805,1327109.436,11.5,96.119,16.312,105.012,22.989,118.461,18.071,129.785,27.936,151.423,22.076,167.153,36.493,180.194,27.554,201.089,46.431,199.22,31.965,224.098,54.792,213.771,36.204,242.203,62.354,7.577,1.63,10.421,3.377,11.992,2.286,15.954,4.802,22.795,5.09,29.765,9.786,36.6,10.434,48.061,18.451,47.823,16.046,63.491,27.1,57.584,21.707,77.295,35.677
630587.805,1327289.436,2.63,95.91,15.828,104.459,22.86,117.873,17.349,129.059,27.813,150.424,21.103,166.168,36.324,178.81,26.326,199.863,46.185,197.582,30.509,222.692,54.489,211.906,34.553,240.646,62.005,7.429,1.547,10.331,3.364,11.774,2.155,15.805,4.775,22.321,4.81,29.454,9.717,35.687,9.911,47.513,18.316,46.476,15.299,62.73,26.904,55.812,20.746,76.336,35.425
630587.805,1327199.436,2.63,95.867,15.903,104.456,22.881,117.854,17.467,129.064,27.832,150.418,21.263,166.174,36.351,178.802,26.528,199.866,46.224,197.576,30.749,222.695,54.537,211.902,34.824,240.65,62.061,7.434,1.561,10.332,3.366,11.782,2.177,15.808,4.779,22.346,4.856,29.462,9.728,35.745,9.996,47.53,18.338,46.566,15.422,62.756,26.935,55.933,20.905,76.371,35.465
630677.805,1327289.436,3.75,95.865,15.479,104.546,22.776,117.852,16.832,129.115,27.734,150.338,20.414,166.173,36.217,178.669,25.458,199.833,46.03,197.386,29.484,222.643,54.298,211.672,33.391,240.584,61.785,7.376,1.489,10.323,3.355,11.697,2.066,15.79,4.758,22.154,4.617,29.418,9.673,35.373,9.546,47.445,18.231,46.032,14.774,62.634,26.78,55.249,20.066,76.214,35.265
630677.805,1327199.436,3.88,95.832,15.565,104.551,22.798,117.852,16.965,129.131,27.754,150.355,20.593,166.191,36.245,178.686,25.684,199.851,46.07,197.41,29.751,222.662,54.347,211.703,33.693,240.605,61.841,7.383,1.504,10.325,3.357,11.708,2.089,15.794,4.762,22.187,4.667,29.429,9.684,35.447,9.641,47.468,18.253,46.145,14.91,62.667,26.812,55.398,20.243,76.258,35.306
630767.805,1327289.436,4.27,95.833,15.111,104.591,22.693,117.816,16.284,129.122,27.658,150.214,19.69,166.115,36.114,178.468,24.547,199.728,45.88,197.122,28.41,222.51,54.114,211.363,32.174,240.43,61.573,7.32,1.43,10.31,3.347,11.616,1.975,15.768,4.741,21.981,4.418,29.371,9.631,35.044,9.167,47.358,18.149,45.561,14.224,62.511,26.661,54.644,19.351,76.058,35.111
630767.805,1327199.436,3.98,95.788,15.21,104.569,22.716,117.79,16.435,129.106,27.678,150.192,19.891,166.092,36.142,178.432,24.8,199.696,45.921,197.086,28.708,222.473,54.163,211.325,32.512,240.39,61.63,7.324,1.446,10.309,3.35,11.623,2.0,15.767,4.746,22.005,4.473,29.371,9.643,35.102,9.272,47.362,18.171,45.649,14.376,62.519,26.694,54.76,19.55,76.07,35.153
630857.805,1327559.436,11.05,96.096,14.567,105.043,22.574,118.167,15.43,129.591,27.55,150.652,18.562,166.663,35.969,179.074,23.127,200.39,45.669,197.786,26.742,223.257,53.853,212.092,30.287,241.248,61.274,7.317,1.339,10.351,3.336,11.612,1.837,15.83,4.718,21.928,4.118,29.488,9.572,34.902,8.587,47.547,18.033,45.358,13.372,62.759,26.493,54.397,18.235,76.358,34.895
630857.805,1327469.436,8.09,95.997,14.586,104.851,22.582,118.012,15.478,129.369,27.556,150.4,18.629,166.371,35.978,178.7,23.213,200.024,45.682,197.358,26.842,222.838,53.87,211.612,30.399,240.786,61.292,7.289,1.344,10.326,3.337,11.575,1.845,15.79,4.719,21.865,4.135,29.408,9.576,34.792,8.62,47.412,18.04,45.19,13.422,62.575,26.504,54.166,18.302,76.131,34.908
630857.805,1327379.436,6.11,95.928,14.639,104.722,22.595,117.915,15.571,129.222,27.568,150.241,18.753,166.178,35.994,178.459,23.369,199.781,45.705,197.084,27.024,222.558,53.898,211.306,30.605,240.477,61.324,7.274,1.354,10.309,3.338,11.554,1.86,15.764,4.722,21.836,4.167,29.357,9.582,34.748,8.683,47.327,18.052,45.122,13.515,62.461,26.522,54.071,18.425,75.991,34.931
630857.805,1327289.436,4.21,95.805,14.723,104.597,22.613,117.754,15.705,129.082,27.584,150.041,18.93,165.996,36.016,178.199,23.591,199.552,45.737,196.781,27.286,222.297,53.937,210.966,30.901,240.19,61.37,7.26,1.368,10.294,3.34,11.532,1.881,15.741,4.725,21.799,4.214,29.312,9.591,34.696,8.774,47.253,18.07,45.056,13.649,62.363,26.547,53.992,18.6,75.87,34.964
630857.805,1327199.436,3.03,95.71,14.836,104.518,22.636,117.642,15.877,128.997,27.606,149.91,19.156,165.887,36.044,178.031,23.876,199.414,45.779,196.588,27.62,222.14,53.988,210.753,31.28,240.017,61.428,7.256,1.387,10.286,3.342,11.524,1.909,15.728,4.73,21.792,4.275,29.29,9.603,34.7,8.891,47.218,18.093,45.071,13.82,62.318,26.58,54.017,18.823,75.817,35.007
630857.805,1327109.436,1.56,95.643,14.975,104.419,22.665,117.549,16.082,128.891,27.631,149.787,19.426,165.752,36.079,177.859,24.215,199.248,45.829,196.397,28.02,221.952,54.05,210.543,31.733,239.811,61.5,7.255,1.409,10.277,3.345,11.522,1.943,15.714,4.736,21.8,4.348,29.265,9.617,34.728,9.031,47.179,18.12,45.113,14.024,62.267,26.621,54.07,19.09,75.756,35.059
630947.805,1327559.436,12.73,96.13,14.124,105.159,22.495,118.22,14.775,129.68,27.479,150.648,17.713,166.71,35.874,179.034,22.063,200.417,45.531,197.709,25.495,223.277,53.683,211.995,28.874,241.265,61.078,7.273,1.272,10.349,3.329,11.552,1.736,15.826,4.703,21.795,3.896,29.478,9.533,34.642,8.155,47.525,17.957,44.982,12.735,62.725,26.383,53.912,17.397,76.313,34.753
630947.805,1327469.436,9.49,96.023,14.149,104.95,22.502,118.048,14.833,129.437,27.486,150.37,17.791,166.391,35.884,178.624,22.16,200.018,45.545,197.239,25.608,222.82,53.7,211.467,29.003,240.76,61.097,7.243,1.278,10.322,3.329,11.511,1.745,15.782,4.704,21.724,3.915,29.39,9.537,34.519,8.194,47.377,17.964,44.794,12.793,62.524,26.394,53.657,17.474,76.065,34.766
630947.805,1327379.436,6.55,95.903,14.213,104.759,22.516,117.868,14.94,129.217,27.497,150.108,17.931,166.105,35.9,178.257,22.338,199.66,45.568,196.816,25.816,222.411,53.729,210.992,29.237,240.309,61.13,7.219,1.289,10.298,3.331,11.476,1.761,15.744,4.707,21.665,3.952,29.315,9.544,34.421,8.265,47.25,17.977,44.653,12.898,62.353,26.412,53.471,17.613,75.853,34.79
630947.805,1327289.436,4.22,95.794,14.312,104.607,22.535,117.703,15.093,129.044,27.514,149.878,18.132,165.881,35.922,177.942,22.59,199.381,45.601,196.454,26.111,222.091,53.769,210.588,29.571,239.958,61.176,7.202,1.305,10.279,3.332,11.451,1.785,15.716,4.71,21.624,4.004,29.259,9.553,34.36,8.367,47.157,17.995,44.567,13.049,62.229,26.438,53.359,17.812,75.7,34.824
630947.805,1327199.436,2.65,95.687,14.442,104.502,22.559,117.566,15.288,128.93,27.536,149.711,18.387,165.734,35.951,177.724,22.91,199.197,45.643,196.204,26.486,221.882,53.821,210.309,29.996,239.728,61.236,7.195,1.325,10.268,3.335,11.439,1.816,15.698,4.715,21.609,4.071,29.227,9.565,34.349,8.497,47.105,18.018,44.56,13.241,62.16,26.472,53.354,18.064,75.617,34.867
630947.805,1327109.436,1.46,95.625,14.601,104.421,22.589,117.494,15.521,128.846,27.562,149.619,18.69,165.627,35.986,177.592,23.291,199.064,45.694,196.06,26.933,221.731,53.884,210.153,30.503,239.563,61.309,7.198,1.349,10.261,3.337,11.442,1.853,15.688,4.721,21.628,4.152,29.208,9.579,34.398,8.653,47.078,18.046,44.634,13.469,62.126,26.513,53.449,18.363,75.577,34.92
631037.805,1327559.436,15.25,96.198,13.648,105.327,22.418,118.328,14.08,129.831,27.411,150.725,16.818,166.835,35.784,179.102,20.941,200.54,45.4,197.759,24.183,223.406,53.522,212.04,27.39,241.403,60.892,7.238,1.202,10.355,3.322,11.505,1.632,15.834,4.688,21.689,3.668,29.492,9.497,34.431,7.706,47.545,17.885,44.676,12.066,62.75,26.279,53.52,16.513,76.342,34.618
631037.805,1327469.436,11.07,96.069,13.683,105.058,22.426,118.1,14.147,129.516,27.418,150.358,16.907,166.425,35.794,178.573,21.053,200.03,45.414,197.15,24.314,222.822,53.539,211.356,27.538,240.759,60.912,7.199,1.209,10.32,3.322,11.452,1.642,15.779,4.69,21.594,3.689,29.381,9.5,34.263,7.75,47.357,17.893,44.422,12.133,62.493,26.29,53.177,16.601,76.024,34.632
631037.805,1327379.436,7.26,95.927,13.759,104.811,22.44,117.866,14.271,129.229,27.43,150.013,17.068,166.054,35.81,178.093,21.256,199.569,45.438,196.596,24.55,222.296,53.568,210.734,27.805,240.179,60.945,7.168,1.221,10.289,3.324,11.406,1.66,15.73,4.692,21.513,3.73,29.284,9.507,34.125,7.83,47.192,17.905,44.221,12.253,62.27,26.309,52.911,16.761,75.747,34.656
631037.805,1327289.436,4.21,95.799,13.875,104.612,22.459,117.658,14.447,129.002,27.448,149.718,17.296,165.76,35.833,177.687,21.542,199.204,45.471,196.131,24.884,221.88,53.609,210.213,28.183,239.721,60.993,7.146,1.239,10.265,3.325,11.373,1.687,15.692,4.696,21.456,3.788,29.21,9.516,34.033,7.945,47.068,17.924,44.089,12.423,62.103,26.335,52.737,16.986,75.541,34.691
631037.805,1327199.436,2.44,95.683,14.026,104.496,22.485,117.507,14.67,128.873,27.47,149.531,17.584,165.594,35.863,177.442,21.903,198.997,45.514,195.85,25.307,221.644,53.662,209.901,28.662,239.461,61.054,7.138,1.262,10.252,3.328,11.358,1.721,15.672,4.701,21.437,3.863,29.172,9.528,34.016,8.09,47.007,17.947,44.074,12.639,62.022,26.37,52.722,17.271,75.443,34.735
631037.805,1327109.436,1.31,95.636,14.208,104.419,22.515,117.451,14.933,128.794,27.497,149.453,17.925,165.494,35.899,177.325,22.331,198.871,45.566,195.725,25.809,221.501,53.727,209.766,29.229,239.305,61.128,7.142,1.289,10.245,3.331,11.364,1.762,15.662,4.707,21.461,3.952,29.155,9.543,34.076,8.264,46.981,17.976,44.165,12.895,61.991,26.412,52.84,17.608,75.406,34.789
631127.805,1327559.436,12.03,96.158,13.138,105.123,22.345,118.106,13.341,129.536,27.348,150.282,15.875,166.397,35.699,178.462,19.759,199.982,45.276,196.992,22.804,222.765,53.369,211.167,25.831,240.695,60.717,7.157,1.129,10.317,3.315,11.393,1.525,15.774,4.674,21.45,3.432,29.368,9.462,33.965,7.238,47.327,17.817,43.982,11.365,62.447,26.181,52.604,15.581,75.961,34.491
631127.805,1327469.436,9.63,96.066,13.182,104.969,22.353,117.981,13.421,129.359,27.355,150.076,15.978,166.16,35.709,178.15,19.889,199.681,45.291,196.635,22.955,222.419,53.387,210.766,26.001,240.312,60.737,7.133,1.137,10.296,3.316,11.36,1.536,15.74,4.676,21.397,3.456,29.3,9.466,33.879,7.288,47.214,17.825,43.853,11.441,62.295,26.192,52.43,15.684,75.773,34.506
