station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,5,146.67037544682793,16.782006430563047,1.1837880992098937,0.3123174494350808,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,10,181.1403143893177,26.237889791986913,1.0389830069008141,0.2601769455264563,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,25,235.98345588994636,50.21670522878161,0.8390761087762574,0.1684697771596689,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,50,287.65187941794505,82.36689412106706,0.6789238905677978,0.08106774565552237,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,75,323.27973768638594,109.50526309991518,0.5839417869587077,0.027401701737092356,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,100,351.49239419337744,133.7069362609977,0.517071972850258,-0.010987049974882703,-0.154327249691115,-0.33087257172641926
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,5,56.81146619257805,7.1746660051280005,-2.030864414003949,-1.7292025809299911,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,10,66.60287286366938,11.583815607943668,-2.1403030754222807,-1.7788344435383139,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,25,80.32731831544108,20.602004349462295,-2.1964113965565004,-1.7993206740987036,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,50,91.86607270853112,30.809559622090944,-2.170304169351061,-1.7664199178539521,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,75,99.26666360261676,38.63220061429804,-2.1303720759554916,-1.7334021119887844,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,100,104.87359078291374,45.22499426845801,-2.092886630463145,-1.705646807760831,-1.6891887584187042,-1.7861555612610769
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,5,108.85443934697642,19.65784941231258,-0.16905598750121137,0.9234221663953549,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,10,152.82343077048697,33.96862196638558,0.25297388372730967,1.335853972368087,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,25,234.421730395504,73.04989351893995,0.8086205270111613,1.6856530866333246,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,50,323.5323706943148,131.56088421282922,1.2010848391397195,1.8438681444066023,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,75,391.42952282917247,185.13984928835072,1.4096967448970856,1.9065030575900677,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,100,448.72711346640585,235.53181192306926,1.5461037765810703,1.9392246569587155,0.9597618219559464,1.044408794872596
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,5,77.77618142761042,8.925382429229524,-1.2808633837396968,-1.3571825952708982,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,10,93.2953731641098,14.368449650304182,-1.3993829572739114,-1.3913721954671803,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,25,117.73141631768918,27.28068064006024,-1.4669851503237106,-1.3555466348052028,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,50,140.6613055010394,44.22189403006216,-1.460197809756596,-1.2858069730927648,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,75,156.48462966507483,58.52791048718675,-1.4370754050968644,-1.2391037059043084,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,100,169.03968150846853,71.34912871012548,-1.4138190240429747,-1.20530155822939,-0.06196954998367275,-0.04643572477052713
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,5,116.10908856906077,18.527059742513895,0.09047505452682593,0.6831340472284542,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,10,152.75716819150833,29.223614076005134,0.2511345926420584,0.6756194868471169,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,25,211.15335625627452,58.052470264421025,0.3548584070611447,0.6891282054945985,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,50,266.5929119136326,98.46721697825733,0.3724573384991821,0.6580011373103866,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,75,305.15167521035977,133.54082007634696,0.3642883069656054,0.6245524231090581,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,100,335.8968788117822,165.41095554866348,0.35202515168165754,0.5962275345717213,-0.5892556937524938,-0.6456307492759821
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,5,69.92891994381544,9.989115050950097,-1.5615947999129312,-1.1311438209555844,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,10,87.01749221816078,16.26431250478165,-1.573641952865913,-1.127576209188243,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,25,113.81024842015002,31.38606926941938,-1.543452781762881,-1.0827583133402015,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,50,138.89998995745043,51.38962922815723,-1.4858298499617029,-1.0289608331115314,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,75,156.20710848014883,68.35943207940575,-1.4404380641853038,-0.9948447433708261,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,100,169.9411816319794,83.61411672343391,-1.4042784781855318,-0.9703950773382577,-1.6755757412291095,-1.4461035929181751
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,5,85.47874656411399,12.958555009765128,-1.0053083989335194,-0.5001501342076926,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,10,111.18940200174671,21.836252112212733,-0.9026874131583418,-0.3522799894445026,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,25,155.49150905798774,45.73221920113925,-0.7306165657022459,-0.1295082041124167,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,50,200.76648075323388,82.7304217735687,-0.5855003291109845,0.09409426961894914,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,75,233.87225095416687,118.68922282858753,-0.49938775386456546,0.2555723317085697,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,100,261.14320095572555,154.47209635588106,-0.4390905375993799,0.3867198762558784,1.824455921681666,1.7861555612610764
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,5,133.27046601221033,12.877374438674977,0.7044137901032643,-0.517400669175544,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,10,157.7210224586431,20.43221649474762,0.38891934299068315,-0.5476416737589774,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,25,196.5650027895327,38.67355872859817,0.07036744280041005,-0.5985308268004941,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,50,233.1730735338423,62.263264673237714,-0.11389426619593566,-0.6393187475090555,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,75,258.4366309157827,81.74709945780003,-0.2017469249244989,-0.6622352165628933,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,100,278.4541800094454,98.88425198688908,-0.255889021379886,-0.6779321957131292,0.581569033675205,0.5350828150863223
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,5,93.99970995249225,13.094474340558557,-0.7004756717305923,-0.47126783962448204,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,10,120.02354246459394,22.449643276135262,-0.6574727527930834,-0.26693092177350464,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,25,169.00006726736962,47.520034264990535,-0.4671829465813054,-0.010714317738262175,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,50,223.34317245945422,86.21363070110878,-0.2569466684006681,0.21891037164579424,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,75,265.2727947830114,122.96253871928836,-0.11891473117926567,0.3617406085362913,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,100,300.975964162368,158.53804272568541,-0.01754172790910055,0.4645933443902493,-1.508102061705738,-1.22064034884735
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,5,95.1348428017425,14.31303303568531,-0.6598669252305752,-0.21232916626482123,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,10,122.73553094325318,22.914414977139344,-0.5821944236216471,-0.20226120741555165,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,25,167.20347199551492,44.10677627804252,-0.5022187799562952,-0.2375130452272856,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,50,209.72252617684197,72.10986751381311,-0.45516495722815087,-0.286478992463114,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,75,239.37012789126862,95.55271663513862,-0.43277126887587625,-0.3192419476939139,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,100,263.0218755366037,116.34075843735246,-0.4192085869233466,-0.34359460855183743,2.115273599396755,5.19933758270342
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,5,90.76843391913175,15.824880409412403,-0.8160727750978215,0.1089321359939593,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,10,123.09997918445625,27.035024671408934,-0.5720782100451061,0.3710926592964964,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,25,182.67710541067927,57.10471041280803,-0.20046376004036978,0.6261529691857803,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,50,247.44725158467332,101.88725889611993,0.09383472763796745,0.7805537345952971,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,75,296.7109658205244,142.84249193914732,0.26201421156574134,0.8556475488963678,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,100,338.25935583918476,181.33796640035055,0.3770271675763548,0.9012712954155995,0.944514253999722,0.895779818883589
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,5,126.2580489329954,14.229477552179238,0.45354846829505596,-0.2300843602801055,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,10,157.68347950221457,23.14864251015404,0.3878772401003742,-0.16967009306391567,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,25,210.08060652979808,45.23185422015636,0.33393845850139237,-0.16275565900769126,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,50,261.5490159227894,75.24262519280799,0.2990546223883437,-0.17422083907035954,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,75,297.9883818672173,101.07847494986115,0.2774923621086468,-0.18195740017961057,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,100,327.3103295013359,124.47831007135801,0.2611539855918816,-0.18773928970929646,1.0004772855399373,1.2206403488473496
