station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,5,146.67037544682793,16.782006430563047,0.9120011004782949,0.16338766041736505,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,10,181.1403143893177,26.237889791986913,0.7840929536506432,0.1543107700042691,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,25,235.98345588994636,50.21670522878161,0.6250682427749359,0.11081340515080769,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,50,287.65187941794505,82.36689412106706,0.5069552190337782,0.05718107210486849,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,75,323.27973768638594,109.50526309991518,0.4388508630002255,0.022569384620572307,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,100,351.49239419337744,133.7069362609977,0.39128030223897436,-0.002609408842414421,0.08703922277961686,-0.12566134685507402
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,5,56.81146619257805,7.1746660051280005,-2.3647124508521924,-1.76670933338898,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,10,66.60287286366938,11.583815607943668,-2.409166437934465,-1.7863868289766274,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,25,80.32731831544108,20.602004349462295,-2.3722189823962374,-1.7779956710408142,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,50,91.86607270853112,30.809559622090944,-2.285696442654914,-1.7233937135560782,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,75,99.26666360261676,38.63220061429804,-2.2171017048155925,-1.6793590299787946,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,100,104.87359078291374,45.22499426845801,-2.1623942854212217,-1.6450634040951886,-1.5742611388131342,-1.6448536269514729
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,5,116.10908856906077,18.527059742513895,-0.20241909101476052,0.5139656562288979,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,10,152.75716819150833,29.223614076005134,-0.007218140360410945,0.5497221673017253,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,25,211.15335625627452,58.052470264421025,0.14694420866089875,0.6105741212401632,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,50,266.5929119136326,98.46721697825733,0.20657409548454678,0.6132189122900106,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,75,305.15167521035977,133.54082007634696,0.223920219868554,0.5997533801225706,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,100,335.8968788117822,165.41095554866348,0.22979273210767862,0.5858992966851847,-0.3837177655724705,-0.3853204664075676
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,5,69.92891994381544,9.989115050950097,-1.886383269891233,-1.2012917045745644,-1.5595267082141213,-1.2815515655446004
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,10,87.01749221816078,16.26431250478165,-1.8400147779092408,-1.1665299225866002,-1.5595267082141213,-1.2815515655446004
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,25,113.81024842015002,31.38606926941938,-1.7274775656557202,-1.090194035560551,-1.5595267082141213,-1.2815515655446004
