X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,106.248,23.344,118.778,29.983,125.891,30.661,142.164,39.41,155.224,44.964,178.94,57.924,178.985,63.973,212.279,78.404,199.229,76.993,234.458,93.795,211.435,87.543,251.572,106.556,9.879,4.494,12.989,5.851,15.086,7.829,20.584,10.219,27.997,16.482,36.566,20.312,39.826,26.686,53.111,32.77,49.858,35.129,64.541,42.799,56.778,42.314,75.772,51.78
630497.805,1327109.436,11.5,105.981,22.976,118.698,29.897,125.58,30.182,142.054,39.285,154.845,44.286,178.797,57.751,178.523,63.632,212.107,78.193,198.472,76.582,234.264,93.56,210.647,87.139,251.358,106.303,9.755,4.428,12.936,5.832,14.905,7.723,20.462,10.182,27.743,16.424,36.199,20.242,39.601,26.641,52.67,32.691,49.574,35.099,64.175,42.72,56.519,42.286,75.258,51.696
630587.805,1327289.436,2.63,104.955,22.336,117.967,29.763,124.287,29.346,141.102,39.088,153.009,43.094,177.486,57.474,176.767,63.091,210.439,77.851,196.806,75.945,232.337,93.176,208.602,86.509,249.221,105.884,9.415,4.311,12.745,5.8,14.347,7.535,20.09,10.113,27.211,16.344,35.232,20.081,38.398,26.56,51.414,32.508,47.625,35.018,63.016,42.565,54.24,42.208,73.643,51.495
630587.805,1327199.436,2.63,105.014,22.445,117.988,29.785,124.353,29.488,141.131,39.12,153.084,43.298,177.523,57.519,176.786,63.172,210.484,77.908,196.814,76.036,232.389,93.239,208.61,86.6,249.278,105.954,9.445,4.331,12.758,5.805,14.393,7.568,20.125,10.125,27.226,16.352,35.353,20.112,38.443,26.574,51.562,32.543,47.766,35.035,63.123,42.593,54.359,42.224,73.822,51.535
630677.805,1327289.436,3.75,104.753,21.859,117.961,29.676,124.069,28.722,141.083,38.955,152.78,42.2,177.468,57.285,176.503,62.692,210.423,77.616,196.196,75.477,232.322,92.907,208.007,86.043,249.202,105.59,9.297,4.222,12.7,5.778,14.18,7.392,19.959,10.06,27.001,16.283,34.732,19.928,38.246,26.495,50.803,32.331,47.319,34.925,62.623,42.438,53.992,42.116,72.919,51.299
630677.805,1327199.436,3.88,104.824,21.986,117.991,29.698,124.147,28.888,141.125,38.989,152.874,42.438,177.524,57.334,176.539,62.787,210.493,77.677,196.232,75.582,232.401,92.978,208.048,86.149,249.292,105.668,9.331,4.246,12.717,5.784,14.233,7.43,20.002,10.074,27.02,16.296,34.881,19.972,38.311,26.512,50.99,32.382,47.493,34.953,62.752,42.473,54.15,42.144,73.147,51.356
630767.805,1327289.436,4.27,104.503,21.336,117.913,29.589,123.787,28.038,141.011,38.822,152.456,41.214,177.372,57.093,176.176,62.266,210.308,77.372,195.568,74.983,232.188,92.629,207.371,85.55,249.051,105.282,9.165,4.125,12.647,5.754,13.987,7.233,19.805,9.999,26.785,16.221,34.148,19.727,38.021,26.419,50.075,32.097,46.807,34.786,62.164,42.291,53.499,41.976,72.033,51.037
630767.805,1327199.436,3.98,104.549,21.484,117.917,29.612,123.831,28.231,141.018,38.858,152.495,41.493,177.38,57.146,176.153,62.378,210.315,77.44,195.568,75.107,232.197,92.707,207.36,85.674,249.063,105.368,9.195,4.153,12.66,5.761,14.032,7.278,19.846,10.017,26.794,16.237,34.31,19.788,38.053,26.441,50.277,32.168,46.958,34.83,62.284,42.333,53.615,42.021,72.279,51.117
630857.805,1327559.436,11.05,104.559,20.472,118.243,29.462,123.948,26.904,141.416,38.622,152.879,39.574,177.949,56.801,176.884,61.625,211.059,76.999,195.764,74.292,233.058,92.196,207.814,84.849,250.009,104.799,9.07,3.962,12.637,5.718,13.884,6.963,19.662,9.892,26.835,16.141,33.349,19.319,38.295,26.286,49.112,31.616,46.633,34.449,61.789,42.031,53.701,41.63,70.913,50.489
630857.805,1327469.436,8.09,104.365,20.528,118.054,29.47,123.681,26.978,141.174,38.635,152.452,39.681,177.608,56.819,176.376,61.645,210.619,77.023,195.358,74.299,232.548,92.224,207.286,84.858,249.444,104.83,9.028,3.973,12.608,5.72,13.804,6.981,19.625,9.9,26.698,16.136,33.324,19.349,38.013,26.294,49.06,31.651,46.257,34.475,61.666,42.049,53.152,41.659,70.817,50.53
