X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,106.201,21.569,118.801,25.66,126.124,28.204,142.347,33.689,156.059,41.828,178.885,50.596,181.784,57.316,211.487,70.081,194.83,68.33,232.913,84.96,206.494,77.627,249.303,97.383,9.427,4.232,13.02,5.604,15.217,7.955,20.392,9.889,24.206,14.722,34.974,19.79,43.172,27.997,51.126,32.31,52.521,36.708,62.778,42.49,59.983,44.291,73.11,51.494
630497.805,1327109.436,11.5,105.908,21.038,118.743,25.608,125.774,27.51,142.287,33.619,155.604,40.826,178.838,50.504,181.228,55.984,211.462,69.973,195.684,66.085,232.906,84.842,207.545,75.063,249.312,97.256,9.289,4.13,13.012,5.599,15.024,7.835,20.385,9.884,24.272,14.222,34.918,19.769,42.696,27.916,50.979,32.269,52.006,36.627,62.619,42.444,59.445,44.206,72.863,51.44
630587.805,1327289.436,2.63,104.6,20.126,117.608,25.529,124.126,26.32,140.85,33.515,153.265,39.099,176.892,50.367,178.11,53.674,209.014,69.812,184.229,62.812,230.102,84.665,194.588,71.339,246.22,97.066,8.913,3.954,12.823,5.593,14.439,7.625,20.097,9.877,21.49,13.515,34.329,19.732,40.99,27.736,49.975,32.191,49.734,36.432,61.391,42.356,56.688,43.995,71.244,51.315
630587.805,1327199.436,2.63,104.692,20.281,117.628,25.542,124.233,26.522,140.869,33.531,153.407,39.392,176.905,50.389,178.291,54.067,209.019,69.838,185.017,63.177,230.101,84.693,195.49,71.749,246.215,97.096,8.951,3.983,12.825,5.594,14.488,7.661,20.098,9.878,21.736,13.586,34.345,19.738,41.138,27.77,50.018,32.205,49.922,36.47,61.438,42.372,56.915,44.038,71.332,51.339
630677.805,1327289.436,3.75,104.421,19.462,117.673,25.48,123.927,25.453,140.949,33.449,153.039,37.835,177.07,50.281,177.872,51.976,209.282,69.71,185.989,60.539,230.436,84.553,196.671,68.759,246.609,96.946,8.792,3.825,12.837,5.589,14.261,7.466,20.125,9.872,21.735,13.035,34.324,19.705,40.43,27.565,49.888,32.129,49.139,36.236,61.314,42.287,56.089,43.777,70.986,51.193
630677.805,1327199.436,3.88,104.506,19.639,117.71,25.492,124.025,25.683,140.989,33.466,153.165,38.171,177.111,50.303,178.031,52.428,209.322,69.736,186.981,61.024,230.477,84.582,197.801,69.305,246.65,96.976,8.83,3.859,12.842,5.59,14.317,7.509,20.131,9.873,22.027,13.131,34.349,19.712,40.627,27.612,49.947,32.146,49.381,36.292,61.38,42.306,56.363,43.841,71.112,51.228
630767.805,1327289.436,4.27,104.161,18.749,117.664,25.432,123.622,24.521,140.954,33.385,152.656,36.473,177.116,50.197,177.418,50.139,209.38,69.612,186.849,58.301,230.575,84.445,197.725,66.226,246.781,96.829,8.656,3.686,12.839,5.585,14.057,7.292,20.135,9.868,21.777,12.576,34.28,19.675,39.743,27.338,49.738,32.058,48.352,35.967,61.159,42.209,55.231,43.471,70.586,51.029
630767.805,1327199.436,3.98,104.21,18.95,117.653,25.445,123.673,24.784,140.931,33.403,152.711,36.857,177.069,50.22,177.479,50.658,209.308,69.639,187.372,58.906,230.485,84.475,198.319,66.909,246.676,96.861,8.689,3.725,12.835,5.586,14.104,7.342,20.127,9.869,21.968,12.698,34.284,19.684,39.937,27.405,49.768,32.079,48.579,36.049,61.187,42.231,55.479,43.566,70.684,51.079
630857.805,1327559.436,11.05,104.288,17.598,118.309,25.364,123.855,23.017,141.825,33.295,153.127,34.265,178.42,50.079,178.19,47.15,211.137,69.472,191.269,56.313,232.657,84.292,202.782,64.04,249.126,96.665,8.557,3.462,12.959,5.579,13.943,6.999,20.336,9.861,22.387,12.271,34.539,19.626,39.056,26.874,50.006,31.937,47.725,35.391,61.555,42.075,54.704,42.798,70.633,50.691
630857.805,1327469.436,8.09,104.0,17.673,117.989,25.369,123.47,23.115,141.403,33.301,152.536,34.41,177.816,50.087,177.363,47.347,210.347,69.481,189.052,55.806,231.735,84.302,200.284,63.439,248.097,96.675,8.507,3.477,12.902,5.58,13.861,7.018,20.245,9.862,21.965,12.124,34.383,19.63,38.902,26.906,49.776,31.946,47.434,35.433,61.259,42.084,54.26,42.85,70.314,50.716
630857.805,1327379.436,6.11,103.843,17.804,117.782,25.376,123.252,23.286,141.129,33.311,152.194,34.66,177.417,50.099,176.875,47.687,209.821,69.496,187.885,55.726,231.118,84.318,198.968,63.329,247.408,96.693,8.489,3.502,12.865,5.58,13.827,7.052,20.184,9.863,21.774,12.077,34.286,19.635,38.895,26.963,49.643,31.96,47.353,35.506,61.084,42.1,54.094,42.936,70.158,50.759
