station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Annandale (WTP),639931.5595,1336682.722,639.9315595,1336.682722,237.7699,5,167.3718759,17.33101889,0.80898072,-0.08146437,-0.15432725,-0.330872572
Annandale (WTP),639931.5595,1336682.722,639.9315595,1336.682722,237.7699,10,196.8029653,24.84171001,0.62127635,-0.235675389,-0.15432725,-0.330872572
Annandale (WTP),639931.5595,1336682.722,639.9315595,1336.682722,237.7699,25,241.0108635,38.33113101,0.386651924,-0.381184734,-0.15432725,-0.330872572
Annandale (WTP),639931.5595,1336682.722,639.9315595,1336.682722,237.7699,50,279.0542721,51.86388512,0.228383717,-0.459204694,-0.15432725,-0.330872572
Annandale (WTP),639931.5595,1336682.722,639.9315595,1336.682722,237.7699,75,303.3811436,61.37645405,0.14505315,-0.495497419,-0.15432725,-0.330872572
Annandale (WTP),639931.5595,1336682.722,639.9315595,1336.682722,237.7699,100,321.6505048,68.93683856,0.090194744,-0.517871229,-0.15432725,-0.330872572
Bacolet III,642568.0626,1330277.004,642.5680626,1330.277004,45.2726,5,55.4818215,4.571373435,-2.582094235,-2.118280607,-1.689188758,-1.786155561
Bacolet III,642568.0626,1330277.004,642.5680626,1330.277004,45.2726,10,60.82355918,6.41744705,-2.529278726,-1.970095274,-1.689188758,-1.786155561
Bacolet III,642568.0626,1330277.004,642.5680626,1330.277004,45.2726,25,67.77434489,9.556022066,-2.386678025,-1.784310738,-1.689188758,-1.786155561
Bacolet III,642568.0626,1330277.004,642.5680626,1330.277004,45.2726,50,72.98181244,12.51734159,-2.245366181,-1.657172556,-1.689188758,-1.786155561
Bacolet III,642568.0626,1330277.004,642.5680626,1330.277004,45.2726,75,76.01955296,14.51304904,-2.156360841,-1.588470904,-1.689188758,-1.786155561
Bacolet III,642568.0626,1330277.004,642.5680626,1330.277004,45.2726,100,78.17481756,16.05853853,-2.092103801,-1.542179762,-1.689188758,-1.786155561
Blaize (TANK),647070.3263,1344545.334,647.0703263,1344.545334,377.4953,5,194.8869297,31.79804579,1.64288513,2.227900369,0.959761822,1.044408795
Blaize (TANK),647070.3263,1344545.334,647.0703263,1344.545334,377.4953,10,253.1413468,51.67423332,1.926600289,2.290279765,0.959761822,1.044408795
Blaize (TANK),647070.3263,1344545.334,647.0703263,1344.545334,377.4953,25,355.8261243,94.03909153,2.224720503,2.335235495,0.959761822,1.044408795
Blaize (TANK),647070.3263,1344545.334,647.0703263,1344.545334,377.4953,50,459.3887678,144.2740652,2.39316809,2.35436966,0.959761822,1.044408795
Blaize (TANK),647070.3263,1344545.334,647.0703263,1344.545334,377.4953,75,533.2396041,183.8867243,2.471741117,2.361752862,0.959761822,1.044408795
Blaize (TANK),647070.3263,1344545.334,647.0703263,1344.545334,377.4953,100,592.7076739,217.7902804,2.519709051,2.365577189,0.959761822,1.044408795
Bon Accord (WTP),639629.7733,1334805.495,639.6297733,1334.805495,249.3531,5,113.5965712,11.95524425,-0.82079853,-0.939596762,-0.06196955,-0.046435725
Bon Accord (WTP),639629.7733,1334805.495,639.6297733,1334.805495,249.3531,10,133.7123925,17.07920122,-0.840491501,-0.966421017,-0.06196955,-0.046435725
Bon Accord (WTP),639629.7733,1334805.495,639.6297733,1334.805495,249.3531,25,164.1562258,26.34315296,-0.843707992,-0.965740079,-0.06196955,-0.046435725
Bon Accord (WTP),639629.7733,1334805.495,639.6297733,1334.805495,249.3531,50,190.5486452,35.70671106,-0.834061919,-0.95113546,-0.06196955,-0.046435725
Bon Accord (WTP),639629.7733,1334805.495,639.6297733,1334.805495,249.3531,75,207.5096451,42.32466442,-0.825383445,-0.939833482,-0.06196955,-0.046435725
Bon Accord (WTP),639629.7733,1334805.495,639.6297733,1334.805495,249.3531,100,220.287425,47.60338242,-0.818333348,-0.931122811,-0.06196955,-0.046435725
Brandon Hall (WTP),647213.3462,1339543.148,647.2133462,1339.543148,183.2226,5,160.8385007,25.97861993,0.61097237,1.29894814,-0.589255694,-0.645630749
Brandon Hall (WTP),647213.3462,1339543.148,647.2133462,1339.543148,183.2226,10,204.990902,41.98895425,0.81098556,1.378528741,-0.589255694,-0.645630749
Brandon Hall (WTP),647213.3462,1339543.148,647.2133462,1339.543148,183.2226,25,281.2156644,75.65586948,1.030287454,1.438836564,-0.589255694,-0.645630749
Brandon Hall (WTP),647213.3462,1339543.148,647.2133462,1339.543148,183.2226,50,356.5964074,115.0344994,1.159220616,1.464124752,-0.589255694,-0.645630749
Brandon Hall (WTP),647213.3462,1339543.148,647.2133462,1339.543148,183.2226,75,409.6573553,145.7953756,1.220808998,1.473365982,-0.589255694,-0.645630749
Brandon Hall (WTP),647213.3462,1339543.148,647.2133462,1339.543148,183.2226,100,452.0394989,171.9646866,1.258885201,1.477887027,-0.589255694,-0.645630749
Chemin II,639099.508,1329298.405,639.099508,1329.298405,46.9799,5,79.74600276,9.95585654,-1.846714689,-1.258758087,-1.675575741,-1.446103593
Chemin II,639099.508,1329298.405,639.099508,1329.298405,46.9799,10,93.67737997,15.58109011,-1.768076903,-1.107449926,-1.675575741,-1.446103593
Chemin II,639099.508,1329298.405,639.099508,1329.298405,46.9799,25,114.8358561,26.75073089,-1.633273953,-0.945865847,-1.675575741,-1.446103593
Chemin II,639099.508,1329298.405,639.099508,1329.298405,46.9799,50,133.3693566,39.03970829,-1.520457664,-0.849657078,-1.675575741,-1.446103593
Chemin II,639099.508,1329298.405,639.099508,1329.298405,46.9799,75,145.4147752,48.24678765,-1.453924096,-0.801714546,-1.675575741,-1.446103593
Chemin II,639099.508,1329298.405,639.099508,1329.298405,46.9799,100,154.5718058,55.87844656,-1.407349449,-0.770826077,-1.675575741,-1.446103593
Clozier (Tank),642091.3146,1342636.465,642.0913146,1342.636465,485.9424,5,117.686556,14.1239239,-0.696842518,-0.593411443,1.824455922,1.786155561
Clozier (Tank),642091.3146,1342636.465,642.0913146,1342.636465,485.9424,10,140.4351772,20.94214403,-0.684728919,-0.602772015,1.824455922,1.786155561
Clozier (Tank),642091.3146,1342636.465,642.0913146,1342.636465,485.9424,25,175.9185958,33.8181175,-0.655405126,-0.60124738,1.824455922,1.786155561
Clozier (Tank),642091.3146,1342636.465,642.0913146,1342.636465,485.9424,50,207.6402429,47.39482959,-0.628889728,-0.595272171,1.824455922,1.786155561
Clozier (Tank),642091.3146,1342636.465,642.0913146,1342.636465,485.9424,75,228.4696086,57.27573782,-0.613221166,-0.591136524,1.824455922,1.786155561
Clozier (Tank),642091.3146,1342636.465,642.0913146,1342.636465,485.9424,100,244.3815722,65.30854582,-0.602374938,-0.588155092,1.824455922,1.786155561
Concord (WTP),639177.6923,1339861.228,639.1776923,1339.861228,330.0636,5,154.5588696,20.77967873,0.420654296,0.469043588,0.581569034,0.535082815
Concord (WTP),639177.6923,1339861.228,639.1776923,1339.861228,330.0636,10,183.3871915,32.26296578,0.31044153,0.462945424,0.581569034,0.535082815
Concord (WTP),639177.6923,1339861.228,639.1776923,1339.861228,330.0636,25,228.2596934,54.90922205,0.182519435,0.427192766,0.581569034,0.535082815
Concord (WTP),639177.6923,1339861.228,639.1776923,1339.861228,330.0636,50,268.4282011,79.83207127,0.100825468,0.392331048,0.581569034,0.535082815
Concord (WTP),639177.6923,1339861.228,639.1776923,1339.861228,330.0636,75,294.8834285,98.54942796,0.059037037,0.371470631,0.581569034,0.535082815
Concord (WTP),639177.6923,1339861.228,639.1776923,1339.861228,330.0636,100,315.1511865,114.0969936,0.031940661,0.356928682,0.581569034,0.535082815
Dougaldston (WTP),638442.5364,1343906.103,638.4425364,1343.906103,67.9839,5,118.4753373,15.89541673,-0.672936758,-0.310628872,-1.508102062,-1.220640349
Dougaldston (WTP),638442.5364,1343906.103,638.4425364,1343.906103,67.9839,10,143.7411434,25.01835762,-0.608131817,-0.219046169,-1.508102062,-1.220640349
Dougaldston (WTP),638442.5364,1343906.103,638.4425364,1343.906103,67.9839,25,184.8274258,43.61938222,-0.512784359,-0.123320105,-1.508102062,-1.220640349
Dougaldston (WTP),638442.5364,1343906.103,638.4425364,1343.906103,67.9839,50,223.1865052,64.69564914,-0.442268164,-0.068521307,-1.508102062,-1.220640349
Dougaldston (WTP),638442.5364,1343906.103,638.4425364,1343.906103,67.9839,75,249.1674114,80.80698698,-0.403712546,-0.042328101,-1.508102062,-1.220640349
Dougaldston (WTP),638442.5364,1343906.103,638.4425364,1343.906103,67.9839,100,269.42294,94.32922601,-0.377926488,-0.025993859,-1.508102062,-1.220640349
Grand Etang (LAKE),641815.2189,1337485.023,641.8152189,1337.485023,522.4158,5,128.9836418,16.62180868,-0.354459408,-0.194675264,2.115273599,5.199337583
Grand Etang (LAKE),641815.2189,1337485.023,641.8152189,1337.485023,522.4158,10,154.0583873,24.8545064,-0.369087934,-0.234470765,2.115273599,5.199337583
Grand Etang (LAKE),641815.2189,1337485.023,641.8152189,1337.485023,522.4158,25,193.3596447,40.49629758,-0.37619273,-0.275607323,2.115273599,5.199337583
Grand Etang (LAKE),641815.2189,1337485.023,641.8152189,1337.485023,522.4158,50,228.6781446,57.09605632,-0.37634503,-0.299902952,2.115273599,5.199337583
Grand Etang (LAKE),641815.2189,1337485.023,641.8152189,1337.485023,522.4158,75,251.9581969,69.2345238,-0.375463479,-0.312227298,2.115273599,5.199337583
Grand Etang (LAKE),641815.2189,1337485.023,641.8152189,1337.485023,522.4158,100,269.7876843,79.1340831,-0.374657246,-0.32033983,2.115273599,5.199337583
Guapo,645487.8906,1338306.287,645.4878906,1338.306287,375.583,5,160.0906793,26.78146601,0.588307994,1.427106085,0.944514254,0.895779819
Guapo,645487.8906,1338306.287,645.4878906,1338.306287,375.583,10,208.0911656,44.41795406,0.882816666,1.607189479,0.944514254,0.895779819
Guapo,645487.8906,1338306.287,645.4878906,1338.306287,375.583,25,294.0794334,83.12627402,1.236222532,1.803106909,0.944514254,0.895779819
Guapo,645487.8906,1338306.287,645.4878906,1338.306287,375.583,50,382.2488591,130.4037459,1.467159629,1.932065814,0.944514254,0.895779819
