station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,5,167.3718758798913,17.331018888837466,0.6258369563147319,-0.21873195863095685,0.02843197443060014,-0.11418529432142824
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,10,196.80296529512194,24.84171001423085,0.4408880423517196,-0.3683469045078892,0.02843197443060014,-0.11418529432142824
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,25,241.0108634521787,38.33113100968367,0.21211211264725233,-0.5068969537187635,0.02843197443060014,-0.11418529432142824
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,50,279.0542720610702,51.863885123492686,0.06046874531085806,-0.5795272924005951,0.02843197443060014,-0.11418529432142824
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,75,303.3811435752469,61.376454050233484,-0.018229014927758493,-0.6127771663559037,0.02843197443060014,-0.11418529432142824
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,100,321.65050476200935,68.93683855542504,-0.06954890668474246,-0.6330726064390693,0.02843197443060014,-0.11418529432142824
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,5,55.48182150469893,4.57137343488955,-2.6988107194472426,-2.1767833747379357,-1.6476679247200292,-1.6906216295848977
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,10,60.82355918479518,6.417447049712606,-2.653064240619415,-2.036278998312741,-1.6476679247200292,-1.6906216295848977
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,25,67.77434488935874,9.556022065863194,-2.505662571133079,-1.8543437810789707,-1.6476679247200292,-1.6906216295848977
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,50,72.98181243708966,12.517341593592924,-2.3547763155928205,-1.7280367139703736,-1.6476679247200292,-1.6906216295848977
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,75,76.01955295587064,14.513049040239789,-2.259387070816116,-1.6595279931683398,-1.6476679247200292,-1.6906216295848977
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,100,78.17481756316585,16.05853852619724,-2.1906047989172373,-1.6133304038713903,-1.6476679247200292,-1.6906216295848977
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,5,194.8869296768732,31.798045785872286,1.44340613317701,2.001328356119573,1.2450398377553393,1.3351777361189376
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,10,253.1413468095759,51.67423332329981,1.722760563284182,2.0607774990654035,1.2450398377553393,1.3351777361189376
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,25,355.8261243204296,94.0390915251513,2.0133605554587626,2.1017296478981393,1.2450398377553393,1.3351777361189376
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,50,459.3887677760593,144.27406515446617,2.174055397699696,2.1178878524362164,1.2450398377553393,1.3351777361189376
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,75,533.2396041188832,183.88672434900704,2.247541290241652,2.123637882890077,1.2450398377553393,1.3351777361189376
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,100,592.7076738511022,217.79028037297124,2.2917850410401654,2.1263721362178525,1.2450398377553393,1.3351777361189376
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,5,160.83850069423295,25.978619926790586,0.43170736412556354,1.1082992288267852,-0.4465187081448912,-0.4727891209922674
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,10,204.99090203408076,41.98895425029746,0.6271889410758316,1.183977822767496,-0.4465187081448912,-0.4727891209922674
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,25,281.21566439859555,75.65586947598327,0.8428543550167558,1.2409018305240824,-0.4465187081448912,-0.4727891209922674
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,50,356.5964073969513,115.03449943203353,0.9692911067445319,1.2643969558520356,-0.4465187081448912,-0.4727891209922674
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,75,409.6573553123701,145.7953756300066,1.0293612461849386,1.2728215421331102,-0.4465187081448912,-0.4727891209922674
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,100,452.0394989087943,171.96468660174497,1.0663441572146586,1.2768573902562554,-0.4465187081448912,-0.4727891209922674
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,5,79.74600275846339,9.95585654028666,-1.9778364178431764,-1.350499070242248,-1.63280223383595,-1.335177736118937
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,10,93.67737996935729,15.58109011007904,-1.905538150247699,-1.2067025649980345,-1.63280223383595,-1.335177736118937
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,25,114.83585608945494,26.750730890301572,-1.7673506679549666,-1.0491702577360595,-1.63280223383595,-1.335177736118937
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,50,133.36935659999722,39.03970828648848,-1.6470120755497875,-0.953859739416781,-1.63280223383595,-1.335177736118937
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,75,145.41477523946082,48.24678765414101,-1.5753416212863607,-0.9060441441384707,-1.63280223383595,-1.335177736118937
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,100,154.57180584479755,55.87844656466405,-1.5250669622328132,-0.8751490454281416,-1.63280223383595,-1.335177736118937
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,5,154.55886960687607,20.7796787281274,0.2451174029730151,0.31048754878910295,0.8320456420625016,0.6045853465832371
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,10,183.38719149680279,32.26296577834708,0.13563767276666203,0.30349276089103416,0.8320456420625016,0.6045853465832371
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,25,228.25969341662207,54.909222053779374,0.012068799616533182,0.26940232023594296,0.8320456420625016,0.6045853465832371
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,50,268.42820107736645,79.83207126810439,-0.06407271698367854,0.23685255725238194,0.8320456420625016,0.6045853465832371
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,75,294.883428491863,98.54942795571068,-0.10199304280902158,0.21752616227200045,0.8320456420625016,0.6045853465832371
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,100,315.1511864627827,114.0969936393261,-0.126168183675676,0.20410623875410067,0.8320456420625016,0.6045853465832371
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,5,118.47533734362696,15.895416726687811,-0.8270514536978719,-0.43903454123082336,-1.4499175789251546,-1.0968035620935135
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,10,143.74114337226436,25.018357615801374,-0.7664326084211868,-0.3523551546875275,-1.4499175789251546,-1.0968035620935135
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,25,184.82742580936912,43.619382219759544,-0.669306688308437,-0.2592649697977867,-1.4499175789251546,-1.0968035620935135
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,50,223.1865052085953,64.69564913958102,-0.5943220413880166,-0.2049733787477111,-1.4499175789251546,-1.0968035620935135
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,75,249.16741142398692,80.80698697705074,-0.5526268532766924,-0.17877271443409146,-1.4499175789251546,-1.0968035620935135
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,100,269.4229399759375,94.32922601253317,-0.5245330790303838,-0.16234858947001607,-1.4499175789251546,-1.0968035620935135
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,5,160.09067931887543,26.78146601230294,0.40948695667870894,1.231501234738871,1.2283891842804817,1.0968035620935135
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,10,208.0911655974781,44.41795405593754,0.6977295310384242,1.4038730087771132,1.2283891842804817,1.0968035620935135
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,25,294.07943342177305,83.12627401807929,1.0446641470815377,1.590717114247144,1.2283891842804817,1.0968035620935135
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,50,382.2488590526089,130.40374593531462,1.2699472801820209,1.7130189395857025,1.2283891842804817,1.0968035620935135
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,75,445.8649620647469,168.49488606324556,1.3862683620107348,1.7798425601142704,1.2283891842804817,1.0968035620935135
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,100,497.48808287835584,201.57606287399182,1.462272752514336,1.8257930116269918,1.2283891842804817,1.0968035620935135
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,5,141.2446634503708,13.043919829833628,-0.1504945645072259,-0.8766154722262418,1.289501949821445,1.6906216295848986
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,10,166.2176960809652,18.77647208374458,-0.2550214796655304,-0.9174274848438795,1.289501949821445,1.6906216295848986
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,25,203.6984383729198,29.13992718097268,-0.3732538662591379,-0.9372917947182188,1.289501949821445,1.6906216295848986
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,50,235.92040503879016,39.58214240757208,-0.44507604933726047,-0.9380263105370111,1.289501949821445,1.6906216295848986
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,75,256.5083158223168,46.938388595532075,-0.48026578742997433,-0.93526881947112,1.289501949821445,1.6906216295848986
