X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,102.93,25.446,117.232,32.302,121.045,33.35,139.997,42.359,147.005,49.59,175.445,62.481,167.837,68.322,207.17,85.333,180.373,82.749,228.064,102.862,189.373,94.886,244.073,117.593,9.661,5.06,12.466,6.324,14.503,8.988,19.268,11.076,23.169,18.212,32.686,22.267,34.188,30.299,47.503,36.78,40.719,40.301,58.519,48.846,45.861,49.154,67.734,59.576
630497.805,1327109.436,11.5,102.777,25.29,117.188,32.271,120.867,33.135,139.946,42.31,146.795,49.295,175.396,62.402,167.605,67.967,207.133,85.223,180.127,82.358,228.037,102.731,189.117,94.47,244.056,117.444,9.596,5.026,12.45,6.314,14.417,8.945,19.245,11.059,23.044,18.146,32.645,22.231,33.863,30.177,47.427,36.713,40.35,40.165,58.424,48.757,45.461,49.006,67.614,59.464
630587.805,1327289.436,2.63,102.107,25.041,116.468,32.224,120.049,32.792,139.012,42.238,145.631,48.824,174.101,62.283,165.994,67.4,205.481,85.058,178.152,81.731,226.132,102.534,186.824,93.799,241.945,117.222,9.411,4.973,12.298,6.299,14.102,8.874,19.007,11.033,22.423,18.039,32.222,22.176,33.019,29.989,46.761,36.609,39.166,39.95,57.577,48.62,43.961,48.768,66.597,59.29
630587.805,1327199.436,2.63,102.131,25.079,116.487,32.232,120.072,32.845,139.035,42.25,145.646,48.897,174.125,62.302,166.0,67.489,205.501,85.085,178.151,81.829,226.148,102.565,186.816,93.904,241.959,117.257,9.424,4.981,12.302,6.301,14.118,8.885,19.013,11.037,22.444,18.056,32.231,22.184,33.039,30.016,46.779,36.625,39.188,39.981,57.6,48.642,43.985,48.803,66.626,59.318
630677.805,1327289.436,3.75,102.021,24.861,116.498,32.195,119.961,32.545,139.059,42.193,145.568,48.483,174.193,62.207,165.985,66.988,205.63,84.954,178.191,81.274,226.326,102.409,186.907,93.308,242.177,117.08,9.354,4.934,12.299,6.289,14.036,8.822,19.011,11.016,22.35,17.959,32.229,22.14,32.757,29.85,46.757,36.541,38.898,39.789,57.575,48.531,43.698,48.589,66.586,59.176
630677.805,1327199.436,3.88,102.052,24.905,116.527,32.203,119.991,32.605,139.095,42.204,145.594,48.567,174.235,62.227,166.004,67.089,205.675,84.981,178.205,81.386,226.371,102.441,186.918,93.429,242.223,117.117,9.37,4.944,12.305,6.292,14.056,8.835,19.02,11.02,22.38,17.979,32.244,22.149,32.791,29.881,46.784,36.559,38.938,39.826,57.608,48.554,43.744,48.631,66.628,59.205
630767.805,1327289.436,4.27,101.907,24.671,116.482,32.166,119.839,32.285,139.045,42.149,145.455,48.124,174.198,62.135,165.901,66.55,205.667,84.853,178.135,80.787,226.389,102.288,186.877,92.785,242.263,116.944,9.29,4.894,12.291,6.28,13.955,8.766,19.002,11.0,22.246,17.873,32.213,22.106,32.474,29.702,46.718,36.475,38.59,39.618,57.527,48.443,43.377,48.397,66.521,59.064
630767.805,1327199.436,3.98,101.917,24.721,116.482,32.174,119.842,32.354,139.043,42.161,145.435,48.219,174.186,62.155,165.851,66.666,205.64,84.881,178.061,80.916,226.349,102.321,186.783,92.924,242.212,116.981,9.303,4.904,12.292,6.283,13.968,8.781,19.002,11.004,22.256,17.896,32.211,22.115,32.49,29.739,46.72,36.493,38.599,39.662,57.528,48.467,43.38,48.447,66.525,59.094
630857.805,1327559.436,11.05,102.085,24.38,116.842,32.125,120.113,31.888,139.53,42.085,146.014,47.572,174.946,62.031,166.858,65.873,206.713,84.71,179.421,80.03,227.659,102.117,188.454,91.968,243.718,116.75,9.264,4.831,12.364,6.267,13.976,8.679,19.124,10.977,22.419,17.735,32.435,22.058,32.547,29.495,47.036,36.379,38.851,39.367,57.935,48.317,43.827,48.108,66.993,58.901
630857.805,1327469.436,8.09,101.931,24.394,116.654,32.128,119.91,31.907,139.281,42.09,145.685,47.599,174.581,62.038,166.359,65.907,206.223,84.719,178.785,80.068,227.076,102.128,187.697,92.009,243.06,116.763,9.236,4.834,12.324,6.268,13.913,8.684,19.06,10.979,22.268,17.742,32.318,22.061,32.359,29.498,46.859,36.384,38.56,39.372,57.71,48.325,43.439,48.116,66.726,58.911
