X_m,Y_m,Elevation,ock_5_mean,ock_5_mean_std,oicckm2_5_mean,oicckm2_5_mean_std,ock_10_mean,ock_10_mean_std,oicckm2_10_mean,oicckm2_10_mean_std,ock_25_mean,ock_25_mean_std,oicckm2_25_mean,oicckm2_25_mean_std,ock_50_mean,ock_50_mean_std,oicckm2_50_mean,oicckm2_50_mean_std,ock_75_mean,ock_75_mean_std,oicckm2_75_mean,oicckm2_75_mean_std,ock_100_mean,ock_100_mean_std,oicckm2_100_mean,oicckm2_100_mean_std,ock_5_std,ock_5_std_std,oicckm2_5_std,oicckm2_5_std_std,ock_10_std,ock_10_std_std,oicckm2_10_std,oicckm2_10_std_std,ock_25_std,ock_25_std_std,oicckm2_25_std,oicckm2_25_std_std,ock_50_std,ock_50_std_std,oicckm2_50_std,oicckm2_50_std_std,ock_75_std,ock_75_std_std,oicckm2_75_std,oicckm2_75_std_std,ock_100_std,ock_100_std_std,oicckm2_100_std,oicckm2_100_std_std
630407.805,1327109.436,11.5,104.147,13.981,116.61,23.847,123.898,20.179,138.979,29.625,153.5,30.143,172.772,41.406,178.91,41.153,200.97,51.152,194.478,52.51,221.763,66.758,206.456,61.647,236.791,76.518,8.911,3.407,12.064,5.148,31.401,6.196,17.869,8.685,-26.156,12.08,29.648,17.363,34.514,21.885,42.202,28.575,97.922,29.21,51.467,37.971,48.06,35.744,59.069,46.329
630497.805,1327109.436,11.5,103.95,13.481,116.546,23.76,123.669,19.582,138.9,29.478,153.121,29.269,172.638,40.999,178.364,39.887,200.619,49.744,193.939,51.083,221.286,65.085,205.913,60.073,236.143,74.265,8.796,3.315,11.903,5.061,34.258,6.037,17.641,8.512,-22.45,11.741,29.217,16.947,33.677,21.394,41.592,27.872,90.682,28.59,50.723,37.027,46.744,34.99,58.214,45.171
630587.805,1327289.436,2.63,102.978,12.675,115.563,23.632,122.314,18.591,137.704,29.259,151.65,27.846,171.031,40.373,176.704,37.831,198.368,47.471,191.561,48.701,218.594,62.312,202.89,57.405,233.008,70.485,8.428,3.159,11.51,4.906,27.441,5.763,17.071,8.212,-23.62,11.168,28.185,16.223,32.396,20.546,40.111,26.654,142.828,27.488,48.899,35.396,42.806,33.656,56.101,43.171
630587.805,1327199.436,2.63,102.986,12.806,115.573,23.652,122.347,18.756,137.718,29.294,151.662,28.079,171.062,40.473,176.7,38.165,198.453,47.845,191.626,49.093,218.714,62.774,203.116,57.848,233.169,71.119,8.457,3.185,11.552,4.933,30.2,5.81,17.13,8.263,-19.881,11.264,28.295,16.347,33.87,20.685,40.266,26.862,116.098,27.678,49.088,35.674,47.172,33.884,56.318,43.511
630677.805,1327289.436,3.75,102.79,12.119,115.607,23.55,122.176,17.89,137.758,29.119,151.348,26.847,171.073,39.965,176.201,36.389,198.24,45.917,191.083,46.989,218.352,60.362,202.395,55.464,232.62,67.799,8.336,3.047,11.353,4.791,26.156,5.564,16.853,7.991,-16.642,10.756,27.778,15.691,31.748,19.915,39.542,25.763,137.234,26.662,48.208,34.204,42.159,32.655,55.309,41.711
630677.805,1327199.436,3.88,102.887,12.263,115.63,23.571,122.258,18.074,137.788,29.155,151.43,27.105,171.126,40.07,176.321,36.758,198.353,46.323,191.338,47.432,218.506,60.875,202.881,55.97,232.821,68.508,8.367,3.077,11.4,4.822,32.91,5.617,16.919,8.05,-16.312,10.865,27.9,15.833,32.909,20.08,39.714,26.0,103.466,26.884,48.417,34.521,45.34,32.922,55.55,42.1
630767.805,1327289.436,4.27,102.632,11.547,115.587,23.472,122.0,17.151,137.735,28.985,151.029,25.808,171.02,39.564,175.754,34.89,198.004,44.329,190.687,45.174,217.981,58.325,202.049,53.388,232.096,64.967,8.23,2.928,11.185,4.665,28.764,5.351,16.619,7.75,-13.065,10.32,27.35,15.116,31.206,19.229,38.94,24.802,124.419,25.757,47.476,32.92,41.563,31.556,54.469,40.14
630767.805,1327199.436,3.98,102.702,11.705,115.568,23.493,122.038,17.357,137.715,29.022,151.072,26.094,171.008,39.674,175.832,35.3,198.039,44.769,190.873,45.676,218.051,58.894,202.441,53.966,232.204,65.76,8.253,2.961,11.229,4.701,35.512,5.411,16.68,7.818,-12.86,10.443,27.462,15.279,32.311,19.423,39.097,25.073,89.045,26.014,47.666,33.282,44.313,31.868,54.687,40.583
630857.805,1327559.436,11.05,102.514,10.682,116.17,23.361,122.22,15.996,138.441,28.796,151.161,24.216,171.891,38.986,175.585,32.627,198.827,41.922,190.317,42.353,218.754,55.143,201.013,50.108,232.775,60.499,8.203,2.737,11.027,4.457,12.808,5.009,16.408,7.356,23.26,9.625,26.959,14.182,27.488,18.138,38.411,23.247,200.849,24.262,46.846,30.844,33.03,29.75,53.758,37.602
630857.805,1327469.436,8.09,102.612,10.732,115.878,23.368,122.048,16.068,138.088,28.808,151.009,24.307,171.439,39.021,175.65,32.743,198.287,42.074,190.618,42.511,218.152,55.349,201.724,50.3,232.127,60.789,8.144,2.75,10.998,4.471,21.057,5.031,16.363,7.382,-2.18,9.671,26.883,14.243,28.311,18.193,38.296,23.35,187.05,24.361,46.699,30.981,35.22,29.864,53.584,37.769
