station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,5,167.02410569210497,17.346605825031148,0.8163655355318992,-0.081731054775352,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,10,196.60146992153528,24.936300933890234,0.6277288035162307,-0.22687195999140086,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,25,241.10844718867196,38.58568042461506,0.39091525102505936,-0.36115760102738315,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,50,279.47762220922453,52.294378532492246,0.23251795669026157,-0.43046847781455877,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,75,304.04292026067725,61.93716875737259,0.150066351672172,-0.4614448114834162,-0.154327249691115,-0.33087257172641926
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,100,322.5057708624092,69.60405728867268,0.09626626474220779,-0.4799325523786781,-0.154327249691115,-0.33087257172641926
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,5,52.90551139733522,4.398645663156265,-2.457158817680593,-1.9384322093465813,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,10,58.17856802328479,6.201467723884304,-2.3793633053582326,-1.7901602542176003,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,25,65.14481410819722,9.282248803012147,-2.201504051894808,-1.602813381082844,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,50,70.44393564050735,12.192468841749388,-2.036597991397588,-1.4729961381569734,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,75,73.56728382966757,14.150559913734755,-1.9361169092397303,-1.4023053772559342,-1.6891887584187042,-1.7861555612610769
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,100,75.79768043223896,15.663648113008373,-1.864899189867769,-1.354482786548032,-1.6891887584187042,-1.7861555612610769
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,5,201.11750351988013,36.4384670754088,1.7943443545200242,2.6559882757849764,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,10,266.233685559932,60.69793331575816,2.140415528748901,2.757181362412158,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,25,384.41076663012285,114.17804576904722,2.502145239685873,2.8418698999832346,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,50,507.11431857185437,179.73189374524682,2.7035744957838808,2.88251924768702,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,75,596.3980875199034,232.63212514120664,2.796361056057838,2.899332551131031,0.9597618219559464,1.044408794872596
Blaize (TANK),647070.3262890795,1344545.3336850111,647.0703262890795,1344.5453336850112,377.4953,100,669.2383526120802,278.59661342641124,2.852559988752268,2.9085194765015827,0.9597618219559464,1.044408794872596
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,5,84.75830435533472,7.118286305565019,-1.5434523870132673,-1.5484433726765752,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,10,94.48134046551559,9.673418844272508,-1.5907237157797591,-1.50045068040994,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,25,107.6464977527804,13.87184044599939,-1.5753395248392619,-1.4083415163129789,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,50,117.87043179027717,17.719763688753197,-1.5217708334313897,-1.3293032863873793,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,75,123.96758691094557,20.260057302599126,-1.4799113412185636,-1.282016758561914,-0.06196954998367275,-0.04643572477052713
Bon Accord (WTP),639629.7732897006,1334805.494702672,639.6297732897007,1334.805494702672,249.3531,100,128.34927150713932,22.19938241704476,-1.4471489457587055,-1.248517183887338,-0.06196954998367275,-0.04643572477052713
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,5,167.22977175912945,29.331015918338203,0.8222651251929413,1.6367997237342617,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,10,217.298672869268,48.61898790942943,1.0773537919133778,1.7492794639193527,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,25,306.4907230779741,90.57981924326641,1.3541726645994951,1.8419571681517581,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,50,397.48224531878407,141.31967671220033,1.5134893476721298,1.8839184563319091,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,75,462.9221581332133,181.8780345706707,1.5881845479759333,1.900045857117763,-0.5892556937524938,-0.6456307492759821
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,100,515.9201403696119,216.90172154748169,1.6337820358760273,1.90824374696349,-0.5892556937524938,-0.6456307492759821
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,5,79.21653018179302,10.035631935757833,-1.7024197562592818,-1.1301041955286906,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,10,93.34094334215835,15.823996389295054,-1.615497645119511,-0.9872288240376612,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,25,114.72722659380555,27.38571134377363,-1.471021275637053,-0.8357268093455357,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,50,133.42064438063002,40.1566517595126,-1.3529691634033076,-0.7460124504606044,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,75,145.5589104141275,49.747539344795165,-1.2844743815000244,-0.7014438803271941,-1.6755757412291095,-1.4461035929181751
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,100,154.78330850010425,57.709508999872305,-1.2370159092373167,-0.6727820348034829,-1.6755757412291095,-1.4461035929181751
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,5,119.34044877362408,15.907450325333777,-0.5514537329887488,-0.2881019150876626,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,10,145.34317912478457,24.38664767870868,-0.4858037092077329,-0.2727366063470316,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,25,187.49828821580482,41.065875169636556,-0.39890710329233947,-0.2560658772802972,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,50,226.66476329081422,59.345661003508056,-0.3407795935899085,-0.247156583852099,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,75,253.075223847507,72.99824083829593,-0.3112750584261725,-0.24366567234925932,1.824455921681666,1.7861555612610764
Clozier (Tank),642091.3146107293,1342636.464961706,642.0913146107293,1342.636464961706,485.9424,100,273.59718969488586,84.28030509663971,-0.2925244703021462,-0.24198263406445603,1.824455921681666,1.7861555612610764
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,5,153.61242549499707,20.215524513788072,0.4316476723822074,0.3296638348591124,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,10,181.7099489067191,31.26360053582312,0.3042261553366091,0.3010960923999575,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,25,225.14974159762826,52.909670613316614,0.1558004395178653,0.24578377843028035,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,50,263.7744322551289,76.56683344103459,0.06205567692284402,0.20054151202666706,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,75,289.0951963451093,94.24477034143113,0.014764885954233108,0.17465281169365468,0.581569033675205,0.5350828150863223
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,100,308.4363619813623,108.88022543171452,-0.015576190915329045,0.15686243252605295,0.581569033675205,0.5350828150863223
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,5,114.33374166349765,15.275662311892445,-0.6950725512513233,-0.37869854338551534,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,10,139.02183875543713,24.128496387663482,-0.623128187177043,-0.29427749154769633,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,25,179.34340857788052,42.33394617908449,-0.5190504932431176,-0.2023347061760555,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,50,217.1502612558439,63.15661809666982,-0.44406202935448164,-0.14808329251414568,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,75,242.8327445885186,79.19013826151792,-0.40398632765716175,-0.12175469658028813,-1.508102061705738,-1.22064034884735
Dougaldston (WTP),638442.536428648,1343906.1026772473,638.442536428648,1343.9061026772472,67.9839,100,262.8936030733549,92.7165269702384,-0.3776108745865392,-0.10520391977934133,-1.508102061705738,-1.22064034884735
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,5,130.97147856670298,17.742660680511463,-0.2178143334160809,-0.024937899849753083,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,10,157.7741034145573,26.89847684184121,-0.21575493963874381,-0.06314236636608067,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,25,200.41782044523748,44.552657834098355,-0.20856751919794284,-0.10832264007068355,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,50,239.3212026928529,63.54750058073685,-0.20339059679903762,-0.13792153700858914,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,75,265.2329275122197,77.56397844335854,-0.20122786094704492,-0.15377181776911816,2.115273599396755,5.19933758270342
Grand Etang (LAKE),641815.2189478142,1337485.023368999,641.8152189478142,1337.485023368999,522.4158,100,285.21124760033945,89.06014661830018,-0.20020042404853353,-0.16448578919538695,2.115273599396755,5.19933758270342
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,5,164.46147763124847,29.43856803270768,0.7428558203335941,1.6522223951380843,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,10,217.81794217913736,50.23877784150918,1.0886343720968266,1.884439388298788,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,25,316.0223051480272,97.60795628738678,1.4945985975788956,2.1397559753542783,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,50,419.48351836041377,157.57194161574532,1.752318984925767,2.306427903782715,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,75,495.55735229972777,207.10503894837976,1.883586686098121,2.3967350800174363,0.944514253999722,0.895779818883589
Guapo,645487.8905685542,1338306.287431891,645.4878905685541,1338.3062874318912,375.583,100,558.0527363353674,250.83491295473755,1.9687081891975666,2.458411625643911,0.944514253999722,0.895779818883589
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,5,141.10709930611625,13.030479118375156,0.07292883188871298,-0.7006515132364702,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,10,166.33067575822128,18.823967321560243,-0.029872395487495592,-0.7369026327735574,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,25,204.32039737978985,29.330827532863736,-0.15107202652624702,-0.7533076309281285,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,50,237.0937253442099,39.948251584167345,-0.2275704524901378,-0.7514302210578931,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,75,258.08375858167165,47.442084064591754,-0.2659395883265473,-0.746835508061084,1.0004772855399373,1.2206403488473496
Les Avocat (WTP),641406.310971107,1334198.0404243143,641.406310971107,1334.1980404243143,382.6017,100,273.86220635287657,53.41194194614883,-0.29041776389603957,-0.7424596351522771,1.0004772855399373,1.2206403488473496
Mamma Cannes (WTP),646713.0571659515,1335136.8623881326,646.7130571659515,1335.1368623881326,273.3038,5,151.98294350572297,19.49269258734209,0.3849055178019317,0.22601176491029176,0.1289994014617859,0.13971029888186212
Mamma Cannes (WTP),646713.0571659515,1335136.8623881326,646.7130571659515,1335.1368623881326,273.3038,10,182.5582152783282,29.171593151519083,0.3226538510235866,0.1265329874788737,0.1289994014617859,0.13971029888186212
Mamma Cannes (WTP),646713.0571659515,1335136.8623881326,646.7130571659515,1335.1368623881326,273.3038,25,229.8904696817332,47.47114766629414,0.22564416108678356,0.01534068427892934,0.1289994014617859,0.13971029888186212
Mamma Cannes (WTP),646713.0571659515,1335136.8623881326,646.7130571659515,1335.1368623881326,273.3038,50,271.920581434129,66.74108623745695,0.15048428056561325,-0.05489802494945988,0.1289994014617859,0.13971029888186212
Mamma Cannes (WTP),646713.0571659515,1335136.8623881326,646.7130571659515,1335.1368623881326,273.3038,75,299.40380239029463,80.74202930777986,0.1080747112694932,-0.0911998377372817,0.1289994014617859,0.13971029888186212
Mamma Cannes (WTP),646713.0571659515,1335136.8623881326,646.7130571659515,1335.1368623881326,273.3038,100,320.3469708340067,92.11000219578231,0.07910523839835412,-0.1150376676436308,0.1289994014617859,0.13971029888186212
Mardigras (WTP),640099.788818693,1332964.8053437679,640.099788818693,1332.964805343768,343.0627,5,139.1891258318013,18.685981528273228,0.01791121696114009,0.11033166271250654,0.6852162964581157,0.7647096737863867
Mardigras (WTP),640099.788818693,1332964.8053437679,640.099788818693,1332.964805343768,343.0627,10,169.13823348033992,28.532100034585763,0.03111884624791008,0.07317184501585156,0.6852162964581157,0.7647096737863867
Mardigras (WTP),640099.788818693,1332964.8053437679,640.099788818693,1332.964805343768,343.0627,25,216.93297833857252,47.7648520161485,0.034745336782193895,0.02778563299119065,0.6852162964581157,0.7647096737863867
Mardigras (WTP),640099.788818693,1332964.8053437679,640.099788818693,1332.964805343768,343.0627,50,260.6689701972554,68.69527005187052,0.02834506502400112,-0.004095190480210616,0.6852162964581157,0.7647096737863867
Mardigras (WTP),640099.788818693,1332964.8053437679,640.099788818693,1332.964805343768,343.0627,75,289.86159328156714,84.25556471732565,0.021702037684503434,-0.022022572530961248,0.6852162964581157,0.7647096737863867
Mardigras (WTP),640099.788818693,1332964.8053437679,640.099788818693,1332.964805343768,343.0627,100,312.4006092720212,97.07840321389746,0.015936941979564554,-0.034483657389659736,0.6852162964581157,0.7647096737863867
Mirabeau (WTP),645894.3696837563,1342246.5734367769,645.8943696837563,1342.2465734367768,266.6546,5,162.76687428109992,17.92526896084456,0.6942456409843992,0.0012476151417936934,0.07598254801069076,0.046435724770526994
Mirabeau (WTP),645894.3696837563,1342246.5734367769,645.8943696837563,1342.2465734367768,266.6546,10,193.3916727014153,26.38594019510137,0.5579993313021248,-0.10590989630504008,0.07598254801069076,0.046435724770526994
Mirabeau (WTP),645894.3696837563,1342246.5734367769,645.8943696837563,1342.2465734367768,266.6546,25,239.77784351336453,42.01413897247147,0.37131186712115055,-0.21588569473337202,0.07598254801069076,0.046435724770526994
Mirabeau (WTP),645894.3696837563,1342246.5734367769,645.8943696837563,1342.2465734367768,266.6546,50,280.05541854427287,58.09022869511562,0.2387900887093937,-0.27979400479489197,0.07598254801069076,0.046435724770526994
Mirabeau (WTP),645894.3696837563,1342246.5734367769,645.8943696837563,1342.2465734367768,266.6546,75,305.98040615580214,69.5786752394627,0.16760378298271478,-0.3109927855692387,0.07598254801069076,0.046435724770526994
Mirabeau (WTP),645894.3696837563,1342246.5734367769,645.8943696837563,1342.2465734367768,266.6546,100,325.5350113486851,78.80546999936155,0.12034671457679387,-0.3307475950563235,0.07598254801069076,0.046435724770526994
Mt Horne (WTP),647736.8847822134,1342690.5084765148,647.7368847822133,1342.6905084765149,145.5919,5,150.51764176357526,22.129809743059475,0.34287292033288735,0.6041669651539003,-0.8893010085515858,-0.8957798188835894
Mt Horne (WTP),647736.8847822134,1342690.5084765148,647.7368847822133,1342.6905084765149,145.5919,10,187.16089463170883,34.9071420986398,0.4226422241426829,0.6051236655750352,-0.8893010085515858,-0.8957798188835894
