station,X_m,Y_m,X_km,Y_km,Elevation_150m,TR,TR_mean,TR_std,TR_z,TR_std_z,Elev_z,Elev_norm
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,5,167.02410569210497,17.346605825031148,0.6935708359419709,-0.1474344501059588,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,10,196.60146992153528,24.936300933890234,0.5337383975176798,-0.29187444378056243,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,25,241.10844718867196,38.58568042461506,0.3211751649894001,-0.4216923929544547,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,50,279.47762220922453,52.294378532492246,0.1733118426478967,-0.4856432184047029,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,75,304.04292026067725,61.93716875737259,0.09522611028272515,-0.513065997398148,0.08703922277961686,-0.12566134685507402
Annandale (WTP),639931.5594560155,1336682.7217581635,639.9315594560155,1336.6827217581636,237.7699,100,322.5057708624092,69.60405728867268,0.044054937625875985,-0.5289323516999795,0.08703922277961686,-0.12566134685507402
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,5,52.90551139733522,4.398645663156265,-2.784421779176981,-2.2001721203319113,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,10,58.17856802328479,6.201467723884304,-2.7509990204729187,-2.0269123311300685,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,25,65.14481410819722,9.282248803012147,-2.5889145266746283,-1.7986336479417822,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,50,70.44393564050735,12.192468841749388,-2.4064865142523826,-1.638580301475189,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,75,73.56728382966757,14.150559913734755,-2.287751225654915,-1.551387197390105,-1.5742611388131342,-1.6448536269514729
Bacolet III,642568.0625602589,1330277.0044908957,642.5680625602589,1330.2770044908957,45.2726,100,75.79768043223896,15.663648113008373,-2.201308758665561,-1.4924687380587889,-1.5742611388131342,-1.6448536269514729
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,5,167.22977175912945,29.331015918338203,0.6998389210573909,1.752544368673885,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,10,217.298672869268,48.61898790942943,1.0248773350623939,1.9013854970046897,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,25,306.4907230779741,90.57981924326641,1.4024684058261299,2.021464288536726,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,50,397.48224531878407,141.31967671220033,1.6296710438936801,2.0738500424981936,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,75,462.9221581332133,181.8780345706707,1.7379404069612379,2.0930436792025695,-0.3837177655724705,-0.3853204664075676
Brandon Hall (WTP),647213.346179239,1339543.147790501,647.213346179239,1339.5431477905008,183.2226,100,515.9201403696119,216.90172154748169,1.804376631476015,2.1022427044035523,-0.3837177655724705,-0.3853204664075676
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,5,79.21653018179302,10.035631935757833,-1.9825408096985981,-1.306498219296346,-1.5595267082141213,-1.2815515655446004
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,10,93.34094334215835,15.823996389295054,-1.9166055181590294,-1.135767391676986,-1.5595267082141213,-1.2815515655446004
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,25,114.72722659380555,27.38571134377363,-1.7689197076530536,-0.9479686216615378,-1.5595267082141213,-1.2815515655446004
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,50,133.42064438063002,40.1566517595126,-1.62925671747823,-0.8346050361501577,-1.5595267082141213,-1.2815515655446004
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,75,145.5589104141275,49.747539344795165,-1.5434017699613343,-0.7779257760139249,-1.5595267082141213,-1.2815515655446004
Chemin II,639099.5079964935,1329298.4051760572,639.0995079964935,1329.2984051760573,46.9799,100,154.78330850010425,57.709508999872305,-1.482437069118917,-0.7414044157927326,-1.5595267082141213,-1.2815515655446004
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,5,153.61242549499707,20.215524513788072,0.2848230330958205,0.3073968431325762,0.8835571852795214,0.6744897501960817
Concord (WTP),639177.692304016,1339861.2284674384,639.177692304016,1339.8612284674384,330.0636,10,181.7099489067191,31.26360053582312,0.1803666966114565,0.29409845551921887,0.8835571852795214,0.6744897501960817
