station_id,pots_thr,post_thr_lower,post_thr_upper
Annandale (WTP),27,24,30
Bacolet III,22,20,24
Blaize (TANK),23,22,25
Bon Accord (WTP),20,18,24
Brandon Hall (WTP),24,22,26
Chemin II,26,24,28
Clozier (Tank),24,22,26
Concord (WTP),39,34,44
Dougaldston (WTP),32,30,35
Grand Etang (LAKE),26,24,30
Guapo,26,24,28
Les Avocat (WTP),26,24,30
Mamma Cannes (WTP),26,24,30
Mardigras (WTP),26,24,30
Mirabeau (WTP),26,24,30
Mt Horne (WTP),26,24,30
Mt Reuil (WTP),36,30,38
Mt.Plaisir (WTP),26,24,30
Munich (WTP),26,24,30
Peggy's Whim (WTP),26,24,30
Petit Etang (WTP),40,38,45
Plaisance (WTP),26,24,30
Point Saline (MBIA),26,24,30
Pomme Rose (WTP),26,24,30
Radix (WTP),30,28,34
Spring Garden (WTP),26,24,30
Tufton Hall (WTP),24,22,26
Vendome (WTP),24,22,26
